Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,40.98,42.16,42.5,40.93,2140000.0,-0.0346,ADP
2000-01-04,40.98,40.68,41.76,40.58,2490000.0,0.0,ADP
2000-01-05,40.58,40.93,40.93,39.79,2390000.0,-0.0098,ADP
2000-01-06,41.12,40.88,41.71,40.43,1680000.0,0.013300000000000001,ADP
2000-01-07,42.06,42.06,42.4,41.37,1500000.0,0.0229,ADP
2000-01-10,43.09,41.76,43.14,41.67,1370000.0,0.0245,ADP
2000-01-11,42.26,42.65,42.85,42.01,862800.0,-0.019299999999999998,ADP
2000-01-12,41.86,42.26,42.45,41.57,879500.0,-0.0095,ADP
2000-01-13,41.62,41.86,41.86,41.32,1040000.0,-0.005699999999999999,ADP
2000-01-14,41.17,40.88,41.67,40.19,1700000.0,-0.0108,ADP
2000-01-18,38.81,40.78,41.03,38.66,2240000.0,-0.057300000000000004,ADP
2000-01-19,42.6,38.91,42.95,38.86,3380000.0,0.0977,ADP
2000-01-20,40.04,42.06,42.55,39.7,2550000.0,-0.0601,ADP
2000-01-21,39.84,40.63,40.63,39.4,2240000.0,-0.005,ADP
2000-01-24,39.4,40.19,40.19,39.2,2320000.0,-0.011000000000000001,ADP
2000-01-25,40.24,39.79,40.43,39.55,1930000.0,0.0213,ADP
2000-01-26,40.19,40.88,40.88,39.45,1400000.0,-0.0012,ADP
2000-01-27,39.55,40.39,40.73,37.48,2040000.0,-0.0159,ADP
2000-01-28,38.56,39.35,39.4,38.02,1370000.0,-0.025,ADP
2000-01-31,37.38,38.56,38.56,36.89,1710000.0,-0.030600000000000002,ADP
2000-02-01,37.97,37.43,38.32,36.79,1390000.0,0.0158,ADP
2000-02-02,35.9,38.02,38.02,34.87,2380000.0,-0.0545,ADP
2000-02-03,38.32,36.25,38.61,36.1,2540000.0,0.0674,ADP
2000-02-04,37.82,38.27,38.81,37.73,1030000.0,-0.013000000000000001,ADP
2000-02-07,36.64,37.82,38.02,36.64,1230000.0,-0.031200000000000002,ADP
2000-02-08,36.69,37.04,37.04,36.25,2130000.0,0.0014000000000000002,ADP
2000-02-09,35.46,36.69,36.99,35.31,1800000.0,-0.0335,ADP
2000-02-10,37.33,35.61,37.73,35.51,1770000.0,0.0527,ADP
2000-02-11,36.1,37.04,37.04,35.85,958300.0,-0.0329,ADP
2000-02-14,36.49,36.2,37.63,35.95,1370000.0,0.0108,ADP
2000-02-15,36.3,36.69,37.04,35.8,1840000.0,-0.0052,ADP
2000-02-16,36.05,36.45,36.49,35.85,1900000.0,-0.0069,ADP
2000-02-17,35.8,36.2,36.3,35.51,1100000.0,-0.0069,ADP
2000-02-18,35.07,35.8,35.9,34.38,1260000.0,-0.0204,ADP
2000-02-22,33.0,35.07,35.12,31.52,3210000.0,-0.059000000000000004,ADP
2000-02-23,34.23,33.05,35.02,32.95,2380000.0,0.0373,ADP
2000-02-24,35.16,34.97,35.51,34.72,2069999.9999999998,0.027200000000000002,ADP
2000-02-25,33.83,35.16,35.51,33.83,1780000.0,-0.0378,ADP
2000-02-28,35.07,33.79,35.46,33.69,2009999.9999999998,0.036699999999999997,ADP
2000-02-29,34.33,35.36,35.71,34.03,1680000.0,-0.021099999999999997,ADP
2000-03-01,34.87,34.33,35.41,34.33,1170000.0,0.015700000000000002,ADP
2000-03-02,34.08,34.82,34.92,34.08,1050000.0,-0.0227,ADP
2000-03-03,34.03,33.49,35.07,33.49,2230000.0,-0.0015,ADP
2000-03-06,34.62,34.03,34.97,34.03,2009999.9999999998,0.0173,ADP
2000-03-07,34.28,34.67,35.36,34.23,2170000.0,-0.0098,ADP
2000-03-08,34.08,34.18,34.77,34.08,1770000.0,-0.0058,ADP
2000-03-09,34.67,34.08,34.77,33.98,2450000.0,0.0173,ADP
2000-03-10,34.77,34.72,35.26,34.38,1790000.0,0.0029,ADP
2000-03-13,35.51,34.67,35.76,34.52,1420000.0,0.0213,ADP
2000-03-14,37.23,37.82,37.82,36.45,2140000.0,0.0484,ADP
2000-03-15,38.71,37.23,39.01,37.18,3490000.0,0.0398,ADP
2000-03-16,43.14,39.4,43.68,39.4,5420000.0,0.1144,ADP
2000-03-17,42.55,43.14,43.14,41.76,2820000.0,-0.0137,ADP
2000-03-20,41.17,42.16,42.31,40.39,1960000.0,-0.032400000000000005,ADP
2000-03-21,41.37,40.29,41.76,40.29,1810000.0,0.0049,ADP
2000-03-22,40.48,40.78,41.37,39.65,2060000.0,-0.0215,ADP
2000-03-23,40.53,39.7,40.93,39.7,2009999.9999999998,0.0012,ADP
2000-03-24,40.98,40.19,41.71,40.19,1750000.0,0.0111,ADP
2000-03-27,40.93,40.78,42.16,40.78,1920000.0,-0.0012,ADP
2000-03-28,38.17,40.93,41.12,38.17,2370000.0,-0.0674,ADP
2000-03-29,37.53,38.71,39.2,37.04,1850000.0,-0.0168,ADP
2000-03-30,37.38,38.02,38.96,37.09,1840000.0,-0.004,ADP
2000-03-31,38.02,37.38,38.76,37.33,2480000.0,0.0171,ADP
2000-04-03,39.4,39.2,40.83,38.91,2089999.9999999998,0.0363,ADP
2000-04-04,40.19,40.14,41.86,39.01,2450000.0,0.020099999999999996,ADP
2000-04-05,39.55,40.93,40.93,38.17,2440000.0,-0.0159,ADP
2000-04-06,41.32,39.74,41.67,39.7,1430000.0,0.044800000000000006,ADP
2000-04-07,41.07,41.47,41.67,40.78,1380000.0,-0.0060999999999999995,ADP
2000-04-10,40.83,41.67,41.67,39.89,1540000.0,-0.0058,ADP
2000-04-11,40.19,40.83,41.17,40.09,1550000.0,-0.015700000000000002,ADP
2000-04-12,39.2,40.19,40.19,38.12,2360000.0,-0.0246,ADP
2000-04-13,37.68,39.2,39.55,37.68,1510000.0,-0.0388,ADP
2000-04-14,36.25,36.25,37.28,36.05,2760000.0,-0.038,ADP
2000-04-17,36.74,36.35,37.28,35.21,2480000.0,0.013500000000000002,ADP
2000-04-18,38.61,38.32,39.65,37.87,2480000.0,0.0509,ADP
2000-04-19,38.71,38.61,39.55,38.27,1130000.0,0.0026,ADP
2000-04-20,39.89,39.4,40.68,39.15,2060000.0,0.0305,ADP
2000-04-24,42.5,39.89,42.65,39.15,2750000.0,0.0654,ADP
2000-04-25,42.5,42.16,42.5,41.42,1440000.0,0.0,ADP
2000-04-26,41.96,42.01,42.65,41.67,1330000.0,-0.0127,ADP
2000-04-27,42.75,41.17,43.24,41.17,2230000.0,0.018799999999999997,ADP
2000-04-28,42.4,43.24,43.49,42.16,1400000.0,-0.008199999999999999,ADP
2000-05-01,42.5,42.36,44.13,42.26,1590000.0,0.0024,ADP
2000-05-02,41.91,42.5,42.5,41.12,1380000.0,-0.0139,ADP
2000-05-03,41.07,41.76,41.96,39.6,1440000.0,-0.02,ADP
2000-05-04,41.12,41.07,41.81,40.83,1290000.0,0.0012,ADP
2000-05-05,40.83,40.93,41.62,39.99,1320000.0,-0.0070999999999999995,ADP
2000-05-08,40.98,41.03,41.22,40.34,542500.0,0.0037,ADP
