Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,1161.04,1196.64,1200.13,1150.56,166580.0,-0.0387,AIG
2000-01-04,1101.69,1133.81,1140.79,1098.2,364100.0,-0.051100000000000007,AIG
2000-01-05,1104.22,1101.69,1116.35,1079.35,266580.0,0.0023,AIG
2000-01-06,1138.0,1105.88,1157.55,1100.3,279150.0,0.030600000000000002,AIG
2000-01-07,1223.17,1157.55,1228.06,1153.36,328730.0,0.0748,AIG
2000-01-10,1201.53,1223.17,1225.27,1195.94,163020.0,-0.0177,AIG
2000-01-11,1181.98,1203.62,1216.89,1161.73,194290.0,-0.0163,AIG
2000-01-12,1217.59,1184.08,1235.74,1184.08,244490.0,0.0301,AIG
2000-01-13,1251.1,1217.59,1262.97,1217.59,233450.0,0.0275,AIG
2000-01-14,1274.14,1254.59,1279.02,1246.91,283380.0,0.0184,AIG
2000-01-18,1210.61,1253.89,1254.59,1205.02,249080.0,-0.0499,AIG
2000-01-19,1186.87,1213.4,1228.06,1181.98,237040.0,-0.0196,AIG
2000-01-20,1176.66,1195.25,1197.34,1150.56,219530.0,-0.0086,AIG
2000-01-21,1161.04,1175.7,1175.7,1140.09,224120.0,-0.013300000000000001,AIG
2000-01-24,1134.51,1161.04,1170.11,1121.24,168660.0,-0.0229,AIG
2000-01-25,1149.87,1133.11,1158.24,1129.62,170250.0,0.013500000000000002,AIG
2000-01-26,1178.49,1152.66,1180.58,1147.77,213410.0,0.024900000000000002,AIG
2000-01-27,1175.7,1179.89,1183.38,1153.36,203180.0,-0.0024,AIG
2000-01-28,1139.39,1168.72,1168.72,1128.22,228300.0,-0.030899999999999997,AIG
2000-01-31,1165.92,1144.98,1165.92,1118.45,212060.0,0.0233,AIG
2000-02-01,1143.58,1157.55,1161.04,1128.22,210350.0,-0.0192,AIG
2000-02-02,1142.88,1149.17,1155.45,1131.02,152100.0,-0.0006,AIG
2000-02-03,1131.71,1133.81,1142.19,1096.11,377620.0,-0.0098,AIG
2000-02-04,1125.43,1138.7,1143.58,1114.96,139300.0,-0.0055000000000000005,AIG
2000-02-07,1090.52,1115.66,1116.35,1087.03,253180.0,-0.031,AIG
2000-02-08,1071.67,1076.56,1092.62,1039.56,564220.0,-0.0173,AIG
2000-02-09,1087.03,1080.75,1090.52,1066.78,357410.0,0.0143,AIG
2000-02-10,1053.52,1100.3,1101.69,1041.65,325790.0,-0.0308,AIG
2000-02-11,1059.11,1064.69,1069.58,1047.93,233960.0,0.0053,AIG
2000-02-14,1046.54,1065.39,1074.46,1043.05,179010.0,-0.011899999999999999,AIG
2000-02-15,1077.26,1050.03,1086.33,1038.86,307460.0,0.0294,AIG
2000-02-16,1050.03,1061.2,1066.78,1038.86,248730.0,-0.0253,AIG
2000-02-17,1034.67,1065.39,1066.09,1026.29,225470.0,-0.0146,AIG
2000-02-18,999.06,1024.9,1030.48,988.59,416970.0,-0.0344,AIG
2000-02-22,969.04,992.08,996.97,955.08,446090.0,-0.03,AIG
2000-02-23,955.08,957.87,966.95,944.61,474250.0,-0.0144,AIG
2000-02-24,928.55,952.29,953.68,924.36,394460.0,-0.0278,AIG
2000-02-25,934.13,931.34,951.59,928.55,285980.0,0.006,AIG
2000-02-28,973.93,949.49,992.78,949.49,367500.0,0.0426,AIG
2000-02-29,987.89,983.01,1004.65,958.57,373040.0,0.0143,AIG
2000-03-01,1000.46,996.97,1006.74,978.82,242490.0,0.0127,AIG
2000-03-02,971.84,997.67,1001.16,967.65,205360.0,-0.0286,AIG
2000-03-03,976.02,992.78,993.48,956.48,232240.0,0.0043,AIG
2000-03-06,946.7,973.23,973.23,936.23,282980.0,-0.03,AIG
2000-03-07,909.7,949.49,950.19,888.06,384810.0,-0.0391,AIG
2000-03-08,927.15,898.53,950.89,877.58,473360.0,0.0192,AIG
2000-03-09,926.46,917.38,929.25,902.72,359020.0,-0.0007000000000000001,AIG
2000-03-10,927.15,928.55,937.63,913.19,289610.0,0.0007000000000000001,AIG
2000-03-13,963.46,915.98,965.55,911.79,320690.0,0.0392,AIG
2000-03-14,957.87,969.04,969.04,952.99,294770.0,-0.0058,AIG
2000-03-15,1021.4,964.85,1021.4,952.99,600650.0,0.0663,AIG
2000-03-16,1116.35,1036.07,1119.84,1030.48,554700.0,0.09300000000000001,AIG
2000-03-17,1087.73,1115.66,1130.32,1080.05,368900.0,-0.0256,AIG
2000-03-20,1105.88,1100.3,1110.77,1087.73,185480.0,0.0167,AIG
2000-03-21,1122.64,1103.09,1132.41,1098.2,304040.0,0.0152,AIG
2000-03-22,1111.47,1115.66,1117.75,1096.81,226040.0,-0.009899999999999999,AIG
2000-03-23,1165.23,1113.56,1178.49,1112.17,323460.0,0.0484,AIG
2000-03-24,1202.23,1172.9,1210.61,1170.11,274860.0,0.0318,AIG
2000-03-27,1163.13,1193.85,1200.13,1158.94,215770.0,-0.0325,AIG
2000-03-28,1165.23,1143.58,1183.38,1136.6,247230.0,0.0018,AIG
2000-03-29,1188.96,1164.53,1196.64,1154.75,250110.0,0.0204,AIG
2000-03-30,1214.1,1187.57,1241.32,1179.89,370160.0,0.021099999999999997,AIG
2000-03-31,1223.17,1216.89,1233.64,1207.11,296360.0,0.0075,AIG
2000-04-03,1313.93,1225.96,1323.01,1225.96,356800.0,0.0742,AIG
2000-04-04,1283.21,1302.76,1327.9,1235.74,476270.0,-0.023399999999999997,AIG
