Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,9.0,9.66,9.66,9.0,134000.0,-0.061500000000000006,ALB
2000-01-04,9.0,8.88,9.28,8.88,68200.0,0.0,ALB
2000-01-05,9.16,9.0,9.25,9.0,70000.0,0.0178,ALB
2000-01-06,9.47,9.09,9.5,9.03,78600.0,0.0338,ALB
2000-01-07,9.31,9.44,9.47,9.25,71800.0,-0.0169,ALB
2000-01-10,9.28,9.34,9.34,9.19,67000.0,-0.0032,ALB
2000-01-11,9.25,9.31,9.34,9.25,68200.0,-0.0032,ALB
2000-01-12,9.31,9.25,9.31,9.22,93000.0,0.006500000000000001,ALB
2000-01-13,9.44,9.31,9.5,9.25,94400.0,0.013999999999999999,ALB
2000-01-14,9.25,9.5,9.5,9.25,118000.0,-0.020099999999999996,ALB
2000-01-18,9.06,9.19,9.19,8.94,74000.0,-0.020499999999999997,ALB
2000-01-19,9.09,9.06,9.22,9.0,106000.0,0.0033,ALB
2000-01-20,8.97,9.12,9.31,8.88,77400.0,-0.0132,ALB
2000-01-21,9.09,9.03,9.19,8.88,111200.0,0.0134,ALB
2000-01-24,8.94,9.28,9.28,8.94,120400.0,-0.0165,ALB
2000-01-25,8.56,8.97,8.97,8.56,67200.0,-0.0425,ALB
2000-01-26,8.88,8.59,8.88,8.56,91200.0,0.0374,ALB
2000-01-27,9.03,8.94,9.09,8.94,83000.0,0.0169,ALB
2000-01-28,8.81,9.03,9.16,8.75,90800.0,-0.024399999999999998,ALB
2000-01-31,9.03,8.84,9.19,8.84,114600.0,0.025,ALB
2000-02-01,8.78,9.0,9.0,8.66,59000.0,-0.0277,ALB
2000-02-02,8.81,8.72,8.94,8.66,122200.0,0.0034000000000000002,ALB
2000-02-03,8.81,8.81,8.88,8.69,61600.0,0.0,ALB
2000-02-04,8.69,8.78,8.78,8.56,101400.0,-0.013600000000000001,ALB
2000-02-07,8.69,8.56,8.69,8.5,62200.0,0.0,ALB
2000-02-08,8.56,8.78,8.84,8.5,70800.0,-0.015,ALB
2000-02-09,8.44,8.62,8.81,8.31,98800.0,-0.013999999999999999,ALB
2000-02-10,8.44,8.41,8.5,8.22,522200.00000000006,0.0,ALB
2000-02-11,8.0,8.44,8.53,7.97,135000.0,-0.0521,ALB
2000-02-14,8.22,7.97,8.25,7.91,56200.0,0.0275,ALB
2000-02-15,8.44,8.31,8.44,8.16,76200.0,0.0268,ALB
2000-02-16,8.12,8.44,8.53,8.12,86000.0,-0.0379,ALB
2000-02-17,8.25,8.22,8.47,8.19,82400.0,0.016,ALB
2000-02-18,7.97,8.28,8.28,7.94,60400.0,-0.0339,ALB
2000-02-22,7.97,7.97,8.0,7.81,123800.0,0.0,ALB
2000-02-23,7.88,8.03,8.09,7.69,95600.0,-0.0113,ALB
2000-02-24,7.69,7.88,7.94,7.66,41400.0,-0.0241,ALB
2000-02-25,7.66,7.72,7.75,7.62,63600.0,-0.0039000000000000003,ALB
2000-02-28,7.66,7.62,7.78,7.5,110800.0,0.0,ALB
2000-02-29,7.53,7.66,8.09,7.53,194800.0,-0.017,ALB
2000-03-01,7.28,7.5,7.53,7.28,123200.0,-0.0332,ALB
2000-03-02,7.47,7.28,7.5,7.28,156600.0,0.026099999999999998,ALB
2000-03-03,7.5,7.44,7.56,7.44,65000.0,0.004,ALB
2000-03-06,7.78,7.5,8.0,7.5,179000.0,0.0373,ALB
2000-03-07,7.5,7.84,7.95,7.5,222600.0,-0.036000000000000004,ALB
2000-03-08,7.88,7.88,7.97,7.88,152400.0,0.0507,ALB
2000-03-09,7.72,7.78,7.91,7.69,161200.0,-0.0203,ALB
2000-03-10,8.0,7.69,8.08,7.59,167600.0,0.0363,ALB
2000-03-13,7.84,7.81,8.0,7.66,85600.0,-0.02,ALB
2000-03-14,7.91,7.91,7.94,7.84,139200.0,0.0089,ALB
2000-03-15,8.62,7.91,8.66,7.84,141200.0,0.0898,ALB
2000-03-16,9.28,8.66,9.28,8.66,368600.0,0.0766,ALB
2000-03-17,9.47,9.12,9.5,9.12,267800.0,0.020499999999999997,ALB
