Date,Close,Open,High,Low,Volume,Change,Symbol
2013-11-18,48.48,49.75,50.0,47.49,587180.0,-0.5226,ALLE
2013-11-19,45.8,48.99,49.0,45.3,1680000.0,-0.0553,ALLE
2013-11-20,44.65,45.98,46.0,43.99,1110000.0,-0.025099999999999997,ALLE
2013-11-21,43.79,44.5,45.15,43.04,730210.0,-0.019299999999999998,ALLE
2013-11-22,43.99,43.9,44.1,43.25,947690.0,0.0046,ALLE
2013-11-25,44.18,44.28,45.62,43.7,727310.0,0.0043,ALLE
2013-11-26,43.2,45.0,45.0,43.04,873720.0,-0.0222,ALLE
2013-11-27,43.24,43.55,43.55,42.5,1150000.0,0.0009,ALLE
2013-11-29,43.24,42.75,43.85,42.75,949920.0,0.0,ALLE
2013-12-02,43.14,43.9,44.74,41.52,5130000.0,-0.0023,ALLE
2013-12-03,42.9,42.8,44.9,42.7,3240000.0,-0.005600000000000001,ALLE
2013-12-04,41.83,42.43,42.6,41.65,2780000.0,-0.024900000000000002,ALLE
2013-12-05,41.05,42.28,42.28,40.63,3380000.0,-0.018600000000000002,ALLE
2013-12-06,40.7,40.75,41.06,40.64,4660000.0,-0.0085,ALLE
2013-12-09,41.18,40.7,41.27,40.24,3070000.0,0.0118,ALLE
2013-12-10,42.56,41.07,42.84,41.04,3290000.0,0.0335,ALLE
2013-12-11,42.46,42.32,43.02,42.0,3370000.0,-0.0023,ALLE
2013-12-12,42.97,42.01,43.1,42.0,1770000.0,0.012,ALLE
2013-12-13,43.25,42.92,43.8,42.92,683790.0,0.006500000000000001,ALLE
2013-12-16,43.69,43.01,43.99,42.11,1950000.0,0.0102,ALLE
2013-12-17,43.75,43.43,44.0,43.16,1400000.0,0.0014000000000000002,ALLE
2013-12-18,44.27,43.65,44.5,43.1,1230000.0,0.011899999999999999,ALLE
2013-12-19,44.45,43.96,44.5,43.82,593010.0,0.0040999999999999995,ALLE
2013-12-20,44.26,44.3,44.45,43.91,2880000.0,-0.0043,ALLE
2013-12-23,44.65,44.17,44.85,43.55,773650.0,0.0088,ALLE
2013-12-24,44.58,44.76,45.02,44.25,304710.0,-0.0016,ALLE
2013-12-26,44.7,44.86,45.01,44.44,513179.99999999994,0.0027,ALLE
2013-12-27,44.64,44.77,44.97,44.09,393260.0,-0.0013,ALLE
2013-12-30,44.12,44.45,44.88,44.0,381480.0,-0.0116,ALLE
2013-12-31,44.19,44.23,44.5,43.76,874160.0,0.0016,ALLE
2014-01-02,43.65,44.08,44.18,43.27,992870.0,-0.012199999999999999,ALLE
2014-01-03,43.96,43.57,44.32,43.17,378400.0,0.0070999999999999995,ALLE
2014-01-06,43.68,43.97,43.98,43.37,597830.0,-0.0064,ALLE
2014-01-07,43.87,42.16,43.98,42.16,1370000.0,0.0043,ALLE
2014-01-08,43.88,44.02,44.36,43.4,1410000.0,0.0002,ALLE
2014-01-09,44.13,43.89,44.25,43.84,1090000.0,0.005699999999999999,ALLE
2014-01-10,45.73,44.17,46.08,44.02,2009999.9999999998,0.0363,ALLE
2014-01-13,47.04,45.7,47.44,45.2,2280000.0,0.0286,ALLE
2014-01-14,47.8,47.16,47.89,46.91,2340000.0,0.016200000000000003,ALLE
2014-01-15,47.5,47.97,49.19,47.26,1730000.0,-0.0063,ALLE
2014-01-16,47.4,47.28,47.68,47.04,1180000.0,-0.0021,ALLE
2014-01-17,48.0,47.52,48.24,47.0,1570000.0,0.0127,ALLE
2014-01-21,48.17,49.38,49.38,47.94,1570000.0,0.0034999999999999996,ALLE
2014-01-22,48.51,48.11,49.16,48.08,682210.0,0.0070999999999999995,ALLE
2014-01-23,47.72,48.68,48.68,47.58,867600.0,-0.0163,ALLE
2014-01-24,46.84,47.62,47.71,45.83,1420000.0,-0.0184,ALLE
2014-01-27,46.6,45.2,48.0,45.2,717830.0,-0.0051,ALLE
2014-01-28,47.73,46.77,47.88,46.77,721690.0,0.0242,ALLE
2014-01-29,47.78,47.35,48.48,47.13,800900.0,0.001,ALLE
2014-01-30,49.42,47.91,49.63,47.83,1250000.0,0.034300000000000004,ALLE
2014-01-31,49.35,49.25,49.96,49.03,2009999.9999999998,-0.0014000000000000002,ALLE
2014-02-03,47.44,49.35,49.94,47.2,1180000.0,-0.0387,ALLE
2014-02-04,48.05,47.44,48.48,47.32,891300.0,0.0129,ALLE
2014-02-05,47.6,47.84,48.65,47.15,823110.0,-0.009399999999999999,ALLE
2014-02-06,49.24,47.5,49.27,47.5,1170000.0,0.0345,ALLE
2014-02-07,49.94,49.33,50.27,49.33,1840000.0,0.014199999999999999,ALLE
2014-02-10,49.84,49.99,50.12,49.45,763360.0,-0.002,ALLE
2014-02-11,49.89,49.73,50.41,49.33,1450000.0,0.001,ALLE
2014-02-12,50.0,49.92,51.0,49.73,1410000.0,0.0022,ALLE
2014-02-13,50.12,49.98,50.44,49.59,694990.0,0.0024,ALLE
2014-02-14,49.63,50.15,50.25,49.59,891950.0,-0.0098,ALLE
2014-02-18,50.11,49.72,50.86,49.72,2750000.0,0.0097,ALLE
2014-02-19,49.16,49.84,50.34,49.03,1080000.0,-0.019,ALLE
2014-02-20,51.52,50.23,52.78,49.1,2620000.0,0.048,ALLE
2014-02-21,52.37,51.75,52.79,51.75,2200000.0,0.0165,ALLE
2014-02-24,52.86,52.36,53.11,52.36,669570.0,0.009399999999999999,ALLE
2014-02-25,54.56,53.0,54.58,52.93,1120000.0,0.0322,ALLE
2014-02-26,54.66,54.83,55.78,54.18,1880000.0,0.0018,ALLE
2014-02-27,55.35,54.69,55.53,54.21,1140000.0,0.0126,ALLE
2014-02-28,54.35,55.09,55.32,53.82,1200000.0,-0.0181,ALLE
2014-03-03,53.49,54.67,54.93,53.08,659630.0,-0.0158,ALLE
2014-03-04,54.0,53.71,55.0,53.48,1190000.0,0.0095,ALLE
2014-03-05,53.95,53.9,54.31,53.38,394970.0,-0.0009,ALLE
2014-03-06,53.19,53.99,54.1,53.04,617420.0,-0.0141,ALLE
2014-03-07,53.39,53.44,53.78,52.59,776150.0,0.0038,ALLE
2014-03-10,53.29,53.2,53.67,52.24,1160000.0,-0.0019,ALLE
2014-03-11,54.5,53.49,54.8,53.45,874680.0,0.0227,ALLE
2014-03-12,54.28,54.42,54.74,52.77,1260000.0,-0.004,ALLE
2014-03-13,53.6,54.46,54.71,53.13,946440.0,-0.0125,ALLE
2014-03-14,53.3,53.62,53.95,53.25,1070000.0,-0.005600000000000001,ALLE
2014-03-17,52.96,53.44,53.83,52.93,1010000.0,-0.0064,ALLE
2014-03-18,53.28,52.95,53.49,52.71,881360.0,0.006,ALLE
2014-03-19,53.28,53.18,54.0,52.92,645040.0,0.0,ALLE
2014-03-20,54.17,53.41,54.22,52.82,628150.0,0.0167,ALLE
2014-03-21,53.81,54.38,54.81,53.74,1360000.0,-0.0066,ALLE
2014-03-24,53.47,54.0,54.23,53.04,895620.0,-0.0063,ALLE
2014-03-25,53.21,53.7,53.9,53.16,717190.0,-0.0049,ALLE
2014-03-26,52.04,53.32,53.5,52.01,691130.0,-0.022000000000000002,ALLE
2014-03-27,51.45,51.87,51.97,51.19,496640.0,-0.0113,ALLE
2014-03-28,52.16,51.62,52.44,51.54,346060.0,0.0138,ALLE
2014-03-31,52.17,52.38,52.58,51.91,334550.0,0.0002,ALLE
2014-04-01,53.92,52.44,54.05,52.29,593590.0,0.0335,ALLE
2014-04-02,54.67,53.92,54.81,53.59,500470.0,0.0139,ALLE
2014-04-03,54.95,54.77,55.0,54.58,427890.0,0.0051,ALLE
2014-04-04,53.73,54.82,55.35,53.0,491960.0,-0.0222,ALLE
2014-04-07,51.62,53.71,54.0,51.53,1050000.0,-0.0393,ALLE
2014-04-08,51.41,51.34,51.78,50.81,1210000.0,-0.0040999999999999995,ALLE
2014-04-09,51.5,51.46,51.59,51.23,1210000.0,0.0018,ALLE
2014-04-10,50.68,51.52,51.79,50.12,1490000.0,-0.0159,ALLE
2014-04-11,50.01,50.53,50.9,49.86,1180000.0,-0.0132,ALLE
2014-04-14,49.77,50.28,50.61,49.18,605890.0,-0.0048,ALLE
2014-04-15,49.96,49.88,50.43,48.93,419350.0,0.0038,ALLE
2014-04-16,50.23,50.16,50.72,49.84,254040.0,0.0054,ALLE
2014-04-17,50.15,50.07,50.54,49.43,427220.0,-0.0016,ALLE
2014-04-21,50.63,49.98,50.65,49.6,225730.0,0.0096,ALLE
2014-04-22,51.0,50.71,51.15,50.36,422510.0,0.0073,ALLE
2014-04-23,50.4,50.89,50.96,49.98,507790.0,-0.0118,ALLE
2014-04-24,50.24,50.62,50.78,49.72,659760.0,-0.0032,ALLE
2014-04-25,49.54,49.95,50.39,49.37,290300.0,-0.0139,ALLE
2014-04-28,48.82,49.84,50.08,48.45,605420.0,-0.014499999999999999,ALLE
2014-04-29,48.9,48.96,49.43,48.46,441960.0,0.0016,ALLE
2014-04-30,49.35,49.0,49.46,48.44,481140.0,0.0092,ALLE
2014-05-01,51.25,51.0,51.86,49.48,722130.0,0.0385,ALLE
2014-05-02,50.7,51.18,51.74,50.25,478980.0,-0.010700000000000001,ALLE
2014-05-05,50.06,50.28,50.52,49.57,413850.0,-0.0126,ALLE
2014-05-06,49.89,49.95,50.16,49.55,595990.0,-0.0034000000000000002,ALLE
2014-05-07,49.93,49.89,50.32,49.34,597950.0,0.0008,ALLE
2014-05-08,49.36,49.6,50.4,49.11,530590.0,-0.011399999999999999,ALLE
2014-05-09,50.0,49.2,50.16,48.67,489070.0,0.013000000000000001,ALLE
2014-05-12,50.48,50.05,50.84,50.05,586090.0,0.0096,ALLE
2014-05-13,50.48,50.5,50.72,50.33,638720.0,0.0,ALLE
2014-05-14,49.79,50.3,50.43,49.74,470670.0,-0.0137,ALLE
2014-05-15,48.29,49.52,49.74,47.98,738390.0,-0.0301,ALLE
2014-05-16,49.28,48.32,49.43,48.15,719490.0,0.020499999999999997,ALLE
2014-05-19,50.21,49.3,50.36,49.27,653460.0,0.0189,ALLE
2014-05-20,50.5,49.87,50.54,49.75,1540000.0,0.0058,ALLE
2014-05-21,50.71,50.52,51.03,50.4,338540.0,0.0042,ALLE
2014-05-22,51.49,50.65,51.84,50.32,501050.0,0.0154,ALLE
2014-05-23,52.46,51.73,52.59,51.33,451780.0,0.018799999999999997,ALLE
2014-05-27,52.47,52.49,52.84,52.33,331610.0,0.0002,ALLE
2014-05-28,52.94,52.62,53.26,52.46,523700.00000000006,0.009000000000000001,ALLE
2014-05-29,53.52,52.94,53.86,52.94,815600.0,0.011000000000000001,ALLE
2014-05-30,52.39,53.49,53.51,52.33,400270.0,-0.021099999999999997,ALLE
2014-06-02,52.07,52.77,52.77,52.04,646460.0,-0.0060999999999999995,ALLE
2014-06-03,52.41,51.3,52.74,51.3,451860.0,0.006500000000000001,ALLE
2014-06-04,53.15,52.27,53.31,52.23,621100.0,0.0141,ALLE
2014-06-05,54.31,53.2,54.34,52.9,608870.0,0.0218,ALLE
