Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,7.38,7.56,7.56,7.12,402400.0,-0.0199,ALXN
2000-01-04,6.94,7.12,7.5,6.94,619200.0,-0.0596,ALXN
2000-01-05,7.28,6.88,7.28,6.84,338800.0,0.049,ALXN
2000-01-06,7.75,7.25,7.75,7.25,800400.0,0.0646,ALXN
2000-01-07,8.25,7.5,8.31,7.38,749200.0,0.0645,ALXN
2000-01-10,8.28,8.81,9.36,8.06,1460000.0,0.0036,ALXN
2000-01-11,7.5,8.47,8.62,7.28,460000.0,-0.0942,ALXN
2000-01-12,7.41,7.5,7.62,7.22,745600.0,-0.012,ALXN
2000-01-13,8.72,7.69,8.78,7.41,762000.0,0.17679999999999998,ALXN
2000-01-14,8.66,8.84,9.12,8.62,738000.0,-0.0069,ALXN
2000-01-18,8.27,8.66,8.66,8.27,450400.0,-0.045,ALXN
2000-01-19,8.53,8.36,8.59,8.28,189200.0,0.031400000000000004,ALXN
2000-01-20,9.97,8.75,10.0,8.69,1010000.0,0.16879999999999998,ALXN
2000-01-21,11.03,10.06,11.47,10.0,1930000.0,0.1063,ALXN
2000-01-24,11.77,11.56,12.53,11.5,2080000.0,0.06709999999999999,ALXN
2000-01-25,11.91,11.52,11.91,11.38,582800.0,0.011899999999999999,ALXN
2000-01-26,12.16,11.55,12.25,11.5,390800.0,0.021,ALXN
2000-01-27,11.89,12.25,12.34,11.63,1380000.0,-0.0222,ALXN
2000-01-28,11.81,11.81,12.0,10.81,650000.0,-0.0067,ALXN
2000-01-31,10.94,12.12,12.12,9.95,914000.0,-0.0737,ALXN
2000-02-01,11.09,11.06,11.28,10.58,292000.0,0.0137,ALXN
2000-02-02,12.62,11.25,13.25,11.06,1850000.0,0.138,ALXN
2000-02-03,14.0,13.02,14.5,12.75,744000.0,0.1094,ALXN
2000-02-04,13.66,14.12,14.69,13.58,1680000.0,-0.024300000000000002,ALXN
2000-02-07,13.42,13.61,14.34,13.25,1220000.0,-0.0176,ALXN
2000-02-08,12.86,13.47,13.53,12.75,880400.0,-0.0417,ALXN
2000-02-09,12.97,12.88,13.25,12.88,740800.0,0.0086,ALXN
2000-02-10,13.97,13.02,14.34,12.97,783200.0,0.0771,ALXN
2000-02-11,15.69,16.52,16.77,14.75,1260000.0,0.1231,ALXN
2000-02-14,15.62,15.19,17.0,15.19,486800.0,-0.0045000000000000005,ALXN
2000-02-15,18.75,16.22,18.75,15.28,918400.0,0.2004,ALXN
2000-02-16,22.06,19.91,23.31,19.88,1700000.0,0.1765,ALXN
2000-02-17,21.03,22.69,22.97,19.03,1210000.0,-0.0467,ALXN
2000-02-18,19.0,21.38,21.38,18.38,752400.0,-0.0965,ALXN
2000-02-22,18.78,19.47,19.72,17.75,454800.0,-0.0116,ALXN
2000-02-23,19.0,19.06,19.44,18.06,984800.0,0.011699999999999999,ALXN
2000-02-24,19.81,19.03,21.12,18.86,1280000.0,0.0426,ALXN
2000-02-25,20.22,18.72,20.34,17.75,1330000.0,0.0207,ALXN
2000-02-28,20.66,22.25,22.5,19.72,657600.0,0.0218,ALXN
2000-02-29,21.31,22.0,22.0,20.81,1810000.0,0.0315,ALXN
2000-03-01,28.88,21.56,29.97,21.47,1770000.0,0.3552,ALXN
2000-03-02,24.19,29.72,29.97,24.0,1470000.0,-0.1624,ALXN
2000-03-03,24.91,24.33,25.44,23.59,2930000.0,0.0298,ALXN
2000-03-06,25.09,24.88,25.25,24.22,1890000.0,0.0072,ALXN
2000-03-07,25.5,25.75,26.61,25.0,1490000.0,0.0163,ALXN
2000-03-08,25.09,25.75,25.75,23.47,1590000.0,-0.0161,ALXN
2000-03-09,24.19,24.91,24.91,24.03,1060000.0,-0.0359,ALXN
2000-03-10,23.25,23.94,24.25,23.06,1770000.0,-0.038900000000000004,ALXN
2000-03-13,22.5,22.75,23.25,20.56,1330000.0,-0.0323,ALXN
2000-03-14,19.25,22.62,24.0,18.75,1600000.0,-0.1444,ALXN
2000-03-15,18.25,19.69,19.88,17.0,1180000.0,-0.0519,ALXN
2000-03-16,19.28,18.55,19.5,18.5,1230000.0,0.0564,ALXN
2000-03-17,21.62,19.53,22.75,19.25,1190000.0,0.12140000000000001,ALXN
2000-03-20,19.28,22.0,23.25,18.75,1010000.0,-0.1082,ALXN
2000-03-21,17.5,19.5,19.5,16.5,1010000.0,-0.09230000000000001,ALXN
2000-03-22,19.92,17.75,19.92,17.62,618800.0,0.1383,ALXN
2000-03-23,20.31,19.91,21.0,18.38,422000.0,0.0196,ALXN
2000-03-24,19.8,20.12,20.53,19.22,462000.0,-0.025099999999999997,ALXN
2000-03-27,21.12,19.78,21.31,19.78,870400.0,0.0667,ALXN
2000-03-28,21.23,21.06,21.25,18.56,631600.0,0.0052,ALXN
2000-03-29,17.47,21.25,21.38,17.0,914000.0,-0.1771,ALXN
2000-03-30,12.02,16.94,17.02,12.02,1210000.0,-0.312,ALXN
2000-03-31,17.44,14.88,18.12,13.31,1800000.0,0.4509,ALXN
2000-04-03,15.69,17.0,17.62,15.0,1120000.0,-0.1003,ALXN
2000-04-04,14.25,15.52,17.19,9.25,2190000.0,-0.09179999999999999,ALXN
2000-04-05,15.72,13.28,17.06,12.88,1020000.0,0.1032,ALXN
2000-04-06,16.0,15.62,17.25,15.33,372400.0,0.0178,ALXN
2000-04-07,15.44,17.09,17.09,15.44,208400.0,-0.035,ALXN
2000-04-10,15.11,16.16,16.16,14.5,598400.0,-0.021400000000000002,ALXN
2000-04-11,15.22,14.25,15.75,13.31,538800.0,0.0073,ALXN
2000-04-12,13.78,14.94,16.09,12.5,552800.0,-0.0946,ALXN
2000-04-13,13.97,13.88,15.0,13.5,297200.0,0.0138,ALXN
2000-04-14,12.81,13.75,14.03,12.59,508800.0,-0.083,ALXN
2000-04-17,10.44,12.44,12.47,9.31,874000.0,-0.185,ALXN
2000-04-18,11.91,11.42,12.19,10.16,1140000.0,0.1408,ALXN
2000-04-19,10.23,11.88,11.88,9.94,1180000.0,-0.1411,ALXN
