Date,Close,Open,High,Low,Volume,Change,Symbol
2019-06-12,11.25,11.21,11.35,11.11,16960000.0,0.0063,AMCR
2019-06-13,11.02,11.19,11.19,10.79,15380000.0,-0.0204,AMCR
2019-06-14,10.93,11.0,11.04,10.85,13000000.0,-0.008199999999999999,AMCR
2019-06-17,10.65,10.77,10.83,10.61,11990000.0,-0.0256,AMCR
2019-06-18,10.8,10.73,10.8,10.65,6940000.0,0.0141,AMCR
2019-06-19,10.59,10.75,10.77,10.46,7820000.0,-0.0194,AMCR
2019-06-20,10.87,10.72,10.95,10.71,7410000.0,0.0264,AMCR
2019-06-21,11.02,10.93,11.06,10.85,15210000.0,0.0138,AMCR
2019-06-24,11.14,11.05,11.19,10.79,23180000.0,0.0109,AMCR
2019-06-25,11.46,11.22,11.5,11.15,12370000.0,0.0287,AMCR
2019-06-26,11.51,11.4,11.54,11.33,9360000.0,0.0044,AMCR
2019-06-27,11.49,11.57,11.6,11.47,5420000.0,-0.0017000000000000001,AMCR
2019-06-28,11.49,11.41,11.5,11.37,7600000.0,0.0,AMCR
2019-07-01,11.43,11.38,11.43,11.3,7830000.0,-0.0052,AMCR
2019-07-02,11.58,11.47,11.6,11.45,6610000.0,0.0131,AMCR
2019-07-03,11.68,11.76,11.77,11.65,3010000.0,0.0086,AMCR
2019-07-05,11.61,11.58,11.65,11.55,3570000.0,-0.006,AMCR
2019-07-08,11.44,11.48,11.51,11.35,3030000.0,-0.0146,AMCR
2019-07-09,11.02,11.28,11.28,10.94,6700000.0,-0.036699999999999997,AMCR
2019-07-10,10.96,11.03,11.11,10.94,3640000.0,-0.0054,AMCR
2019-07-11,11.08,10.94,11.08,10.87,4400000.0,0.0109,AMCR
2019-07-12,11.15,11.1,11.16,10.99,5160000.0,0.0063,AMCR
2019-07-15,11.08,11.0,11.08,10.9,3030000.0,-0.0063,AMCR
2019-07-16,10.9,11.09,11.09,10.82,5760000.0,-0.016200000000000003,AMCR
2019-07-17,11.18,10.93,11.23,10.89,8199999.999999999,0.025699999999999997,AMCR
2019-07-18,11.28,11.17,11.37,10.88,8350000.0,0.0089,AMCR
