Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,32.81,33.31,33.69,32.75,551200.0,-0.0223,APD
2000-01-04,31.81,32.5,32.56,31.25,430100.0,-0.0305,APD
2000-01-05,32.0,31.81,32.38,31.06,665300.0,0.006,APD
2000-01-06,34.12,32.5,35.44,31.81,1370000.0,0.0662,APD
2000-01-07,36.5,34.19,37.0,33.69,1200000.0,0.0698,APD
2000-01-10,34.25,35.0,35.62,33.75,973600.0,-0.0616,APD
2000-01-11,32.69,34.0,34.62,32.44,1170000.0,-0.0455,APD
2000-01-12,33.25,33.0,33.81,32.75,1470000.0,0.0171,APD
2000-01-13,33.0,33.06,34.0,33.0,444000.0,-0.0075,APD
2000-01-14,32.38,33.0,33.31,32.25,1190000.0,-0.018799999999999997,APD
2000-01-18,30.81,32.12,32.38,30.75,971400.0,-0.048499999999999995,APD
2000-01-19,30.88,31.5,31.62,30.69,814400.0,0.0023,APD
2000-01-20,29.88,30.62,30.62,29.75,599500.0,-0.032400000000000005,APD
2000-01-21,28.94,31.0,31.31,28.5,923800.0,-0.0315,APD
2000-01-24,30.19,30.75,30.75,29.38,974600.0,0.0432,APD
2000-01-25,31.06,30.25,31.25,29.75,1500000.0,0.0288,APD
2000-01-26,31.5,30.5,31.56,29.88,998700.0,0.014199999999999999,APD
2000-01-27,30.88,30.88,31.19,30.44,589200.0,-0.0197,APD
2000-01-28,29.81,30.62,30.62,29.0,861200.0,-0.0347,APD
2000-01-31,29.62,30.06,30.06,29.44,698600.0,-0.0064,APD
2000-02-01,30.62,29.62,30.88,29.5,663600.0,0.0338,APD
2000-02-02,30.38,30.62,30.81,30.06,783600.0,-0.0078000000000000005,APD
2000-02-03,30.75,30.38,31.06,30.38,540100.0,0.012199999999999999,APD
2000-02-04,30.88,31.0,31.0,30.56,439800.0,0.0042,APD
2000-02-07,30.81,30.88,31.0,30.5,501700.0,-0.0023,APD
2000-02-08,30.19,30.38,30.88,30.06,436800.0,-0.020099999999999996,APD
2000-02-09,28.62,29.81,30.0,28.62,812400.0,-0.052000000000000005,APD
2000-02-10,28.06,28.94,28.94,27.56,810800.0,-0.0196,APD
2000-02-11,26.94,28.06,28.38,26.5,666300.0,-0.039900000000000005,APD
2000-02-14,28.69,27.5,28.69,27.25,581600.0,0.065,APD
2000-02-15,29.0,28.94,29.69,28.12,615400.0,0.0108,APD
2000-02-16,28.0,28.94,29.25,27.94,503700.0,-0.0345,APD
2000-02-17,28.5,28.38,28.94,27.5,401000.0,0.0179,APD
2000-02-18,27.06,28.25,28.31,26.56,451100.0,-0.050499999999999996,APD
2000-02-22,27.81,26.56,28.31,26.56,762500.0,0.0277,APD
2000-02-23,27.19,28.0,28.06,27.12,474100.0,-0.0223,APD
2000-02-24,26.38,27.19,27.38,26.06,983500.0,-0.0298,APD
2000-02-25,26.12,26.62,26.75,26.0,1030000.0,-0.009899999999999999,APD
2000-02-28,26.12,26.38,26.88,25.94,481300.0,0.0,APD
2000-02-29,25.75,25.94,26.44,25.62,971000.0,-0.014199999999999999,APD
2000-03-01,25.94,25.75,26.12,25.31,1890000.0,0.0074,APD
2000-03-02,25.5,25.94,26.0,25.44,1140000.0,-0.017,APD
2000-03-03,26.31,25.5,26.88,25.5,2610000.0,0.0318,APD
2000-03-06,25.31,26.06,26.06,24.88,923700.0,-0.038,APD
2000-03-07,24.19,25.06,25.19,23.81,1030000.0,-0.0443,APD
2000-03-08,24.81,23.94,25.0,23.0,1600000.0,0.0256,APD
2000-03-09,24.81,24.19,26.06,23.94,731500.0,0.0,APD
2000-03-10,24.94,25.25,25.75,24.38,504500.0,0.0052,APD
2000-03-13,24.69,24.62,24.94,23.75,963000.0,-0.01,APD
2000-03-14,24.88,24.69,25.19,24.06,988100.0,0.0077,APD
2000-03-15,27.38,24.94,27.88,24.75,2140000.0,0.1005,APD
2000-03-16,29.69,27.62,30.31,27.62,1470000.0,0.08439999999999999,APD
2000-03-17,27.56,29.62,29.69,27.06,922000.0,-0.0717,APD
2000-03-20,28.0,27.62,28.81,27.62,795900.0,0.016,APD
2000-03-21,28.5,27.75,28.56,27.38,802200.0,0.0179,APD
2000-03-22,27.06,27.75,27.81,26.12,828200.0,-0.050499999999999996,APD
2000-03-23,28.31,27.62,28.88,27.5,836500.0,0.0462,APD
2000-03-24,28.94,27.75,29.12,27.75,992000.0,0.0223,APD
2000-03-27,27.94,28.5,28.56,27.88,583800.0,-0.0346,APD
2000-03-28,28.06,27.88,29.0,27.88,650400.0,0.0043,APD
2000-03-29,28.44,27.94,28.75,27.56,817000.0,0.013500000000000002,APD
2000-03-30,28.75,28.5,29.31,28.0,953500.0,0.0109,APD
2000-03-31,28.44,28.88,30.0,28.44,952000.0,-0.0108,APD
2000-04-03,30.12,28.69,30.5,28.69,810700.0,0.0591,APD
2000-04-04,29.75,30.5,30.62,29.0,842300.0,-0.0123,APD
2000-04-05,29.69,29.81,31.0,29.44,783100.0,-0.002,APD
2000-04-06,29.56,29.56,30.44,29.12,464500.0,-0.0044,APD
2000-04-07,29.25,29.44,29.69,29.0,444000.0,-0.0105,APD
2000-04-10,29.44,29.31,30.19,29.0,359500.0,0.006500000000000001,APD
2000-04-11,30.94,29.44,31.31,29.44,749000.0,0.051,APD
2000-04-12,31.69,31.38,32.56,31.25,1080000.0,0.0242,APD
2000-04-13,30.06,31.38,31.94,30.06,642200.0,-0.051399999999999994,APD
2000-04-14,28.94,30.06,30.44,28.75,816400.0,-0.0373,APD
2000-04-17,29.88,29.06,30.0,28.94,1020000.0,0.0325,APD
2000-04-18,29.38,29.88,29.88,28.38,780000.0,-0.0167,APD
2000-04-19,27.88,29.44,29.75,27.56,761800.0,-0.051100000000000007,APD
2000-04-20,29.88,27.81,30.38,27.81,966300.0,0.0717,APD
2000-04-24,31.56,29.0,32.44,29.0,1190000.0,0.0562,APD
2000-04-25,32.75,32.0,33.0,31.12,1310000.0,0.0377,APD
2000-04-26,30.81,31.0,32.5,30.56,1020000.0,-0.0592,APD
2000-04-27,30.75,30.44,31.69,30.06,578800.0,-0.0019,APD
2000-04-28,31.06,30.0,31.38,30.0,697000.0,0.0101,APD
2000-05-01,31.56,30.81,32.06,30.31,608000.0,0.0161,APD
2000-05-02,32.06,31.31,32.25,31.19,1110000.0,0.0158,APD
2000-05-03,30.56,31.62,31.62,30.5,493300.0,-0.046799999999999994,APD
2000-05-04,31.0,31.44,31.94,30.94,471300.0,0.0144,APD
2000-05-05,31.38,30.5,31.81,30.5,426200.0,0.0123,APD
