Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,4.2,4.21,4.23,4.16,2100000.0,0.0096,APH
2000-01-04,4.06,4.18,4.18,4.05,1680000.0,-0.0333,APH
2000-01-05,3.97,4.04,4.04,3.88,1820000.0,-0.0222,APH
2000-01-06,3.86,3.95,3.95,3.85,780800.0,-0.0277,APH
2000-01-07,3.9,3.88,3.9,3.79,1810000.0,0.0104,APH
2000-01-10,4.08,3.91,4.09,3.91,768000.0,0.0462,APH
2000-01-11,4.18,4.09,4.2,4.08,1240000.0,0.0245,APH
2000-01-12,4.76,4.23,4.88,4.23,13040000.0,0.1388,APH
2000-01-13,4.7,4.77,4.86,4.62,2760000.0,-0.0126,APH
2000-01-14,4.79,4.69,4.88,4.69,1150000.0,0.0191,APH
2000-01-18,4.92,4.93,5.06,4.9,2560000.0,0.0271,APH
2000-01-19,4.88,4.91,5.0,4.79,1920000.0,-0.008100000000000001,APH
2000-01-20,4.85,4.95,5.05,4.84,1560000.0,-0.0060999999999999995,APH
2000-01-21,4.66,4.85,4.88,4.66,1180000.0,-0.0392,APH
2000-01-24,4.62,4.68,4.83,4.56,1500000.0,-0.0086,APH
2000-01-25,4.5,4.62,4.62,4.45,812800.0,-0.026000000000000002,APH
2000-01-26,4.56,4.5,4.6,4.38,1340000.0,0.013300000000000001,APH
2000-01-27,4.5,4.58,4.65,4.48,1100000.0,-0.0132,APH
2000-01-28,4.29,4.5,4.54,4.27,552000.0,-0.0467,APH
2000-01-31,4.24,4.29,4.34,4.18,1340000.0,-0.011699999999999999,APH
2000-02-01,4.21,4.24,4.26,4.18,812800.0,-0.0070999999999999995,APH
2000-02-02,4.3,4.21,4.41,4.21,710400.0,0.021400000000000002,APH
2000-02-03,4.32,4.34,4.36,4.31,724800.0,0.004699999999999999,APH
2000-02-04,4.39,4.34,4.39,4.34,462400.0,0.016200000000000003,APH
2000-02-07,4.32,4.34,4.38,4.3,406400.0,-0.0159,APH
2000-02-08,4.36,4.36,4.47,4.36,1030000.0,0.009300000000000001,APH
2000-02-09,4.23,4.36,4.36,4.22,582400.0,-0.0298,APH
2000-02-10,4.17,4.24,4.25,4.14,465600.0,-0.014199999999999999,APH
2000-02-11,4.14,4.17,4.21,4.09,688000.0,-0.0072,APH
2000-02-14,5.12,4.14,5.12,4.12,12160000.0,0.23670000000000002,APH
2000-02-15,4.7,5.11,5.11,4.6,4080000.0,-0.08199999999999999,APH
2000-02-16,4.88,4.7,4.9,4.7,2460000.0,0.0383,APH
2000-02-17,4.74,4.82,4.84,4.7,1010000.0,-0.0287,APH
2000-02-18,4.54,4.75,4.75,4.49,1070000.0,-0.042199999999999994,APH
2000-02-22,4.46,4.48,4.5,4.32,1510000.0,-0.0176,APH
2000-02-23,4.53,4.49,4.55,4.28,1450000.0,0.015700000000000002,APH
2000-02-24,4.62,4.55,4.67,4.54,1240000.0,0.0199,APH
2000-02-25,4.62,4.62,4.79,4.59,1830000.0,0.0,APH
2000-02-28,4.69,4.64,4.69,4.57,1960000.0,0.0152,APH
2000-02-29,5.0,4.69,5.08,4.69,2009999.9999999998,0.0661,APH
2000-03-01,5.34,5.0,5.34,4.97,2100000.0,0.068,APH
2000-03-02,5.14,5.33,5.33,5.09,1850000.0,-0.0375,APH
2000-03-03,5.13,5.19,5.28,5.12,734400.0,-0.0019,APH
2000-03-06,5.16,5.13,5.24,5.1,1810000.0,0.0058,APH
2000-03-07,4.91,5.16,5.2,4.88,769600.0,-0.0484,APH
2000-03-08,4.76,4.84,4.88,4.59,1460000.0,-0.0305,APH
