Date,Close,Open,High,Low,Volume,Change,Symbol
2011-11-18,21.0,21.35,21.53,20.75,2720000.0,-0.0155,APTV
2011-11-21,20.3,21.0,21.23,20.02,2370000.0,-0.0333,APTV
2011-11-22,19.9,20.3,20.71,19.65,2990000.0,-0.0197,APTV
2011-11-23,19.63,19.7,19.75,19.22,1060000.0,-0.013600000000000001,APTV
2011-11-25,19.65,19.55,19.82,19.5,279590.0,0.001,APTV
2011-11-28,20.04,19.86,20.32,19.67,700340.0,0.019799999999999998,APTV
2011-11-29,19.99,20.0,20.0,19.7,533920.0,-0.0025,APTV
2011-11-30,20.84,20.15,21.46,20.12,569670.0,0.0425,APTV
2011-12-01,20.81,20.95,21.05,20.35,479860.0,-0.0014000000000000002,APTV
2011-12-02,21.37,20.95,21.45,20.9,584430.0,0.0269,APTV
2011-12-05,21.77,21.45,21.91,21.4,2069999.9999999998,0.0187,APTV
2011-12-06,22.13,21.64,22.25,21.61,524090.00000000006,0.0165,APTV
2011-12-07,22.0,21.93,22.1,21.82,165820.0,-0.0059,APTV
2011-12-08,21.69,21.72,21.94,21.62,377860.0,-0.0141,APTV
2011-12-09,21.75,21.62,21.98,21.25,492600.0,0.0028000000000000004,APTV
2011-12-12,21.51,21.4,21.59,21.25,431410.0,-0.011000000000000001,APTV
2011-12-13,21.31,21.65,21.82,21.21,558660.0,-0.009300000000000001,APTV
2011-12-14,20.64,21.08,21.19,20.55,1050000.0,-0.031400000000000004,APTV
2011-12-15,20.96,20.98,21.88,20.79,712850.0,0.0155,APTV
2011-12-16,20.97,20.96,21.5,20.74,210670.0,0.0005,APTV
2011-12-19,20.99,21.07,21.17,20.76,148990.0,0.001,APTV
2011-12-20,21.5,21.43,21.69,21.17,320150.0,0.024300000000000002,APTV
2011-12-21,21.4,21.37,21.68,21.29,268570.0,-0.004699999999999999,APTV
2011-12-22,21.79,21.43,21.85,21.43,374420.0,0.0182,APTV
2011-12-23,21.94,21.82,22.45,21.63,542460.0,0.0069,APTV
2011-12-27,21.65,22.89,22.89,21.38,443060.0,-0.0132,APTV
2011-12-28,21.19,21.77,21.82,21.09,144720.0,-0.0212,APTV
2011-12-29,21.42,21.22,21.43,21.02,289010.0,0.0109,APTV
2011-12-30,21.54,21.46,21.64,21.09,127920.0,0.005600000000000001,APTV
2012-01-03,22.24,22.11,22.93,21.76,980220.0,0.0325,APTV
2012-01-04,22.54,23.23,23.23,21.85,393650.0,0.013500000000000002,APTV
2012-01-05,22.14,22.44,22.44,21.76,672460.0,-0.0177,APTV
2012-01-06,22.55,22.14,22.82,22.0,578890.0,0.018500000000000003,APTV
2012-01-09,22.71,22.61,22.71,22.48,418720.0,0.0070999999999999995,APTV
2012-01-10,23.83,22.92,24.0,22.92,948750.0,0.0493,APTV
2012-01-11,23.95,23.8,24.02,23.59,229410.0,0.005,APTV
2012-01-12,24.69,24.1,25.0,23.85,1010000.0,0.030899999999999997,APTV
2012-01-13,24.8,24.53,25.32,24.28,540810.0,0.0045000000000000005,APTV
2012-01-17,24.36,24.95,25.13,24.27,887720.0,-0.0177,APTV
2012-01-18,24.5,24.21,25.0,24.21,569630.0,0.005699999999999999,APTV
2012-01-19,25.07,24.68,25.17,24.59,956460.0,0.0233,APTV
2012-01-20,25.1,25.02,25.2,24.94,531920.0,0.0012,APTV
2012-01-23,25.48,25.18,25.83,25.08,489510.0,0.0151,APTV
2012-01-24,25.81,25.3,25.87,25.18,408020.0,0.013000000000000001,APTV
2012-01-25,25.76,25.81,25.89,25.47,603650.0,-0.0019,APTV
2012-01-26,25.95,25.85,26.64,25.16,801530.0,0.0074,APTV
2012-01-27,27.16,26.96,27.4,26.17,2550000.0,0.0466,APTV
2012-01-30,27.08,27.15,27.55,26.57,675120.0,-0.0029,APTV
2012-01-31,26.83,27.27,27.49,26.57,553510.0,-0.0092,APTV
2012-02-01,28.59,27.13,28.69,26.99,712930.0,0.06559999999999999,APTV
2012-02-02,28.97,28.13,29.04,27.87,571640.0,0.013300000000000001,APTV
2012-02-03,30.75,29.24,31.03,29.22,2730000.0,0.061399999999999996,APTV
2012-02-06,30.52,30.62,30.78,29.9,1650000.0,-0.0075,APTV
2012-02-07,30.08,30.5,30.5,29.68,791820.0,-0.0144,APTV
2012-02-08,29.9,30.18,30.25,29.09,1510000.0,-0.006,APTV
2012-02-09,29.8,29.99,30.02,29.42,1510000.0,-0.0033,APTV
2012-02-10,30.04,29.49,30.16,29.36,1490000.0,0.008100000000000001,APTV
2012-02-13,30.01,30.01,30.25,29.93,1480000.0,-0.001,APTV
2012-02-14,29.06,29.19,29.49,28.75,8620000.0,-0.0317,APTV
2012-02-15,29.38,29.24,29.81,29.13,4790000.0,0.011000000000000001,APTV
2012-02-16,30.32,29.5,30.79,29.36,4870000.0,0.032,APTV
2012-02-17,31.29,30.56,31.5,30.17,4490000.0,0.032,APTV
2012-02-21,30.93,32.91,32.98,30.34,3840000.0,-0.0115,APTV
2012-02-22,31.02,31.05,31.35,30.31,1450000.0,0.0029,APTV
2012-02-23,31.0,31.17,31.4,30.56,1170000.0,-0.0006,APTV
2012-02-24,31.39,30.95,31.75,30.8,1120000.0,0.0126,APTV
2012-02-27,31.29,31.39,31.63,31.03,2160000.0,-0.0032,APTV
2012-02-28,31.88,31.47,32.18,31.4,1290000.0,0.0189,APTV
2012-02-29,32.0,32.18,32.45,31.61,2460000.0,0.0038,APTV
2012-03-01,32.0,32.13,32.49,31.37,2570000.0,0.0,APTV
2012-03-02,32.33,31.73,32.49,31.73,1630000.0,0.0103,APTV
2012-03-05,31.64,32.3,32.63,31.35,1850000.0,-0.0213,APTV
2012-03-06,29.98,31.37,31.65,29.79,1050000.0,-0.0525,APTV
2012-03-07,30.01,29.8,30.87,29.8,681470.0,0.001,APTV
2012-03-08,31.7,30.46,31.91,30.25,3600000.0,0.056299999999999996,APTV
2012-03-09,31.83,31.55,31.9,31.45,640440.0,0.0040999999999999995,APTV
2012-03-12,31.92,31.91,32.3,31.54,3490000.0,0.0028000000000000004,APTV
2012-03-13,31.95,32.04,32.06,31.67,1290000.0,0.0009,APTV
2012-03-14,31.78,31.86,32.29,31.05,1890000.0,-0.0053,APTV
2012-03-15,31.72,31.9,32.13,31.61,1340000.0,-0.0019,APTV
2012-03-16,32.0,31.75,32.1,31.64,1710000.0,0.0088,APTV
2012-03-19,31.55,31.93,32.06,31.48,2130000.0,-0.0141,APTV
2012-03-20,31.14,31.15,31.49,30.64,1750000.0,-0.013000000000000001,APTV
2012-03-21,31.26,31.39,31.74,31.14,879680.0,0.0039000000000000003,APTV
2012-03-22,30.97,31.17,31.17,30.78,384350.0,-0.009300000000000001,APTV
2012-03-23,30.97,30.93,31.08,30.39,722120.0,0.0,APTV
2012-03-26,31.96,31.35,31.97,31.07,1230000.0,0.032,APTV
2012-03-27,31.91,32.23,32.61,31.71,1400000.0,-0.0016,APTV
2012-03-28,31.56,31.8,32.06,30.58,1450000.0,-0.011000000000000001,APTV
2012-03-29,31.77,32.4,32.4,31.4,1820000.0,0.0067,APTV
2012-03-30,31.6,32.08,32.17,31.43,10100000.0,-0.0054,APTV
2012-04-02,31.55,31.7,31.76,31.47,2320000.0,-0.0016,APTV
2012-04-03,31.27,31.58,31.75,31.0,1200000.0,-0.0089,APTV
2012-04-04,31.63,31.06,31.67,30.75,2190000.0,0.0115,APTV
2012-04-05,31.76,31.5,32.0,31.5,813000.0,0.0040999999999999995,APTV
2012-04-09,31.27,31.24,31.57,31.15,1280000.0,-0.0154,APTV
2012-04-10,30.84,31.14,31.65,30.58,2020000.0,-0.0138,APTV
2012-04-11,31.49,31.17,31.68,30.93,2270000.0,0.021099999999999997,APTV
2012-04-12,31.77,31.85,32.35,31.26,2220000.0,0.0089,APTV
2012-04-13,31.85,31.56,31.97,31.44,973300.0,0.0025,APTV
2012-04-16,31.99,32.32,32.32,31.64,4460000.0,0.0044,APTV
2012-04-17,32.11,32.34,32.84,31.91,5030000.0,0.0038,APTV
2012-04-18,32.2,32.01,32.51,31.95,1150000.0,0.0028000000000000004,APTV
2012-04-19,31.86,32.26,32.77,31.5,1210000.0,-0.0106,APTV
