Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,31.25,31.81,31.81,31.25,48500.0,-0.0177,ARE
2000-01-04,30.56,31.13,31.13,30.5,25200.0,-0.022000000000000002,ARE
2000-01-05,30.0,30.5,30.56,30.0,12900.0,-0.0184,ARE
2000-01-06,29.44,29.88,29.88,29.38,20300.0,-0.0187,ARE
2000-01-07,30.0,29.38,30.0,29.38,18700.0,0.0191,ARE
2000-01-10,30.38,30.13,30.5,30.0,19600.0,0.0125,ARE
2000-01-11,30.44,30.44,30.44,30.25,18500.0,0.0021,ARE
2000-01-12,30.0,30.38,30.38,29.81,43900.0,-0.0144,ARE
2000-01-13,30.13,30.0,30.13,29.5,10500.0,0.0042,ARE
2000-01-14,30.31,30.25,30.38,30.13,4500.0,0.0062,ARE
2000-01-18,30.38,30.31,30.38,30.0,101800.0,0.0021,ARE
2000-01-19,30.25,30.63,30.63,30.19,26800.0,-0.0040999999999999995,ARE
2000-01-20,30.25,30.13,30.38,30.13,14300.0,0.0,ARE
2000-01-21,30.13,30.13,30.19,30.06,7600.0,-0.0040999999999999995,ARE
2000-01-24,30.0,30.19,30.25,30.0,18600.0,-0.0040999999999999995,ARE
2000-01-25,29.94,30.0,30.0,29.88,11600.0,-0.0021,ARE
2000-01-26,29.69,29.88,30.25,29.63,33700.0,-0.0084,ARE
2000-01-27,30.06,29.75,30.19,29.56,22400.0,0.0126,ARE
2000-01-28,29.56,30.13,30.19,29.5,7900.0,-0.0166,ARE
2000-01-31,29.5,29.63,29.69,29.5,14300.0,-0.0021,ARE
2000-02-01,29.75,29.56,29.75,29.56,6600.0,0.0085,ARE
2000-02-02,29.81,29.81,29.94,29.75,8100.0,0.0021,ARE
2000-02-03,29.5,29.88,29.88,29.5,33100.0,-0.0105,ARE
2000-02-04,29.56,29.69,29.69,29.5,3600.0,0.0021,ARE
2000-02-07,29.44,29.56,29.56,29.44,67000.0,-0.0042,ARE
2000-02-08,29.19,29.44,29.44,29.13,7300.0,-0.0085,ARE
2000-02-09,29.13,29.0,29.13,29.0,26600.0,-0.0022,ARE
2000-02-10,29.25,29.19,29.38,29.19,6600.0,0.0043,ARE
2000-02-11,29.13,29.19,29.44,29.0,28300.0,-0.0043,ARE
2000-02-14,29.63,29.25,29.63,29.19,9300.0,0.0172,ARE
2000-02-15,29.69,29.75,29.88,29.63,34300.0,0.0021,ARE
2000-02-16,29.19,29.31,29.38,29.0,165300.0,-0.0168,ARE
2000-02-17,29.31,29.19,29.5,29.13,38900.0,0.0042,ARE
2000-02-18,29.81,29.88,30.19,29.69,59500.0,0.0171,ARE
2000-02-22,29.75,29.81,29.81,29.5,33100.0,-0.0021,ARE
2000-02-23,29.88,29.69,29.88,29.44,25400.0,0.0042,ARE
2000-02-24,29.5,29.88,29.88,29.44,26800.0,-0.0126,ARE
2000-02-25,29.38,29.69,29.75,29.31,13600.0,-0.0042,ARE
2000-02-28,29.75,29.38,29.88,29.38,37100.0,0.0128,ARE
2000-02-29,30.56,30.25,30.63,30.19,113700.0,0.0273,ARE
2000-03-01,30.63,30.44,30.69,30.0,52200.0,0.0021,ARE
2000-03-02,30.0,30.38,30.38,29.88,58000.0,-0.0204,ARE
2000-03-03,30.19,29.88,30.31,29.88,56300.0,0.0063,ARE
2000-03-06,30.06,30.19,30.19,29.88,13300.0,-0.0042,ARE
2000-03-07,29.63,30.06,30.06,29.63,89700.0,-0.014499999999999999,ARE
2000-03-08,30.06,29.63,30.06,29.63,20800.0,0.0148,ARE
2000-03-09,30.38,30.0,30.44,30.0,15400.0,0.0104,ARE
2000-03-10,30.13,30.25,30.25,29.88,26600.0,-0.008199999999999999,ARE
2000-03-13,30.19,30.19,30.25,30.06,86500.0,0.0021,ARE
2000-03-14,30.63,30.25,30.81,30.25,37800.0,0.014499999999999999,ARE
2000-03-15,30.75,30.63,31.0,30.5,26200.0,0.0040999999999999995,ARE
2000-03-16,30.88,30.94,30.94,30.69,26300.0,0.0040999999999999995,ARE
2000-03-17,30.75,30.75,30.94,30.69,45300.0,-0.004,ARE
2000-03-20,30.81,30.69,30.88,30.63,7000.0,0.002,ARE
2000-03-21,30.88,30.81,30.88,30.56,53800.0,0.002,ARE
2000-03-22,31.13,30.81,31.13,30.81,18400.0,0.008100000000000001,ARE
2000-03-23,31.56,31.13,31.63,31.0,16300.0,0.013999999999999999,ARE
2000-03-24,31.63,31.5,31.81,31.5,15800.0,0.002,ARE
2000-03-27,31.88,31.69,32.0,31.69,21500.0,0.0079,ARE
2000-03-28,31.25,31.75,31.75,31.25,23900.0,-0.0196,ARE
2000-03-29,30.94,31.38,31.44,30.94,18000.0,-0.01,ARE
2000-03-30,30.75,31.06,31.06,30.5,46800.0,-0.0060999999999999995,ARE
2000-03-31,30.0,30.31,30.44,30.0,45800.0,-0.024399999999999998,ARE
2000-04-03,30.25,30.25,30.25,30.06,10000.0,0.0083,ARE
2000-04-04,30.63,30.19,30.63,30.19,9300.0,0.0124,ARE
2000-04-05,30.31,30.31,30.38,30.0,155200.0,-0.0102,ARE
2000-04-06,30.81,30.44,30.81,30.44,21700.0,0.0165,ARE
2000-04-07,31.06,30.94,31.06,30.94,23600.0,0.008100000000000001,ARE
2000-04-10,31.5,31.06,31.5,31.0,54800.0,0.0141,ARE
2000-04-11,31.5,31.5,31.56,31.44,17300.0,0.0,ARE
2000-04-12,31.75,31.38,31.88,31.31,37500.0,0.0079,ARE
2000-04-13,32.0,32.0,32.13,31.81,55300.0,0.0079,ARE
2000-04-14,32.0,32.06,32.06,31.75,67900.0,0.0,ARE
2000-04-17,32.0,32.13,32.13,31.88,59200.0,0.0,ARE
2000-04-18,31.88,32.06,32.06,31.56,34700.0,-0.0039000000000000003,ARE
2000-04-19,31.94,31.88,31.94,31.81,12100.0,0.002,ARE
2000-04-20,31.94,31.94,32.0,31.88,8700.0,0.0,ARE
2000-04-24,31.94,31.94,31.94,31.81,5600.0,0.0,ARE
2000-04-25,31.88,32.0,32.0,31.75,5600.0,-0.002,ARE
2000-04-26,31.63,31.94,32.0,31.44,18900.0,-0.0078000000000000005,ARE
2000-04-27,31.94,31.63,32.0,31.63,19800.0,0.009899999999999999,ARE
2000-04-28,32.0,32.0,32.0,31.75,26900.0,0.0019,ARE
2000-05-01,32.38,32.13,32.38,32.0,84300.0,0.011699999999999999,ARE
2000-05-02,33.25,32.5,33.25,32.5,85700.0,0.027000000000000003,ARE
2000-05-03,32.69,33.25,33.31,32.69,41400.0,-0.0169,ARE
2000-05-04,32.75,32.75,32.88,32.38,22800.0,0.0019,ARE
