Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,20.06,20.0,20.31,20.0,36600.0,-0.018600000000000002,ATO
2000-01-04,19.56,20.0,20.0,19.56,143800.0,-0.024900000000000002,ATO
2000-01-05,20.19,19.56,20.5,19.56,251700.0,0.0322,ATO
2000-01-06,19.88,20.0,20.0,19.75,24300.0,-0.0154,ATO
2000-01-07,20.06,19.75,20.06,19.75,228900.0,0.0091,ATO
2000-01-10,19.81,20.0,20.06,19.75,57300.0,-0.0125,ATO
2000-01-11,19.81,19.81,19.94,19.75,155600.0,0.0,ATO
2000-01-12,19.5,19.81,19.81,19.5,32500.0,-0.015600000000000001,ATO
2000-01-13,19.12,19.62,19.62,18.88,55500.0,-0.0195,ATO
2000-01-14,18.81,19.25,19.38,18.81,75900.0,-0.016200000000000003,ATO
2000-01-18,18.75,18.88,18.88,18.62,70400.0,-0.0032,ATO
2000-01-19,18.62,18.88,18.88,18.5,42500.0,-0.0069,ATO
2000-01-20,18.56,18.62,18.69,18.5,40300.0,-0.0032,ATO
2000-01-21,18.25,18.5,18.62,18.12,170900.0,-0.0167,ATO
2000-01-24,18.25,18.75,18.88,18.0,109100.0,0.0,ATO
2000-01-25,17.75,18.25,18.38,17.25,63400.0,-0.0274,ATO
2000-01-26,16.94,17.94,17.94,16.75,72700.0,-0.045599999999999995,ATO
2000-01-27,17.0,17.0,17.38,16.88,34900.0,0.0034999999999999996,ATO
2000-01-28,16.75,17.12,17.25,16.75,50600.0,-0.0147,ATO
2000-01-31,17.5,16.88,17.75,16.88,72400.0,0.044800000000000006,ATO
2000-02-01,17.75,17.62,18.0,17.5,36000.0,0.0143,ATO
2000-02-02,17.44,17.62,17.88,17.38,44100.0,-0.0175,ATO
2000-02-03,17.81,17.44,17.88,17.38,56200.0,0.0212,ATO
2000-02-04,17.69,17.56,17.81,17.5,62300.0,-0.0067,ATO
2000-02-07,17.38,17.69,17.75,17.38,45900.0,-0.0175,ATO
2000-02-08,17.31,17.44,17.5,17.25,51000.0,-0.004,ATO
2000-02-09,17.38,17.56,17.56,17.25,197700.0,0.004,ATO
2000-02-10,17.19,17.5,17.5,17.12,40400.0,-0.0109,ATO
2000-02-11,15.88,17.0,17.12,15.88,94100.0,-0.0762,ATO
2000-02-14,16.81,16.12,16.88,16.12,59300.0,0.058600000000000006,ATO
2000-02-15,17.44,16.81,18.25,16.81,96500.0,0.0375,ATO
2000-02-16,17.75,17.38,18.06,17.25,32600.0,0.0178,ATO
2000-02-17,17.88,17.75,18.12,17.62,41700.0,0.0073,ATO
2000-02-18,17.19,17.69,17.88,17.12,61500.0,-0.038599999999999995,ATO
2000-02-22,16.56,17.19,17.19,16.25,78600.0,-0.0366,ATO
2000-02-23,16.56,16.31,16.88,16.25,35400.0,0.0,ATO
2000-02-24,16.0,16.5,16.5,15.81,46500.0,-0.0338,ATO
2000-02-25,15.81,16.12,16.12,15.69,4019999.9999999995,-0.011899999999999999,ATO
2000-02-28,16.25,15.88,16.31,15.88,70100.0,0.0278,ATO
2000-02-29,17.12,16.0,17.12,16.0,86300.0,0.0535,ATO
2000-03-01,16.5,17.25,17.25,16.44,44700.0,-0.0362,ATO
2000-03-02,16.38,16.75,16.75,16.38,63300.0,-0.0073,ATO
2000-03-03,15.81,16.25,16.38,15.62,55800.0,-0.0348,ATO
2000-03-06,16.0,15.56,16.25,15.5,52700.0,0.012,ATO
2000-03-07,15.56,15.94,15.94,15.38,106800.0,-0.0275,ATO
2000-03-08,15.56,15.62,15.69,15.25,91400.0,0.0,ATO
2000-03-09,16.12,15.81,16.19,15.75,81900.0,0.036000000000000004,ATO
2000-03-10,15.62,15.75,15.94,15.62,100900.0,-0.031,ATO
2000-03-13,17.12,15.56,17.12,15.5,124900.0,0.096,ATO
2000-03-14,17.25,17.38,17.5,17.19,229300.0,0.0076,ATO
2000-03-15,17.69,17.25,17.75,17.25,52500.0,0.0255,ATO
2000-03-16,18.62,17.81,18.62,17.75,78700.0,0.0526,ATO
2000-03-17,18.38,18.62,18.88,17.94,87400.0,-0.0129,ATO
2000-03-20,18.38,18.31,18.56,18.19,40200.0,0.0,ATO
2000-03-21,17.56,18.12,18.12,17.25,46700.0,-0.0446,ATO
2000-03-22,17.44,17.5,17.88,17.0,45700.0,-0.0068000000000000005,ATO
2000-03-23,18.12,17.31,18.38,17.25,36300.0,0.039,ATO
2000-03-24,17.44,18.12,18.12,17.12,80200.0,-0.0375,ATO
2000-03-27,17.25,17.38,17.5,17.12,73000.0,-0.0109,ATO
2000-03-28,16.88,16.62,17.12,16.62,118800.0,-0.021400000000000002,ATO
2000-03-29,16.62,16.88,16.88,16.5,161200.0,-0.0154,ATO
2000-03-30,16.25,16.5,16.75,16.19,195200.0,-0.0223,ATO
2000-03-31,16.38,16.38,16.69,16.0,102200.0,0.008,ATO
2000-04-03,16.19,16.5,16.88,16.12,50300.0,-0.0116,ATO
2000-04-04,15.81,16.19,16.25,15.75,100900.0,-0.0235,ATO
2000-04-05,15.5,15.94,16.12,15.38,169700.0,-0.0196,ATO
2000-04-06,15.5,15.5,15.5,15.38,47700.0,0.0,ATO
2000-04-07,15.5,15.5,15.5,15.31,65500.0,0.0,ATO
2000-04-10,15.38,15.5,15.5,15.31,120400.0,-0.0077,ATO
2000-04-11,15.38,15.44,15.5,15.38,43500.0,0.0,ATO
2000-04-12,15.44,15.38,15.5,15.38,125100.0,0.0039000000000000003,ATO
2000-04-13,15.44,15.44,15.5,15.38,69800.0,0.0,ATO
2000-04-14,15.38,15.38,15.5,15.25,77900.0,-0.0039000000000000003,ATO
2000-04-17,15.0,15.38,15.38,14.94,123600.0,-0.024700000000000003,ATO
2000-04-18,14.94,15.0,15.0,14.75,116800.0,-0.004,ATO
2000-04-19,14.88,15.0,15.0,14.81,100800.0,-0.004,ATO
