Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,24.22,25.12,25.12,24.0,13710000.0,-0.0347,BAC
2000-01-04,22.78,23.88,23.97,22.47,27290000.0,-0.059500000000000004,BAC
2000-01-05,23.03,22.53,23.22,22.25,22860000.0,0.011000000000000001,BAC
2000-01-06,25.0,23.47,25.0,23.38,17310000.0,0.0855,BAC
2000-01-07,24.34,24.81,24.81,24.0,11630000.0,-0.0264,BAC
2000-01-10,23.5,24.47,24.47,23.34,11150000.0,-0.0345,BAC
2000-01-11,23.0,22.78,23.47,22.78,11060000.0,-0.0213,BAC
2000-01-12,23.25,23.0,23.53,23.0,11070000.0,0.0109,BAC
2000-01-13,23.78,23.5,23.94,23.44,12320000.0,0.022799999999999997,BAC
2000-01-14,25.25,24.97,25.28,24.41,20440000.0,0.061799999999999994,BAC
2000-01-18,24.0,25.0,25.0,23.91,17120000.0,-0.0495,BAC
2000-01-19,24.0,23.94,24.59,23.34,15470000.0,0.0,BAC
2000-01-20,23.54,23.75,24.0,23.0,12250000.0,-0.0192,BAC
2000-01-21,22.84,23.25,23.34,22.78,12840000.0,-0.0297,BAC
2000-01-24,22.28,22.88,23.12,22.25,12610000.0,-0.0245,BAC
2000-01-25,22.56,22.47,22.84,22.34,15630000.0,0.0126,BAC
2000-01-26,23.56,22.88,23.66,22.69,15440000.0,0.0443,BAC
2000-01-27,24.06,23.78,24.19,23.53,12770000.0,0.0212,BAC
2000-01-28,22.88,23.94,23.94,22.88,13520000.0,-0.049,BAC
2000-01-31,24.22,23.25,24.22,23.16,16910000.0,0.058600000000000006,BAC
2000-02-01,24.5,24.06,24.5,24.0,8970000.0,0.0116,BAC
2000-02-02,23.88,23.75,24.25,23.69,11720000.0,-0.0253,BAC
2000-02-03,23.22,23.84,24.03,22.72,22800000.0,-0.0276,BAC
2000-02-04,22.94,23.47,23.56,22.66,13400000.0,-0.0121,BAC
2000-02-07,22.66,22.66,22.75,22.44,10360000.0,-0.012199999999999999,BAC
2000-02-08,23.56,22.91,23.62,22.84,10820000.0,0.0397,BAC
2000-02-09,23.03,23.56,23.62,23.03,9300000.0,-0.0225,BAC
2000-02-10,22.44,23.03,23.25,22.34,11580000.0,-0.0256,BAC
2000-02-11,22.59,22.5,23.31,22.5,13510000.0,0.0067,BAC
2000-02-14,22.12,22.84,22.97,22.03,13430000.0,-0.0208,BAC
2000-02-15,22.81,22.03,23.0,22.03,13830000.0,0.031200000000000002,BAC
2000-02-16,22.59,23.12,23.25,22.56,11940000.0,-0.0096,BAC
2000-02-17,22.31,22.72,23.16,22.16,12260000.0,-0.0124,BAC
2000-02-18,21.88,22.28,22.34,21.69,15000000.0,-0.019299999999999998,BAC
2000-02-22,22.38,21.59,22.94,21.5,13160000.0,0.0229,BAC
2000-02-23,22.88,22.5,23.31,22.22,13730000.0,0.0223,BAC
2000-02-24,22.41,22.94,23.12,21.94,11470000.0,-0.020499999999999997,BAC
2000-02-25,22.06,22.38,22.91,22.06,10600000.0,-0.015600000000000001,BAC
2000-02-28,22.97,22.38,23.47,22.28,13760000.0,0.041299999999999996,BAC
2000-02-29,23.0,22.97,23.22,22.53,11790000.0,0.0013,BAC
2000-03-01,22.78,23.0,23.09,22.41,9800000.0,-0.0096,BAC
2000-03-02,22.53,22.78,22.78,22.31,10610000.0,-0.011000000000000001,BAC
2000-03-03,22.5,22.88,23.06,22.31,12830000.0,-0.0013,BAC
2000-03-06,22.25,22.5,22.97,22.0,9830000.0,-0.0111,BAC
2000-03-07,22.0,22.5,22.59,21.88,8910000.0,-0.011200000000000002,BAC
2000-03-08,21.81,22.0,22.31,21.78,8130000.000000001,-0.0086,BAC
2000-03-09,21.53,21.81,22.0,21.41,13090000.0,-0.0128,BAC
2000-03-10,21.44,21.47,21.62,21.16,12130000.0,-0.0042,BAC
2000-03-13,21.59,21.44,22.03,21.25,10650000.0,0.006999999999999999,BAC
2000-03-14,21.31,21.78,21.91,21.25,8230000.0,-0.013000000000000001,BAC
2000-03-15,22.94,21.44,23.03,21.31,20420000.0,0.0765,BAC
2000-03-16,24.62,23.5,24.75,23.31,27210000.0,0.0732,BAC
2000-03-17,25.0,24.69,25.38,24.5,20840000.0,0.0154,BAC
2000-03-20,24.81,25.0,25.12,24.19,10750000.0,-0.0076,BAC
2000-03-21,25.5,24.81,25.88,24.75,13790000.0,0.0278,BAC
2000-03-22,25.72,25.72,25.97,25.03,11190000.0,0.0086,BAC
2000-03-23,27.09,26.12,27.09,25.56,15430000.0,0.0533,BAC
2000-03-24,27.31,26.97,27.59,26.62,16579999.999999998,0.008100000000000001,BAC
2000-03-27,27.06,27.25,27.5,26.59,10690000.0,-0.0092,BAC
2000-03-28,26.78,26.31,27.34,26.31,10730000.0,-0.0103,BAC
2000-03-29,26.0,26.5,26.56,25.94,11630000.0,-0.0291,BAC
2000-03-30,25.41,26.12,26.22,25.22,10390000.0,-0.0227,BAC
2000-03-31,26.22,25.5,26.62,25.31,10240000.0,0.0319,BAC
2000-04-03,27.75,26.03,27.78,26.03,17100000.0,0.0584,BAC
2000-04-04,27.09,27.81,28.28,26.66,18460000.0,-0.023799999999999998,BAC
2000-04-05,27.0,26.97,27.62,26.81,8900000.0,-0.0033,BAC
2000-04-06,26.72,27.12,27.28,26.5,8070000.0,-0.0104,BAC
2000-04-07,26.16,26.53,26.91,26.0,7750000.0,-0.021,BAC
2000-04-10,26.41,26.16,26.94,26.06,10300000.0,0.0096,BAC
2000-04-11,26.17,26.38,26.69,25.91,7590000.0,-0.0091,BAC
2000-04-12,27.28,26.56,28.0,26.56,15690000.0,0.0424,BAC
