Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,15.37,15.2,15.5,15.17,430130.0,0.006500000000000001,BFB
2000-01-04,15.08,15.3,15.5,14.93,322500.0,-0.0189,BFB
2000-01-05,15.2,15.0,15.33,15.0,297750.0,0.008,BFB
2000-01-06,15.3,15.13,15.37,15.1,431250.0,0.0066,BFB
2000-01-07,15.47,15.27,15.48,15.27,465380.0,0.0111,BFB
2000-01-10,15.22,15.4,15.4,15.0,285380.0,-0.016200000000000003,BFB
2000-01-11,15.02,15.22,15.3,15.0,472130.0,-0.0131,BFB
2000-01-12,14.9,14.95,15.03,14.63,1290000.0,-0.008,BFB
2000-01-13,15.38,14.93,15.52,14.92,1130000.0,0.0322,BFB
2000-01-14,15.3,15.32,15.32,15.18,631130.0,-0.0052,BFB
2000-01-18,15.07,15.07,15.17,14.98,733500.0,-0.015,BFB
2000-01-19,15.2,15.07,15.27,15.07,813750.0,0.0086,BFB
2000-01-20,15.47,15.2,15.57,15.17,1070000.0,0.0178,BFB
2000-01-21,15.42,15.6,15.83,15.38,520500.0,-0.0032,BFB
2000-01-24,15.3,15.47,15.7,15.27,495380.0,-0.0078000000000000005,BFB
2000-01-25,15.08,15.23,15.38,15.05,418500.0,-0.0144,BFB
2000-01-26,14.92,15.13,15.15,14.73,267750.0,-0.0106,BFB
2000-01-27,14.77,14.83,14.87,14.63,133500.0,-0.0101,BFB
2000-01-28,14.65,14.77,14.82,14.53,242250.0,-0.008100000000000001,BFB
2000-01-31,14.92,14.68,14.93,14.4,233250.0,0.0184,BFB
2000-02-01,14.78,14.85,14.85,14.5,131250.0,-0.009399999999999999,BFB
2000-02-02,14.8,14.73,15.08,14.6,235130.0,0.0014000000000000002,BFB
2000-02-03,15.12,14.73,15.33,14.73,348750.0,0.0216,BFB
2000-02-04,14.53,15.05,15.05,14.3,295500.0,-0.039,BFB
2000-02-07,14.4,14.38,14.5,14.35,361880.0,-0.0089,BFB
2000-02-08,14.2,14.42,14.43,14.15,205500.0,-0.0139,BFB
2000-02-09,14.1,14.25,14.25,14.07,231750.0,-0.006999999999999999,BFB
2000-02-10,14.1,14.1,14.43,14.1,213750.0,0.0,BFB
2000-02-11,13.82,14.1,14.17,13.77,326630.0,-0.0199,BFB
2000-02-14,13.88,13.85,14.0,13.8,211130.0,0.0043,BFB
2000-02-15,14.0,13.77,14.05,13.62,339750.0,0.0086,BFB
2000-02-16,13.65,13.92,13.95,13.63,157130.0,-0.025,BFB
2000-02-17,13.25,13.65,13.77,13.22,341630.0,-0.029300000000000003,BFB
2000-02-18,13.4,13.2,13.5,13.2,373500.0,0.0113,BFB
2000-02-22,13.43,13.57,13.57,13.32,297000.0,0.0022,BFB
2000-02-23,13.38,13.27,13.53,12.98,406130.0,-0.0037,BFB
2000-02-24,12.75,13.32,13.33,12.4,597750.0,-0.0471,BFB
2000-02-25,12.57,12.4,12.82,12.4,342380.0,-0.0141,BFB
2000-02-28,12.57,12.63,12.87,12.57,385880.0,0.0,BFB
2000-02-29,12.7,12.63,12.73,12.55,475130.0,0.0103,BFB
2000-03-01,12.55,12.63,12.65,12.37,194250.0,-0.0118,BFB
2000-03-02,12.3,12.6,12.6,12.17,348750.0,-0.0199,BFB
2000-03-03,12.12,12.33,12.33,11.98,362250.0,-0.0146,BFB
2000-03-06,11.9,12.05,12.05,11.73,188250.0,-0.0182,BFB
2000-03-07,11.45,12.0,12.0,11.2,340880.0,-0.0378,BFB
2000-03-08,11.47,11.3,11.5,11.22,277500.0,0.0017000000000000001,BFB
2000-03-09,11.68,11.5,11.68,11.32,253880.0,0.0183,BFB
2000-03-10,11.38,11.73,11.73,11.22,345000.0,-0.025699999999999997,BFB
2000-03-13,11.32,11.32,11.65,11.28,382880.0,-0.0053,BFB
2000-03-14,11.68,11.2,11.73,11.17,296630.0,0.0318,BFB
2000-03-15,12.43,11.7,12.47,11.68,340880.0,0.0642,BFB
2000-03-16,13.18,12.57,13.53,12.55,318750.0,0.0603,BFB
2000-03-17,13.33,13.12,13.53,13.08,423750.0,0.011399999999999999,BFB
2000-03-20,13.08,13.27,13.27,12.97,194630.0,-0.018799999999999997,BFB
2000-03-21,13.05,13.23,13.32,12.88,153000.0,-0.0023,BFB
2000-03-22,13.12,12.98,13.12,12.92,136880.0,0.0054,BFB
2000-03-23,13.47,13.05,13.58,12.8,250880.0,0.026699999999999998,BFB
2000-03-24,13.32,13.4,13.42,13.2,150380.0,-0.0111,BFB
2000-03-27,13.55,13.33,13.68,13.33,193130.0,0.0173,BFB
2000-03-28,13.87,13.48,14.13,13.48,201750.0,0.0236,BFB
2000-03-29,13.93,13.88,14.03,13.87,163130.0,0.0043,BFB
2000-03-30,14.43,14.0,14.6,14.0,275250.0,0.0359,BFB
2000-03-31,14.52,14.45,14.75,14.3,288000.0,0.0062,BFB
2000-04-03,15.28,14.58,15.37,14.58,418130.0,0.052300000000000006,BFB
2000-04-04,15.7,15.28,15.87,15.28,515630.0,0.0275,BFB
2000-04-05,15.92,15.77,15.97,15.72,691130.0,0.013999999999999999,BFB
2000-04-06,15.8,15.92,16.07,15.58,521250.0,-0.0075,BFB
2000-04-07,15.6,15.73,15.75,15.33,166500.0,-0.0127,BFB
2000-04-10,15.43,15.53,15.53,15.43,237750.0,-0.0109,BFB
2000-04-11,15.6,15.43,15.73,15.38,345750.0,0.011000000000000001,BFB
2000-04-12,15.95,15.67,16.3,15.62,504750.0,0.022400000000000003,BFB
2000-04-13,15.87,15.9,16.03,15.63,266630.0,-0.005,BFB
2000-04-14,15.22,15.73,15.73,15.17,413250.0,-0.040999999999999995,BFB
2000-04-17,15.07,15.15,15.17,14.73,482630.0,-0.009899999999999999,BFB
2000-04-18,14.93,15.0,15.0,14.77,297380.0,-0.009300000000000001,BFB
2000-04-19,14.75,14.97,14.97,14.57,284630.0,-0.0121,BFB
2000-04-20,15.08,14.67,15.2,14.63,251250.0,0.022400000000000003,BFB
2000-04-24,15.55,15.15,15.92,15.15,458250.0,0.031200000000000002,BFB
2000-04-25,15.1,15.5,15.5,15.08,280880.0,-0.028900000000000002,BFB
2000-04-26,15.25,15.07,15.28,14.85,302630.0,0.009899999999999999,BFB
2000-04-27,14.83,15.18,15.18,14.83,262130.0,-0.0275,BFB
2000-04-28,14.55,14.77,14.83,14.45,279380.0,-0.0189,BFB
2000-05-01,14.62,14.52,14.65,14.43,541130.0,0.0048,BFB
2000-05-02,14.63,14.55,14.72,14.27,261000.0,0.0007000000000000001,BFB
2000-05-03,14.8,14.6,15.1,14.57,264380.0,0.0116,BFB
2000-05-04,15.18,14.8,15.3,14.47,282000.0,0.025699999999999997,BFB
2000-05-05,14.9,15.18,15.18,14.6,261750.0,-0.0184,BFB
2000-05-08,15.15,14.78,15.3,14.7,396380.0,0.0168,BFB
2000-05-09,15.77,15.1,15.77,15.1,258000.0,0.0409,BFB
2000-05-10,15.8,15.7,15.92,15.5,344250.0,0.0019,BFB
2000-05-11,15.88,15.73,15.95,15.72,225750.0,0.0051,BFB
2000-05-12,15.45,15.85,15.85,15.2,326630.0,-0.0271,BFB
2000-05-15,15.63,15.45,15.67,15.45,225750.0,0.011699999999999999,BFB
2000-05-16,15.6,15.57,15.65,15.33,159000.0,-0.0019,BFB
2000-05-17,14.9,15.6,15.6,14.68,395250.0,-0.0449,BFB
2000-05-18,15.08,14.97,15.25,14.97,199130.0,0.0121,BFB
2000-05-19,15.03,15.0,15.3,14.97,162380.0,-0.0033,BFB
2000-05-22,15.4,15.1,15.47,15.03,197630.0,0.0246,BFB
2000-05-23,15.43,15.33,15.57,15.17,204750.0,0.0019,BFB
2000-05-24,15.82,15.5,16.25,15.5,374250.0,0.0253,BFB
2000-05-25,15.42,15.75,15.75,15.22,278250.0,-0.0253,BFB
2000-05-26,15.65,15.47,15.95,15.45,182250.0,0.0149,BFB
2000-05-30,15.6,15.58,15.6,15.17,321380.0,-0.0032,BFB
2000-05-31,15.48,15.6,15.72,15.4,369380.0,-0.0077,BFB
2000-06-01,15.45,15.42,15.65,15.33,238130.0,-0.0019,BFB
2000-06-02,15.0,15.45,15.53,14.93,304500.0,-0.0291,BFB
2000-06-05,14.78,14.93,14.93,14.68,390000.0,-0.0147,BFB
2000-06-06,14.92,14.8,14.93,14.73,248250.0,0.0095,BFB
2000-06-07,15.12,14.83,15.15,14.83,330750.0,0.0134,BFB
2000-06-08,15.03,15.07,15.1,14.62,283500.0,-0.006,BFB
2000-06-09,14.78,15.07,15.2,14.77,139500.0,-0.0166,BFB
2000-06-12,14.93,14.85,15.02,14.83,267750.0,0.0101,BFB
2000-06-13,15.32,14.92,15.45,14.92,205130.0,0.026099999999999998,BFB
2000-06-14,15.25,15.27,15.38,15.17,213000.0,-0.0046,BFB
2000-06-15,15.4,15.25,15.62,15.25,342380.0,0.0098,BFB
2000-06-16,15.02,15.2,15.28,15.0,345380.0,-0.024700000000000003,BFB
2000-06-19,15.13,15.15,15.25,15.03,212630.0,0.0073,BFB
2000-06-20,14.67,15.12,15.12,14.58,307130.0,-0.0304,BFB
2000-06-21,14.42,14.67,14.68,14.33,436500.0,-0.017,BFB
2000-06-22,14.77,14.42,14.83,14.42,454880.0,0.024300000000000002,BFB
2000-06-23,14.87,14.83,14.9,14.57,232500.0,0.0068000000000000005,BFB
2000-06-26,15.07,14.9,15.33,14.9,238880.0,0.0134,BFB
2000-06-27,14.95,15.13,15.23,14.95,168000.0,-0.008,BFB
2000-06-28,15.13,14.97,15.28,14.93,168380.0,0.012,BFB
2000-06-29,14.88,15.05,15.12,14.8,233250.0,-0.0165,BFB
2000-06-30,14.33,14.82,15.03,14.33,582750.0,-0.037000000000000005,BFB
2000-07-03,14.78,14.37,14.8,14.37,174380.0,0.031400000000000004,BFB
2000-07-05,14.82,14.83,14.93,14.72,259880.0,0.0027,BFB
2000-07-06,14.6,14.82,15.05,14.6,269630.0,-0.0148,BFB
2000-07-07,14.67,14.63,14.78,14.48,153750.0,0.0048,BFB
2000-07-10,14.47,14.67,14.72,14.4,148130.0,-0.013600000000000001,BFB
2000-07-11,14.2,14.48,14.48,14.17,1500000.0,-0.0187,BFB
2000-07-12,14.08,14.2,14.2,13.9,326630.0,-0.0085,BFB
2000-07-13,14.0,14.03,14.15,13.97,267000.0,-0.005699999999999999,BFB
2000-07-14,13.85,13.97,14.0,13.83,146630.0,-0.010700000000000001,BFB
2000-07-17,13.78,13.8,13.87,13.77,404630.0,-0.0051,BFB
2000-07-18,13.8,13.77,13.82,13.77,263250.0,0.0015,BFB
2000-07-19,13.88,13.8,13.95,13.78,439880.0,0.0058,BFB
2000-07-20,13.85,13.9,13.97,13.82,510000.0,-0.0022,BFB
2000-07-21,13.73,13.82,13.83,13.63,258000.0,-0.0087,BFB
2000-07-24,13.58,13.53,13.62,13.47,294000.0,-0.0109,BFB
2000-07-25,13.57,13.62,13.82,13.55,129380.0,-0.0007000000000000001,BFB
2000-07-26,13.37,13.57,13.57,13.33,413250.0,-0.0147,BFB
2000-07-27,13.45,13.37,13.78,13.35,511500.0,0.006,BFB
2000-07-28,13.48,13.45,13.53,13.43,171380.0,0.0022,BFB
2000-07-31,13.33,13.55,13.85,13.33,660380.0,-0.0111,BFB
2000-08-01,13.5,13.47,13.9,13.47,403130.0,0.0128,BFB
2000-08-02,13.87,13.55,13.88,13.53,377630.0,0.0274,BFB
2000-08-03,13.75,13.9,13.95,13.73,238880.0,-0.0087,BFB
2000-08-04,13.85,13.72,13.85,13.55,165380.0,0.0073,BFB
2000-08-07,13.7,13.78,13.78,13.45,292130.0,-0.0108,BFB
2000-08-08,13.77,13.63,13.83,13.63,236250.0,0.0051,BFB
2000-08-09,13.82,13.77,13.88,13.77,184130.0,0.0036,BFB
2000-08-10,13.8,13.83,13.88,13.75,208130.0,-0.0014000000000000002,BFB
2000-08-11,14.02,13.83,14.12,13.83,256500.0,0.0159,BFB
2000-08-14,13.92,14.0,14.07,13.83,171380.0,-0.0070999999999999995,BFB
2000-08-15,13.65,13.95,13.98,13.65,187500.0,-0.0194,BFB
2000-08-16,13.77,13.72,13.83,13.67,271880.0,0.0088,BFB
2000-08-17,13.88,13.8,14.02,13.75,361130.0,0.008,BFB
2000-08-18,13.78,13.85,13.93,13.77,182250.0,-0.0072,BFB
2000-08-21,13.92,13.77,14.07,13.77,512250.0,0.0102,BFB
2000-08-22,13.73,13.9,13.9,13.68,216380.0,-0.013600000000000001,BFB
2000-08-23,13.67,13.75,13.75,13.6,112500.0,-0.0044,BFB
2000-08-24,13.55,13.65,13.77,13.5,190880.0,-0.0088,BFB
2000-08-25,13.5,13.58,13.65,13.45,191630.0,-0.0037,BFB
2000-08-28,13.57,13.52,13.75,13.52,208500.0,0.0052,BFB
2000-08-29,13.58,13.55,13.8,13.53,447000.0,0.0007000000000000001,BFB
2000-08-30,13.75,13.58,13.78,13.58,2550000.0,0.0125,BFB
2000-08-31,14.14,13.75,14.17,13.75,281250.0,0.028399999999999998,BFB
2000-09-01,13.88,14.05,14.05,13.88,180000.0,-0.0184,BFB
2000-09-05,13.87,13.88,13.93,13.87,187130.0,-0.0007000000000000001,BFB
2000-09-06,14.17,13.88,14.18,13.88,261380.0,0.0216,BFB
2000-09-07,14.33,14.17,14.45,14.17,232130.0,0.0113,BFB
2000-09-08,14.3,14.37,14.5,14.28,198000.0,-0.0021,BFB
2000-09-11,14.43,14.33,14.43,14.32,380250.0,0.0091,BFB
2000-09-12,14.53,14.43,14.62,14.4,131630.0,0.0069,BFB
2000-09-13,14.67,14.57,14.73,14.57,181130.0,0.0096,BFB
2000-09-14,14.37,14.63,14.63,14.17,298500.0,-0.0204,BFB
2000-09-15,14.28,14.3,14.5,14.28,382880.0,-0.0063,BFB
2000-09-18,14.3,14.28,14.37,14.23,139880.0,0.0014000000000000002,BFB
2000-09-19,14.45,14.32,14.63,14.27,281630.0,0.0105,BFB
2000-09-20,14.5,14.4,14.65,14.4,120000.0,0.0034999999999999996,BFB
2000-09-21,14.32,14.5,14.58,14.32,243380.0,-0.0124,BFB
2000-09-22,14.6,14.38,14.7,14.27,366380.0,0.0196,BFB
2000-09-25,14.52,14.63,14.63,14.28,160880.0,-0.0055000000000000005,BFB
2000-09-26,14.57,14.57,14.65,14.42,130880.0,0.0034000000000000002,BFB
2000-09-27,14.67,14.53,14.72,14.47,225750.0,0.0069,BFB
2000-09-28,14.68,14.78,14.78,14.63,183380.0,0.0007000000000000001,BFB
2000-09-29,14.6,14.75,14.75,14.42,338250.0,-0.0054,BFB
2000-10-02,14.37,14.58,14.58,14.17,227250.0,-0.0158,BFB
2000-10-03,14.63,14.37,14.77,14.22,249000.0,0.0181,BFB
2000-10-04,14.43,14.57,14.78,14.33,177000.0,-0.0137,BFB
2000-10-05,14.88,14.47,15.0,14.47,242250.0,0.031200000000000002,BFB
2000-10-06,14.98,14.9,15.1,14.85,262880.0,0.0067,BFB
2000-10-09,15.47,15.03,15.48,15.03,474380.0,0.0327,BFB
2000-10-10,15.5,15.53,15.6,15.38,295130.0,0.0019,BFB
2000-10-11,15.1,15.53,15.6,15.1,405750.0,-0.0258,BFB
2000-10-12,15.62,15.13,16.0,15.13,474380.0,0.0344,BFB
2000-10-13,15.77,15.62,15.97,15.62,445880.0,0.0096,BFB
2000-10-16,16.12,15.78,16.17,15.78,235500.0,0.0222,BFB
2000-10-17,16.03,16.12,16.22,15.9,303750.0,-0.005600000000000001,BFB
2000-10-18,15.87,16.03,16.07,15.65,282380.0,-0.01,BFB
2000-10-19,15.53,15.73,15.73,15.48,202500.0,-0.021400000000000002,BFB
2000-10-20,15.13,15.2,15.22,14.8,415880.0,-0.0258,BFB
2000-10-23,15.02,15.15,15.15,14.95,238130.0,-0.0073,BFB
2000-10-24,15.05,15.03,15.05,14.72,379880.0,0.002,BFB
2000-10-25,15.13,15.12,15.4,15.08,466500.0,0.0053,BFB
