Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,31.08,32.79,32.83,28.65,2790000.0,-0.051,BIIB
2000-01-04,28.98,29.87,30.92,28.58,2940000.0,-0.0676,BIIB
2000-01-05,31.0,28.71,31.5,25.0,3390000.0,0.0697,BIIB
2000-01-06,32.37,30.17,32.83,29.67,2740000.0,0.044199999999999996,BIIB
2000-01-07,36.1,32.33,36.17,32.33,4740000.0,0.1152,BIIB
2000-01-10,39.83,38.33,40.29,37.67,5770000.0,0.1033,BIIB
2000-01-11,36.71,38.62,39.5,36.0,3390000.0,-0.0783,BIIB
2000-01-12,35.21,36.79,36.81,32.5,4260000.0,-0.0409,BIIB
2000-01-13,38.71,35.37,39.25,34.83,3180000.0,0.09939999999999999,BIIB
2000-01-14,38.5,39.46,40.0,35.83,2880000.0,-0.0054,BIIB
2000-01-18,35.69,38.04,40.0,35.0,3360000.0,-0.073,BIIB
2000-01-19,40.33,35.69,40.71,35.33,2690000.0,0.13,BIIB
2000-01-20,40.9,38.67,41.5,32.67,15550000.0,0.0141,BIIB
2000-01-21,49.25,41.83,49.67,39.67,9230000.0,0.20420000000000002,BIIB
2000-01-24,45.77,47.62,50.54,43.67,4820000.0,-0.0707,BIIB
2000-01-25,45.29,46.83,47.08,41.54,4179999.9999999995,-0.0105,BIIB
2000-01-26,47.79,44.92,49.67,44.67,3650000.0,0.0552,BIIB
2000-01-27,43.42,48.04,48.33,43.42,1650000.0,-0.09140000000000001,BIIB
2000-01-28,42.75,43.17,44.19,40.73,1900000.0,-0.0154,BIIB
2000-01-31,42.06,42.62,42.67,39.67,2180000.0,-0.0161,BIIB
2000-02-01,44.31,42.21,44.42,40.84,1500000.0,0.0535,BIIB
2000-02-02,35.33,38.0,39.25,34.98,16300000.0,-0.2027,BIIB
2000-02-03,34.37,36.0,37.17,34.17,8480000.0,-0.027200000000000002,BIIB
2000-02-04,36.5,35.27,38.08,34.25,3220000.0,0.062,BIIB
2000-02-07,38.27,37.83,38.6,36.67,3680000.0,0.048499999999999995,BIIB
2000-02-08,43.29,39.06,43.5,38.5,5080000.0,0.13119999999999998,BIIB
2000-02-09,41.0,43.17,43.21,39.5,3270000.0,-0.0529,BIIB
2000-02-10,39.06,41.12,41.27,38.67,2260000.0,-0.0473,BIIB
2000-02-11,39.6,39.1,41.0,38.25,2170000.0,0.0138,BIIB
2000-02-14,39.6,39.67,41.0,38.92,1400000.0,0.0,BIIB
2000-02-15,38.79,39.65,39.75,37.83,1440000.0,-0.020499999999999997,BIIB
2000-02-16,40.62,38.67,41.75,37.67,4290000.0,0.0472,BIIB
2000-02-17,43.87,40.96,44.33,40.92,5100000.0,0.08,BIIB
2000-02-18,43.96,44.92,49.67,41.0,5250000.0,0.0021,BIIB
2000-02-22,41.62,43.83,44.08,40.77,2590000.0,-0.053200000000000004,BIIB
2000-02-23,46.31,43.35,46.67,42.0,1820000.0,0.1127,BIIB
2000-02-24,46.25,46.4,47.0,44.27,2410000.0,-0.0013,BIIB
2000-02-25,45.81,47.42,47.5,45.25,1930000.0,-0.0095,BIIB
2000-02-28,44.5,46.67,47.67,43.42,4110000.0000000005,-0.0286,BIIB
2000-02-29,46.96,44.6,48.0,44.42,2570000.0,0.0553,BIIB
2000-03-01,48.94,46.83,50.0,45.33,1930000.0,0.042199999999999994,BIIB
2000-03-02,46.35,49.96,49.96,45.58,1830000.0,-0.0529,BIIB
2000-03-03,50.0,47.31,50.0,46.33,2670000.0,0.0787,BIIB
2000-03-06,57.1,49.33,57.67,49.17,4150000.0000000005,0.142,BIIB
2000-03-07,52.85,56.75,56.83,50.75,3460000.0,-0.07440000000000001,BIIB
2000-03-08,50.87,53.25,53.37,49.0,1750000.0,-0.0375,BIIB
2000-03-09,47.62,52.65,52.67,47.17,1600000.0,-0.0639,BIIB
2000-03-10,43.1,48.29,49.17,42.33,3360000.0,-0.0949,BIIB
2000-03-13,38.58,41.46,42.94,38.42,4320000.0,-0.10490000000000001,BIIB
2000-03-14,35.0,39.94,39.98,31.67,10690000.0,-0.0928,BIIB
2000-03-15,36.19,35.5,36.87,33.0,9730000.0,0.034,BIIB
2000-03-16,39.96,36.92,41.33,36.83,8470000.0,0.1042,BIIB
2000-03-17,39.65,39.0,41.37,38.83,3070000.0,-0.0078000000000000005,BIIB
2000-03-20,35.5,39.79,41.33,35.17,3600000.0,-0.1047,BIIB
2000-03-21,38.53,35.0,39.0,29.85,10190000.0,0.08539999999999999,BIIB
2000-03-22,43.75,39.5,45.44,38.46,4880000.0,0.1355,BIIB
2000-03-23,42.04,44.5,45.08,41.29,3170000.0,-0.0391,BIIB
2000-03-24,39.67,42.5,43.1,38.33,2840000.0,-0.0564,BIIB
2000-03-27,39.15,39.5,40.83,37.94,2810000.0,-0.0131,BIIB
2000-03-28,37.83,38.92,40.17,37.46,2060000.0,-0.0337,BIIB
2000-03-29,32.21,38.54,38.56,32.17,8189999.999999999,-0.14859999999999998,BIIB
2000-03-30,28.92,32.37,34.25,27.25,6730000.0,-0.10210000000000001,BIIB
2000-03-31,32.75,30.0,34.41,29.62,4110000.0000000005,0.1324,BIIB
2000-04-03,31.37,33.12,33.33,30.33,3120000.0,-0.0421,BIIB
2000-04-04,32.17,31.17,33.21,28.0,4139999.9999999995,0.0255,BIIB
2000-04-05,36.67,31.54,38.58,31.33,5300000.0,0.1399,BIIB
2000-04-06,35.69,38.33,39.67,33.83,3440000.0,-0.026699999999999998,BIIB
2000-04-07,33.77,36.33,36.33,32.42,3470000.0,-0.0538,BIIB
2000-04-10,32.29,34.08,34.08,31.77,1720000.0,-0.0438,BIIB
2000-04-11,29.48,31.5,31.54,28.37,3860000.0,-0.087,BIIB
2000-04-12,26.81,25.79,28.0,23.08,15040000.0,-0.0906,BIIB
2000-04-13,25.83,26.77,26.92,24.83,2980000.0,-0.0366,BIIB
2000-04-14,24.0,25.49,25.67,22.67,4940000.0,-0.0708,BIIB
2000-04-17,21.56,22.37,23.5,19.83,5350000.0,-0.1017,BIIB
2000-04-18,24.08,22.25,24.33,21.06,4000000.0,0.11689999999999999,BIIB
2000-04-19,25.79,24.79,28.17,24.33,4340000.0,0.071,BIIB
2000-04-20,21.04,23.15,23.25,19.83,15260000.0,-0.18420000000000003,BIIB
2000-04-24,19.12,20.73,20.73,18.54,4710000.0,-0.0913,BIIB
2000-04-25,19.92,19.9,20.5,19.37,5610000.0,0.0418,BIIB
2000-04-26,20.06,20.32,20.54,19.37,2950000.0,0.006999999999999999,BIIB
2000-04-27,19.33,19.83,19.87,18.79,3360000.0,-0.0364,BIIB
2000-04-28,21.33,20.21,22.17,19.17,5520000.0,0.1035,BIIB
2000-05-01,24.04,21.85,24.75,21.42,6050000.0,0.12710000000000002,BIIB
2000-05-02,22.31,24.0,24.0,22.25,3670000.0,-0.07200000000000001,BIIB
2000-05-03,21.65,22.33,22.33,20.37,2140000.0,-0.0296,BIIB
2000-05-04,23.87,21.83,24.33,21.75,2370000.0,0.1025,BIIB
2000-05-05,25.06,23.96,26.42,23.92,2930000.0,0.0499,BIIB
2000-05-08,24.9,25.12,25.12,23.37,2060000.0,-0.0064,BIIB
2000-05-09,24.35,24.94,24.94,23.5,2270000.0,-0.022099999999999998,BIIB
2000-05-10,24.1,24.0,24.83,23.0,1230000.0,-0.0103,BIIB
2000-05-11,24.54,25.06,26.0,24.37,1290000.0,0.0183,BIIB
2000-05-12,26.17,25.65,26.67,25.0,2160000.0,0.0664,BIIB
2000-05-15,25.04,26.18,26.19,24.33,1660000.0,-0.0432,BIIB
2000-05-16,24.98,25.5,25.85,24.31,2040000.0,-0.0024,BIIB
2000-05-17,23.87,24.17,24.58,23.58,2460000.0,-0.0444,BIIB
2000-05-18,23.92,24.0,24.92,23.58,2700000.0,0.0021,BIIB
2000-05-19,23.29,23.75,23.96,22.67,2470000.0,-0.0263,BIIB
2000-05-22,20.65,23.21,23.27,20.42,3330000.0,-0.1134,BIIB
2000-05-23,21.04,20.75,22.33,20.62,4090000.0,0.0189,BIIB
2000-05-24,21.31,20.83,21.33,19.21,2510000.0,0.0128,BIIB
2000-05-25,20.0,21.71,22.6,20.0,2850000.0,-0.061500000000000006,BIIB
2000-05-26,21.04,20.4,21.4,19.0,1100000.0,0.052000000000000005,BIIB
2000-05-30,21.79,21.18,21.87,20.35,2580000.0,0.0356,BIIB
2000-05-31,21.27,21.71,21.9,20.46,2710000.0,-0.0239,BIIB
2000-06-01,25.04,22.0,25.73,21.9,4090000.0,0.1772,BIIB
2000-06-02,28.81,26.0,29.0,25.65,4480000.0,0.1506,BIIB
2000-06-05,29.58,28.12,31.4,27.96,3620000.0,0.026699999999999998,BIIB
2000-06-06,32.06,31.0,32.33,30.23,5550000.0,0.08380000000000001,BIIB
2000-06-07,31.71,32.15,32.17,30.04,2780000.0,-0.0109,BIIB
2000-06-08,31.12,31.79,31.81,30.75,969610.0,-0.018600000000000002,BIIB
2000-06-09,33.42,31.48,33.96,30.87,2730000.0,0.0739,BIIB
2000-06-12,31.65,33.31,33.31,31.12,1500000.0,-0.053,BIIB
2000-06-13,34.48,31.17,35.4,30.96,3670000.0,0.0894,BIIB
2000-06-14,32.52,34.33,34.35,31.58,3640000.0,-0.056799999999999996,BIIB
2000-06-15,32.62,32.87,33.54,31.87,13120000.0,0.0031,BIIB
2000-06-16,34.85,32.42,35.0,32.23,4970000.0,0.0684,BIIB
2000-06-19,40.08,35.62,40.12,34.67,7590000.0,0.1501,BIIB
2000-06-20,38.98,39.87,40.17,38.0,5620000.0,-0.0274,BIIB
2000-06-21,40.87,38.46,42.23,38.29,4610000.0,0.048499999999999995,BIIB
2000-06-22,36.17,40.96,40.96,36.17,4330000.0,-0.115,BIIB
2000-06-23,37.83,37.0,38.29,36.0,3360000.0,0.045899999999999996,BIIB
2000-06-26,39.31,37.94,39.35,35.92,5160000.0,0.0391,BIIB
2000-06-27,38.44,38.5,39.17,38.0,3250000.0,-0.022099999999999998,BIIB
2000-06-28,42.21,38.44,42.21,37.79,3870000.0,0.0981,BIIB
2000-06-29,41.35,41.65,42.87,39.83,3800000.0,-0.0204,BIIB
2000-06-30,39.1,41.33,41.33,36.62,9200000.0,-0.054400000000000004,BIIB
2000-07-03,39.67,39.06,40.23,38.67,674410.0,0.0146,BIIB
