Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,39.22,40.54,40.68,38.56,2570000.0,-0.075,BK
2000-01-04,38.09,39.15,39.15,36.97,2840000.0,-0.0288,BK
2000-01-05,37.23,37.63,38.36,36.7,3080000.0,-0.0226,BK
2000-01-06,38.16,37.17,38.42,36.83,3500000.0,0.025,BK
2000-01-07,40.15,37.76,40.15,37.76,2220000.0,0.0521,BK
2000-01-10,38.36,40.28,40.28,38.16,1440000.0,-0.0446,BK
2000-01-11,37.43,37.63,37.96,37.17,1680000.0,-0.0242,BK
2000-01-12,38.62,37.43,38.82,37.43,1510000.0,0.0318,BK
2000-01-13,39.62,40.28,40.35,39.42,1690000.0,0.0259,BK
2000-01-14,41.47,41.34,42.4,40.74,2140000.0,0.0467,BK
2000-01-18,39.62,40.28,40.88,39.55,1520000.0,-0.0446,BK
2000-01-19,39.35,39.75,41.01,39.29,2150000.0,-0.0068000000000000005,BK
2000-01-20,38.95,40.01,40.01,38.95,1370000.0,-0.0102,BK
2000-01-21,38.56,40.28,40.28,38.42,1650000.0,-0.01,BK
2000-01-24,38.42,39.02,39.55,37.89,1070000.0,-0.0036,BK
2000-01-25,38.49,38.42,39.48,37.96,1500000.0,0.0018,BK
2000-01-26,41.8,38.56,41.87,38.36,2120000.0,0.086,BK
2000-01-27,41.41,42.27,42.8,41.07,2500000.0,-0.009300000000000001,BK
2000-01-28,40.01,40.28,40.68,39.75,1850000.0,-0.0338,BK
2000-01-31,43.06,39.95,43.06,39.55,2089999.9999999998,0.0762,BK
2000-02-01,43.33,43.13,43.39,42.0,2130000.0,0.0063,BK
2000-02-02,42.27,43.06,43.13,41.8,1480000.0,-0.0245,BK
2000-02-03,41.94,42.66,42.93,40.81,1300000.0,-0.0078000000000000005,BK
2000-02-04,40.21,42.53,42.53,40.15,1380000.0,-0.0412,BK
2000-02-07,40.54,40.28,40.68,39.82,931320.0,0.008199999999999999,BK
2000-02-08,41.67,41.07,41.87,40.81,1310000.0,0.0279,BK
2000-02-09,40.35,41.67,41.67,40.35,1790000.0,-0.0317,BK
2000-02-10,38.69,40.35,40.74,38.62,1330000.0,-0.041100000000000005,BK
2000-02-11,39.02,38.69,39.82,38.69,1370000.0,0.0085,BK
2000-02-14,38.18,38.76,39.68,37.89,1410000.0,-0.0215,BK
2000-02-15,39.15,37.96,39.82,37.83,1180000.0,0.0254,BK
2000-02-16,39.75,39.22,39.75,38.76,2640000.0,0.015300000000000001,BK
2000-02-17,37.17,39.35,39.62,36.37,2820000.0,-0.0649,BK
2000-02-18,35.58,36.7,37.23,34.78,2750000.0,-0.042800000000000005,BK
2000-02-22,35.97,36.04,36.17,34.91,1810000.0,0.011000000000000001,BK
2000-02-23,35.24,35.51,36.11,35.18,1520000.0,-0.0203,BK
2000-02-24,33.79,34.98,35.38,33.39,2470000.0,-0.041100000000000005,BK
2000-02-25,34.98,34.05,35.44,33.72,2460000.0,0.0352,BK
2000-02-28,36.83,35.51,37.3,35.31,2590000.0,0.0529,BK
2000-02-29,35.24,36.83,36.83,34.91,2440000.0,-0.0432,BK
2000-03-01,34.38,36.04,36.04,33.59,3560000.0,-0.024399999999999998,BK
2000-03-02,35.11,35.24,35.24,34.32,2240000.0,0.0212,BK
2000-03-03,33.99,35.11,35.51,33.99,1840000.0,-0.0319,BK
2000-03-06,34.71,34.45,34.91,33.79,1930000.0,0.0212,BK
2000-03-07,33.19,34.45,34.52,33.12,1820000.0,-0.0438,BK
2000-03-08,32.86,32.73,33.12,31.53,2790000.0,-0.009899999999999999,BK
2000-03-09,34.12,32.93,34.25,32.93,2140000.0,0.0383,BK
2000-03-10,33.59,33.99,34.65,33.06,1890000.0,-0.0155,BK
2000-03-13,35.11,33.12,35.44,32.99,2110000.0,0.0453,BK
2000-03-14,33.79,35.18,35.18,33.65,1130000.0,-0.037599999999999995,BK
2000-03-15,37.3,33.99,37.63,33.59,3960000.0,0.1039,BK
2000-03-16,43.33,38.69,43.46,38.42,5540000.0,0.1617,BK
2000-03-17,41.01,43.19,43.19,40.94,2860000.0,-0.0535,BK
2000-03-20,39.29,41.01,41.07,38.56,1970000.0,-0.04190000000000001,BK
2000-03-21,40.94,39.29,41.74,39.09,2590000.0,0.042,BK
2000-03-22,41.21,40.68,41.47,40.28,1630000.0,0.0066,BK
2000-03-23,42.4,40.94,42.86,40.94,2520000.0,0.028900000000000002,BK
2000-03-24,43.13,42.53,43.39,41.87,2510000.0,0.0172,BK
2000-03-27,41.67,42.6,42.86,40.88,1140000.0,-0.0339,BK
2000-03-28,42.13,40.68,42.93,40.68,1630000.0,0.011000000000000001,BK
2000-03-29,41.67,42.27,42.4,41.41,975380.0,-0.0109,BK
2000-03-30,41.67,41.94,42.66,41.54,1480000.0,0.0,BK
2000-03-31,44.06,41.67,44.65,41.47,2940000.0,0.0574,BK
2000-04-03,46.16,44.06,47.04,44.06,4990000.0,0.04769999999999999,BK
2000-04-04,44.19,45.84,47.04,43.06,3960000.0,-0.042699999999999995,BK
2000-04-05,44.45,44.32,45.45,44.12,2420000.0,0.0059,BK
2000-04-06,44.12,44.32,44.78,43.39,1860000.0,-0.0074,BK
2000-04-07,42.86,44.12,44.72,42.6,1090000.0,-0.0286,BK
2000-04-10,45.18,43.13,45.31,42.2,1820000.0,0.0541,BK
2000-04-11,43.66,44.39,45.25,43.13,1410000.0,-0.0336,BK
2000-04-12,45.98,43.59,48.49,43.59,3630000.0,0.053099999999999994,BK
2000-04-13,45.71,45.71,46.64,44.12,2190000.0,-0.0059,BK
2000-04-14,41.8,44.98,44.98,41.54,2089999.9999999998,-0.0855,BK
2000-04-17,41.94,41.8,42.47,41.47,1910000.0,0.0033,BK
2000-04-18,45.38,43.19,45.45,42.86,2670000.0,0.08199999999999999,BK
2000-04-19,43.92,45.18,45.18,43.39,1710000.0,-0.0322,BK
2000-04-20,44.45,44.65,44.78,43.79,1370000.0,0.0121,BK
2000-04-24,45.78,44.25,45.91,43.92,1410000.0,0.029900000000000003,BK
2000-04-25,47.5,45.91,48.16,45.91,1880000.0,0.037599999999999995,BK
2000-04-26,46.11,47.37,47.63,45.65,1730000.0,-0.029300000000000003,BK
2000-04-27,44.78,44.78,45.05,43.19,1720000.0,-0.0288,BK
2000-04-28,43.53,44.92,45.51,43.53,1820000.0,-0.0279,BK
2000-05-01,45.05,43.79,45.98,43.46,1300000.0,0.0349,BK
2000-05-02,44.39,44.78,45.18,44.32,1370000.0,-0.0147,BK
2000-05-03,43.39,44.45,45.25,43.33,1710000.0,-0.0225,BK
2000-05-04,42.4,43.53,43.53,42.33,1370000.0,-0.022799999999999997,BK
2000-05-05,44.06,42.33,44.39,42.0,1440000.0,0.0392,BK
2000-05-08,45.78,44.25,46.11,44.06,1050000.0,0.039,BK
2000-05-09,46.51,46.11,47.77,45.98,1880000.0,0.0159,BK
2000-05-10,45.78,45.71,46.64,45.65,1060000.0,-0.015700000000000002,BK
2000-05-11,46.37,46.24,47.83,46.24,1470000.0,0.0129,BK
2000-05-12,47.5,46.64,48.1,46.24,1290000.0,0.024399999999999998,BK
2000-05-15,49.36,47.5,49.55,47.5,1950000.0,0.0392,BK
2000-05-16,49.02,49.95,50.55,48.89,2930000.0,-0.0069,BK
2000-05-17,48.56,48.56,49.36,48.23,1240000.0,-0.009399999999999999,BK
2000-05-18,49.22,48.76,50.35,48.76,2230000.0,0.013600000000000001,BK
2000-05-19,46.64,48.49,48.89,46.18,2690000.0,-0.0524,BK
2000-05-22,48.56,47.3,48.76,46.84,1580000.0,0.0412,BK
2000-05-23,49.95,49.69,49.95,48.76,2410000.0,0.0286,BK
2000-05-24,50.88,49.95,51.14,49.95,2060000.0,0.018600000000000002,BK
2000-05-25,49.29,50.35,50.35,48.23,1760000.0,-0.0313,BK
2000-05-26,49.82,49.22,50.28,49.16,1050000.0,0.0108,BK
2000-05-30,49.49,49.95,49.95,48.76,1260000.0,-0.0066,BK
2000-05-31,49.75,50.48,50.48,49.42,2049999.9999999998,0.0053,BK
2000-06-01,50.81,49.89,51.94,49.89,2290000.0,0.0213,BK
2000-06-02,51.54,52.47,52.73,51.08,2920000.0,0.0144,BK
2000-06-05,49.69,50.88,51.28,48.89,1500000.0,-0.0359,BK
2000-06-06,49.62,49.55,49.75,48.03,1250000.0,-0.0014000000000000002,BK
2000-06-07,49.82,49.82,50.48,49.69,1680000.0,0.004,BK
2000-06-08,48.76,49.62,49.82,48.23,992830.0,-0.0213,BK
2000-06-09,47.3,49.16,49.36,46.77,962550.0,-0.029900000000000003,BK
2000-06-12,47.86,47.17,48.43,47.17,1030000.0,0.0118,BK
2000-06-13,48.49,48.43,48.69,47.1,896140.0,0.0132,BK
2000-06-14,48.69,48.1,49.42,48.1,1080000.0,0.0040999999999999995,BK
2000-06-15,48.03,47.7,48.23,45.51,2940000.0,-0.013600000000000001,BK
2000-06-16,46.24,47.17,47.3,45.25,3210000.0,-0.0373,BK
2000-06-19,47.24,47.17,48.76,46.77,1780000.0,0.0216,BK
2000-06-20,48.16,47.3,48.23,47.04,1290000.0,0.0195,BK
2000-06-21,46.24,48.1,48.16,45.71,2200000.0,-0.039900000000000005,BK
2000-06-22,47.57,45.84,47.7,45.71,1640000.0,0.0288,BK
2000-06-23,48.96,48.63,49.49,48.23,1990000.0,0.0292,BK
