Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,16.62,17.44,17.5,16.62,64599.99999999999,-0.0332,BLK
2000-01-04,15.88,16.62,16.62,15.62,81900.0,-0.044500000000000005,BLK
2000-01-05,15.75,15.75,15.75,15.0,38100.0,-0.008199999999999999,BLK
2000-01-06,16.0,15.75,16.25,15.75,41200.0,0.0159,BLK
2000-01-07,15.88,15.88,16.25,15.75,34700.0,-0.0075,BLK
2000-01-10,16.0,16.5,16.5,16.0,94200.0,0.0076,BLK
2000-01-11,16.44,16.12,16.88,16.0,39700.0,0.0275,BLK
2000-01-12,17.12,16.5,17.12,16.5,25100.0,0.0414,BLK
2000-01-13,16.94,17.25,17.5,16.88,62000.0,-0.0105,BLK
2000-01-14,17.5,17.0,17.75,16.88,183100.0,0.0331,BLK
2000-01-18,18.0,17.75,18.25,17.75,77300.0,0.0286,BLK
2000-01-19,18.25,18.0,18.38,17.94,34500.0,0.0139,BLK
2000-01-20,17.5,18.25,18.25,17.38,42200.0,-0.041100000000000005,BLK
2000-01-21,17.38,17.44,17.5,17.25,16000.0,-0.0069,BLK
2000-01-24,17.12,17.5,17.5,17.0,10700.0,-0.015,BLK
2000-01-25,17.25,17.12,17.5,17.06,19200.0,0.0076,BLK
2000-01-26,17.44,17.25,17.5,17.25,16600.0,0.011000000000000001,BLK
2000-01-27,17.5,17.44,18.0,17.44,33600.0,0.0034000000000000002,BLK
2000-01-28,17.38,17.62,17.62,17.31,3900.0,-0.0069,BLK
2000-01-31,17.5,17.12,17.5,17.12,53900.0,0.0069,BLK
2000-02-01,17.75,17.38,17.75,17.38,15400.0,0.0143,BLK
2000-02-02,17.94,18.0,18.12,17.88,92700.0,0.010700000000000001,BLK
2000-02-03,18.0,18.06,18.12,17.94,35200.0,0.0033,BLK
2000-02-04,18.44,18.12,18.56,18.12,51500.0,0.024399999999999998,BLK
2000-02-07,18.5,18.44,18.56,18.38,25200.0,0.0033,BLK
2000-02-08,18.56,18.5,18.88,18.5,45300.0,0.0032,BLK
2000-02-09,18.38,18.75,18.75,18.38,9100.0,-0.0097,BLK
2000-02-10,17.88,18.5,18.5,17.88,9700.0,-0.027200000000000002,BLK
2000-02-11,17.94,17.88,18.0,17.88,24700.0,0.0034000000000000002,BLK
2000-02-14,18.0,18.06,18.06,17.88,7100.0,0.0033,BLK
2000-02-15,17.88,17.88,18.0,17.88,4900.0,-0.0067,BLK
2000-02-16,18.5,17.88,18.5,17.88,69000.0,0.0347,BLK
2000-02-17,18.38,18.5,18.69,18.31,28100.0,-0.006500000000000001,BLK
2000-02-18,18.5,18.38,18.56,18.38,5000.0,0.006500000000000001,BLK
2000-02-22,18.56,18.62,18.81,18.56,10700.0,0.0032,BLK
2000-02-23,18.81,18.56,18.94,18.56,5700.0,0.013500000000000002,BLK
2000-02-24,19.0,18.88,19.12,18.88,61800.0,0.0101,BLK
2000-02-25,19.25,19.0,19.25,19.0,41400.0,0.0132,BLK
2000-02-28,20.12,19.25,20.12,19.25,35700.0,0.0452,BLK
2000-02-29,21.88,21.75,21.88,21.62,79900.0,0.0875,BLK
2000-03-01,21.75,22.5,22.75,21.75,140600.0,-0.0059,BLK
2000-03-02,22.06,22.0,22.25,22.0,26600.0,0.0143,BLK
2000-03-03,22.12,22.12,22.12,22.06,17300.0,0.0027,BLK
2000-03-06,22.06,22.06,22.25,22.06,9900.0,-0.0027,BLK
2000-03-07,22.0,22.12,22.12,21.75,26200.0,-0.0027,BLK
2000-03-08,22.0,22.0,22.19,22.0,31700.0,0.0,BLK
2000-03-09,22.0,21.88,22.0,21.75,7800.0,0.0,BLK
2000-03-10,22.12,22.0,22.12,21.94,5200.0,0.0055000000000000005,BLK
2000-03-13,22.88,22.38,23.12,22.25,27900.0,0.0344,BLK
2000-03-14,22.88,22.88,23.0,22.88,1300.0,0.0,BLK
2000-03-15,24.12,23.12,24.12,22.62,29000.0,0.0542,BLK
2000-03-16,24.38,24.12,25.0,24.12,19500.0,0.0108,BLK
2000-03-17,24.75,23.38,24.75,23.38,73300.0,0.0152,BLK
2000-03-20,24.0,24.0,24.25,23.88,134700.0,-0.030299999999999997,BLK
2000-03-21,24.0,23.75,24.0,23.75,172200.0,0.0,BLK
2000-03-22,22.62,23.75,23.75,22.62,35900.0,-0.0575,BLK
2000-03-23,22.5,22.62,22.62,22.5,1300.0,-0.0053,BLK
2000-03-24,22.44,22.5,22.5,22.38,5600.0,-0.0027,BLK
2000-03-27,22.06,22.19,22.19,22.0,19600.0,-0.0169,BLK
2000-03-28,20.0,22.06,22.06,19.75,42600.0,-0.0934,BLK
2000-03-29,19.75,19.75,19.88,19.75,77000.0,-0.0125,BLK
2000-03-30,20.44,19.81,20.5,19.81,18700.0,0.0349,BLK
2000-03-31,20.25,20.44,20.44,20.25,23500.0,-0.009300000000000001,BLK
2000-04-03,20.62,20.25,20.69,20.25,4000.0,0.0183,BLK
2000-04-04,20.75,20.62,20.88,20.62,77700.0,0.0063,BLK
2000-04-05,21.44,20.75,21.44,20.62,32700.000000000004,0.0333,BLK
2000-04-06,22.38,21.38,22.44,21.12,12500.0,0.0438,BLK
2000-04-07,24.25,22.25,24.44,22.25,44500.0,0.0836,BLK
2000-04-10,24.0,24.25,24.25,24.0,16100.000000000002,-0.0103,BLK
2000-04-11,24.06,24.12,24.12,24.0,6300.0,0.0025,BLK
2000-04-12,23.88,24.0,24.0,23.81,3800.0,-0.0075,BLK
2000-04-13,23.38,23.75,23.75,23.38,4900.0,-0.0209,BLK
