Date,Close,Open,High,Low,Volume,Change,Symbol
2007-03-22,20.1,18.0,20.25,18.0,2910000.0,-0.8405,BR
2007-03-23,20.33,20.1,22.9,20.05,3550000.0,0.011399999999999999,BR
2007-03-26,20.67,20.33,20.75,20.15,859900.0,0.0167,BR
2007-03-27,20.35,20.75,20.83,20.3,470400.0,-0.0155,BR
2007-03-28,19.9,20.3,20.3,19.7,324100.0,-0.022099999999999998,BR
2007-03-29,19.7,19.9,20.13,19.5,1800000.0,-0.0101,BR
2007-03-30,19.7,19.8,19.95,19.64,12230000.0,0.0,BR
2007-04-02,19.51,19.7,19.7,18.82,9470000.0,-0.0096,BR
2007-04-03,19.07,19.48,19.5,18.49,7890000.0,-0.0226,BR
2007-04-04,18.91,19.02,19.16,18.8,4740000.0,-0.0084,BR
2007-04-05,19.38,18.75,19.81,18.7,4600000.0,0.024900000000000002,BR
2007-04-09,19.06,19.57,19.57,18.9,3600000.0,-0.0165,BR
2007-04-10,19.22,18.68,19.44,18.6,3130000.0,0.0084,BR
2007-04-11,19.11,19.25,20.06,18.95,3360000.0,-0.005699999999999999,BR
2007-04-12,19.2,19.06,19.27,18.89,2670000.0,0.004699999999999999,BR
2007-04-13,19.58,20.05,20.05,19.1,2980000.0,0.019799999999999998,BR
2007-04-16,19.86,19.62,19.9,19.62,1460000.0,0.0143,BR
2007-04-17,20.42,19.45,20.58,19.3,1570000.0,0.0282,BR
2007-04-18,20.68,20.23,20.72,19.96,1960000.0,0.0127,BR
2007-04-19,21.14,20.2,21.46,20.18,1890000.0,0.0222,BR
2007-04-20,21.08,21.37,21.77,21.0,2670000.0,-0.0028000000000000004,BR
2007-04-23,20.7,20.88,21.1,20.53,1530000.0,-0.018000000000000002,BR
2007-04-24,20.61,20.7,20.7,20.5,1750000.0,-0.0043,BR
2007-04-25,20.26,20.61,20.67,20.22,1030000.0,-0.017,BR
2007-04-26,20.06,19.78,20.14,19.7,1190000.0,-0.009899999999999999,BR
2007-04-27,20.22,20.0,20.27,19.81,734500.0,0.008,BR
2007-04-30,20.04,20.2,20.2,19.96,1580000.0,-0.0089,BR
2007-05-01,20.04,19.96,20.11,19.86,1470000.0,0.0,BR
2007-05-02,20.02,19.97,20.11,19.85,1460000.0,-0.001,BR
2007-05-03,20.3,20.05,20.44,20.01,1250000.0,0.013999999999999999,BR
2007-05-04,20.78,20.2,21.0,20.13,1240000.0,0.0236,BR
2007-05-07,21.01,20.76,21.04,20.52,1480000.0,0.0111,BR
2007-05-08,21.27,20.6,21.32,20.54,1290000.0,0.0124,BR
2007-05-09,21.4,21.12,21.85,21.08,2450000.0,0.0060999999999999995,BR
2007-05-10,21.12,21.2,21.55,20.94,1280000.0,-0.0131,BR
2007-05-11,21.43,21.13,21.45,21.1,468280.0,0.0147,BR
2007-05-14,21.31,21.33,21.36,21.12,662450.0,-0.005600000000000001,BR
2007-05-15,20.84,21.31,21.41,20.84,1810000.0,-0.022099999999999998,BR
2007-05-16,20.5,20.7,20.7,20.42,1600000.0,-0.0163,BR
2007-05-17,20.65,20.12,20.73,20.1,893700.0,0.0073,BR
2007-05-18,20.46,20.6,20.75,20.3,1200000.0,-0.0092,BR
2007-05-21,20.5,20.44,20.54,20.38,3020000.0,0.002,BR
2007-05-22,20.39,20.62,20.62,20.35,1490000.0,-0.0054,BR
2007-05-23,20.35,20.38,20.5,20.04,1010000.0,-0.002,BR
2007-05-24,20.02,20.01,20.33,20.0,1400000.0,-0.016200000000000003,BR
2007-05-25,20.0,20.02,20.15,19.95,624200.0,-0.001,BR
2007-05-29,20.0,19.55,20.05,19.55,639000.0,0.0,BR
2007-05-30,19.97,19.82,20.04,19.75,1160000.0,-0.0015,BR
2007-05-31,20.24,19.99,20.25,19.9,953500.0,0.013500000000000002,BR
2007-06-01,19.93,20.31,20.42,19.75,886100.0,-0.015300000000000001,BR
2007-06-04,19.85,19.68,20.0,19.66,967300.0,-0.004,BR
2007-06-05,19.93,19.75,20.08,19.65,847100.0,0.004,BR
2007-06-06,19.45,19.78,19.81,19.28,1070000.0,-0.0241,BR
2007-06-07,18.97,19.28,19.46,18.91,1130000.0,-0.024700000000000003,BR
2007-06-08,19.14,18.99,19.18,18.91,627600.0,0.009000000000000001,BR
2007-06-11,19.27,19.06,19.31,19.0,2180000.0,0.0068000000000000005,BR
2007-06-12,19.33,19.16,19.49,19.15,994400.0,0.0031,BR
2007-06-13,19.35,19.46,19.59,19.28,831900.0,0.001,BR
2007-06-14,19.28,19.3,19.42,19.16,629800.0,-0.0036,BR
2007-06-15,19.49,19.38,19.59,19.35,732300.0,0.0109,BR
2007-06-18,19.43,19.57,19.57,19.28,811300.0,-0.0031,BR
2007-06-19,19.09,19.27,19.54,19.08,1420000.0,-0.0175,BR
2007-06-20,19.11,19.02,19.14,18.99,1920000.0,0.001,BR
2007-06-21,19.44,19.02,19.47,19.0,1590000.0,0.0173,BR
2007-06-22,19.9,19.43,20.0,19.43,1830000.0,0.023700000000000002,BR
2007-06-25,20.12,19.81,20.12,19.72,2049999.9999999998,0.0111,BR
2007-06-26,19.9,20.25,20.25,19.76,1440000.0,-0.0109,BR
2007-06-27,19.8,19.81,20.0,19.59,1720000.0,-0.005,BR
2007-06-28,19.41,19.81,19.83,19.22,1430000.0,-0.0197,BR
2007-06-29,19.12,19.38,19.6,19.1,1320000.0,-0.0149,BR
2007-07-02,19.34,19.23,19.38,19.09,848600.0,0.0115,BR
2007-07-03,19.72,19.31,19.85,19.25,322700.0,0.0196,BR
2007-07-05,19.6,19.81,19.84,19.51,669000.0,-0.0060999999999999995,BR
2007-07-06,19.76,19.53,19.92,19.53,492000.0,0.008199999999999999,BR
2007-07-09,20.34,19.76,20.46,19.46,1490000.0,0.0294,BR
2007-07-10,19.8,20.19,20.31,19.76,925900.0,-0.0265,BR
2007-07-11,19.58,19.71,19.75,19.45,606100.0,-0.0111,BR
2007-07-12,20.02,19.7,20.04,19.7,1520000.0,0.0225,BR
2007-07-13,19.89,20.07,20.29,19.8,475600.0,-0.006500000000000001,BR
2007-07-16,20.19,19.83,20.24,19.8,566900.0,0.0151,BR
2007-07-17,20.14,20.1,20.5,20.02,873900.0,-0.0025,BR
2007-07-18,20.04,20.02,20.21,19.85,1000000.0,-0.005,BR
