Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,4.84,5.08,5.08,4.82,675200.0,-0.0435,BWA
2000-01-04,4.84,4.87,4.92,4.83,613600.0,0.0,BWA
2000-01-05,4.86,4.86,4.94,4.84,428000.0,0.0040999999999999995,BWA
2000-01-06,4.8,4.86,4.87,4.78,706400.0,-0.0123,BWA
2000-01-07,4.93,4.8,4.94,4.8,3230000.0,0.0271,BWA
2000-01-10,4.88,4.94,4.97,4.85,889600.0,-0.0101,BWA
2000-01-11,4.86,4.88,4.94,4.86,2000000.0,-0.0040999999999999995,BWA
2000-01-12,4.85,4.87,4.91,4.84,694400.0,-0.0021,BWA
2000-01-13,4.88,4.88,4.9,4.87,602400.0,0.0062,BWA
2000-01-14,4.84,4.89,4.91,4.84,864800.0,-0.008199999999999999,BWA
2000-01-18,4.76,4.86,4.86,4.73,904800.0,-0.0165,BWA
2000-01-19,4.7,4.75,4.77,4.66,843200.0,-0.0126,BWA
2000-01-20,4.68,4.73,4.74,4.67,1100000.0,-0.0043,BWA
2000-01-21,4.67,4.69,4.73,4.67,1510000.0,-0.0021,BWA
2000-01-24,4.57,4.73,4.73,4.56,1730000.0,-0.021400000000000002,BWA
2000-01-25,4.46,4.58,4.58,4.4,1390000.0,-0.0241,BWA
2000-01-26,4.44,4.45,4.5,4.41,764000.0,-0.0045000000000000005,BWA
2000-01-27,4.34,4.44,4.47,4.31,1010000.0,-0.0225,BWA
2000-01-28,4.23,4.32,4.32,4.2,1020000.0,-0.0253,BWA
2000-01-31,4.2,4.25,4.33,4.16,1460000.0,-0.0070999999999999995,BWA
2000-02-01,4.05,4.23,4.23,3.91,3590000.0,-0.035699999999999996,BWA
2000-02-02,4.06,4.09,4.14,4.03,2110000.0,0.0025,BWA
2000-02-03,4.19,4.12,4.25,4.11,1640000.0,0.032,BWA
2000-02-04,4.14,4.22,4.28,4.12,574400.0,-0.011899999999999999,BWA
2000-02-07,4.09,4.12,4.14,4.07,672800.0,-0.0121,BWA
2000-02-08,4.12,4.11,4.19,4.06,1790000.0,0.0073,BWA
2000-02-09,4.16,4.12,4.19,4.12,1510000.0,0.0097,BWA
2000-02-10,4.2,4.13,4.26,4.13,2170000.0,0.0096,BWA
2000-02-11,4.16,4.23,4.26,4.16,1460000.0,-0.0095,BWA
2000-02-14,4.21,4.16,4.25,4.13,1680000.0,0.012,BWA
2000-02-15,4.25,4.23,4.27,4.16,1340000.0,0.0095,BWA
2000-02-16,4.12,4.23,4.24,4.12,1180000.0,-0.030600000000000002,BWA
2000-02-17,4.02,4.14,4.14,4.02,1260000.0,-0.024300000000000002,BWA
2000-02-18,3.93,4.05,4.05,3.93,1140000.0,-0.022400000000000003,BWA
2000-02-22,3.94,3.94,3.94,3.88,1020000.0,0.0025,BWA
2000-02-23,3.88,3.93,3.93,3.84,901600.0,-0.0152,BWA
2000-02-24,3.76,3.84,3.86,3.72,931200.0,-0.030899999999999997,BWA
2000-02-25,3.88,3.79,3.88,3.72,1560000.0,0.0319,BWA
2000-02-28,3.88,3.87,3.9,3.77,770400.0,0.0,BWA
2000-02-29,4.0,3.88,4.0,3.82,1100000.0,0.030899999999999997,BWA
2000-03-01,4.06,3.98,4.09,3.94,864800.0,0.015,BWA
2000-03-02,4.12,4.03,4.15,4.03,984000.0,0.0148,BWA
2000-03-03,4.08,4.16,4.16,4.06,835200.0,-0.0097,BWA
2000-03-06,4.09,4.11,4.19,4.06,757600.0,0.0025,BWA
2000-03-07,3.99,4.09,4.1,3.98,1050000.0,-0.024399999999999998,BWA
2000-03-08,3.91,4.0,4.02,3.91,1140000.0,-0.020099999999999996,BWA
2000-03-09,3.88,3.91,3.91,3.85,1500000.0,-0.0077,BWA
2000-03-10,3.97,3.88,4.05,3.88,895200.0,0.0232,BWA
2000-03-13,4.05,3.88,4.14,3.88,1530000.0,0.0202,BWA
2000-03-14,4.07,4.06,4.21,4.03,1520000.0,0.0049,BWA
2000-03-15,4.16,4.07,4.22,4.06,2009999.9999999998,0.022099999999999998,BWA
2000-03-16,4.34,4.2,4.4,4.2,1400000.0,0.0433,BWA
2000-03-17,4.56,4.32,4.58,4.32,1550000.0,0.0507,BWA
2000-03-20,4.52,4.47,4.66,4.47,2230000.0,-0.0088,BWA
2000-03-21,4.59,4.53,4.62,4.53,712800.0,0.0155,BWA
2000-03-22,4.57,4.59,4.62,4.56,932800.0,-0.0044,BWA
2000-03-23,4.66,4.57,4.66,4.57,1040000.0,0.0197,BWA
2000-03-24,4.61,4.69,4.71,4.5,1800000.0,-0.010700000000000001,BWA
2000-03-27,4.52,4.61,4.61,4.51,840000.0,-0.0195,BWA
2000-03-28,4.51,4.54,4.55,4.5,704800.0,-0.0022,BWA
2000-03-29,4.39,4.51,4.51,4.38,2150000.0,-0.026600000000000002,BWA
2000-03-30,4.54,4.39,4.55,4.39,1390000.0,0.0342,BWA
2000-03-31,4.92,4.58,4.92,4.56,2089999.9999999998,0.0837,BWA
2000-04-03,4.74,4.92,4.92,4.7,845600.0,-0.0366,BWA
2000-04-04,4.66,4.78,4.87,4.62,1020000.0,-0.0169,BWA
2000-04-05,4.83,4.62,4.85,4.62,610400.0,0.0365,BWA
2000-04-06,4.91,4.85,4.95,4.85,979200.0,0.0166,BWA
2000-04-07,4.91,4.92,4.93,4.88,763200.0,0.0,BWA
2000-04-10,4.95,4.94,5.06,4.94,1100000.0,0.008100000000000001,BWA
2000-04-11,5.0,4.95,5.0,4.86,883200.0,0.0101,BWA
2000-04-12,5.2,5.02,5.23,4.98,2040000.0,0.04,BWA
2000-04-13,5.11,5.17,5.17,5.04,1340000.0,-0.0173,BWA
2000-04-14,4.87,5.12,5.12,4.84,872000.0,-0.047,BWA
2000-04-17,4.73,4.88,4.97,4.73,1450000.0,-0.0287,BWA
2000-04-18,4.9,4.75,4.92,4.75,1020000.0,0.0359,BWA
2000-04-19,4.98,4.97,5.12,4.91,929600.0,0.0163,BWA
2000-04-20,4.95,4.98,5.01,4.88,785600.0,-0.006,BWA
2000-04-24,4.91,4.95,4.95,4.9,692000.0,-0.008100000000000001,BWA
2000-04-25,5.22,4.97,5.25,4.97,1490000.0,0.06309999999999999,BWA
2000-04-26,5.22,5.25,5.27,5.18,644000.0,0.0,BWA
2000-04-27,5.12,5.18,5.18,5.07,608000.0,-0.0192,BWA
2000-04-28,5.23,5.14,5.3,5.13,1050000.0,0.0215,BWA
2000-05-01,5.27,5.23,5.33,5.2,982400.0,0.0076,BWA
2000-05-02,5.26,5.27,5.3,5.25,829600.0,-0.0019,BWA
2000-05-03,5.0,5.25,5.25,5.0,617600.0,-0.049400000000000006,BWA
2000-05-04,5.12,5.03,5.25,5.0,811200.0,0.024,BWA
2000-05-05,5.23,5.16,5.36,5.14,584000.0,0.0215,BWA
2000-05-08,5.13,5.22,5.22,5.11,668000.0,-0.0191,BWA
2000-05-09,5.3,5.12,5.32,5.11,1120000.0,0.0331,BWA
2000-05-10,5.33,5.3,5.37,5.3,850400.0,0.005699999999999999,BWA
2000-05-11,5.49,5.38,5.49,5.38,1220000.0,0.03,BWA
2000-05-12,5.41,5.49,5.62,5.4,1080000.0,-0.0146,BWA
2000-05-15,5.38,5.43,5.43,5.34,679200.0,-0.0055000000000000005,BWA
2000-05-16,5.52,5.42,5.53,5.42,552000.0,0.026000000000000002,BWA
2000-05-17,5.46,5.48,5.52,5.38,1260000.0,-0.0109,BWA
2000-05-18,5.42,5.46,5.47,5.42,904000.0,-0.0073,BWA
2000-05-19,5.38,5.42,5.45,5.36,523200.00000000006,-0.0074,BWA
2000-05-22,5.22,5.36,5.39,5.14,1120000.0,-0.0297,BWA
2000-05-23,5.16,5.19,5.21,5.16,1180000.0,-0.0115,BWA
2000-05-24,5.19,5.18,5.23,5.16,2040000.0,0.0058,BWA
2000-05-25,5.15,5.2,5.21,5.09,1220000.0,-0.0077,BWA
2000-05-26,4.98,5.12,5.12,4.97,1300000.0,-0.033,BWA
2000-05-30,5.09,4.98,5.09,4.94,1790000.0,0.022099999999999998,BWA
2000-05-31,4.97,5.08,5.09,4.97,1250000.0,-0.0236,BWA
2000-06-01,5.08,4.98,5.08,4.98,417600.0,0.022099999999999998,BWA
2000-06-02,5.07,5.09,5.14,5.06,691200.0,-0.002,BWA
2000-06-05,5.12,5.05,5.17,5.05,1260000.0,0.009899999999999999,BWA
2000-06-06,5.01,5.13,5.13,5.0,648800.0,-0.0215,BWA
2000-06-07,5.02,5.02,5.07,5.0,510400.0,0.002,BWA
2000-06-08,4.9,5.03,5.03,4.89,968000.0,-0.0239,BWA
2000-06-09,4.73,4.91,4.91,4.73,851200.0,-0.0347,BWA
2000-06-12,4.83,4.75,4.84,4.59,1910000.0,0.021099999999999997,BWA
2000-06-13,4.81,4.8,4.84,4.78,1150000.0,-0.0040999999999999995,BWA
2000-06-14,4.73,4.78,4.78,4.73,540000.0,-0.0166,BWA
2000-06-15,4.63,4.7,4.76,4.59,1420000.0,-0.021099999999999997,BWA
2000-06-16,4.48,4.61,4.66,4.48,1280000.0,-0.032400000000000005,BWA
2000-06-19,4.52,4.51,4.62,4.51,528000.0,0.0089,BWA
2000-06-20,4.48,4.55,4.55,4.48,560000.0,-0.0088,BWA
2000-06-21,4.45,4.5,4.52,4.45,1070000.0,-0.0067,BWA
2000-06-22,4.52,4.52,4.55,4.41,1530000.0,0.015700000000000002,BWA
2000-06-23,4.58,4.52,4.58,4.52,768800.0,0.013300000000000001,BWA
2000-06-26,4.59,4.61,4.69,4.58,928800.0,0.0022,BWA
2000-06-27,4.61,4.58,4.66,4.58,2670000.0,0.0044,BWA
2000-06-28,4.62,4.62,4.63,4.61,1450000.0,0.0022,BWA
2000-06-29,4.61,4.62,4.65,4.61,2100000.0,-0.0022,BWA
2000-06-30,4.39,4.62,4.63,4.39,2270000.0,-0.04769999999999999,BWA
2000-07-03,4.62,4.42,4.62,4.42,778400.0,0.0524,BWA
2000-07-05,4.6,4.58,4.6,4.52,932000.0,-0.0043,BWA
2000-07-06,4.59,4.6,4.61,4.54,1710000.0,-0.0022,BWA
2000-07-07,4.48,4.6,4.62,4.48,1120000.0,-0.024,BWA
2000-07-10,4.62,4.52,4.62,4.51,1300000.0,0.031200000000000002,BWA
