Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,22.88,22.5,22.94,21.94,1660000.0,0.0084,CAG
2000-01-04,22.44,22.25,22.62,22.19,2180000.0,-0.0192,CAG
2000-01-05,22.06,22.38,22.5,22.0,1200000.0,-0.0169,CAG
2000-01-06,22.69,22.0,22.75,21.88,1540000.0,0.0286,CAG
2000-01-07,23.19,23.69,23.88,23.0,1330000.0,0.022000000000000002,CAG
2000-01-10,23.0,23.19,23.81,22.75,926100.0,-0.008199999999999999,CAG
2000-01-11,23.75,22.62,23.94,22.62,1290000.0,0.0326,CAG
2000-01-12,23.81,23.56,24.44,23.56,1400000.0,0.0025,CAG
2000-01-13,23.12,23.56,23.69,23.0,744800.0,-0.028999999999999998,CAG
2000-01-14,22.38,22.88,22.94,22.25,1620000.0,-0.032,CAG
2000-01-18,22.44,22.38,22.62,22.06,1500000.0,0.0027,CAG
2000-01-19,22.75,22.19,22.81,22.19,1370000.0,0.0138,CAG
2000-01-20,23.06,22.62,23.19,22.5,1660000.0,0.013600000000000001,CAG
2000-01-21,23.12,23.19,23.5,22.69,1560000.0,0.0026,CAG
2000-01-24,22.5,23.06,23.25,22.38,787700.0,-0.0268,CAG
2000-01-25,21.94,22.25,22.62,21.94,1230000.0,-0.024900000000000002,CAG
2000-01-26,21.25,21.75,22.06,21.0,1750000.0,-0.031400000000000004,CAG
2000-01-27,21.06,21.75,21.88,20.94,992600.0,-0.0089,CAG
2000-01-28,20.69,21.06,21.06,20.38,987800.0,-0.0176,CAG
2000-01-31,21.44,20.69,21.75,20.06,1010000.0,0.0362,CAG
2000-02-01,21.06,21.12,21.25,20.69,1000000.0,-0.0177,CAG
2000-02-02,20.25,20.81,21.0,19.5,1330000.0,-0.0385,CAG
2000-02-03,20.56,20.25,20.88,19.88,1680000.0,0.015300000000000001,CAG
2000-02-04,21.0,20.56,21.06,20.38,1440000.0,0.021400000000000002,CAG
2000-02-07,20.5,21.0,21.0,20.19,897400.0,-0.023799999999999998,CAG
2000-02-08,20.56,20.5,20.56,20.19,671600.0,0.0029,CAG
2000-02-09,19.88,20.5,20.56,19.81,1540000.0,-0.0331,CAG
2000-02-10,19.06,19.88,20.31,18.94,1700000.0,-0.0412,CAG
2000-02-11,18.88,19.31,19.5,18.56,1340000.0,-0.009399999999999999,CAG
2000-02-14,18.56,19.0,19.19,18.31,880200.0,-0.0169,CAG
2000-02-15,18.56,18.56,19.12,18.19,2080000.0,0.0,CAG
2000-02-16,18.25,18.56,18.69,17.88,2980000.0,-0.0167,CAG
2000-02-17,17.88,18.62,18.69,17.75,1550000.0,-0.0203,CAG
2000-02-18,17.88,17.5,18.0,17.38,2960000.0,0.0,CAG
2000-02-22,17.88,17.0,18.12,17.0,1330000.0,0.0,CAG
2000-02-23,16.88,17.69,17.81,16.81,1230000.0,-0.0559,CAG
2000-02-24,16.38,16.88,16.94,15.88,1940000.0,-0.0296,CAG
2000-02-25,16.12,16.94,16.94,16.0,1330000.0,-0.0159,CAG
2000-02-28,16.44,16.12,16.69,16.06,1140000.0,0.0199,CAG
2000-02-29,16.38,16.38,16.88,16.06,1540000.0,-0.0036,CAG
2000-03-01,16.75,16.62,17.0,16.44,2300000.0,0.0226,CAG
2000-03-02,16.12,16.75,16.88,16.0,3140000.0,-0.037599999999999995,CAG
2000-03-03,16.25,16.12,16.75,16.06,2660000.0,0.008100000000000001,CAG
2000-03-06,16.0,16.19,16.25,15.69,2590000.0,-0.0154,CAG
2000-03-07,15.5,15.88,16.0,15.19,4460000.0,-0.0313,CAG
2000-03-08,15.81,15.25,16.0,15.25,1720000.0,0.02,CAG
2000-03-09,15.81,15.88,15.94,15.5,1390000.0,0.0,CAG
2000-03-10,15.62,15.62,15.94,15.25,1810000.0,-0.012,CAG
2000-03-13,15.5,15.75,15.75,15.12,1270000.0,-0.0077,CAG
2000-03-14,15.62,15.62,15.69,15.38,1370000.0,0.0077,CAG
2000-03-15,15.62,15.38,15.75,15.06,3300000.0,0.0,CAG
2000-03-16,17.06,15.81,17.5,15.81,2800000.0,0.0922,CAG
2000-03-17,17.0,17.56,17.56,17.0,1850000.0,-0.0034999999999999996,CAG
2000-03-20,17.5,17.25,17.56,17.06,1240000.0,0.0294,CAG
