Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,23.61,23.34,23.76,23.28,1220000.0,0.0301,CAH
2000-01-04,23.34,23.82,24.17,23.22,1950000.0,-0.011399999999999999,CAH
2000-01-05,24.98,23.46,25.04,23.25,2670000.0,0.0703,CAH
2000-01-06,25.85,24.98,26.09,24.68,1880000.0,0.0348,CAH
2000-01-07,28.18,26.57,28.36,26.57,3390000.0,0.0901,CAH
2000-01-10,26.81,28.72,29.14,26.36,2040000.0,-0.048600000000000004,CAH
2000-01-11,26.99,27.05,27.58,26.75,1680000.0,0.0067,CAH
2000-01-12,27.47,26.87,27.67,26.81,998250.0,0.0178,CAH
2000-01-13,28.09,27.76,29.08,27.7,2820000.0,0.0226,CAH
2000-01-14,28.42,28.36,28.6,27.76,1850000.0,0.011699999999999999,CAH
2000-01-18,27.05,28.45,28.45,26.81,1560000.0,-0.0482,CAH
2000-01-19,27.91,26.93,28.21,26.87,2130000.0,0.0318,CAH
2000-01-20,25.61,27.64,27.64,24.41,3560000.0,-0.0824,CAH
2000-01-21,24.95,25.61,25.7,24.41,2430000.0,-0.0258,CAH
2000-01-24,24.41,25.13,25.19,24.05,2720000.0,-0.0216,CAH
2000-01-25,23.67,24.29,24.41,23.46,3150000.0,-0.030299999999999997,CAH
2000-01-26,23.64,23.7,24.29,23.52,3340000.0,-0.0013,CAH
2000-01-27,23.73,23.64,24.29,23.22,1650000.0,0.0038,CAH
2000-01-28,23.34,23.64,23.7,22.98,1400000.0,-0.016399999999999998,CAH
2000-01-31,22.83,23.1,23.13,21.78,2210000.0,-0.0219,CAH
2000-02-01,23.9,23.1,24.02,22.92,2160000.0,0.046900000000000004,CAH
2000-02-02,22.86,23.9,23.9,22.83,1900000.0,-0.0435,CAH
2000-02-03,22.89,22.98,23.22,22.5,1490000.0,0.0013,CAH
2000-02-04,23.58,22.98,23.85,22.95,1430000.0,0.0301,CAH
2000-02-07,23.7,23.58,23.96,23.22,1300000.0,0.0051,CAH
2000-02-08,24.53,23.93,24.53,23.79,1520000.0,0.035,CAH
2000-02-09,23.96,24.53,24.53,23.85,816150.0,-0.0232,CAH
2000-02-10,23.55,24.41,24.65,23.49,1390000.0,-0.0171,CAH
2000-02-11,22.53,23.55,23.64,22.29,1480000.0,-0.0433,CAH
2000-02-14,21.96,22.68,22.74,21.66,2200000.0,-0.0253,CAH
2000-02-15,21.27,21.72,21.93,21.03,2580000.0,-0.031400000000000004,CAH
