Date,Close,Open,High,Low,Volume,Change,Symbol
2020-03-20,12.75,13.0,13.0,12.0,2350.0,0.0625,CARR
2020-03-23,11.54,12.75,12.75,11.5,18710.0,-0.0949,CARR
2020-03-24,11.7,12.9,12.9,11.5,96070.0,0.0139,CARR
2020-03-25,13.45,11.8,13.45,11.8,19240.0,0.1496,CARR
2020-03-26,15.45,14.0,15.45,14.0,76380.0,0.1487,CARR
2020-03-27,14.55,15.0,16.0,14.55,486510.0,-0.0583,CARR
2020-03-30,15.9,15.25,16.5,15.25,209980.0,0.0928,CARR
2020-03-31,17.25,16.39,17.25,14.56,461470.0,0.0849,CARR
2020-04-01,15.05,16.0,16.0,14.56,3000000.0,-0.1275,CARR
2020-04-02,13.28,15.66,15.9,12.12,15970000.0,-0.1176,CARR
2020-04-03,16.92,13.75,17.0,13.38,66930000.00000001,0.2741,CARR
2020-04-06,15.44,17.06,17.15,14.85,37140000.0,-0.0875,CARR
2020-04-07,15.25,15.2,15.8,14.55,23490000.0,-0.0123,CARR
2020-04-08,14.26,14.5,15.25,13.73,49370000.0,-0.0649,CARR
2020-04-09,14.78,14.0,15.5,13.9,34990000.0,0.0365,CARR
2020-04-13,13.99,14.5,14.5,13.98,21500000.0,-0.0535,CARR
2020-04-14,13.87,14.0,14.2,13.78,22350000.0,-0.0086,CARR
2020-04-15,13.36,13.53,13.65,12.94,14990000.0,-0.0368,CARR
2020-04-16,12.89,13.15,13.25,12.26,21750000.0,-0.0352,CARR
2020-04-17,13.74,13.3,13.83,12.93,21340000.0,0.0659,CARR
2020-04-20,14.45,13.5,14.74,13.48,20030000.0,0.051699999999999996,CARR
2020-04-21,14.69,14.22,15.25,14.18,16239999.999999998,0.0166,CARR
2020-04-22,14.79,14.95,15.16,14.22,12540000.0,0.0068000000000000005,CARR
2020-04-23,15.72,14.7,15.92,14.61,12230000.0,0.0629,CARR
2020-04-24,16.25,15.6,16.67,15.29,17390000.0,0.0337,CARR
2020-04-27,16.8,16.17,16.81,15.98,12190000.0,0.0338,CARR
2020-04-28,17.0,16.88,17.75,16.61,12980000.0,0.011899999999999999,CARR
2020-04-29,17.64,17.46,18.08,17.17,12520000.0,0.037599999999999995,CARR
2020-04-30,17.71,17.22,17.84,16.99,19090000.0,0.004,CARR
2020-05-01,16.77,17.33,17.35,16.62,10730000.0,-0.053099999999999994,CARR
2020-05-04,16.4,16.15,16.52,15.69,9700000.0,-0.022099999999999998,CARR
2020-05-05,15.97,16.68,16.76,15.84,16300000.0,-0.0262,CARR
2020-05-06,16.29,16.0,16.37,15.43,10650000.0,0.02,CARR
2020-05-07,16.41,16.21,17.04,15.88,12450000.0,0.0074,CARR
2020-05-08,18.36,17.04,18.4,16.93,18120000.0,0.1188,CARR
2020-05-11,18.35,18.43,18.75,18.02,9570000.0,-0.0005,CARR
2020-05-12,17.8,18.39,18.4,17.69,7740000.0,-0.03,CARR
2020-05-13,16.44,17.23,17.43,16.12,10680000.0,-0.0764,CARR
2020-05-14,16.55,16.1,16.71,15.74,7800000.0,0.0067,CARR
2020-05-15,16.71,16.2,16.96,16.04,7350000.0,0.0097,CARR
2020-05-18,17.55,17.34,17.71,17.3,6140000.0,0.050300000000000004,CARR
2020-05-19,17.77,17.38,17.92,17.15,8340000.0,0.0125,CARR
2020-05-20,18.73,18.16,19.05,18.16,11910000.0,0.054000000000000006,CARR
2020-05-21,19.45,18.51,19.52,18.5,9710000.0,0.0384,CARR
2020-05-22,19.05,19.47,19.86,18.95,5940000.0,-0.0206,CARR
2020-05-26,19.51,19.59,20.6,19.35,7310000.0,0.0241,CARR
2020-05-27,19.99,19.64,20.12,19.44,8970000.0,0.0246,CARR
2020-05-28,19.6,20.09,20.46,19.52,8510000.0,-0.0195,CARR
2020-05-29,20.47,18.96,20.98,18.88,32990000.000000004,0.0444,CARR
2020-06-01,21.82,20.72,21.94,20.58,7700000.0,0.066,CARR
2020-06-02,21.36,21.63,21.77,20.91,8300000.000000001,-0.021099999999999997,CARR
2020-06-03,22.22,21.47,22.58,21.39,9640000.0,0.0403,CARR
2020-06-04,22.68,22.23,23.11,22.23,6650000.0,0.0207,CARR
2020-06-05,23.56,23.79,24.4,23.38,7840000.0,0.0388,CARR
2020-06-08,24.37,23.56,24.37,23.33,8570000.0,0.0344,CARR
2020-06-09,23.21,23.8,23.96,23.21,6850000.0,-0.047599999999999996,CARR
2020-06-10,22.2,22.26,23.14,22.06,10260000.0,-0.0435,CARR
2020-06-11,21.06,20.12,21.79,20.01,6830000.0,-0.051399999999999994,CARR
2020-06-12,21.54,22.0,22.31,21.02,5210000.0,0.022799999999999997,CARR
2020-06-15,21.97,20.64,22.53,20.63,7740000.0,0.02,CARR
2020-06-16,22.07,22.86,22.86,21.95,7290000.0,0.0046,CARR
2020-06-17,21.26,22.32,22.32,21.08,5740000.0,-0.036699999999999997,CARR
2020-06-18,21.25,21.11,21.86,21.04,3620000.0,-0.0005,CARR
2020-06-19,21.45,21.76,21.85,21.0,14450000.0,0.009399999999999999,CARR
2020-06-22,22.74,21.51,22.82,21.33,6000000.0,0.0601,CARR
2020-06-23,22.39,23.19,23.2,22.34,5960000.0,-0.0154,CARR
2020-06-24,21.82,22.12,22.65,21.46,6830000.0,-0.0255,CARR
2020-06-25,21.52,21.64,21.86,21.04,6140000.0,-0.0137,CARR
2020-06-26,20.97,21.52,21.74,20.59,21350000.0,-0.0256,CARR
2020-06-29,22.12,21.04,22.46,21.01,8090000.0,0.0548,CARR
2020-06-30,22.22,21.81,22.4,21.42,7080000.0,0.0045000000000000005,CARR
2020-07-01,22.61,22.27,23.01,21.89,9180000.0,0.0176,CARR
2020-07-02,22.91,23.0,23.21,22.57,5670000.0,0.013300000000000001,CARR
2020-07-06,24.21,23.13,24.29,23.13,7150000.0,0.0567,CARR
2020-07-07,24.01,23.76,24.18,23.72,4670000.0,-0.0083,CARR
2020-07-08,23.99,23.97,24.07,23.46,4690000.0,-0.0008,CARR
2020-07-09,23.91,24.0,24.22,23.76,5470000.0,-0.0033,CARR
2020-07-10,24.89,23.84,26.06,23.72,12260000.0,0.040999999999999995,CARR
2020-07-13,24.28,24.93,25.2,24.04,8560000.0,-0.0245,CARR
2020-07-14,25.15,24.45,25.16,24.26,7220000.0,0.0358,CARR
2020-07-15,26.45,25.66,26.55,25.56,5800000.0,0.051699999999999996,CARR
2020-07-16,26.61,26.12,26.99,25.92,4840000.0,0.006,CARR
2020-07-17,26.48,26.76,26.8,26.35,3190000.0,-0.0049,CARR
2020-07-20,26.41,26.24,26.52,26.07,2440000.0,-0.0026,CARR
2020-07-21,26.57,26.34,26.79,26.17,4950000.0,0.0060999999999999995,CARR
2020-07-22,26.6,26.34,27.06,26.32,3440000.0,0.0011,CARR
2020-07-23,27.35,26.55,27.62,26.55,6250000.0,0.0282,CARR
