Date,Close,Open,High,Low,Volume,Change,Symbol
2005-01-21,16.0,16.0,16.2,15.5,22150000.0,-0.8704000000000001,CE
2005-01-24,16.0,16.05,16.08,16.0,3510000.0,0.0,CE
2005-01-25,15.65,16.0,16.01,15.5,3000000.0,-0.0219,CE
2005-01-26,15.59,15.55,15.63,15.5,1470000.0,-0.0038,CE
2005-01-27,15.78,15.59,15.85,15.1,858000.0,0.012199999999999999,CE
2005-01-28,16.0,15.8,16.02,15.78,697300.0,0.0139,CE
2005-01-31,16.13,16.05,16.26,16.02,1640000.0,0.008100000000000001,CE
2005-02-01,16.2,16.13,16.28,16.0,838100.0,0.0043,CE
2005-02-02,16.2,16.2,16.34,16.16,759200.0,0.0,CE
2005-02-03,16.01,16.21,16.21,15.99,729500.0,-0.011699999999999999,CE
2005-02-04,16.04,16.04,16.07,16.0,926600.0,0.0019,CE
2005-02-07,15.75,16.03,16.1,15.75,1130000.0,-0.0181,CE
2005-02-08,15.8,15.75,16.0,15.71,274900.0,0.0032,CE
2005-02-09,15.79,15.83,15.94,15.68,410500.0,-0.0006,CE
2005-02-10,15.58,15.7,15.71,15.5,551600.0,-0.013300000000000001,CE
2005-02-11,15.57,15.52,15.74,15.25,842000.0,-0.0006,CE
2005-02-14,15.6,15.3,15.65,15.1,652500.0,0.0019,CE
2005-02-15,15.94,15.57,16.0,15.55,438400.0,0.0218,CE
2005-02-16,16.1,15.95,16.14,15.81,514799.99999999994,0.01,CE
2005-02-17,16.5,16.15,16.7,16.11,928500.0,0.0248,CE
2005-02-18,16.74,16.57,16.8,16.4,2400000.0,0.014499999999999999,CE
2005-02-22,16.45,16.52,16.79,16.37,782700.0,-0.0173,CE
2005-02-23,16.6,16.4,16.75,16.35,474500.0,0.0091,CE
2005-02-24,16.75,16.51,16.75,16.45,483000.0,0.009000000000000001,CE
2005-02-25,17.27,16.75,17.27,16.75,1240000.0,0.031,CE
2005-02-28,16.7,17.25,17.25,16.55,993300.0,-0.033,CE
2005-03-01,16.16,16.68,16.68,16.12,916800.0,-0.0323,CE
2005-03-02,16.36,16.55,16.71,16.05,1280000.0,0.0124,CE
2005-03-03,16.25,16.5,16.7,16.25,836400.0,-0.0067,CE
2005-03-04,16.51,16.4,16.76,16.35,1140000.0,0.016,CE
2005-03-07,17.09,16.68,17.16,16.67,1400000.0,0.0351,CE
2005-03-08,17.25,17.45,17.45,17.2,1200000.0,0.009399999999999999,CE
2005-03-09,17.95,17.5,18.24,17.36,1470000.0,0.0406,CE
2005-03-10,17.9,17.95,18.09,17.39,966700.0,-0.0028000000000000004,CE
2005-03-11,18.0,18.05,18.08,17.9,722300.0,0.005600000000000001,CE
2005-03-14,17.85,18.03,18.16,17.42,1090000.0,-0.0083,CE
2005-03-15,17.65,17.98,18.25,17.52,687800.0,-0.011200000000000002,CE
2005-03-16,17.32,17.45,17.7,17.18,726300.0,-0.0187,CE
2005-03-17,17.39,17.22,17.5,17.22,301200.0,0.004,CE
2005-03-18,17.26,17.35,17.4,17.17,383200.0,-0.0075,CE
2005-03-21,16.95,17.26,17.35,16.76,394800.0,-0.018000000000000002,CE
2005-03-22,16.99,17.07,17.14,16.99,282500.0,0.0024,CE
2005-03-23,16.9,17.0,17.3,16.7,767300.0,-0.0053,CE
2005-03-24,18.09,18.15,18.65,17.75,2370000.0,0.0704,CE
2005-03-28,17.83,18.3,18.34,17.78,732200.0,-0.0144,CE
2005-03-29,17.41,17.78,18.0,17.4,457300.0,-0.0236,CE
2005-03-30,17.7,17.47,17.85,17.45,522799.99999999994,0.0167,CE
2005-03-31,17.99,17.7,18.2,17.7,1570000.0,0.016399999999999998,CE
2005-04-01,18.1,17.99,18.16,17.5,472000.0,0.0060999999999999995,CE
2005-04-04,17.39,18.02,18.05,17.16,317800.0,-0.0392,CE
2005-04-05,17.33,17.39,17.43,17.15,294900.0,-0.0034999999999999996,CE
2005-04-06,17.25,17.4,17.48,17.2,339900.0,-0.0046,CE
2005-04-07,17.28,17.25,17.39,17.13,148700.0,0.0017000000000000001,CE
2005-04-08,17.02,17.18,17.18,17.02,256800.0,-0.015,CE
2005-04-11,17.08,17.05,17.14,16.98,198600.0,0.0034999999999999996,CE
2005-04-12,17.31,17.07,17.31,16.72,353600.0,0.013500000000000002,CE
2005-04-13,16.81,17.31,17.31,16.79,307000.0,-0.028900000000000002,CE
2005-04-14,16.18,16.8,16.87,16.12,393000.0,-0.0375,CE
2005-04-15,15.65,16.17,16.17,15.53,367600.0,-0.032799999999999996,CE
2005-04-18,15.3,15.0,15.36,14.95,887200.0,-0.022400000000000003,CE
2005-04-19,15.6,15.5,15.6,15.35,583900.0,0.0196,CE
2005-04-20,15.1,15.63,15.69,15.05,186800.0,-0.0321,CE
2005-04-21,15.24,15.2,15.38,15.07,989500.0,0.009300000000000001,CE
2005-04-22,15.0,15.15,15.21,14.7,858800.0,-0.015700000000000002,CE
2005-04-25,15.27,15.05,15.27,15.0,438900.0,0.018000000000000002,CE
2005-04-26,14.78,15.27,15.32,14.75,408600.0,-0.0321,CE
2005-04-27,14.3,14.78,14.78,14.2,496200.0,-0.0325,CE
2005-04-28,14.1,14.32,14.41,14.06,445600.0,-0.013999999999999999,CE
2005-04-29,14.55,14.5,14.7,14.29,874600.0,0.0319,CE
2005-05-02,15.12,14.6,15.12,14.6,862700.0,0.0392,CE
2005-05-03,15.12,15.02,15.35,15.02,353400.0,0.0,CE
2005-05-04,15.21,15.15,15.21,15.0,573700.0,0.006,CE
2005-05-05,15.5,15.22,15.57,15.16,517700.00000000006,0.0191,CE
2005-05-06,15.47,15.55,15.77,15.41,335500.0,-0.0019,CE
2005-05-09,15.91,15.5,16.0,15.5,839900.0,0.028399999999999998,CE
2005-05-10,15.15,15.75,16.2,14.7,1420000.0,-0.0478,CE
2005-05-11,15.09,15.14,15.24,15.0,816500.0,-0.004,CE
2005-05-12,14.85,15.07,15.28,14.68,770900.0,-0.0159,CE
2005-05-13,14.26,14.85,14.9,14.25,420000.0,-0.0397,CE
2005-05-16,14.06,14.3,14.51,14.06,592700.0,-0.013999999999999999,CE
2005-05-17,14.16,14.08,14.16,13.54,805600.0,0.0070999999999999995,CE
2005-05-18,14.64,14.21,14.81,14.08,640000.0,0.0339,CE
2005-05-19,15.28,15.45,15.45,15.11,698600.0,0.0437,CE
2005-05-20,15.55,15.4,15.67,15.25,381100.0,0.0177,CE
2005-05-23,16.25,15.6,16.3,15.51,756600.0,0.045,CE
2005-05-24,16.1,16.25,16.25,15.8,592200.0,-0.0092,CE
2005-05-25,15.94,16.02,16.11,15.78,336200.0,-0.009899999999999999,CE
2005-05-26,15.62,16.04,16.04,15.41,330900.0,-0.020099999999999996,CE
2005-05-27,15.53,15.6,15.63,15.2,297500.0,-0.0058,CE
2005-05-31,15.48,15.52,15.53,15.32,261899.99999999997,-0.0032,CE
2005-06-01,15.76,15.5,15.94,15.5,457000.0,0.0181,CE
2005-06-02,15.95,15.7,15.95,15.64,333500.0,0.0121,CE
2005-06-03,15.88,15.9,15.9,15.8,195900.0,-0.0044,CE
2005-06-06,15.85,15.87,15.87,15.8,295100.0,-0.0019,CE
2005-06-07,15.82,15.9,15.9,15.69,247100.0,-0.0019,CE
2005-06-08,15.79,15.81,15.81,15.74,575200.0,-0.0019,CE
2005-06-09,15.8,15.8,15.84,15.75,492300.0,0.0006,CE
2005-06-10,15.8,15.8,15.8,15.74,236700.0,0.0,CE
2005-06-13,15.64,15.75,15.78,15.54,149600.0,-0.0101,CE
2005-06-14,15.7,15.6,15.8,15.55,528500.0,0.0038,CE
2005-06-15,15.87,15.76,15.87,15.72,1340000.0,0.0108,CE
2005-06-16,16.3,15.87,16.38,15.87,633500.0,0.0271,CE
2005-06-17,15.65,16.35,16.35,15.4,354400.0,-0.039900000000000005,CE
2005-06-20,15.38,15.64,15.75,15.2,248200.0,-0.0173,CE
2005-06-21,15.47,15.35,15.6,15.25,191100.0,0.0059,CE
2005-06-22,15.86,15.52,15.86,15.52,277900.0,0.0252,CE
2005-06-23,15.78,15.85,15.9,15.57,235400.0,-0.005,CE
2005-06-24,15.84,15.75,15.85,15.65,482000.0,0.0038,CE
2005-06-27,15.67,15.84,15.84,15.5,145700.0,-0.010700000000000001,CE
2005-06-28,15.72,15.56,15.76,15.56,468700.0,0.0032,CE
2005-06-29,15.8,15.73,15.86,15.65,713200.0,0.0051,CE
2005-06-30,15.89,15.8,15.96,15.8,788200.0,0.005699999999999999,CE
2005-07-01,15.97,15.94,16.0,15.89,237100.0,0.005,CE
2005-07-05,16.04,15.92,16.06,15.88,244000.0,0.0044,CE
2005-07-06,16.22,16.02,16.23,15.97,333500.0,0.011200000000000002,CE
2005-07-07,16.1,16.03,16.11,15.88,311100.0,-0.0074,CE
2005-07-08,16.23,16.1,16.25,15.92,1250000.0,0.008100000000000001,CE
2005-07-11,16.94,16.4,17.01,16.4,766000.0,0.0437,CE
2005-07-12,17.42,17.1,17.5,17.0,1070000.0,0.028300000000000002,CE
2005-07-13,17.78,17.41,17.85,17.4,676900.0,0.0207,CE
2005-07-14,17.77,17.88,17.89,17.55,353300.0,-0.0006,CE
2005-07-15,17.86,17.77,17.98,17.76,281700.0,0.0051,CE
2005-07-18,17.69,17.15,17.79,17.15,480900.0,-0.0095,CE
2005-07-19,17.98,17.84,18.09,17.66,499400.0,0.016399999999999998,CE
2005-07-20,18.42,17.95,18.47,17.77,1110000.0,0.0245,CE
2005-07-21,18.53,18.5,18.7,18.23,600400.0,0.006,CE
2005-07-22,18.42,18.5,18.5,18.36,139000.0,-0.0059,CE
2005-07-25,18.4,18.4,18.55,18.38,1890000.0,-0.0011,CE
2005-07-26,18.4,18.4,18.47,18.1,408800.0,0.0,CE
2005-07-27,18.79,18.4,18.85,18.4,331000.0,0.0212,CE
2005-07-28,18.7,18.7,18.78,18.56,219700.0,-0.0048,CE
2005-07-29,18.82,18.7,18.82,18.5,197300.0,0.0064,CE
2005-08-01,18.81,18.87,18.87,18.63,199200.0,-0.0005,CE
2005-08-02,18.88,18.8,18.98,18.8,251200.0,0.0037,CE
2005-08-03,18.59,18.88,19.0,18.57,530700.0,-0.0154,CE
2005-08-04,18.44,18.6,18.6,18.33,1220000.0,-0.008100000000000001,CE
2005-08-05,18.44,18.48,18.49,18.26,61700.0,0.0,CE
2005-08-08,18.42,18.49,18.56,18.3,92700.0,-0.0011,CE
2005-08-09,19.01,19.25,19.3,18.72,910100.0,0.032,CE
2005-08-10,19.12,19.25,19.28,19.02,270500.0,0.0058,CE
2005-08-11,19.58,19.05,19.63,19.05,320700.0,0.0241,CE
2005-08-12,19.61,19.48,19.61,19.3,343100.0,0.0015,CE
2005-08-15,19.74,19.62,19.89,19.5,223800.0,0.0066,CE
2005-08-16,19.6,19.61,19.77,19.55,742100.0,-0.0070999999999999995,CE
2005-08-17,19.44,19.58,19.58,19.32,445000.0,-0.008199999999999999,CE
2005-08-18,19.23,19.41,19.44,19.14,331800.0,-0.0108,CE
2005-08-19,19.21,19.23,19.23,19.06,180500.0,-0.001,CE
2005-08-22,19.46,19.21,19.72,19.11,582200.0,0.013000000000000001,CE
2005-08-23,20.06,19.55,20.06,19.55,468100.0,0.0308,CE
2005-08-24,19.75,19.93,19.97,19.71,437900.0,-0.0155,CE
2005-08-25,19.15,19.79,19.85,18.79,633400.0,-0.0304,CE
2005-08-26,18.83,19.15,19.38,18.73,307300.0,-0.0167,CE
2005-08-29,18.61,18.67,18.7,18.01,387600.0,-0.011699999999999999,CE
2005-08-30,18.41,18.6,18.67,18.26,273300.0,-0.010700000000000001,CE
2005-08-31,18.43,18.41,18.55,18.05,451000.0,0.0011,CE
2005-09-01,18.65,18.5,18.8,18.35,433600.0,0.011899999999999999,CE
2005-09-02,18.59,18.65,18.7,18.45,115900.0,-0.0032,CE
2005-09-06,18.66,18.66,18.74,18.48,190400.0,0.0038,CE
2005-09-07,18.82,18.6,19.03,18.59,230200.0,0.0086,CE
2005-09-08,18.89,18.87,19.05,18.83,211300.0,0.0037,CE
