Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,2.55,2.46,2.59,2.46,736800.0,0.0366,CERN
2000-01-04,2.51,2.53,2.55,2.48,1080000.0,-0.015700000000000002,CERN
2000-01-05,2.51,2.52,2.52,2.47,1120000.0,0.0,CERN
2000-01-06,2.49,2.49,2.51,2.45,1270000.0,-0.008,CERN
2000-01-07,2.54,2.47,2.55,2.44,1910000.0,0.020099999999999996,CERN
2000-01-10,2.62,2.51,2.66,2.49,2480000.0,0.0315,CERN
2000-01-11,2.83,2.64,2.88,2.64,3140000.0,0.0802,CERN
2000-01-12,2.74,2.87,2.9,2.67,2400000.0,-0.0318,CERN
2000-01-13,2.77,2.73,2.85,2.73,1460000.0,0.0109,CERN
2000-01-14,3.02,2.77,3.03,2.75,3090000.0,0.09029999999999999,CERN
2000-01-18,2.94,2.99,3.02,2.88,2150000.0,-0.0265,CERN
2000-01-19,2.68,2.94,2.94,2.51,4580000.0,-0.08839999999999999,CERN
2000-01-20,2.67,2.66,2.76,2.61,4890000.0,-0.0037,CERN
2000-01-21,2.61,2.73,2.73,2.6,2750000.0,-0.0225,CERN
2000-01-24,2.47,2.59,2.62,2.42,4099999.9999999995,-0.0536,CERN
2000-01-25,2.34,2.48,2.48,2.34,2660000.0,-0.0526,CERN
2000-01-26,2.3,2.33,2.44,2.3,1440000.0,-0.0171,CERN
2000-01-27,2.44,2.3,2.51,2.23,1470000.0,0.060899999999999996,CERN
2000-01-28,2.68,2.81,3.0,2.66,12300000.0,0.0984,CERN
2000-01-31,2.48,2.69,2.73,2.45,2510000.0,-0.0746,CERN
2000-02-01,2.57,2.5,2.7,2.48,6040000.0,0.0363,CERN
2000-02-02,2.8,2.56,2.81,2.53,3220000.0,0.0895,CERN
2000-02-03,2.9,2.73,2.94,2.73,2340000.0,0.035699999999999996,CERN
2000-02-04,2.98,2.87,3.03,2.87,2790000.0,0.0276,CERN
2000-02-07,3.19,3.02,3.22,2.91,4830000.0,0.0705,CERN
2000-02-08,3.07,3.21,3.27,2.97,2710000.0,-0.037599999999999995,CERN
2000-02-09,3.0,3.09,3.11,2.95,1460000.0,-0.022799999999999997,CERN
2000-02-10,3.09,2.98,3.09,2.93,1790000.0,0.03,CERN
2000-02-11,3.09,3.09,3.12,3.02,2120000.0,0.0,CERN
2000-02-14,3.75,3.38,3.81,3.36,16990000.0,0.21359999999999998,CERN
2000-02-15,3.97,3.67,3.98,3.56,7660000.0,0.0587,CERN
2000-02-16,3.71,3.95,3.97,3.67,4130000.0,-0.0655,CERN
2000-02-17,3.84,3.7,3.88,3.66,2510000.0,0.035,CERN
2000-02-18,3.66,3.8,3.84,3.66,1650000.0,-0.046900000000000004,CERN
2000-02-22,3.73,3.65,3.77,3.55,1940000.0,0.0191,CERN
2000-02-23,3.91,3.75,4.0,3.72,3170000.0,0.0483,CERN
2000-02-24,4.04,3.89,4.08,3.85,2320000.0,0.0332,CERN
2000-02-25,4.2,4.02,4.27,3.98,4050000.0,0.039599999999999996,CERN
2000-02-28,4.17,4.17,4.2,4.06,1580000.0,-0.0070999999999999995,CERN
2000-02-29,4.43,4.16,4.47,4.05,2650000.0,0.062400000000000004,CERN
2000-03-01,4.24,4.45,4.45,4.2,2450000.0,-0.0429,CERN
2000-03-02,4.42,4.22,4.46,4.22,1690000.0,0.0425,CERN
2000-03-03,4.75,4.58,5.11,4.53,7970000.0,0.0747,CERN
2000-03-06,4.49,4.72,4.73,4.28,7730000.0,-0.0547,CERN
2000-03-07,4.2,4.5,4.5,4.06,5020000.0,-0.0646,CERN
2000-03-08,4.07,4.23,4.25,4.03,4830000.0,-0.031,CERN
2000-03-09,4.11,4.06,4.31,4.0,13300000.0,0.0098,CERN
2000-03-10,4.06,4.16,4.17,4.03,2230000.0,-0.012199999999999999,CERN
2000-03-13,4.0,4.03,4.08,3.95,855200.0,-0.0148,CERN
2000-03-14,3.58,4.0,4.01,3.45,2089999.9999999998,-0.105,CERN
2000-03-15,3.73,3.59,3.87,3.56,2069999.9999999998,0.04190000000000001,CERN
2000-03-16,3.8,3.69,3.85,3.67,3080000.0,0.018799999999999997,CERN
2000-03-17,3.8,3.8,3.88,3.72,379200.0,0.0,CERN
2000-03-20,3.53,3.81,3.91,3.53,2360000.0,-0.0711,CERN
2000-03-21,3.24,3.56,3.57,3.22,6720000.0,-0.08220000000000001,CERN
2000-03-22,3.19,3.24,3.24,3.14,4240000.0,-0.0154,CERN
2000-03-23,3.22,3.2,3.31,3.19,4220000.0,0.009399999999999999,CERN
2000-03-24,3.45,3.22,3.59,3.2,5240000.0,0.07139999999999999,CERN
2000-03-27,3.38,3.34,3.44,3.32,1340000.0,-0.0203,CERN
2000-03-28,3.37,3.36,3.41,3.34,700800.0,-0.003,CERN
2000-03-29,3.33,3.38,3.41,3.31,980000.0,-0.011899999999999999,CERN
2000-03-30,3.27,3.3,3.32,3.12,3110000.0,-0.018000000000000002,CERN
2000-03-31,3.38,3.25,3.48,3.22,2960000.0,0.0336,CERN
2000-04-03,3.3,3.37,3.41,3.27,2500000.0,-0.023700000000000002,CERN
2000-04-04,3.05,3.34,3.34,2.7,2700000.0,-0.0758,CERN
2000-04-05,3.12,3.05,3.23,3.02,742400.0,0.023,CERN
2000-04-06,3.12,3.08,3.22,3.08,1590000.0,0.0,CERN
2000-04-07,4.0,3.61,4.02,3.53,5980000.0,0.2821,CERN
2000-04-10,3.36,4.0,4.01,3.36,2840000.0,-0.16,CERN
2000-04-11,3.4,3.3,3.52,3.22,2089999.9999999998,0.011899999999999999,CERN
2000-04-12,3.34,3.54,3.54,3.25,692000.0,-0.0176,CERN
2000-04-13,3.28,3.3,3.38,3.25,2640000.0,-0.018000000000000002,CERN
2000-04-14,3.04,3.25,3.25,2.91,2110000.0,-0.0732,CERN
2000-04-17,2.95,2.94,3.14,2.89,1820000.0,-0.0296,CERN
2000-04-18,3.16,2.91,3.19,2.91,2009999.9999999998,0.0712,CERN
2000-04-19,3.37,3.2,3.52,3.16,1980000.0,0.0665,CERN
2000-04-20,3.12,3.37,3.48,3.12,1800000.0,-0.0742,CERN
2000-04-24,2.83,2.99,2.99,2.47,4840000.0,-0.0929,CERN
2000-04-25,2.95,2.8,3.05,2.78,1250000.0,0.0424,CERN
2000-04-26,2.83,3.02,3.05,2.78,1680000.0,-0.0407,CERN
2000-04-27,2.91,2.84,2.94,2.81,1930000.0,0.028300000000000002,CERN
2000-04-28,2.76,2.93,2.95,2.47,6000000.0,-0.051500000000000004,CERN
2000-05-01,3.35,2.94,3.38,2.94,4210000.0,0.2138,CERN
2000-05-02,2.94,3.2,3.28,2.94,1190000.0,-0.12240000000000001,CERN
2000-05-03,2.97,2.94,2.97,2.75,998400.0,0.0102,CERN
2000-05-04,3.03,2.95,3.03,2.92,382400.0,0.0202,CERN
2000-05-05,3.01,3.01,3.06,2.97,602400.0,-0.0066,CERN
2000-05-08,2.73,3.03,3.03,2.73,1290000.0,-0.09300000000000001,CERN
2000-05-09,2.89,2.78,2.91,2.72,760000.0,0.058600000000000006,CERN
2000-05-10,2.76,2.84,2.84,2.73,607200.0,-0.045,CERN
2000-05-11,2.99,2.77,3.01,2.76,747200.0,0.0833,CERN
2000-05-12,2.95,2.98,3.02,2.93,733600.0,-0.0134,CERN
2000-05-15,3.14,2.94,3.14,2.88,1150000.0,0.0644,CERN
2000-05-16,2.95,3.12,3.12,2.94,502400.0,-0.0605,CERN
2000-05-17,2.88,2.91,2.94,2.86,1350000.0,-0.023700000000000002,CERN
2000-05-18,2.88,2.88,2.94,2.86,816800.0,0.0,CERN
2000-05-19,2.88,2.86,2.92,2.82,744000.0,0.0,CERN
2000-05-22,3.0,2.84,3.0,2.76,1180000.0,0.0417,CERN
2000-05-23,2.89,2.91,2.95,2.83,1460000.0,-0.036699999999999997,CERN
2000-05-24,2.78,2.84,2.84,2.62,1760000.0,-0.0381,CERN
2000-05-25,2.77,2.78,2.81,2.76,1580000.0,-0.0036,CERN
2000-05-26,2.8,2.78,2.82,2.77,669600.0,0.0108,CERN
2000-05-30,2.98,2.79,3.0,2.79,1050000.0,0.0643,CERN
2000-05-31,2.85,2.93,2.99,2.77,1800000.0,-0.0436,CERN
2000-06-01,2.93,2.92,3.0,2.85,673600.0,0.0281,CERN
2000-06-02,2.91,2.95,3.03,2.88,432000.0,-0.0068000000000000005,CERN
2000-06-05,3.0,2.95,3.02,2.94,526400.0,0.030899999999999997,CERN
2000-06-06,3.12,3.01,3.14,3.01,2210000.0,0.04,CERN
2000-06-07,3.31,3.12,3.31,3.12,1730000.0,0.060899999999999996,CERN
2000-06-08,3.38,3.28,3.44,3.28,3620000.0,0.021099999999999997,CERN
2000-06-09,3.27,3.39,3.4,3.27,1720000.0,-0.0325,CERN
2000-06-12,3.16,3.27,3.28,3.15,928800.0,-0.0336,CERN
2000-06-13,3.16,3.15,3.17,3.08,5670000.0,0.0,CERN
2000-06-14,3.25,3.2,3.27,3.2,3310000.0,0.0285,CERN
2000-06-15,3.12,3.2,3.22,3.08,4000000.0,-0.04,CERN
2000-06-16,3.15,3.12,3.2,3.07,2260000.0,0.0096,CERN
2000-06-19,3.19,3.14,3.26,3.11,835200.0,0.0127,CERN
2000-06-20,3.38,3.26,3.41,3.23,2430000.0,0.0596,CERN
2000-06-21,3.41,3.42,3.62,3.33,4019999.9999999995,0.0089,CERN
2000-06-22,3.23,3.33,3.34,3.19,2790000.0,-0.0528,CERN
2000-06-23,3.3,3.27,3.34,3.2,1130000.0,0.0217,CERN
2000-06-26,3.45,3.31,3.69,3.31,2040000.0,0.0455,CERN
2000-06-27,3.38,3.44,3.48,3.38,1910000.0,-0.0203,CERN
2000-06-28,3.38,3.37,3.43,3.36,1470000.0,0.0,CERN
2000-06-29,3.47,3.38,3.48,3.38,1550000.0,0.026600000000000002,CERN
2000-06-30,3.41,3.42,3.48,3.35,2100000.0,-0.0173,CERN
2000-07-03,3.35,3.39,3.41,3.34,208800.0,-0.0176,CERN
2000-07-05,3.33,3.38,3.38,3.29,3830000.0,-0.006,CERN
2000-07-06,3.52,3.3,3.54,3.3,1650000.0,0.0571,CERN
2000-07-07,3.57,3.55,3.65,3.52,1510000.0,0.014199999999999999,CERN
2000-07-10,3.38,3.56,3.58,3.3,2380000.0,-0.053200000000000004,CERN
2000-07-11,3.46,3.38,3.51,3.37,2470000.0,0.023700000000000002,CERN
2000-07-12,3.63,3.46,3.69,3.45,1920000.0,0.049100000000000005,CERN
2000-07-13,3.73,3.64,3.73,3.6,1190000.0,0.0275,CERN
2000-07-14,3.62,3.7,3.75,3.6,1700000.0,-0.029500000000000002,CERN
2000-07-17,3.66,3.61,3.66,3.57,1430000.0,0.011000000000000001,CERN
2000-07-18,3.61,3.66,3.66,3.56,858400.0,-0.0137,CERN
2000-07-19,3.38,3.58,3.6,3.31,893600.0,-0.0637,CERN
2000-07-20,4.26,3.56,4.3,3.55,11160000.0,0.26039999999999996,CERN
2000-07-21,4.25,4.08,4.28,3.91,5020000.0,-0.0023,CERN
2000-07-24,4.33,4.2,4.36,4.17,2190000.0,0.018799999999999997,CERN
2000-07-25,4.24,4.25,4.28,4.03,2910000.0,-0.0208,CERN
2000-07-26,4.07,4.14,4.2,4.02,3430000.0,-0.0401,CERN
2000-07-27,3.95,4.08,4.09,3.94,1920000.0,-0.029500000000000002,CERN
