Date,Close,Open,High,Low,Volume,Change,Symbol
2005-08-12,3.59,3.25,3.6,3.25,29140000.0,0.10800000000000001,CF
2005-08-15,3.46,3.55,3.57,3.45,10600000.0,-0.0362,CF
2005-08-16,3.43,3.38,3.46,3.38,5140000.0,-0.0087,CF
2005-08-17,3.37,3.43,3.44,3.36,6420000.0,-0.0175,CF
2005-08-18,3.27,3.39,3.4,3.25,12730000.0,-0.0297,CF
2005-08-19,3.32,3.3,3.34,3.25,3030000.0,0.015300000000000001,CF
2005-08-22,3.4,3.33,3.4,3.28,2910000.0,0.0241,CF
2005-08-23,3.51,3.5,3.59,3.46,13470000.0,0.032400000000000005,CF
2005-08-24,3.5,3.5,3.55,3.47,3080000.0,-0.0028000000000000004,CF
2005-08-25,3.49,3.54,3.55,3.48,4670000.0,-0.0029,CF
2005-08-26,3.49,3.51,3.52,3.48,2700000.0,0.0,CF
2005-08-29,3.4,3.38,3.44,3.37,5460000.0,-0.0258,CF
2005-08-30,3.41,3.42,3.48,3.39,2580000.0,0.0029,CF
2005-08-31,3.36,3.41,3.41,3.32,3000000.0,-0.0147,CF
2005-09-01,3.25,3.37,3.37,3.11,12480000.0,-0.0327,CF
2005-09-02,3.21,3.28,3.32,3.2,5750000.0,-0.0123,CF
2005-09-06,3.28,3.24,3.29,3.23,2730000.0,0.0218,CF
2005-09-07,3.24,3.28,3.29,3.2,3640000.0,-0.012199999999999999,CF
2005-09-08,3.26,3.25,3.3,3.25,2560000.0,0.0062,CF
2005-09-09,3.31,3.31,3.32,3.28,2470000.0,0.015300000000000001,CF
2005-09-12,3.22,3.29,3.3,3.2,3300000.0,-0.027200000000000002,CF
2005-09-13,3.18,3.22,3.22,3.14,3800000.0,-0.0124,CF
2005-09-14,3.14,3.15,3.17,3.13,2060000.0,-0.0126,CF
2005-09-15,3.02,3.15,3.16,3.01,6000000.0,-0.0382,CF
2005-09-16,3.06,3.01,3.07,2.91,9560000.0,0.0132,CF
2005-09-19,3.1,3.05,3.19,3.04,5560000.0,0.0131,CF
2005-09-20,3.16,3.1,3.21,3.09,4179999.9999999995,0.0194,CF
2005-09-21,3.0,3.14,3.14,2.94,8310000.000000001,-0.0506,CF
2005-09-22,2.9,3.0,3.01,2.9,7180000.0,-0.0333,CF
2005-09-23,3.12,2.9,3.14,2.9,4830000.0,0.0759,CF
2005-09-26,3.1,3.12,3.16,3.05,7830000.0,-0.0064,CF
2005-09-27,3.09,3.09,3.11,3.07,4510000.0,-0.0032,CF
2005-09-28,3.03,3.08,3.08,3.0,3060000.0,-0.0194,CF
2005-09-29,3.0,3.04,3.1,2.96,6140000.0,-0.009899999999999999,CF
2005-09-30,2.96,3.01,3.02,2.93,12110000.0,-0.013300000000000001,CF
2005-10-03,2.9,2.97,2.97,2.87,4280000.0,-0.0203,CF
2005-10-04,2.81,2.89,2.9,2.81,2000000.0,-0.031,CF
2005-10-05,2.63,2.8,2.8,2.56,10840000.0,-0.0641,CF
2005-10-06,2.68,2.64,2.7,2.62,4120000.0,0.019,CF
2005-10-07,2.7,2.76,2.76,2.69,2170000.0,0.0075,CF
2005-10-10,2.51,2.71,2.73,2.49,2440000.0,-0.0704,CF
2005-10-11,2.43,2.53,2.53,2.4,3260000.0,-0.0319,CF
2005-10-12,2.39,2.42,2.44,2.36,2550000.0,-0.0165,CF
2005-10-13,2.26,2.39,2.39,2.24,3560000.0,-0.054400000000000004,CF
2005-10-14,2.47,2.27,2.5,2.26,7230000.0,0.0929,CF
2005-10-17,2.44,2.47,2.48,2.42,3010000.0,-0.0121,CF
2005-10-18,2.4,2.44,2.44,2.39,2580000.0,-0.016399999999999998,CF
2005-10-19,2.43,2.42,2.45,2.39,5050000.0,0.0125,CF
2005-10-20,2.56,2.44,2.62,2.44,7570000.0,0.0535,CF
2005-10-21,2.59,2.57,2.61,2.55,4030000.0000000005,0.011699999999999999,CF
2005-10-24,2.63,2.59,2.64,2.59,2160000.0,0.0154,CF
2005-10-25,2.64,2.65,2.68,2.62,2630000.0,0.0038,CF
2005-10-26,2.62,2.63,2.67,2.59,2840000.0,-0.0076,CF
2005-10-27,2.6,2.61,2.64,2.59,813000.0,-0.0076,CF
2005-10-28,2.67,2.64,2.69,2.64,1660000.0,0.0269,CF
2005-10-31,2.76,2.7,2.8,2.7,3920000.0,0.0337,CF
2005-11-01,2.72,2.83,2.85,2.71,2830000.0,-0.014499999999999999,CF
2005-11-02,2.71,2.72,2.75,2.65,3460000.0,-0.0037,CF
2005-11-03,2.66,2.68,2.7,2.64,1820000.0,-0.018500000000000003,CF
2005-11-04,2.68,2.66,2.76,2.64,2600000.0,0.0075,CF
2005-11-07,2.71,2.68,2.76,2.67,1780000.0,0.011200000000000002,CF
2005-11-08,2.7,2.69,2.71,2.66,1600000.0,-0.0037,CF
2005-11-09,2.71,2.71,2.76,2.69,2290000.0,0.0037,CF
2005-11-10,2.75,2.72,2.88,2.66,4019999.9999999995,0.0148,CF
2005-11-11,2.81,2.76,2.83,2.76,1350000.0,0.0218,CF
2005-11-14,2.81,2.8,2.84,2.78,1280000.0,0.0,CF
2005-11-15,2.95,2.83,3.01,2.81,7030000.0,0.049800000000000004,CF
2005-11-16,3.03,3.02,3.1,3.0,4790000.0,0.0271,CF
2005-11-17,3.16,3.05,3.18,3.02,8080000.0,0.0429,CF
2005-11-18,3.12,3.16,3.16,3.03,3760000.0,-0.0127,CF
2005-11-21,3.16,3.18,3.19,3.13,4270000.0,0.0128,CF
2005-11-22,3.15,3.16,3.18,3.1,1920000.0,-0.0032,CF
2005-11-23,3.1,3.15,3.15,3.09,1070000.0,-0.0159,CF
2005-11-25,3.12,3.11,3.13,3.11,154000.0,0.006500000000000001,CF
2005-11-28,3.1,3.13,3.14,3.07,1480000.0,-0.0064,CF
2005-11-29,3.1,3.12,3.12,3.09,792500.0,0.0,CF
2005-11-30,3.09,3.1,3.12,3.08,1510000.0,-0.0032,CF
2005-12-01,3.05,3.08,3.1,3.02,3590000.0,-0.0129,CF
2005-12-02,3.11,3.05,3.11,3.03,3130000.0,0.0197,CF
2005-12-05,3.13,3.09,3.16,3.06,3230000.0,0.0064,CF
2005-12-06,3.16,3.15,3.17,3.13,1500000.0,0.0096,CF
2005-12-07,3.12,3.17,3.2,3.12,1760000.0,-0.0127,CF
2005-12-08,3.02,3.12,3.12,3.02,5750000.0,-0.0321,CF
2005-12-09,3.03,3.04,3.06,2.98,5530000.0,0.0033,CF
2005-12-12,3.02,3.04,3.07,3.01,2320000.0,-0.0033,CF
2005-12-13,2.98,3.02,3.05,2.95,3260000.0,-0.0132,CF
2005-12-14,2.96,2.97,2.99,2.94,1970000.0,-0.0067,CF
2005-12-15,2.99,2.95,3.0,2.92,1500000.0,0.0101,CF
2005-12-16,3.02,3.02,3.04,3.0,3500000.0,0.01,CF
2005-12-19,3.05,3.02,3.06,2.96,2890000.0,0.009899999999999999,CF
2005-12-20,2.99,2.96,3.01,2.93,3500000.0,-0.0197,CF
2005-12-21,2.95,3.0,3.0,2.92,1900000.0,-0.0134,CF
