Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,27.48,27.79,27.85,27.23,323140.0,-0.021400000000000002,CINF
2000-01-04,27.46,27.12,27.46,26.78,472200.0,-0.0007000000000000001,CINF
2000-01-05,27.74,27.34,28.08,27.34,333180.0,0.0102,CINF
2000-01-06,27.91,27.68,28.37,27.62,574290.0,0.0060999999999999995,CINF
2000-01-07,28.47,27.96,28.47,27.91,302970.0,0.020099999999999996,CINF
2000-01-10,27.68,28.36,28.53,27.68,352690.0,-0.0277,CINF
2000-01-11,27.46,27.79,27.91,27.12,296240.0,-0.0079,CINF
2000-01-12,27.68,27.34,28.36,27.12,754550.0,0.008,CINF
2000-01-13,28.02,27.82,28.13,27.06,156560.0,0.0123,CINF
2000-01-14,27.34,28.02,28.47,27.34,251700.0,-0.024300000000000002,CINF
2000-01-18,26.56,27.34,27.68,26.39,367460.0,-0.0285,CINF
2000-01-19,26.89,26.72,27.57,26.56,775830.0,0.0124,CINF
2000-01-20,26.05,26.72,27.17,26.05,342990.0,-0.031200000000000002,CINF
2000-01-21,27.06,27.01,27.29,26.67,664700.0,0.0388,CINF
2000-01-24,26.75,27.23,27.23,26.67,384110.0,-0.0115,CINF
2000-01-25,26.61,26.67,27.12,26.5,266470.0,-0.0052,CINF
2000-01-26,27.29,26.67,27.4,26.67,397230.0,0.0256,CINF
2000-01-27,26.22,27.23,27.4,26.11,194260.0,-0.0392,CINF
2000-01-28,24.87,26.11,26.11,24.64,268900.0,-0.051500000000000004,CINF
2000-01-31,25.88,24.9,26.56,24.76,303300.0,0.0406,CINF
2000-02-01,26.16,25.88,27.12,25.43,449270.0,0.0108,CINF
2000-02-02,25.66,25.94,25.99,24.98,259860.0,-0.0191,CINF
2000-02-03,26.56,25.77,27.01,25.54,392820.0,0.0351,CINF
2000-02-04,26.89,26.5,27.46,26.44,659740.0,0.0124,CINF
2000-02-07,25.94,26.89,27.03,25.88,761610.0,-0.0353,CINF
2000-02-08,25.88,25.88,26.78,25.88,414870.0,-0.0023,CINF
2000-02-09,26.36,25.77,27.01,25.77,559190.0,0.018500000000000003,CINF
2000-02-10,26.08,26.19,26.22,25.94,474520.0,-0.0106,CINF
2000-02-11,25.99,26.16,26.16,25.71,294260.0,-0.0034999999999999996,CINF
2000-02-14,25.85,25.99,26.16,25.82,373200.0,-0.0054,CINF
2000-02-15,27.17,25.99,27.17,25.82,543090.0,0.051100000000000007,CINF
2000-02-16,27.34,27.12,27.4,26.95,465920.0,0.0063,CINF
2000-02-17,27.68,27.32,27.96,27.23,329760.0,0.0124,CINF
2000-02-18,27.62,27.74,27.79,27.01,590610.0,-0.0022,CINF
2000-02-22,27.51,27.46,28.36,27.29,401530.0,-0.004,CINF
2000-02-23,27.79,27.51,28.3,27.46,536370.0,0.0102,CINF
2000-02-24,27.17,27.74,27.91,27.17,389730.0,-0.0223,CINF
2000-02-25,26.78,27.17,27.68,26.78,309140.0,-0.0144,CINF
2000-02-28,26.95,26.92,27.62,26.89,297900.0,0.0063,CINF
2000-02-29,26.89,26.92,27.29,26.89,347840.0,-0.0022,CINF
2000-03-01,27.34,26.89,27.34,26.72,543750.0,0.0167,CINF
2000-03-02,28.58,27.12,29.03,27.01,771860.0,0.0454,CINF
2000-03-03,28.64,28.86,29.03,27.91,284330.0,0.0021,CINF
2000-03-06,26.44,28.53,28.75,26.11,408700.0,-0.0768,CINF
2000-03-07,25.26,26.61,26.64,24.76,431740.0,-0.0446,CINF
2000-03-08,24.08,25.43,25.53,23.63,361180.0,-0.0467,CINF
2000-03-09,25.32,24.02,25.32,23.57,690280.0,0.051500000000000004,CINF
2000-03-10,24.19,25.21,25.21,24.19,526110.0,-0.0446,CINF
2000-03-13,24.64,23.74,24.81,23.74,408700.0,0.018600000000000002,CINF
2000-03-14,24.5,24.64,24.76,23.86,306940.0,-0.005699999999999999,CINF
2000-03-15,25.88,24.47,25.99,24.42,347510.0,0.056299999999999996,CINF
2000-03-16,28.98,25.97,29.03,25.88,593030.0,0.1198,CINF
2000-03-17,27.91,28.81,29.26,27.74,818720.0,-0.0369,CINF
2000-03-20,28.75,27.57,29.14,27.57,434270.0,0.0301,CINF
2000-03-21,29.31,28.78,30.49,28.64,348720.0,0.0195,CINF
2000-03-22,28.86,29.31,29.48,28.58,316200.0,-0.0154,CINF
2000-03-23,29.31,28.75,29.37,28.13,381470.0,0.015600000000000001,CINF
2000-03-24,30.61,29.14,30.72,28.81,201540.0,0.0444,CINF
2000-03-27,28.92,30.16,30.61,28.64,196800.0,-0.0552,CINF
2000-03-28,29.71,28.92,30.04,28.02,376720.0,0.0273,CINF
2000-03-29,30.14,29.26,30.16,29.2,514980.0,0.014499999999999999,CINF
2000-03-30,31.68,29.88,31.96,29.82,427660.0,0.051100000000000007,CINF
2000-03-31,33.87,31.62,34.19,31.51,700530.0,0.0691,CINF
2000-04-03,35.05,33.73,35.67,33.59,1410000.0,0.0348,CINF
2000-04-04,35.14,34.77,35.5,34.67,809460.0,0.0026,CINF
2000-04-05,35.95,35.05,36.01,34.77,493150.0,0.0231,CINF
2000-04-06,35.95,35.9,36.06,35.78,866670.0,0.0,CINF
2000-04-07,36.01,35.9,36.01,35.5,431410.0,0.0017000000000000001,CINF
2000-04-10,36.29,35.73,36.68,35.61,1530000.0,0.0078000000000000005,CINF
2000-04-11,36.29,36.01,36.68,35.9,488850.0,0.0,CINF
2000-04-12,35.95,36.06,36.35,35.9,362390.0,-0.009399999999999999,CINF
2000-04-13,36.58,36.06,36.8,35.9,508140.0,0.0175,CINF
2000-04-14,35.0,36.06,36.12,34.77,250050.0,-0.0432,CINF
2000-04-17,36.02,35.0,36.46,34.66,393810.0,0.0291,CINF
2000-04-18,36.46,36.06,36.68,35.78,386980.0,0.012199999999999999,CINF
2000-04-19,35.56,36.26,36.4,34.77,173970.0,-0.024700000000000003,CINF
2000-04-20,36.12,35.43,36.23,34.38,239790.0,0.015700000000000002,CINF
2000-04-24,36.66,35.92,36.68,35.84,236490.0,0.015,CINF
2000-04-25,37.81,36.32,38.2,36.29,781560.0,0.031400000000000004,CINF
2000-04-26,36.85,37.7,37.92,36.85,822130.0,-0.0254,CINF
2000-04-27,35.61,36.46,36.46,35.45,407150.0,-0.0336,CINF
2000-04-28,36.29,35.7,36.63,35.22,425010.0,0.0191,CINF
2000-05-01,37.41,36.12,37.7,35.9,550920.0,0.030899999999999997,CINF
2000-05-02,38.6,37.47,38.99,36.35,1090000.0,0.0318,CINF
2000-05-03,35.67,38.15,38.15,35.16,645620.0,-0.0759,CINF
2000-05-04,35.67,35.61,36.12,35.33,372530.0,0.0,CINF
2000-05-05,35.95,36.06,36.46,35.33,147070.0,0.0078000000000000005,CINF
2000-05-08,35.33,35.73,36.18,35.05,434270.0,-0.0172,CINF
2000-05-09,35.33,35.45,35.45,34.43,551140.0,0.0,CINF
2000-05-10,34.49,35.33,35.9,34.32,245640.0,-0.023799999999999998,CINF
2000-05-11,34.6,35.07,35.11,33.76,398000.0,0.0032,CINF
2000-05-12,35.45,33.98,35.45,33.98,185990.0,0.0246,CINF
2000-05-15,36.23,34.88,36.23,34.88,610450.0,0.022000000000000002,CINF
2000-05-16,37.25,36.06,37.39,35.56,1970000.0,0.0282,CINF
2000-05-17,35.73,36.77,36.91,35.67,622690.0,-0.0408,CINF
2000-05-18,36.29,35.84,36.8,35.78,234940.0,0.015700000000000002,CINF
2000-05-19,34.83,35.67,35.78,34.38,450370.0,-0.04019999999999999,CINF
2000-05-22,36.12,34.74,36.35,34.49,272320.0,0.037000000000000005,CINF
2000-05-23,35.45,35.61,35.77,35.0,297900.0,-0.018500000000000003,CINF
2000-05-24,36.35,35.56,36.51,35.39,490500.0,0.0254,CINF
2000-05-25,35.16,36.12,36.18,34.6,194040.0,-0.0327,CINF
2000-05-26,36.01,35.0,36.29,34.88,414760.0,0.0242,CINF
2000-05-30,36.68,36.01,36.96,35.84,336480.0,0.018600000000000002,CINF
2000-05-31,36.13,36.8,36.91,35.9,409250.0,-0.015,CINF
2000-06-01,36.23,36.18,36.29,35.78,334500.0,0.0028000000000000004,CINF
2000-06-02,36.46,36.46,36.68,36.23,190730.0,0.0063,CINF
2000-06-05,35.39,36.51,36.68,34.43,167140.0,-0.029300000000000003,CINF
2000-06-06,33.81,35.16,35.22,33.36,228000.0,-0.0446,CINF
2000-06-07,35.39,32.63,35.73,32.41,329210.0,0.0467,CINF
2000-06-08,33.93,35.05,35.16,33.31,252250.0,-0.041299999999999996,CINF
2000-06-09,34.1,34.21,34.55,34.04,253240.0,0.005,CINF
2000-06-12,32.69,34.04,34.04,32.58,182130.0,-0.041299999999999996,CINF
2000-06-13,33.42,32.55,33.53,32.18,152370.0,0.0223,CINF
2000-06-14,31.68,33.28,34.15,31.34,180810.0,-0.0521,CINF
2000-06-15,32.46,31.68,33.08,31.62,910330.0,0.0246,CINF
2000-06-16,31.79,32.86,32.97,31.17,734930.0,-0.0206,CINF
2000-06-19,31.28,31.68,32.13,31.28,775940.0,-0.016,CINF
2000-06-20,29.59,31.28,31.96,29.37,392600.0,-0.054000000000000006,CINF
2000-06-21,30.38,29.59,30.66,29.48,699540.0,0.026699999999999998,CINF
2000-06-22,30.38,30.33,30.55,30.21,360410.0,0.0,CINF
2000-06-23,30.83,30.44,31.17,30.16,126020.0,0.0148,CINF
2000-06-26,31.34,30.83,31.51,30.66,778030.0,0.0165,CINF
2000-06-27,30.55,31.2,31.79,30.49,320060.0,-0.0252,CINF
2000-06-28,31.51,30.55,31.96,30.55,264490.0,0.031400000000000004,CINF
2000-06-29,29.88,31.39,33.08,29.88,387310.0,-0.051699999999999996,CINF
2000-06-30,28.3,30.55,30.58,27.91,639450.0,-0.0529,CINF
2000-07-03,28.86,28.3,29.31,28.3,213440.0,0.019799999999999998,CINF
2000-07-05,29.59,29.03,30.04,28.81,213220.0,0.0253,CINF
2000-07-06,29.59,29.59,29.65,29.48,672190.0,0.0,CINF
2000-07-07,29.82,29.85,30.1,29.54,195800.0,0.0078000000000000005,CINF
2000-07-10,29.93,29.76,30.1,29.37,191950.0,0.0037,CINF
2000-07-11,31.0,30.02,31.0,29.82,320940.0,0.0358,CINF
2000-07-12,31.73,31.14,31.79,30.94,382130.0,0.0235,CINF
2000-07-13,32.01,31.56,32.18,31.56,379370.0,0.0088,CINF
2000-07-14,32.52,32.07,32.63,31.96,291720.0,0.0159,CINF
2000-07-17,32.18,32.41,32.41,31.28,286100.0,-0.0105,CINF
2000-07-18,31.51,31.96,32.01,31.06,253800.0,-0.0208,CINF
2000-07-19,31.06,31.48,31.96,30.94,158210.0,-0.0143,CINF
2000-07-20,32.45,31.11,32.91,31.11,223370.0,0.044800000000000006,CINF
2000-07-21,30.89,32.18,32.74,30.78,269230.0,-0.0481,CINF
2000-07-24,31.23,30.78,32.07,30.72,190510.0,0.011000000000000001,CINF
2000-07-25,32.86,31.45,33.53,31.17,537690.0,0.052199999999999996,CINF
2000-07-26,32.8,32.89,33.98,32.8,557640.0,-0.0018,CINF
2000-07-27,34.21,33.46,34.21,33.14,380140.0,0.043,CINF
2000-07-28,33.53,34.15,34.49,32.97,336150.0,-0.0199,CINF
2000-07-31,33.98,33.31,34.32,32.91,412000.0,0.0134,CINF
2000-08-01,35.39,33.98,35.45,33.87,632720.0,0.0415,CINF
2000-08-02,35.22,35.28,35.33,35.05,854550.0,-0.0048,CINF
2000-08-03,35.95,35.16,36.01,35.0,640330.0,0.0207,CINF
2000-08-04,36.01,35.9,36.06,34.88,442870.0,0.0017000000000000001,CINF
2000-08-07,35.73,35.87,35.87,35.05,268130.0,-0.0078000000000000005,CINF
2000-08-08,35.73,35.64,35.84,35.11,259310.0,0.0,CINF
2000-08-09,34.77,35.61,35.61,34.1,106060.0,-0.0269,CINF
2000-08-10,34.94,34.94,35.39,34.49,169680.0,0.0049,CINF
2000-08-11,36.01,35.22,36.06,35.19,385430.0,0.030600000000000002,CINF
2000-08-14,35.95,35.95,35.99,35.56,181250.0,-0.0017000000000000001,CINF
2000-08-15,34.94,35.59,35.6,34.21,420490.0,-0.0281,CINF
2000-08-16,35.28,35.33,35.9,35.11,294480.0,0.0097,CINF
2000-08-17,35.9,35.33,35.95,34.55,211020.0,0.0176,CINF
2000-08-18,35.73,35.64,36.06,34.98,396020.0,-0.004699999999999999,CINF
2000-08-21,35.95,35.73,36.06,35.39,220500.0,0.0062,CINF
2000-08-22,35.61,35.9,35.95,35.61,249720.0,-0.0095,CINF
2000-08-23,35.33,35.67,35.73,34.88,224580.0,-0.0079,CINF
2000-08-24,34.38,35.3,35.39,34.1,126570.0,-0.0269,CINF
2000-08-25,33.81,34.38,34.66,33.81,252910.0,-0.0166,CINF
2000-08-28,34.32,33.9,34.95,33.53,133180.0,0.0151,CINF
2000-08-29,33.76,34.32,34.49,33.42,91290.0,-0.0163,CINF
2000-08-30,34.77,33.73,35.11,33.73,193050.0,0.029900000000000003,CINF
2000-08-31,35.0,34.71,35.11,34.26,237810.0,0.0066,CINF
2000-09-01,34.32,34.97,35.0,33.59,358200.0,-0.0194,CINF
2000-09-05,35.46,34.35,35.73,33.87,343870.0,0.0332,CINF
2000-09-06,35.5,35.33,35.84,34.94,236600.0,0.0011,CINF
2000-09-07,35.0,35.39,35.47,34.38,166040.0,-0.0141,CINF
2000-09-08,35.5,34.94,35.73,34.32,178720.0,0.0143,CINF
2000-09-11,36.06,35.47,36.06,35.45,382240.0,0.0158,CINF
2000-09-12,36.18,35.95,36.57,35.73,418950.0,0.0033,CINF
2000-09-13,35.95,36.4,36.4,35.73,201320.0,-0.0064,CINF
2000-09-14,35.56,35.87,35.95,35.39,125240.0,-0.0108,CINF
2000-09-15,34.49,34.71,35.11,33.93,702840.0,-0.0301,CINF
2000-09-18,33.25,34.55,34.55,32.14,429090.0,-0.036000000000000004,CINF
2000-09-19,34.76,33.36,35.28,33.36,237150.0,0.0454,CINF
2000-09-20,34.14,34.71,34.71,33.48,243320.0,-0.0178,CINF
2000-09-21,34.26,34.1,34.43,33.19,119290.0,0.0034999999999999996,CINF
2000-09-22,34.15,34.01,34.43,33.31,235830.0,-0.0032,CINF
2000-09-25,33.31,33.93,33.98,33.08,191170.0,-0.0246,CINF
2000-09-26,33.14,33.19,33.48,32.86,454010.0,-0.0051,CINF
2000-09-27,31.62,31.73,32.18,30.49,948920.0,-0.045899999999999996,CINF
2000-09-28,32.15,31.62,32.52,31.45,359420.0,0.0168,CINF
2000-09-29,31.96,32.29,33.08,31.9,296130.0,-0.0059,CINF
2000-10-02,32.29,31.87,32.41,30.61,230970.0,0.0103,CINF
2000-10-03,31.28,32.21,32.24,31.06,291610.0,-0.0313,CINF
2000-10-04,30.66,31.39,31.56,30.44,458530.0,-0.019799999999999998,CINF
2000-10-05,31.06,31.06,31.23,30.61,777920.0,0.013000000000000001,CINF
2000-10-06,31.45,31.45,31.96,31.23,496130.0,0.0126,CINF
2000-10-09,30.62,31.28,31.44,30.55,180810.0,-0.0264,CINF
2000-10-10,30.27,31.0,31.0,30.04,257209.99999999997,-0.011399999999999999,CINF
2000-10-11,29.93,30.27,30.78,29.54,323470.0,-0.011200000000000002,CINF
2000-10-12,29.93,29.96,30.1,29.31,334280.0,0.0,CINF
2000-10-13,30.33,30.1,30.49,29.88,393150.0,0.0134,CINF
2000-10-16,30.83,30.44,30.83,29.59,465260.0,0.0165,CINF
2000-10-17,30.55,30.44,30.66,30.27,369670.0,-0.0091,CINF
2000-10-18,30.51,30.21,30.78,30.04,270000.0,-0.0013,CINF
2000-10-19,31.9,30.61,32.39,30.55,515090.00000000006,0.045599999999999995,CINF
2000-10-20,31.45,31.39,32.29,31.28,283120.0,-0.0141,CINF
2000-10-23,31.06,31.68,31.84,30.94,538570.0,-0.0124,CINF
2000-10-24,32.35,31.14,32.74,31.11,382460.0,0.0415,CINF
2000-10-25,32.35,32.46,32.97,32.07,208920.0,0.0,CINF
2000-10-26,32.01,32.27,33.36,31.51,278380.0,-0.0105,CINF
2000-10-27,33.08,31.93,33.48,31.79,232410.0,0.0334,CINF
2000-10-30,34.15,33.03,34.32,33.03,412000.0,0.0323,CINF
2000-10-31,33.08,34.07,34.07,33.08,301970.0,-0.0313,CINF
2000-11-01,33.81,32.89,34.36,32.86,205730.0,0.022099999999999998,CINF
2000-11-02,34.38,33.76,34.88,33.76,328990.0,0.0169,CINF
2000-11-03,33.93,34.24,34.26,33.65,389620.0,-0.0131,CINF
2000-11-06,33.81,33.93,34.1,33.53,125800.0,-0.0034999999999999996,CINF
2000-11-07,32.86,33.87,33.93,32.38,437580.0,-0.0281,CINF
2000-11-08,32.58,32.07,33.48,31.96,174090.0,-0.0085,CINF
2000-11-09,32.41,32.52,33.03,32.29,266250.0,-0.0052,CINF
2000-11-10,32.86,32.46,33.48,32.41,260410.00000000003,0.0139,CINF
2000-11-13,31.96,32.46,33.25,31.73,203080.0,-0.0274,CINF
2000-11-14,32.56,31.97,32.8,31.93,217960.0,0.018799999999999997,CINF
2000-11-15,32.86,32.52,32.97,32.07,228660.0,0.0092,CINF
2000-11-16,33.08,32.69,33.19,32.01,209590.0,0.0067,CINF
2000-11-17,33.03,32.89,33.19,32.58,181800.0,-0.0015,CINF
2000-11-20,32.35,32.74,32.86,31.68,163720.0,-0.0206,CINF
2000-11-21,32.35,32.63,32.8,31.62,177610.0,0.0,CINF
2000-11-22,31.73,31.96,32.52,31.73,176730.0,-0.0192,CINF
2000-11-24,31.62,31.62,31.79,31.46,69790.0,-0.0034999999999999996,CINF
2000-11-27,31.04,31.56,31.56,31.0,189080.0,-0.0183,CINF
2000-11-28,31.62,31.23,32.07,30.94,298890.0,0.0187,CINF
2000-11-29,32.62,32.01,33.31,31.84,399220.0,0.0316,CINF
2000-11-30,32.91,32.49,33.08,32.18,639780.0,0.0089,CINF
2000-12-01,33.7,32.72,33.9,32.52,295580.0,0.024,CINF
2000-12-04,34.04,33.52,34.26,33.48,393810.0,0.0101,CINF
2000-12-05,34.87,34.55,35.11,34.21,299660.0,0.024399999999999998,CINF
2000-12-06,35.67,34.49,35.67,34.43,328660.0,0.0229,CINF
2000-12-07,35.5,35.42,35.67,35.28,271660.0,-0.0048,CINF
2000-12-08,35.83,35.53,36.12,35.5,970640.0,0.009300000000000001,CINF
2000-12-11,36.06,35.78,36.06,35.45,456880.0,0.0064,CINF
2000-12-12,35.88,36.01,36.35,35.39,400100.0,-0.005,CINF
2000-12-13,35.16,35.81,35.88,35.05,259200.0,-0.020099999999999996,CINF
2000-12-14,33.87,35.19,35.22,33.87,470440.0,-0.036699999999999997,CINF
2000-12-15,33.48,33.36,34.1,33.14,923670.0,-0.0115,CINF
2000-12-18,34.38,33.7,34.55,33.53,459520.0,0.0269,CINF
2000-12-19,34.88,34.43,35.33,34.38,480470.0,0.014499999999999999,CINF
2000-12-20,35.11,34.83,35.39,34.43,374190.0,0.0066,CINF
2000-12-21,35.05,35.05,35.22,34.66,449710.0,-0.0017000000000000001,CINF
2000-12-22,35.15,35.11,35.15,34.77,264930.0,0.0029,CINF
2000-12-26,35.05,35.16,35.22,34.77,246190.0,-0.0028000000000000004,CINF
2000-12-27,35.22,35.05,35.39,34.77,224690.0,0.0049,CINF
2000-12-28,35.67,35.16,35.78,34.21,313660.0,0.0128,CINF
2000-12-29,35.61,35.73,36.12,35.39,359970.0,-0.0017000000000000001,CINF
2001-01-02,35.67,35.61,35.95,35.45,669880.0,0.0017000000000000001,CINF
2001-01-03,37.02,35.56,37.13,35.56,886190.0,0.0378,CINF
2001-01-04,35.95,36.96,37.02,35.78,1130000.0,-0.028900000000000002,CINF
2001-01-05,35.84,35.95,36.35,35.22,533720.0,-0.0031,CINF
2001-01-08,36.18,35.56,36.4,35.56,364710.0,0.0095,CINF
2001-01-09,35.95,36.18,36.23,35.33,455880.0,-0.0064,CINF
2001-01-10,35.9,35.73,36.5,35.67,366250.0,-0.0014000000000000002,CINF
2001-01-11,35.11,35.87,35.95,34.55,509020.0,-0.022000000000000002,CINF
2001-01-12,34.04,35.02,35.28,33.53,533500.0,-0.0305,CINF
2001-01-16,34.21,33.65,34.43,33.65,688180.0,0.005,CINF
2001-01-17,33.81,34.21,34.21,33.7,256880.0,-0.011699999999999999,CINF
2001-01-18,33.36,33.62,33.76,33.31,561610.0,-0.013300000000000001,CINF
2001-01-19,32.52,33.25,33.25,32.41,734820.0,-0.0252,CINF
2001-01-22,33.42,32.35,33.93,32.29,839880.0,0.0277,CINF
2001-01-23,33.25,33.36,33.59,32.8,669770.0,-0.0051,CINF
2001-01-24,33.19,33.25,33.31,32.91,590280.0,-0.0018,CINF
2001-01-25,33.31,33.31,33.7,33.08,418950.0,0.0036,CINF
2001-01-26,33.25,33.42,33.53,32.97,332840.0,-0.0018,CINF
2001-01-29,32.97,33.39,33.46,32.91,446950.0,-0.0084,CINF
2001-01-30,32.58,32.91,32.97,32.18,624790.0,-0.0118,CINF
2001-01-31,32.01,32.52,32.52,31.9,443760.0,-0.0175,CINF
2001-02-01,32.07,31.99,32.52,31.84,260190.0,0.0019,CINF
2001-02-02,32.2,32.04,32.41,32.01,277610.0,0.0040999999999999995,CINF
2001-02-05,32.41,32.21,33.14,32.01,269450.0,0.006500000000000001,CINF
2001-02-06,32.76,32.29,33.03,32.2,554780.0,0.0108,CINF
2001-02-07,33.36,32.49,33.42,32.35,222930.0,0.0183,CINF
2001-02-08,33.19,33.53,33.59,32.74,172650.0,-0.0051,CINF
2001-02-09,33.03,33.24,33.36,32.74,147290.0,-0.0048,CINF
2001-02-12,33.76,32.86,33.98,32.41,383230.0,0.022099999999999998,CINF
2001-02-13,33.65,33.81,33.91,33.36,489290.0,-0.0033,CINF
2001-02-14,33.19,33.7,33.81,32.86,319840.0,-0.0137,CINF
2001-02-15,33.36,33.03,33.59,32.52,289190.0,0.0051,CINF
