Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,31.12,32.0,32.0,31.0,2430000.0,-0.0425,CL
2000-01-04,30.31,30.62,30.97,30.25,2360000.0,-0.026000000000000002,CL
2000-01-05,29.28,30.38,30.62,28.88,3170000.0,-0.034,CL
2000-01-06,29.22,29.0,30.0,28.94,5800000.0,-0.002,CL
2000-01-07,30.97,29.56,31.16,29.0,5570000.0,0.0599,CL
2000-01-10,31.81,31.75,31.81,30.88,3050000.0,0.0271,CL
2000-01-11,31.97,31.5,32.41,31.47,3850000.0,0.005,CL
2000-01-12,32.19,31.62,32.22,31.41,2330000.0,0.0069,CL
2000-01-13,32.41,32.06,32.84,31.91,2640000.0,0.0068000000000000005,CL
2000-01-14,31.66,33.0,33.38,31.03,4700000.0,-0.0231,CL
2000-01-18,31.5,31.53,31.81,31.03,2900000.0,-0.0051,CL
2000-01-19,30.75,31.5,31.62,30.56,2470000.0,-0.023799999999999998,CL
2000-01-20,30.97,30.69,31.88,30.25,3080000.0,0.0072,CL
2000-01-21,30.66,31.62,31.62,30.19,3640000.0,-0.01,CL
2000-01-24,30.34,31.38,31.5,30.25,3020000.0,-0.0104,CL
2000-01-25,29.81,30.88,30.91,29.62,1930000.0,-0.0175,CL
2000-01-26,30.09,29.88,30.31,29.47,1370000.0,0.009399999999999999,CL
2000-01-27,30.16,29.88,30.66,29.88,2080000.0,0.0023,CL
2000-01-28,29.75,30.28,30.56,29.25,3140000.0,-0.013600000000000001,CL
2000-01-31,29.62,29.38,29.84,29.25,3410000.0,-0.0044,CL
2000-02-01,29.81,29.62,30.09,29.22,3090000.0,0.0064,CL
2000-02-02,30.66,30.25,30.81,29.88,3010000.0,0.0285,CL
2000-02-03,30.0,30.5,30.88,29.19,4270000.0,-0.0215,CL
2000-02-04,28.12,29.75,29.78,27.5,6500000.0,-0.06269999999999999,CL
2000-02-07,28.19,28.12,28.41,26.78,5910000.0,0.0025,CL
2000-02-08,29.34,28.19,29.69,28.19,5460000.0,0.0408,CL
2000-02-09,29.09,29.88,29.88,28.75,4440000.0,-0.0085,CL
2000-02-10,28.75,29.12,29.25,28.69,2440000.0,-0.011699999999999999,CL
2000-02-11,27.94,28.81,28.81,27.81,3300000.0,-0.0282,CL
2000-02-14,27.0,27.97,27.97,26.5,3960000.0,-0.0336,CL
2000-02-15,27.84,27.38,27.91,26.91,4310000.0,0.0311,CL
2000-02-16,27.69,27.94,28.38,27.56,3070000.0,-0.0054,CL
2000-02-17,26.97,27.81,28.0,26.75,2680000.0,-0.026000000000000002,CL
2000-02-18,26.53,26.25,27.44,26.0,4190000.0000000005,-0.0163,CL
2000-02-22,26.19,26.53,26.97,25.34,3110000.0,-0.0128,CL
2000-02-23,25.69,25.94,25.97,25.47,3060000.0,-0.0191,CL
2000-02-24,24.53,25.38,25.81,23.94,4950000.0,-0.0452,CL
2000-02-25,24.12,24.59,24.88,24.0,5930000.0,-0.0167,CL
2000-02-28,25.5,24.44,25.66,24.0,5320000.0,0.0572,CL
2000-02-29,26.09,25.62,26.75,25.31,4970000.0,0.0231,CL
2000-03-01,26.5,26.12,26.81,25.75,3490000.0,0.015700000000000002,CL
2000-03-02,26.31,26.62,26.69,26.25,3090000.0,-0.0072,CL
2000-03-03,27.44,26.31,27.56,26.28,2870000.0,0.0429,CL
2000-03-06,26.41,27.5,27.5,26.31,2240000.0,-0.0375,CL
2000-03-07,23.38,23.0,24.88,22.88,16739999.999999998,-0.11470000000000001,CL
2000-03-08,21.97,23.56,23.94,21.19,15870000.0,-0.0603,CL
2000-03-09,22.0,21.88,22.19,21.5,5240000.0,0.0014000000000000002,CL
2000-03-10,21.38,22.0,22.0,20.44,8010000.0,-0.0282,CL
2000-03-13,21.69,20.25,22.09,20.25,5750000.0,0.014499999999999999,CL
2000-03-14,21.59,21.12,21.78,21.0,3190000.0,-0.0046,CL
2000-03-15,25.91,21.94,27.0,21.88,11820000.0,0.20010000000000003,CL
2000-03-16,25.62,25.91,26.19,24.88,9550000.0,-0.011200000000000002,CL
2000-03-17,24.97,25.12,25.97,24.91,5080000.0,-0.0254,CL
2000-03-20,25.12,24.97,25.5,24.56,3730000.0,0.006,CL
2000-03-21,25.16,24.94,25.75,24.88,4179999.9999999995,0.0016,CL
2000-03-22,25.28,24.94,25.47,24.25,4990000.0,0.0048,CL
2000-03-23,26.56,25.09,27.0,25.0,5920000.0,0.0506,CL
2000-03-24,27.19,26.59,28.0,26.59,4640000.0,0.023700000000000002,CL
2000-03-27,27.09,27.5,27.75,26.97,3350000.0,-0.0037,CL
2000-03-28,28.44,26.69,28.44,26.69,4300000.0,0.049800000000000004,CL
2000-03-29,28.22,28.5,28.81,27.84,4350000.0,-0.0077,CL
2000-03-30,28.09,27.62,28.22,27.28,5770000.0,-0.0046,CL
2000-03-31,28.19,28.19,29.19,27.97,4310000.0,0.0036,CL
2000-04-03,30.25,28.31,30.44,28.22,3760000.0,0.0731,CL
2000-04-04,30.34,30.0,30.81,29.62,5780000.0,0.003,CL
2000-04-05,29.22,30.19,30.88,29.12,3380000.0,-0.0369,CL
2000-04-06,29.5,29.28,30.0,28.5,3070000.0,0.0096,CL
2000-04-07,29.66,29.5,30.0,29.38,2510000.0,0.0054,CL
2000-04-10,30.12,29.0,30.44,28.94,4360000.0,0.0155,CL
2000-04-11,31.31,30.44,31.44,30.38,5010000.0,0.0395,CL
2000-04-12,31.0,31.31,32.62,30.94,6150000.0,-0.009899999999999999,CL
2000-04-13,29.5,30.5,30.75,28.91,5850000.0,-0.0484,CL
2000-04-14,27.59,27.88,28.69,27.22,5030000.0,-0.0647,CL
2000-04-17,28.81,27.5,28.81,27.28,4530000.0,0.044199999999999996,CL
2000-04-18,27.62,28.5,28.5,27.31,4610000.0,-0.041299999999999996,CL
2000-04-19,27.84,28.0,28.0,26.41,7990000.0,0.008,CL
2000-04-20,28.56,27.62,28.69,27.31,5520000.0,0.0259,CL
2000-04-24,29.31,28.47,29.38,28.38,3940000.0,0.0263,CL
2000-04-25,29.59,29.28,30.0,29.06,5270000.0,0.0096,CL
2000-04-26,28.84,29.75,29.75,28.47,3330000.0,-0.0253,CL
2000-04-27,29.34,28.44,29.94,28.19,4570000.0,0.0173,CL
2000-04-28,28.56,28.25,28.88,27.44,4000000.0,-0.026600000000000002,CL
2000-05-01,27.56,28.0,28.25,27.56,2590000.0,-0.035,CL
2000-05-02,28.06,27.56,28.41,27.47,2550000.0,0.0181,CL
2000-05-03,27.75,28.09,28.91,27.66,2160000.0,-0.011000000000000001,CL
2000-05-04,27.97,27.88,28.03,27.62,2009999.9999999998,0.0079,CL
2000-05-05,28.56,28.12,29.03,27.88,2310000.0,0.021099999999999997,CL
2000-05-08,28.81,28.75,29.75,28.47,2150000.0,0.0088,CL
2000-05-09,29.5,28.88,29.72,28.84,3560000.0,0.024,CL
2000-05-10,29.09,29.12,29.88,29.0,3790000.0,-0.0139,CL
2000-05-11,30.09,29.5,30.38,29.31,4050000.0,0.0344,CL
2000-05-12,29.42,30.09,30.09,28.94,1950000.0,-0.0223,CL
2000-05-15,29.62,29.38,29.88,29.31,2100000.0,0.0068000000000000005,CL
2000-05-16,29.03,29.53,29.53,28.81,2380000.0,-0.0199,CL
2000-05-17,29.28,29.06,29.44,28.72,1720000.0,0.0086,CL
