Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,2.0,2.3,2.31,1.73,4050000.0,-0.12279999999999999,CTSH
2000-01-04,1.93,1.96,2.04,1.86,2970000.0,-0.035,CTSH
2000-01-05,2.04,1.87,2.04,1.69,2840000.0,0.057,CTSH
2000-01-06,1.93,2.03,2.04,1.93,1150000.0,-0.053899999999999997,CTSH
2000-01-07,1.96,1.92,1.96,1.79,1320000.0,0.0155,CTSH
2000-01-10,2.0,2.06,2.22,1.98,2790000.0,0.0204,CTSH
2000-01-11,1.98,2.0,2.1,1.95,2060000.0,-0.01,CTSH
2000-01-12,1.89,1.97,1.98,1.84,691270.0,-0.0455,CTSH
2000-01-13,1.96,1.9,1.96,1.88,907290.0,0.037000000000000005,CTSH
2000-01-14,1.9,2.04,2.07,1.87,1400000.0,-0.030600000000000002,CTSH
2000-01-18,1.7,1.89,1.97,1.67,2300000.0,-0.10529999999999999,CTSH
2000-01-19,1.83,1.7,1.89,1.68,1410000.0,0.0765,CTSH
2000-01-20,1.77,1.87,1.96,1.74,2290000.0,-0.032799999999999996,CTSH
2000-01-21,1.71,1.75,1.78,1.66,2029999.9999999998,-0.0339,CTSH
2000-01-24,1.83,1.68,1.87,1.68,2830000.0,0.0702,CTSH
2000-01-25,1.87,1.83,1.87,1.79,916890.0,0.0219,CTSH
2000-01-26,1.9,1.87,2.12,1.87,2580000.0,0.016,CTSH
2000-01-27,1.9,1.95,2.03,1.9,912090.0,0.0,CTSH
2000-01-28,1.87,1.97,1.97,1.86,297630.0,-0.0158,CTSH
2000-01-31,1.57,1.83,1.94,1.52,5500000.0,-0.1604,CTSH
2000-02-01,1.83,1.65,1.87,1.58,3060000.0,0.1656,CTSH
2000-02-02,1.92,1.9,1.96,1.84,1250000.0,0.0492,CTSH
2000-02-03,1.94,1.92,1.98,1.84,1990000.0,0.0104,CTSH
2000-02-04,2.02,2.04,2.04,1.94,1100000.0,0.0412,CTSH
2000-02-07,2.26,2.01,2.27,2.01,5010000.0,0.1188,CTSH
2000-02-08,2.58,2.46,2.68,2.34,10220000.0,0.1416,CTSH
2000-02-09,2.55,2.62,2.62,2.42,3790000.0,-0.0116,CTSH
2000-02-10,2.58,2.52,2.6,2.42,2450000.0,0.0118,CTSH
2000-02-11,2.71,2.58,2.74,2.47,9980000.0,0.0504,CTSH
2000-02-14,2.69,2.81,2.81,2.58,5020000.0,-0.0074,CTSH
2000-02-15,2.66,2.73,2.73,2.58,1270000.0,-0.011200000000000002,CTSH
2000-02-16,2.58,2.64,2.67,2.58,1710000.0,-0.0301,CTSH
2000-02-17,2.56,2.6,2.66,2.5,5710000.0,-0.0078000000000000005,CTSH
2000-02-18,2.41,2.56,2.56,2.41,2480000.0,-0.058600000000000006,CTSH
2000-02-22,2.4,2.41,2.44,2.31,2500000.0,-0.0040999999999999995,CTSH
2000-02-23,2.37,2.4,2.4,2.37,2910000.0,-0.0125,CTSH
2000-02-24,2.27,2.37,2.39,2.27,2630000.0,-0.042199999999999994,CTSH
2000-02-25,2.35,2.29,2.39,2.28,2510000.0,0.0352,CTSH
2000-02-28,2.25,2.37,2.41,2.25,2049999.9999999998,-0.0426,CTSH
2000-02-29,2.27,2.31,2.32,2.21,1440000.0,0.0089,CTSH
2000-03-01,2.25,2.29,2.29,2.21,1760000.0,-0.0088,CTSH
2000-03-02,2.47,2.34,2.54,2.32,9590000.0,0.0978,CTSH
2000-03-03,2.52,2.48,2.6,2.47,5630000.0,0.0202,CTSH
2000-03-06,2.63,2.67,2.69,2.56,6090000.0,0.0437,CTSH
2000-03-07,2.55,2.67,2.72,2.55,1710000.0,-0.0304,CTSH
2000-03-08,2.56,2.59,2.59,2.4,1910000.0,0.0039000000000000003,CTSH
2000-03-09,2.73,2.52,2.79,2.46,2020000.0,0.0664,CTSH
2000-03-10,2.56,2.76,2.79,2.49,2120000.0,-0.0623,CTSH
2000-03-13,2.5,2.49,2.72,2.45,2120000.0,-0.023399999999999997,CTSH
2000-03-14,2.33,2.65,2.65,2.26,4040000.0,-0.068,CTSH
2000-03-15,2.1,2.36,2.36,1.88,6060000.0,-0.0987,CTSH
2000-03-16,2.04,2.06,2.14,1.99,5800000.0,-0.0286,CTSH
2000-03-17,2.34,2.04,2.4,2.03,3760000.0,0.1471,CTSH
2000-03-20,2.37,2.35,2.58,2.31,2540000.0,0.0128,CTSH
2000-03-21,2.49,2.29,2.5,2.24,3090000.0,0.0506,CTSH
2000-03-22,2.58,2.54,2.6,2.5,1610000.0,0.0361,CTSH
2000-03-23,2.7,2.7,2.91,2.62,6230000.0,0.04650000000000001,CTSH
2000-03-24,2.77,2.72,2.92,2.7,2450000.0,0.0259,CTSH
2000-03-27,2.86,2.89,3.0,2.75,1950000.0,0.0325,CTSH
2000-03-28,2.91,2.95,3.0,2.83,2029999.9999999998,0.0175,CTSH
2000-03-29,2.75,2.93,2.93,2.35,4640000.0,-0.055,CTSH
2000-03-30,2.48,2.65,2.71,2.42,2160000.0,-0.09820000000000001,CTSH
2000-03-31,2.6,2.54,2.64,2.39,1500000.0,0.0484,CTSH
2000-04-03,2.25,2.55,2.6,2.21,1710000.0,-0.1346,CTSH
2000-04-04,2.35,2.25,2.4,1.67,3430000.0,0.0444,CTSH
2000-04-05,2.17,2.07,2.21,2.04,1750000.0,-0.0766,CTSH
2000-04-06,2.25,2.17,2.37,2.12,772880.0,0.0369,CTSH
2000-04-07,2.18,2.25,2.37,2.08,2160000.0,-0.0311,CTSH
2000-04-10,1.88,2.17,2.17,1.88,2089999.9999999998,-0.1376,CTSH
2000-04-11,1.96,1.86,2.08,1.78,1660000.0,0.0426,CTSH
2000-04-12,1.83,1.92,1.97,1.75,1620000.0,-0.0663,CTSH
2000-04-13,1.78,1.83,1.86,1.74,1850000.0,-0.0273,CTSH
2000-04-14,1.45,1.74,1.75,1.29,2630000.0,-0.18539999999999998,CTSH
2000-04-17,1.5,1.01,1.5,1.01,4080000.0,0.0345,CTSH
2000-04-18,1.59,1.51,1.71,1.25,2440000.0,0.06,CTSH
2000-04-19,1.76,1.65,1.76,1.64,3490000.0,0.1069,CTSH
2000-04-20,1.87,1.76,1.9,1.76,998500.0,0.0625,CTSH
2000-04-24,1.84,1.82,1.84,1.6,3240000.0,-0.016,CTSH
2000-04-25,1.91,1.82,2.0,1.82,1820000.0,0.038,CTSH
2000-04-26,1.84,1.91,1.97,1.77,1210000.0,-0.0366,CTSH
