Date,Close,Open,High,Low,Volume,Change
2000-01-03,54.31,57.69,57.69,53.56,948700.0,-0.058600000000000006
2000-01-04,50.0,54.0,54.0,49.75,1250000.0,-0.0794
2000-01-05,48.88,49.94,49.94,48.12,1520000.0,-0.022400000000000003
2000-01-06,49.0,49.0,50.06,47.88,984800.0,0.0025
2000-01-07,50.75,49.5,50.88,48.88,1340000.0,0.035699999999999996
2000-01-10,52.31,49.75,52.5,49.69,1540000.0,0.030699999999999998
2000-01-11,52.06,52.0,52.44,51.38,1130000.0,-0.0048
2000-01-12,51.88,52.0,52.38,51.62,1130000.0,-0.0034999999999999996
2000-01-13,52.25,51.88,53.0,51.75,992700.0,0.0070999999999999995
2000-01-14,53.25,52.5,53.62,52.12,1450000.0,0.0191
2000-01-18,54.0,52.62,54.44,52.38,805500.0,0.0141
2000-01-19,55.56,54.0,55.94,53.5,1380000.0,0.028900000000000002
2000-01-20,53.31,55.56,55.56,53.19,645500.0,-0.0405
2000-01-21,52.75,52.31,53.12,51.56,1050000.0,-0.0105
2000-01-24,50.88,52.75,52.75,50.56,465700.0,-0.0355
2000-01-25,50.94,50.69,51.5,50.44,916900.0,0.0012
2000-01-26,50.69,50.94,51.56,49.75,609400.0,-0.0049
2000-01-27,48.38,50.94,51.19,47.5,1010000.0,-0.045599999999999995
2000-01-28,47.0,48.75,48.75,46.31,753300.0,-0.0285
2000-01-31,46.0,47.0,47.0,45.25,850900.0,-0.0213
2000-02-01,48.19,46.12,48.38,45.75,941500.0,0.047599999999999996
2000-02-02,48.31,48.0,49.31,47.88,682400.0,0.0025
2000-02-03,49.0,48.25,49.88,48.25,772000.0,0.0143
2000-02-04,50.06,49.31,50.31,49.19,661900.0,0.0216
2000-02-07,49.5,49.88,50.0,49.25,750400.0,-0.011200000000000002
2000-02-08,50.38,49.94,50.75,49.94,734200.0,0.0178
2000-02-09,47.75,49.75,49.81,47.38,1040000.0,-0.052199999999999996
2000-02-10,46.94,48.0,48.25,46.69,923900.0,-0.017
2000-02-11,46.06,46.25,46.75,45.81,1170000.0,-0.0187
2000-02-14,45.88,46.0,46.12,45.75,545900.0,-0.0039000000000000003
2000-02-15,45.94,45.94,46.12,45.44,735400.0,0.0013
2000-02-16,45.69,46.0,46.0,45.5,846100.0,-0.0054
2000-02-17,44.56,45.94,45.94,44.5,803000.0,-0.024700000000000003
2000-02-18,44.88,44.69,45.75,44.5,1430000.0,0.0072
2000-02-22,45.0,45.5,45.88,44.62,1050000.0,0.0027
2000-02-23,43.0,44.75,45.38,42.88,1360000.0,-0.0444
2000-02-24,42.12,42.0,42.62,39.94,2390000.0,-0.020499999999999997
2000-02-25,38.31,41.88,41.94,36.0,5280000.0,-0.09050000000000001
2000-02-28,39.19,38.0,39.31,37.0,1550000.0,0.023
2000-02-29,40.19,39.88,41.0,39.5,1960000.0,0.0255
2000-03-01,41.5,40.19,41.5,39.69,1640000.0,0.0326
2000-03-02,41.38,41.0,41.38,40.5,1150000.0,-0.0029
2000-03-03,42.19,40.88,42.44,40.75,838200.0,0.0196
2000-03-06,41.31,42.19,42.19,40.88,893200.0,-0.0209
2000-03-07,40.12,41.06,41.12,40.06,1560000.0,-0.0288
2000-03-08,39.5,40.06,40.19,38.69,938300.0,-0.0155
2000-03-09,37.62,39.25,39.25,36.62,1910000.0,-0.047599999999999996
2000-03-10,37.0,37.44,37.94,36.5,1580000.0,-0.0165
2000-03-13,37.06,37.0,37.44,36.38,1130000.0,0.0016
2000-03-14,38.0,37.5,38.5,37.12,1350000.0,0.0254
2000-03-15,38.0,38.12,38.75,37.88,1540000.0,0.0
2000-03-16,40.81,38.62,40.81,38.31,1310000.0,0.0739
2000-03-17,42.12,40.81,42.44,40.81,1450000.0,0.0321
2000-03-20,41.56,42.38,43.5,41.0,1170000.0,-0.013300000000000001
2000-03-21,41.31,41.56,41.75,40.75,977500.0,-0.006
2000-03-22,42.44,40.94,42.62,40.88,685900.0,0.0274
2000-03-23,43.38,42.5,43.75,42.19,1280000.0,0.022099999999999998
2000-03-24,43.75,43.5,44.0,43.38,1120000.0,0.0085
2000-03-27,45.69,44.12,47.5,44.0,1600000.0,0.0443
2000-03-28,46.06,45.88,46.56,45.69,917600.0,0.008100000000000001
2000-03-29,48.25,46.12,48.5,45.94,2000000.0,0.0475
2000-03-30,48.06,48.06,48.94,47.5,1090000.0,-0.0039000000000000003
2000-03-31,47.25,47.81,48.31,47.19,932000.0,-0.0169
2000-04-03,47.38,47.25,47.5,46.75,637100.0,0.0028000000000000004
2000-04-04,47.25,48.25,49.19,46.44,1980000.0,-0.0027
2000-04-05,47.06,47.25,47.38,45.88,857100.0,-0.004
2000-04-06,48.25,47.0,48.75,46.94,869900.0,0.0253
2000-04-07,47.44,48.12,48.25,46.5,788400.0,-0.0168
2000-04-10,46.62,47.38,47.38,46.31,1450000.0,-0.0173
2000-04-11,45.88,46.62,46.75,45.62,926500.0,-0.0159
2000-04-12,44.88,46.0,46.06,44.0,1040000.0,-0.0218
2000-04-13,43.56,44.38,44.38,42.69,1150000.0,-0.0294
2000-04-14,39.12,43.0,43.0,39.12,1360000.0,-0.10189999999999999
2000-04-17,38.0,39.12,39.38,37.19,2190000.0,-0.0286
2000-04-18,38.44,38.62,39.25,38.0,2570000.0,0.0116
2000-04-19,38.5,38.69,39.19,38.06,1290000.0,0.0016
2000-04-20,39.12,38.69,39.19,38.56,961500.0,0.0161
2000-04-24,38.81,39.12,39.62,38.25,939300.0,-0.0079
2000-04-25,39.69,39.0,40.06,39.0,1620000.0,0.0227
2000-04-26,41.25,42.25,42.75,41.25,2870000.0,0.0393
2000-04-27,40.75,39.75,41.12,39.75,1920000.0,-0.0121
2000-04-28,41.0,40.75,41.62,40.75,808600.0,0.0060999999999999995
2000-05-01,41.0,41.12,41.81,40.12,562500.0,0.0
2000-05-02,40.25,41.25,41.5,40.25,449500.0,-0.0183
2000-05-03,39.81,39.5,40.31,39.19,813400.0,-0.0109
2000-05-04,41.56,40.25,41.88,39.94,944700.0,0.044000000000000004
2000-05-05,42.19,41.12,42.75,40.75,653800.0,0.0152
2000-05-08,41.75,42.0,42.12,40.69,470700.0,-0.0104
2000-05-09,42.5,41.5,42.81,41.0,968100.0,0.018000000000000002
2000-05-10,42.44,42.62,42.88,42.19,729000.0,-0.0014000000000000002
2000-05-11,41.75,42.31,43.19,41.62,521400.0,-0.0163
2000-05-12,43.38,42.0,43.81,42.0,861900.0,0.039
2000-05-15,42.75,43.0,43.25,42.25,407600.0,-0.014499999999999999
2000-05-16,43.94,44.0,44.5,43.25,653900.0,0.0278
2000-05-17,43.5,43.38,43.88,43.0,513700.00000000006,-0.01
2000-05-18,42.75,43.62,43.75,42.19,465700.0,-0.0172
2000-05-19,41.75,42.62,42.75,41.06,827500.0,-0.023399999999999997
2000-05-22,41.06,42.0,42.12,40.81,421400.0,-0.0165
2000-05-23,41.44,41.25,41.75,40.56,519600.0,0.009300000000000001
2000-05-24,41.19,40.75,41.44,40.38,710200.0,-0.006
2000-05-25,41.69,41.06,42.06,40.56,795500.0,0.0121
