Date,Close,Open,High,Low,Volume,Change
2000-01-03,45.25,47.12,47.31,44.75,298800.0,-0.045
2000-01-04,43.44,44.75,44.88,43.0,479400.0,-0.04
2000-01-05,43.75,43.94,45.56,43.38,509800.0,0.0070999999999999995
2000-01-06,43.25,43.38,43.62,42.44,479400.0,-0.011399999999999999
2000-01-07,42.88,44.75,45.0,42.69,706400.0,-0.0086
2000-01-10,44.12,43.38,44.12,42.62,501900.0,0.028900000000000002
2000-01-11,43.81,43.75,44.88,42.75,515799.99999999994,-0.006999999999999999
2000-01-12,44.19,43.81,44.62,43.75,339700.0,0.0087
2000-01-13,44.25,43.94,45.5,43.69,334500.0,0.0014000000000000002
2000-01-14,44.62,44.0,45.06,43.75,267200.0,0.0084
2000-01-18,45.38,44.38,45.88,44.25,493200.0,0.017
2000-01-19,44.19,45.44,45.5,43.5,505100.0,-0.0262
2000-01-20,43.75,44.44,44.62,43.12,359100.0,-0.01
2000-01-21,43.62,44.0,44.0,43.31,563000.0,-0.003
2000-01-24,42.94,44.12,44.12,42.5,373600.0,-0.015600000000000001
2000-01-25,41.88,42.69,42.94,41.56,369300.0,-0.024700000000000003
2000-01-26,41.81,42.12,42.31,41.31,539800.0,-0.0017000000000000001
2000-01-27,39.94,42.31,42.56,39.25,914800.0,-0.0447
2000-01-28,37.69,39.94,39.94,36.06,1500000.0,-0.056299999999999996
2000-01-31,38.62,37.69,38.62,37.0,2160000.0,0.024700000000000003
2000-02-01,38.62,38.38,38.75,38.0,1080000.0,0.0
2000-02-02,39.56,39.0,39.75,38.81,1490000.0,0.024300000000000002
2000-02-03,39.69,39.5,40.12,39.25,1060000.0,0.0033
2000-02-04,39.06,40.0,40.31,38.75,542200.0,-0.0159
2000-02-07,38.69,38.88,39.38,38.38,701500.0,-0.0095
2000-02-08,39.06,38.69,39.38,38.69,776100.0,0.0096
2000-02-09,38.31,39.0,39.31,38.25,729000.0,-0.0192
2000-02-10,37.88,38.31,38.5,37.69,582700.0,-0.011200000000000002
2000-02-11,37.88,38.0,38.25,37.56,435200.0,0.0
2000-02-14,38.06,38.0,38.44,37.81,402600.0,0.0048
2000-02-15,37.0,38.0,38.0,36.25,668500.0,-0.0279
2000-02-16,36.88,37.06,37.31,36.5,583800.0,-0.0032
2000-02-17,36.31,36.62,36.94,36.06,453200.0,-0.0155
2000-02-18,34.62,36.31,36.31,34.31,558600.0,-0.04650000000000001
2000-02-22,35.38,34.38,35.81,34.31,753500.0,0.022000000000000002
2000-02-23,34.94,35.12,35.94,34.62,305300.0,-0.0124
2000-02-24,33.81,35.0,35.0,33.25,783500.0,-0.0323
2000-02-25,33.69,33.94,34.31,33.06,440600.0,-0.0034999999999999996
2000-02-28,33.44,33.44,33.88,32.81,551500.0,-0.0074
2000-02-29,33.62,33.31,33.69,32.81,421000.0,0.0054
2000-03-01,34.44,33.62,34.5,33.44,914100.0,0.024399999999999998
2000-03-02,34.0,34.19,34.56,33.62,1180000.0,-0.0128
2000-03-03,35.19,34.25,35.38,33.81,652200.0,0.035
2000-03-06,33.94,35.19,35.44,33.69,534300.0,-0.0355
2000-03-07,32.5,34.19,34.5,32.31,622600.0,-0.0424
2000-03-08,33.25,32.75,33.44,32.56,479600.0,0.0231
2000-03-09,33.0,33.62,33.69,32.5,480600.0,-0.0075
2000-03-10,33.31,34.0,35.0,33.31,736100.0,0.009399999999999999
2000-03-13,34.12,33.19,34.12,33.0,520700.00000000006,0.024300000000000002
2000-03-14,34.69,34.12,35.0,34.12,750300.0,0.0167
2000-03-15,33.88,34.81,34.81,33.62,432500.0,-0.0233
2000-03-16,33.0,34.25,34.31,32.75,822700.0,-0.026000000000000002
