Date,Close,Open,High,Low,Volume,Change
2002-05-24,1.21,1.21,1.22,1.2,11100000.0,0.0083
2002-05-28,1.16,1.21,1.23,1.16,6610000.0,-0.041299999999999996
2002-05-29,1.1,1.16,1.16,1.09,6760000.0,-0.051699999999999996
2002-05-30,1.07,1.11,1.11,1.07,10150000.0,-0.0273
2002-05-31,1.08,1.08,1.08,1.07,8460000.0,0.009300000000000001
2002-06-03,1.13,1.08,1.15,1.08,3150000.0,0.0463
2002-06-04,1.12,1.14,1.14,1.11,3110000.0,-0.0088
2002-06-05,1.15,1.11,1.16,1.11,1530000.0,0.0268
2002-06-06,1.18,1.15,1.23,1.15,2310000.0,0.026099999999999998
2002-06-07,1.12,1.18,1.18,1.1,1370000.0,-0.0508
2002-06-10,1.16,1.13,1.17,1.13,484400.0,0.035699999999999996
2002-06-11,1.15,1.16,1.19,1.13,1000000.0,-0.0086
2002-06-12,1.09,1.15,1.18,1.09,1800000.0,-0.052199999999999996
2002-06-13,1.08,1.1,1.12,1.08,2570000.0,-0.0092
2002-06-14,0.99,1.08,1.09,0.98,4780000.0,-0.0833
2002-06-17,0.92,1.01,1.06,0.92,4860000.0,-0.0707
2002-06-18,0.91,0.94,0.94,0.84,10810000.0,-0.0109
2002-06-19,0.95,0.91,1.0,0.89,5480000.0,0.044000000000000004
2002-06-20,0.96,0.97,1.04,0.95,6110000.0,0.0105
2002-06-21,0.98,0.98,0.99,0.95,2350000.0,0.0208
2002-06-24,0.98,0.98,1.01,0.96,2570000.0,0.0
2002-06-25,0.96,0.99,1.01,0.95,3940000.0,-0.0204
2002-06-26,0.99,0.96,1.0,0.92,2920000.0,0.0313
2002-06-27,0.94,1.01,1.02,0.94,3820000.0,-0.050499999999999996
2002-06-28,1.0,0.96,1.01,0.96,10050000.0,0.0638
2002-07-01,1.03,1.0,1.05,0.99,4590000.0,0.03
2002-07-02,1.17,1.05,1.2,1.04,9020000.0,0.1359
2002-07-03,1.21,1.18,1.21,1.12,4960000.0,0.0342
2002-07-05,1.28,1.21,1.3,1.21,2000000.0,0.0579
2002-07-08,1.18,1.25,1.25,1.17,1950000.0,-0.0781
2002-07-09,1.16,1.17,1.2,1.11,2940000.0,-0.0169
2002-07-10,1.16,1.16,1.18,1.13,1550000.0,0.0
2002-07-11,1.27,1.15,1.28,1.13,2530000.0,0.09480000000000001
2002-07-12,1.21,1.28,1.28,1.21,2840000.0,-0.0472
2002-07-15,1.14,1.24,1.25,1.08,4240000.0,-0.0579
2002-07-16,1.13,1.15,1.16,1.1,1940000.0,-0.0088
2002-07-17,1.09,1.14,1.16,1.08,1260000.0,-0.0354
2002-07-18,1.15,1.12,1.17,1.11,2900000.0,0.055
2002-07-19,1.16,1.15,1.16,1.12,1790000.0,0.0087
2002-07-22,1.17,1.14,1.18,1.12,1990000.0,0.0086
2002-07-23,1.15,1.18,1.21,1.13,1580000.0,-0.0171
2002-07-24,1.11,1.15,1.16,1.07,3360000.0,-0.0348
2002-07-25,1.04,1.12,1.13,1.03,4760000.0,-0.06309999999999999
2002-07-26,0.87,1.05,1.06,0.85,7050000.0,-0.1635
2002-07-29,0.88,0.9,0.92,0.85,3260000.0,0.0115
2002-07-30,0.91,0.89,0.94,0.89,3780000.0,0.0341
2002-07-31,0.95,0.93,0.96,0.91,3330000.0,0.044000000000000004
2002-08-01,0.89,0.95,0.96,0.88,4530000.0,-0.0632
2002-08-02,0.78,0.89,0.89,0.71,6660000.0,-0.12359999999999999
2002-08-05,0.77,0.78,0.81,0.76,3810000.0,-0.0128
2002-08-06,0.76,0.8,0.8,0.74,3220000.0,-0.013000000000000001
2002-08-07,0.79,0.76,0.79,0.74,2760000.0,0.0395
2002-08-08,0.8,0.8,0.8,0.75,2280000.0,0.0127
2002-08-09,0.79,0.8,0.82,0.78,1500000.0,-0.0125
2002-08-12,0.76,0.8,0.81,0.75,2130000.0,-0.038
2002-08-13,0.77,0.77,0.8,0.75,1680000.0,0.0132
2002-08-14,0.83,0.78,0.83,0.77,4050000.0,0.0779
2002-08-15,0.88,0.84,0.91,0.83,3260000.0,0.0602
2002-08-16,0.91,0.89,0.92,0.86,1830000.0,0.0341
2002-08-19,0.98,0.92,0.98,0.92,2069999.9999999998,0.07690000000000001
2002-08-20,0.95,0.98,0.99,0.92,2540000.0,-0.030600000000000002
2002-08-21,0.97,0.95,0.97,0.92,2780000.0,0.021099999999999997
2002-08-22,0.98,0.97,1.0,0.93,2960000.0,0.0103
2002-08-23,0.99,0.99,1.0,0.97,2410000.0,0.0102
2002-08-26,0.97,1.0,1.0,0.94,2640000.0,-0.0202
2002-08-27,0.87,0.97,0.97,0.86,4980000.0,-0.10310000000000001
2002-08-28,0.86,0.86,0.89,0.82,2280000.0,-0.0115
2002-08-29,0.9,0.83,0.92,0.82,2400000.0,0.04650000000000001
2002-08-30,0.94,0.91,0.96,0.89,2120000.0,0.0444
2002-09-03,0.93,0.94,0.96,0.91,1600000.0,-0.0106
2002-09-04,0.93,0.93,0.95,0.91,373800.0,0.0
2002-09-05,0.92,0.92,0.94,0.91,285600.0,-0.0108
2002-09-06,0.91,0.93,0.94,0.91,763000.0,-0.0109
2002-09-09,0.9,0.92,0.92,0.89,1420000.0,-0.011000000000000001
2002-09-10,0.94,0.9,0.95,0.89,4750000.0,0.0444
2002-09-11,0.96,0.94,0.98,0.94,1630000.0,0.0213
2002-09-12,0.93,0.96,0.97,0.91,1940000.0,-0.031200000000000002
2002-09-13,0.88,0.92,0.93,0.86,2490000.0,-0.0538
2002-09-16,0.86,0.89,0.89,0.85,3510000.0,-0.0227
2002-09-17,0.83,0.86,0.86,0.82,2870000.0,-0.0349
2002-09-18,0.79,0.84,0.84,0.78,1520000.0,-0.0482
2002-09-19,0.72,0.78,0.79,0.72,4980000.0,-0.0886
2002-09-20,0.71,0.75,0.77,0.7,3480000.0,-0.0139
2002-09-23,0.71,0.71,0.73,0.71,4840000.0,0.0
2002-09-24,0.72,0.71,0.72,0.69,3750000.0,0.0141
2002-09-25,0.73,0.72,0.75,0.71,1460000.0,0.0139
2002-09-26,0.78,0.75,0.78,0.73,4170000.0,0.06849999999999999
2002-09-27,0.72,0.78,0.78,0.71,5110000.0,-0.07690000000000001
2002-09-30,0.69,0.71,0.72,0.69,4840000.0,-0.0417
2002-10-01,0.68,0.71,0.71,0.66,3850000.0,-0.014499999999999999
2002-10-02,0.58,0.69,0.69,0.56,9320000.0,-0.1471
2002-10-03,0.52,0.57,0.57,0.49,9840000.0,-0.10339999999999999
2002-10-04,0.47,0.52,0.53,0.45,8430000.0,-0.0962
2002-10-07,0.41,0.45,0.46,0.38,15740000.0,-0.1277
2002-10-08,0.4,0.41,0.43,0.39,4530000.0,-0.024399999999999998
2002-10-09,0.37,0.41,0.41,0.35,5980000.0,-0.075
2002-10-10,0.51,0.38,0.52,0.35,13580000.0,0.3784
2002-10-11,0.47,0.51,0.53,0.45,13280000.0,-0.0784
2002-10-14,0.53,0.46,0.53,0.46,5270000.0,0.1277
2002-10-15,0.55,0.54,0.59,0.54,4130000.0,0.0377
2002-10-16,0.46,0.53,0.53,0.44,5810000.0,-0.1636
2002-10-17,0.55,0.47,0.59,0.47,7500000.0,0.1957
2002-10-18,0.68,0.59,0.74,0.59,24930000.0,0.2364
2002-10-21,0.64,0.64,0.66,0.61,9690000.0,-0.0588
2002-10-22,0.63,0.64,0.64,0.62,4270000.0,-0.015600000000000001
2002-10-23,0.59,0.62,0.62,0.59,3540000.0,-0.0635
2002-10-24,0.58,0.61,0.61,0.55,2430000.0,-0.0169
2002-10-25,0.64,0.58,0.68,0.57,6450000.0,0.10339999999999999
2002-10-28,0.69,0.66,0.71,0.65,5650000.0,0.0781
2002-10-29,0.66,0.67,0.68,0.63,2009999.9999999998,-0.0435
2002-10-30,0.64,0.66,0.67,0.64,1420000.0,-0.030299999999999997
2002-10-31,0.64,0.64,0.64,0.62,1660000.0,0.0
2002-11-01,0.64,0.63,0.64,0.61,2130000.0,0.0
2002-11-04,0.67,0.64,0.7,0.64,3590000.0,0.046900000000000004
2002-11-05,0.65,0.67,0.68,0.65,1050000.0,-0.029900000000000003
2002-11-06,0.63,0.66,0.66,0.61,7030000.0,-0.0308
2002-11-07,0.59,0.63,0.64,0.59,2590000.0,-0.0635
2002-11-08,0.61,0.6,0.61,0.55,5160000.0,0.0339
2002-11-11,0.6,0.61,0.61,0.59,371000.0,-0.016399999999999998
2002-11-12,0.58,0.6,0.61,0.57,2190000.0,-0.0333
2002-11-13,0.64,0.58,0.64,0.56,3130000.0,0.10339999999999999
2002-11-14,0.62,0.64,0.64,0.62,933100.0,-0.031200000000000002
2002-11-15,0.65,0.64,0.65,0.59,2049999.9999999998,0.0484
2002-11-18,0.78,0.65,0.78,0.62,10070000.0,0.2
2002-11-19,0.66,0.72,0.72,0.62,28200000.0,-0.15380000000000002
2002-11-20,0.72,0.67,0.73,0.66,10090000.0,0.0909
2002-11-21,0.79,0.73,0.79,0.72,10520000.0,0.09720000000000001
2002-11-22,0.79,0.76,0.8,0.75,4500000.0,0.0
2002-11-25,0.79,0.79,0.8,0.75,4770000.0,0.0
2002-11-26,0.75,0.77,0.79,0.75,1780000.0,-0.0506
2002-11-27,0.75,0.76,0.77,0.74,1070000.0,0.0
2002-11-29,0.77,0.75,0.79,0.74,932790.0,0.026699999999999998
2002-12-02,0.76,0.74,0.8,0.72,2009999.9999999998,-0.013000000000000001
2002-12-03,0.77,0.75,0.79,0.74,1170000.0,0.0132
2002-12-04,0.71,0.74,0.75,0.7,2490000.0,-0.0779
2002-12-05,0.79,0.86,0.86,0.77,12640000.0,0.1127
2002-12-06,0.78,0.78,0.8,0.74,3890000.0,-0.0127
2002-12-09,0.8,0.8,0.8,0.76,4070000.0000000005,0.0256
2002-12-10,0.87,0.8,0.87,0.8,3240000.0,0.0875
2002-12-11,0.9,0.85,0.93,0.84,4900000.0,0.0345
2002-12-12,0.9,0.91,0.91,0.89,2540000.0,0.0
2002-12-13,0.89,0.9,0.91,0.86,1400000.0,-0.0111
2002-12-16,0.91,0.9,0.93,0.87,2100000.0,0.0225
2002-12-17,0.91,0.91,0.93,0.89,1680000.0,0.0
2002-12-18,0.79,0.9,0.9,0.76,13390000.0,-0.1319
2002-12-19,0.77,0.77,0.8,0.76,3780000.0,-0.0253
2002-12-20,0.76,0.76,0.77,0.73,4390000.0,-0.013000000000000001
2002-12-23,0.73,0.73,0.76,0.73,3310000.0,-0.0395
2002-12-24,0.71,0.73,0.73,0.7,4900000.0,-0.0274
2002-12-26,0.7,0.7,0.71,0.68,2120000.0,-0.0141
2002-12-27,0.69,0.69,0.71,0.69,4590000.0,-0.0143
2002-12-30,0.71,0.7,0.71,0.69,5260000.0,0.028999999999999998
2002-12-31,0.79,0.71,0.8,0.69,11370000.0,0.1127
2003-01-02,0.82,0.85,0.9,0.81,8410000.0,0.038
2003-01-03,0.77,0.85,0.85,0.77,3250000.0,-0.061
2003-01-06,0.79,0.79,0.8,0.76,3010000.0,0.026000000000000002
2003-01-07,0.78,0.77,0.8,0.77,1940000.0,-0.0127
2003-01-08,0.81,0.77,0.86,0.76,5360000.0,0.0385
2003-01-09,0.84,0.82,0.85,0.81,5330000.0,0.037000000000000005
2003-01-10,0.89,0.83,0.91,0.83,5440000.0,0.059500000000000004
2003-01-13,0.87,0.86,0.88,0.85,4410000.0,-0.0225
2003-01-14,0.86,0.87,0.88,0.84,2550000.0,-0.0115
2003-01-15,0.87,0.85,0.88,0.85,13200000.0,0.0116
2003-01-16,0.86,0.91,0.96,0.86,18680000.0,-0.0115
2003-01-17,0.82,0.84,0.85,0.79,5370000.0,-0.04650000000000001
2003-01-21,0.81,0.83,0.85,0.79,6090000.0,-0.012199999999999999
2003-01-22,0.83,0.81,0.85,0.81,4170000.0,0.024700000000000003
2003-01-23,0.87,0.85,0.91,0.84,7230000.0,0.0482
2003-01-24,0.88,0.87,0.88,0.85,6360000.0,0.0115
2003-01-27,0.88,0.86,0.88,0.84,3450000.0,0.0
2003-01-28,0.9,0.86,0.92,0.85,4960000.0,0.0227
2003-01-29,0.88,0.9,0.9,0.84,2960000.0,-0.0222
2003-01-30,0.9,0.89,0.91,0.88,3710000.0,0.0227
2003-01-31,0.94,0.91,0.95,0.89,4030000.0000000005,0.0444
2003-02-03,0.91,0.94,0.94,0.89,2840000.0,-0.0319
2003-02-04,0.88,0.9,0.91,0.86,2040000.0,-0.033
2003-02-05,0.85,0.88,0.89,0.84,3490000.0,-0.0341
2003-02-06,0.83,0.85,0.86,0.82,3740000.0,-0.0235
2003-02-07,0.87,0.84,0.87,0.83,5020000.0,0.0482
2003-02-10,0.89,0.87,0.91,0.87,7310000.0,0.023
2003-02-11,0.93,0.92,0.94,0.9,4800000.0,0.0449
2003-02-12,0.95,0.95,0.96,0.93,5620000.0,0.0215
2003-02-13,0.94,0.95,1.02,0.94,6100000.0,-0.0105
2003-02-14,1.02,0.95,1.02,0.95,8440000.0,0.0851
2003-02-18,1.05,1.02,1.06,1.0,6270000.0,0.0294
2003-02-19,1.08,1.06,1.09,1.05,5120000.0,0.0286
2003-02-20,1.1,1.11,1.12,1.07,6340000.0,0.018500000000000003
2003-02-21,1.06,1.1,1.1,1.03,6260000.0,-0.0364
2003-02-24,1.0,1.02,1.04,1.0,12340000.0,-0.056600000000000004
2003-02-25,1.05,0.99,1.06,0.96,4640000.0,0.05
2003-02-26,1.04,1.05,1.06,1.01,3880000.0,-0.0095
2003-02-27,1.18,1.06,1.18,1.05,23130000.0,0.1346
2003-02-28,1.22,1.19,1.23,1.16,11890000.0,0.0339
2003-03-03,1.14,1.21,1.22,1.12,15810000.0,-0.06559999999999999
2003-03-04,1.17,1.14,1.17,1.11,5570000.0,0.0263
