Date,Close,Open,High,Low,Volume,Change
2000-01-03,47.0,48.56,49.0,46.5,5790000.0,-0.0359
2000-01-04,44.25,47.06,47.75,43.5,7170000.0,-0.058499999999999996
2000-01-05,44.94,45.0,45.25,44.44,9090000.0,0.015600000000000001
2000-01-06,43.75,44.56,45.0,43.12,7150000.0,-0.0265
2000-01-07,44.12,44.56,44.75,43.38,5890000.0,0.0085
2000-01-10,44.75,44.75,45.0,44.25,7120000.0,0.0143
2000-01-11,44.12,44.69,44.94,43.81,6470000.0,-0.0141
2000-01-12,41.81,43.5,43.56,41.5,8920000.0,-0.0524
2000-01-13,40.81,42.38,42.94,40.75,8250000.0,-0.0239
2000-01-14,42.0,41.25,42.0,40.0,9890000.0,0.0292
2000-01-18,41.12,42.12,43.06,40.88,9820000.0,-0.021
2000-01-19,40.56,41.0,41.0,40.0,10210000.0,-0.013600000000000001
2000-01-20,41.0,40.81,41.56,40.06,10080000.0,0.0108
2000-01-21,43.0,42.88,43.38,42.0,15950000.0,0.048799999999999996
2000-01-24,42.0,43.44,43.5,40.94,9980000.0,-0.0233
2000-01-25,40.0,41.0,41.12,38.56,15940000.0,-0.047599999999999996
2000-01-26,40.0,40.5,40.5,39.69,7660000.0,0.0
2000-01-27,39.0,40.06,40.31,39.0,6920000.0,-0.025
2000-01-28,39.25,39.31,40.44,39.0,8650000.0,0.0064
2000-01-31,42.88,39.5,43.5,39.06,11260000.0,0.0925
2000-02-01,42.38,43.0,43.0,41.75,8950000.0,-0.011699999999999999
2000-02-02,42.5,43.0,43.12,42.5,6680000.0,0.0028000000000000004
2000-02-03,42.0,43.0,43.19,41.31,7710000.0,-0.0118
2000-02-04,42.0,42.0,42.38,41.56,6770000.0,0.0
2000-02-07,41.88,41.38,42.31,41.06,5800000.0,-0.0029
2000-02-08,42.06,42.5,43.0,42.0,5670000.0,0.0043
2000-02-09,42.62,42.31,42.81,42.0,6810000.0,0.013300000000000001
2000-02-10,42.12,42.38,42.44,41.94,5150000.0,-0.011699999999999999
2000-02-11,40.44,42.0,42.06,39.75,5580000.0,-0.039900000000000005
2000-02-14,40.88,39.5,41.5,39.44,8460000.0,0.0109
2000-02-15,40.69,40.0,41.0,39.56,8189999.999999999,-0.0046
2000-02-16,39.06,40.38,40.69,38.75,8480000.0,-0.0401
2000-02-17,40.0,38.94,40.0,38.0,9270000.0,0.0241
2000-02-18,38.25,38.06,38.25,36.0,13920000.0,-0.0438
2000-02-22,36.5,37.25,37.31,35.56,14060000.0,-0.0458
2000-02-23,35.75,36.0,36.5,34.81,12880000.0,-0.020499999999999997
2000-02-24,35.5,35.44,35.88,34.81,12890000.0,-0.006999999999999999
2000-02-25,35.44,36.0,36.69,34.94,11360000.0,-0.0017000000000000001
2000-02-28,37.0,35.75,37.5,35.75,11260000.0,0.044000000000000004
2000-02-29,37.75,37.19,38.12,37.12,8580000.0,0.0203
2000-03-01,42.0,40.06,42.0,39.75,15270000.0,0.11259999999999999
2000-03-02,45.25,43.0,46.0,42.81,14980000.0,0.0774
2000-03-03,45.56,45.5,46.0,44.19,8890000.0,0.0069
2000-03-06,43.38,44.56,44.56,42.75,6430000.0,-0.0478
2000-03-07,41.88,43.56,44.5,41.88,6850000.0,-0.0346
2000-03-08,41.62,41.88,42.06,41.38,6800000.0,-0.0062
2000-03-09,41.56,41.38,41.62,40.62,5970000.0,-0.0014000000000000002
2000-03-10,42.0,41.56,42.5,41.44,7410000.0,0.0106
2000-03-13,43.69,41.25,44.0,41.06,6480000.0,0.04019999999999999
2000-03-14,42.12,43.75,43.75,42.0,6640000.0,-0.0359
2000-03-15,42.5,42.62,43.0,42.31,7040000.0,0.009000000000000001
2000-03-16,45.12,43.94,45.5,42.94,9510000.0,0.0616
2000-03-17,45.75,45.38,46.81,45.12,9070000.0,0.013999999999999999
2000-03-20,44.44,45.12,45.75,44.19,4630000.0,-0.0286
2000-03-21,45.25,44.56,45.38,43.81,4400000.0,0.0182
2000-03-22,43.31,44.38,44.94,43.0,5050000.0,-0.0429
2000-03-23,43.56,42.44,44.0,42.38,5530000.0,0.0058
2000-03-24,43.0,43.06,43.69,42.56,5130000.0,-0.0129
2000-03-27,43.19,43.12,43.62,42.44,5880000.0,0.0044
2000-03-28,42.5,42.69,43.38,42.44,6260000.0,-0.016
2000-03-29,42.25,42.94,43.88,41.94,6820000.0,-0.0059
2000-03-30,41.62,43.0,43.38,41.56,8870000.0,-0.0149
2000-03-31,42.12,42.5,43.0,42.0,7640000.0,0.012
2000-04-03,44.75,42.5,44.88,42.44,7710000.0,0.062400000000000004
2000-04-04,46.0,45.0,47.19,44.75,10790000.0,0.0279
2000-04-05,46.31,46.0,47.12,45.88,8130000.000000001,0.0067
2000-04-06,46.6,46.06,47.31,46.0,5800000.0,0.0063
2000-04-07,46.38,47.0,47.19,45.31,5170000.0,-0.004699999999999999
2000-04-10,46.25,46.0,46.44,45.56,4220000.0,-0.0028000000000000004
2000-04-11,47.25,46.31,48.25,46.06,6520000.0,0.0216
2000-04-12,47.0,47.94,49.0,47.0,7790000.0,-0.0053
2000-04-13,47.0,47.31,47.31,46.0,5750000.0,0.0
2000-04-14,42.62,45.62,46.62,42.0,7490000.0,-0.0932
2000-04-17,41.88,43.5,43.56,40.88,7510000.0,-0.0174
2000-04-18,41.5,41.12,41.94,40.44,6750000.0,-0.0091
2000-04-19,41.94,41.44,42.62,41.12,7170000.0,0.0106
2000-04-20,41.19,42.0,42.38,40.94,3880000.0,-0.0179
2000-04-24,42.25,41.19,42.44,41.0,4910000.0,0.025699999999999997
2000-04-25,44.94,42.81,45.44,42.44,9330000.0,0.0637
2000-04-26,44.0,45.0,45.19,43.5,7450000.0,-0.0209
2000-04-27,43.25,43.75,44.25,43.0,7160000.0,-0.017
2000-04-28,43.81,43.5,44.31,43.25,7250000.0,0.0129
2000-05-01,44.62,44.12,45.12,43.69,7140000.0,0.018500000000000003
2000-05-02,42.38,44.5,44.5,41.75,7200000.0,-0.050199999999999995
2000-05-03,41.94,42.31,42.69,41.69,4750000.0,-0.0104
2000-05-04,41.06,42.0,42.0,40.81,4530000.0,-0.021
2000-05-05,43.0,41.06,43.19,41.06,4670000.0,0.0472
2000-05-08,42.88,42.62,42.94,41.88,4000000.0,-0.0028000000000000004
2000-05-09,42.31,42.38,43.5,41.88,4810000.0,-0.013300000000000001
2000-05-10,45.12,42.5,46.0,42.25,8300000.000000001,0.0664
2000-05-11,45.57,45.31,45.94,45.19,5160000.0,0.01
2000-05-12,44.84,44.69,45.0,44.19,3480000.0,-0.016
2000-05-15,46.0,44.38,46.75,44.0,4820000.0,0.0259
2000-05-16,45.69,46.5,47.38,45.31,4460000.0,-0.0067
2000-05-17,45.31,45.19,45.44,44.81,3360000.0,-0.0083
2000-05-18,44.25,45.06,45.56,43.94,3670000.0,-0.023399999999999997
2000-05-19,42.69,42.88,43.69,42.38,5750000.0,-0.0353
2000-05-22,42.5,43.62,43.62,41.75,4490000.0,-0.0045000000000000005
2000-05-23,41.81,42.25,42.44,41.75,4510000.0,-0.016200000000000003
2000-05-24,43.12,42.06,43.31,42.06,4960000.0,0.0313
2000-05-25,42.06,42.5,43.19,41.56,4470000.0,-0.0246
2000-05-26,42.62,42.06,43.06,42.06,3360000.0,0.013300000000000001
2000-05-30,44.25,43.25,44.25,42.75,4190000.0000000005,0.0382
2000-05-31,43.69,44.0,44.31,43.25,4420000.0,-0.0127
2000-06-01,44.0,44.12,44.88,44.0,4150000.0000000005,0.0070999999999999995
2000-06-02,45.0,45.0,45.44,44.75,5280000.0,0.0227
2000-06-05,44.31,45.31,45.31,44.31,3310000.0,-0.015300000000000001
2000-06-06,45.31,44.69,46.38,44.62,5290000.0,0.0226
2000-06-07,46.38,45.25,46.75,45.06,4650000.0,0.0236
2000-06-08,47.0,46.38,47.31,46.31,4520000.0,0.0134
2000-06-09,48.12,47.25,48.12,47.12,5090000.0,0.023799999999999998
2000-06-12,46.81,47.38,47.69,46.62,3890000.0,-0.027200000000000002
2000-06-13,48.0,46.5,48.06,46.5,4190000.0000000005,0.0254
2000-06-14,50.0,48.88,50.31,48.56,8270000.0,0.0417
2000-06-15,48.69,49.38,49.94,48.12,6230000.0,-0.0262
2000-06-16,47.25,48.62,48.88,47.19,8189999.999999999,-0.0296
2000-06-19,47.5,47.25,48.69,47.25,5090000.0,0.0053
2000-06-20,47.19,47.88,47.94,47.0,3830000.0,-0.006500000000000001
2000-06-21,48.12,47.25,48.81,47.12,4610000.0,0.0197
2000-06-22,49.12,48.0,49.12,47.88,4330000.0,0.0208
2000-06-23,48.56,48.75,49.12,48.25,2770000.0,-0.011399999999999999
2000-06-26,47.38,48.56,49.31,47.06,4340000.0,-0.024300000000000002
2000-06-27,46.56,48.0,49.0,46.25,8430000.0,-0.0173
2000-06-28,44.91,46.56,46.88,44.12,6940000.0,-0.0354
2000-06-29,45.56,44.12,46.25,44.0,7220000.0,0.014499999999999999
2000-06-30,44.0,44.88,46.0,43.23,15150000.0,-0.0342
2000-07-03,46.56,44.12,46.62,44.06,3250000.0,0.0582
2000-07-05,45.75,46.75,46.81,45.25,5170000.0,-0.0174
2000-07-06,43.62,45.56,45.69,43.5,4179999.9999999995,-0.0466
2000-07-07,44.69,43.94,45.44,43.94,4380000.0,0.0245
2000-07-10,44.81,45.31,45.81,44.44,3350000.0,0.0027
2000-07-11,44.38,44.44,45.12,44.12,3980000.0,-0.0096
2000-07-12,44.94,44.5,45.25,44.5,2570000.0,0.0126
2000-07-13,45.75,45.19,45.88,45.12,4010000.0,0.018000000000000002
2000-07-14,45.38,45.75,45.88,44.62,4200000.0,-0.008100000000000001
2000-07-17,43.28,44.88,44.88,43.25,5380000.0,-0.0463
2000-07-18,43.5,43.44,44.06,42.88,5650000.0,0.0051
2000-07-19,43.62,44.44,44.44,43.25,4160000.0,0.0028000000000000004
2000-07-20,43.12,44.12,45.56,43.0,5910000.0,-0.0115
2000-07-21,43.0,43.25,44.0,42.44,4280000.0,-0.0028000000000000004
2000-07-24,43.19,42.75,43.69,42.69,4300000.0,0.0044
2000-07-25,44.0,43.44,44.31,43.38,4179999.9999999995,0.018799999999999997
2000-07-26,43.12,43.94,44.12,43.12,5810000.0,-0.02
