Date,Close,Open,High,Low,Volume,Change
2000-01-03,30.56,32.12,32.5,30.5,441000.0,-0.0542
2000-01-04,30.44,30.5,30.94,30.31,490600.0,-0.0039000000000000003
2000-01-05,30.31,30.31,30.44,29.88,577400.0,-0.0043
2000-01-06,29.06,29.75,29.94,28.94,489600.0,-0.0412
2000-01-07,30.44,29.06,31.12,29.06,472100.0,0.0475
2000-01-10,30.69,31.5,31.62,30.56,355100.0,0.008199999999999999
2000-01-11,30.06,30.94,30.94,29.56,648700.0,-0.020499999999999997
2000-01-12,29.81,29.94,30.0,29.5,445500.0,-0.0083
2000-01-13,30.0,29.69,30.5,29.56,224300.0,0.0064
2000-01-14,29.75,30.0,30.31,29.62,546400.0,-0.0083
2000-01-18,29.62,29.5,30.44,29.25,341900.0,-0.0044
2000-01-19,30.12,29.75,30.25,29.69,240500.0,0.0169
2000-01-20,29.06,30.0,30.06,29.0,375400.0,-0.0352
2000-01-21,28.25,29.31,29.31,28.0,516500.0,-0.0279
2000-01-24,27.75,28.19,28.44,27.75,384600.0,-0.0177
2000-01-25,27.88,27.62,28.31,27.38,361200.0,0.004699999999999999
2000-01-26,27.62,26.75,28.0,26.75,600700.0,-0.009300000000000001
2000-01-27,27.0,27.5,27.69,26.69,441300.0,-0.022400000000000003
2000-01-28,26.19,26.75,27.12,26.19,384800.0,-0.03
2000-01-31,26.25,26.25,26.5,26.12,329400.0,0.0023
2000-02-01,26.31,26.12,27.06,26.12,564300.0,0.0023
2000-02-02,25.81,26.06,26.25,25.62,512200.00000000006,-0.019
2000-02-03,26.56,25.81,26.94,25.12,428900.0,0.0291
2000-02-04,26.62,26.5,27.12,26.5,388000.0,0.0023
2000-02-07,25.38,26.25,26.25,25.25,163100.0,-0.0466
2000-02-08,25.19,25.38,25.62,24.5,575300.0,-0.0075
2000-02-09,24.0,25.62,25.75,23.88,796600.0,-0.0472
2000-02-10,24.06,24.0,24.25,23.38,1120000.0,0.0025
2000-02-11,23.25,24.0,24.12,23.25,1220000.0,-0.0337
2000-02-14,23.38,23.25,23.5,23.06,237300.0,0.005600000000000001
2000-02-15,23.38,23.31,23.62,23.06,382100.0,0.0
2000-02-16,22.31,23.38,23.56,22.06,922700.0,-0.0458
