Date,Close,Open,High,Low,Volume,Change
2000-01-03,46.88,46.0,47.12,45.25,1530000.0,-0.0195
2000-01-04,46.31,47.5,47.56,46.19,1060000.0,-0.012199999999999999
2000-01-05,47.88,46.31,48.56,46.31,1670000.0,0.0339
2000-01-06,48.56,47.81,49.31,47.12,1440000.0,0.014199999999999999
2000-01-07,48.0,47.0,48.56,47.0,1810000.0,-0.0115
2000-01-10,50.12,48.5,50.81,48.44,1890000.0,0.044199999999999996
2000-01-11,50.5,50.06,50.56,49.56,1160000.0,0.0076
2000-01-12,48.19,50.38,50.44,48.06,1640000.0,-0.045700000000000005
2000-01-13,50.0,48.19,50.44,48.0,1670000.0,0.037599999999999995
2000-01-14,50.56,49.75,51.25,49.5,1840000.0,0.011200000000000002
2000-01-18,50.0,49.5,50.25,49.38,1200000.0,-0.0111
2000-01-19,50.25,50.0,51.12,49.88,1420000.0,0.005
2000-01-20,49.19,50.56,50.88,49.19,628600.0,-0.021099999999999997
2000-01-21,46.62,50.62,50.62,46.0,1780000.0,-0.052199999999999996
2000-01-24,43.12,46.0,46.0,42.75,4530000.0,-0.0751
2000-01-25,42.25,43.25,44.06,41.88,3590000.0,-0.0202
2000-01-26,43.94,42.38,45.25,41.88,3150000.0,0.04
2000-01-27,42.75,42.5,43.75,42.31,2370000.0,-0.0271
2000-01-28,44.5,42.5,44.5,42.0,3430000.0,0.0409
2000-01-31,45.06,44.5,45.5,43.75,2480000.0,0.0126
2000-02-01,45.06,45.06,45.44,44.25,1650000.0,0.0
2000-02-02,45.0,46.0,46.0,44.75,1650000.0,-0.0013
2000-02-03,47.25,44.88,47.62,44.62,1300000.0,0.05
2000-02-04,46.62,48.25,48.31,46.12,1570000.0,-0.013300000000000001
2000-02-07,43.06,46.62,46.69,42.75,1270000.0,-0.0764
2000-02-08,42.75,44.25,44.25,40.5,3870000.0,-0.0072
2000-02-09,42.94,42.56,43.31,42.38,1550000.0,0.0044
2000-02-10,42.06,42.88,42.88,41.75,900700.0,-0.020499999999999997
2000-02-11,40.38,43.0,43.0,39.62,1120000.0,-0.039900000000000005
2000-02-14,35.5,40.5,40.62,34.38,5840000.0,-0.1209
2000-02-15,34.0,35.5,36.0,33.94,6540000.0,-0.042300000000000004
2000-02-16,31.88,33.75,33.75,31.25,5900000.0,-0.062400000000000004
2000-02-17,31.19,32.25,33.69,30.94,4630000.0,-0.0216
2000-02-18,31.06,31.69,32.25,30.56,3900000.0,-0.0042
2000-02-22,30.44,30.94,31.62,30.25,2410000.0,-0.02
2000-02-23,29.62,30.25,30.31,29.06,2500000.0,-0.0269
2000-02-24,28.0,30.12,30.12,27.25,3630000.0,-0.0547
2000-02-25,27.62,28.0,28.62,27.5,4260000.0,-0.013600000000000001
2000-02-28,30.0,28.5,30.0,28.0,7050000.0,0.0862
2000-02-29,28.81,30.62,30.62,28.56,3240000.0,-0.0397
2000-03-01,26.88,28.81,29.06,26.38,4770000.0,-0.067
2000-03-02,25.88,27.0,27.25,24.94,4940000.0,-0.037200000000000004
2000-03-03,26.12,26.38,27.12,25.81,4870000.0,0.009300000000000001
2000-03-06,24.25,26.12,26.38,23.75,3190000.0,-0.0716
2000-03-07,24.5,22.06,24.88,22.06,4240000.0,0.0103
2000-03-08,23.94,24.0,24.44,23.12,3840000.0,-0.0229
2000-03-09,23.19,24.06,24.06,23.0,4019999.9999999995,-0.0313
2000-03-10,23.06,23.38,23.44,22.88,3230000.0,-0.005600000000000001
2000-03-13,22.88,23.0,23.81,22.38,3300000.0,-0.0078000000000000005
2000-03-14,22.19,22.94,23.12,22.06,4480000.0,-0.0302
2000-03-15,22.75,22.25,23.19,22.0,5110000.0,0.0252
2000-03-16,26.5,23.38,26.5,23.31,7670000.0,0.1648
2000-03-17,21.88,22.75,23.5,21.19,17470000.0,-0.1743
2000-03-20,23.75,22.5,24.12,22.25,11510000.0,0.0855
2000-03-21,24.0,23.5,24.44,23.38,5830000.0,0.0105
2000-03-22,24.81,24.0,25.06,24.0,5330000.0,0.0337
2000-03-23,23.94,24.81,25.0,23.88,2580000.0,-0.0351
2000-03-24,24.62,24.5,24.75,24.0,2400000.0,0.028399999999999998
2000-03-27,24.75,25.5,25.56,24.62,1940000.0,0.0053
2000-03-28,24.31,25.0,25.38,24.25,2370000.0,-0.0178
2000-03-29,24.31,24.75,24.75,24.25,2110000.0,0.0
2000-03-30,24.06,24.38,24.62,23.94,2910000.0,-0.0103
2000-03-31,24.81,24.0,25.0,23.88,3540000.0,0.031200000000000002
2000-04-03,23.94,24.81,24.81,23.5,3920000.0,-0.0351
2000-04-04,24.25,24.12,24.25,23.19,3350000.0,0.0129
2000-04-05,24.06,24.25,24.62,23.88,1760000.0,-0.0078000000000000005
2000-04-06,24.12,24.31,24.5,24.0,1480000.0,0.0025
2000-04-07,24.5,24.38,24.81,24.0,2890000.0,0.0158
2000-04-10,24.88,24.62,25.19,24.5,2130000.0,0.0155
2000-04-11,24.81,25.0,25.25,24.31,1640000.0,-0.0028000000000000004
2000-04-12,23.94,25.0,25.0,23.94,3670000.0,-0.0351
2000-04-13,23.94,24.06,24.69,23.88,2580000.0,0.0
