Date,Close,Open,High,Low,Volume,Change
2009-11-16,23.1,22.9,23.1,22.13,2080000.0,0.0163
2009-11-17,23.04,23.03,23.17,22.5,1330000.0,-0.0026
2009-11-18,22.55,23.0,23.02,22.5,918210.0,-0.0213
2009-11-19,22.87,22.27,23.14,22.27,1030000.0,0.014199999999999999
2009-11-20,23.21,22.5,23.33,22.5,1080000.0,0.0149
2009-11-23,23.4,23.7,23.98,23.18,741000.0,0.008199999999999999
2009-11-24,23.5,23.6,23.65,23.25,633090.0,0.0043
2009-11-25,23.74,23.0,23.8,22.99,362500.0,0.0102
2009-11-27,23.15,22.74,23.3,22.74,142950.0,-0.024900000000000002
2009-11-30,23.0,23.12,23.12,22.62,852990.0,-0.006500000000000001
2009-12-01,23.31,23.44,23.57,23.0,803470.0,0.013500000000000002
2009-12-02,23.6,23.29,23.75,23.25,571240.0,0.0124
2009-12-03,23.31,23.82,23.82,23.0,409980.0,-0.0123
2009-12-04,23.85,23.47,23.98,23.3,318030.0,0.0232
2009-12-07,23.63,23.77,23.77,23.28,271480.0,-0.0092
2009-12-08,23.63,23.5,23.75,23.0,652830.0,0.0
2009-12-09,24.0,23.63,24.12,23.5,609320.0,0.015700000000000002
2009-12-10,23.7,24.77,24.77,23.39,848340.0,-0.0125
2009-12-11,23.34,23.6,23.74,23.11,600250.0,-0.0152
2009-12-14,22.8,23.29,23.33,22.75,489060.0,-0.0231
2009-12-15,22.69,22.8,22.89,22.52,700010.0,-0.0048
2009-12-16,22.73,22.84,23.05,22.55,585400.0,0.0018
2009-12-17,22.44,22.75,22.75,22.08,633910.0,-0.0128
2009-12-18,22.57,22.61,22.61,22.11,2110000.0,0.0058
2009-12-21,22.6,22.5,22.61,22.17,536380.0,0.0013
2009-12-22,22.4,22.58,22.61,22.3,766040.0,-0.0088
2009-12-23,22.41,23.22,23.25,22.4,1100000.0,0.0004
2009-12-24,22.15,22.46,22.6,22.1,254210.0,-0.0116
2009-12-28,22.62,22.15,22.68,22.15,804430.0,0.0212
2009-12-29,22.61,22.69,22.8,22.53,123420.0,-0.0004
2009-12-30,22.61,22.52,22.8,22.52,173290.0,0.0
2009-12-31,22.43,22.8,22.84,22.38,156620.0,-0.008
2010-01-04,23.08,22.55,23.4,22.4,437150.0,0.028999999999999998
2010-01-05,23.26,23.0,23.26,22.96,283580.0,0.0078000000000000005
2010-01-06,23.58,23.6,23.9,23.41,968090.0,0.0138
2010-01-07,23.74,23.55,23.78,23.4,360680.0,0.0068000000000000005
2010-01-08,23.87,23.64,24.15,23.32,967230.0,0.0055000000000000005
2010-01-11,24.0,23.85,24.08,23.76,253500.0,0.0054
2010-01-12,23.95,23.85,24.0,23.56,517640.0,-0.0021
2010-01-13,24.3,23.95,24.4,23.81,596250.0,0.0146
2010-01-14,24.2,24.18,24.2,23.93,201410.0,-0.0040999999999999995
2010-01-15,24.36,24.44,24.5,24.1,202210.0,0.0066
2010-01-19,24.55,24.4,24.9,24.23,679280.0,0.0078000000000000005
2010-01-20,24.51,24.51,24.8,24.25,589730.0,-0.0016
2010-01-21,23.98,24.53,24.72,23.9,203280.0,-0.0216
2010-01-22,23.34,23.99,24.04,22.77,892620.0,-0.026699999999999998
2010-01-25,23.35,23.64,23.64,23.06,119500.0,0.0004
2010-01-26,23.53,23.4,23.68,23.32,165000.0,0.0077
2010-01-27,23.55,23.6,23.6,23.37,175300.0,0.0008
2010-01-28,23.84,23.79,24.12,23.39,131300.0,0.0123
2010-01-29,23.49,24.0,24.0,23.23,337720.0,-0.0147
2010-02-01,23.37,23.68,23.68,23.13,407400.0,-0.0051
2010-02-02,23.63,23.33,23.72,23.19,208270.0,0.0111
2010-02-03,23.84,23.6,23.86,23.41,827650.0,0.0089
2010-02-04,22.47,23.64,23.75,22.35,713950.0,-0.0575
2010-02-05,21.71,22.41,22.57,21.3,1140000.0,-0.0338
2010-02-08,22.39,21.88,22.63,21.76,208180.0,0.0313
2010-02-09,22.56,22.49,22.76,22.27,220630.0,0.0076
2010-02-10,22.05,22.38,22.38,21.87,403800.0,-0.0226
2010-02-11,22.06,21.97,22.18,21.95,107510.0,0.0005
2010-02-12,22.55,21.91,22.55,21.88,125570.0,0.0222
2010-02-16,23.03,22.65,23.07,22.27,247980.0,0.0213
2010-02-17,22.76,23.04,23.39,22.59,189720.0,-0.011699999999999999
2010-02-18,23.28,22.64,23.5,22.5,121320.0,0.022799999999999997
2010-02-19,23.58,23.29,23.96,23.29,187560.0,0.0129
2010-02-22,23.24,23.5,23.52,23.09,155480.0,-0.0144
2010-02-23,23.64,23.2,23.73,23.1,134200.0,0.0172
2010-02-24,24.16,23.81,24.35,23.75,208380.0,0.022000000000000002
2010-02-25,23.8,23.82,24.07,23.52,257930.0,-0.0149
2010-02-26,23.89,23.91,23.96,23.51,264920.0,0.0038
2010-03-01,24.09,24.01,24.57,23.88,271490.0,0.0084
2010-03-02,24.04,24.13,24.3,23.77,279410.0,-0.0021
2010-03-03,23.99,24.0,24.11,23.82,114880.0,-0.0021
2010-03-04,24.2,24.02,24.4,23.99,149800.0,0.0088
2010-03-05,24.52,24.25,24.74,24.18,189840.0,0.0132
2010-03-08,24.67,24.55,24.88,24.51,144780.0,0.0060999999999999995
2010-03-09,25.12,24.55,25.24,24.5,185110.0,0.0182
2010-03-10,25.06,25.11,25.18,24.91,248130.0,-0.0024
2010-03-11,25.11,24.99,25.19,24.81,100000.0,0.002
2010-03-12,25.13,25.14,25.25,24.98,55290.0,0.0008
2010-03-15,25.03,25.16,25.25,24.87,195520.0,-0.004
2010-03-16,25.12,25.02,25.2,24.86,109210.0,0.0036
2010-03-17,25.82,25.11,26.51,24.94,503430.0,0.0279
2010-03-18,25.24,25.88,25.93,25.23,156630.0,-0.0225
2010-03-19,25.6,25.29,25.75,25.0,741340.0,0.0143
2010-03-22,25.01,25.56,25.72,24.95,233920.0,-0.023
2010-03-23,25.18,25.0,25.25,24.9,152410.0,0.0068000000000000005
2010-03-24,25.25,25.17,25.97,25.0,1310000.0,0.0028000000000000004
2010-03-25,24.43,25.44,25.48,24.29,367890.0,-0.0325
2010-03-26,24.99,24.59,25.18,24.35,793350.0,0.0229
2010-03-29,25.35,25.23,25.6,25.16,337060.0,0.0144
2010-03-30,25.79,25.5,25.91,25.2,554080.0,0.0174
2010-03-31,25.25,26.4,26.4,24.85,1210000.0,-0.0209
2010-04-01,25.52,25.35,25.8,25.29,1230000.0,0.010700000000000001
2010-04-05,25.8,25.73,25.8,25.39,621750.0,0.011000000000000001
2010-04-06,27.01,26.11,27.01,26.08,716510.0,0.046900000000000004
