Date,Close,Open,High,Low,Volume,Change
2000-01-03,10.86,10.74,10.86,10.56,2130000.0,0.009300000000000001
2000-01-04,10.85,10.64,10.94,10.64,1850000.0,-0.0009
2000-01-05,10.86,10.78,10.89,10.67,1840000.0,0.0009
2000-01-06,11.06,10.89,11.56,10.78,4420000.0,0.0184
2000-01-07,11.46,11.03,11.53,10.94,3100000.0,0.0362
2000-01-10,11.89,11.53,11.89,11.22,2670000.0,0.0375
2000-01-11,11.44,11.78,11.78,11.31,2280000.0,-0.0378
2000-01-12,11.24,11.44,11.46,10.99,2380000.0,-0.0175
2000-01-13,11.58,11.22,11.67,11.22,2680000.0,0.0302
2000-01-14,11.88,11.56,12.03,11.56,4450000.0,0.0259
2000-01-18,11.88,11.83,12.11,11.78,3390000.0,0.0
2000-01-19,11.61,11.85,11.96,11.58,1290000.0,-0.0227
2000-01-20,10.94,11.67,11.74,10.81,4150000.0000000005,-0.057699999999999994
2000-01-21,10.65,11.0,11.0,10.42,2280000.0,-0.0265
2000-01-24,10.13,10.56,10.58,9.94,4720000.0,-0.048799999999999996
2000-01-25,10.38,10.22,10.39,9.69,2460000.0,0.024700000000000003
2000-01-26,10.33,10.42,10.83,10.33,3740000.0,-0.0048
2000-01-27,9.89,10.4,10.49,9.79,3030000.0,-0.0426
2000-01-28,9.92,9.78,9.94,9.33,4710000.0,0.003
2000-01-31,9.79,9.89,10.06,9.67,2520000.0,-0.0131
2000-02-01,10.07,9.89,10.21,9.83,4170000.0,0.0286
2000-02-02,10.28,10.11,10.5,10.08,1120000.0,0.0209
2000-02-03,10.51,10.33,10.67,10.19,1730000.0,0.022400000000000003
2000-02-04,10.28,10.64,10.69,10.19,1950000.0,-0.0219
2000-02-07,10.1,10.32,10.32,9.69,1040000.0,-0.0175
2000-02-08,10.32,10.17,10.36,10.15,1570000.0,0.0218
2000-02-09,9.86,10.42,10.51,9.64,1040000.0,-0.0446
2000-02-10,9.33,9.89,9.92,9.29,3420000.0,-0.0538
2000-02-11,9.08,9.35,9.39,9.01,3530000.0,-0.0268
2000-02-14,8.99,9.11,9.14,8.75,2790000.0,-0.009899999999999999
2000-02-15,8.72,9.06,9.15,8.58,4940000.0,-0.03
2000-02-16,8.17,8.75,8.78,7.97,1880000.0,-0.06309999999999999
2000-02-17,7.96,8.25,8.67,7.42,5430000.0,-0.025699999999999997
2000-02-18,7.64,8.0,8.03,7.5,2810000.0,-0.04019999999999999
2000-02-22,7.13,7.61,7.67,6.94,7950000.0,-0.0668
2000-02-23,7.94,7.25,7.94,7.17,6980000.0,0.11359999999999999
2000-02-24,8.01,7.86,8.08,7.33,5360000.0,0.0088
2000-02-25,7.75,7.89,8.03,7.63,3160000.0,-0.0325
2000-02-28,8.25,7.71,8.28,7.53,2300000.0,0.0645
2000-02-29,8.63,8.28,8.97,8.22,3370000.0,0.0461
2000-03-01,8.1,8.68,9.22,8.0,8660000.0,-0.061399999999999996
2000-03-02,8.39,8.14,8.69,8.08,2430000.0,0.0358
2000-03-03,8.71,8.44,8.71,8.39,1330000.0,0.0381
2000-03-06,7.96,8.67,8.67,7.89,3560000.0,-0.0861
2000-03-07,7.74,8.06,8.06,7.64,4139999.9999999995,-0.0276
2000-03-08,8.39,7.72,8.4,7.6,3410000.0,0.084
2000-03-09,9.5,8.26,9.56,8.22,5190000.0,0.1323
2000-03-10,8.9,9.17,9.42,8.74,2470000.0,-0.0632
2000-03-13,8.88,8.69,8.95,8.5,1320000.0,-0.0022
2000-03-14,8.38,8.89,8.89,8.19,1170000.0,-0.056299999999999996
2000-03-15,9.86,8.44,10.03,8.32,4210000.0,0.1766
2000-03-16,10.47,9.83,10.89,9.67,8050000.000000001,0.061900000000000004
2000-03-17,10.42,10.55,10.96,10.36,3510000.0,-0.0048
2000-03-20,9.96,10.39,10.5,9.89,808200.0,-0.0441
2000-03-21,10.43,9.89,10.45,9.65,1460000.0,0.0472
2000-03-22,10.5,10.33,10.78,10.22,2270000.0,0.0067
2000-03-23,10.5,10.46,10.69,10.15,2660000.0,0.0
2000-03-24,9.96,10.54,10.65,9.9,2320000.0,-0.051399999999999994
2000-03-27,10.0,10.26,10.28,9.89,991350.0,0.004
2000-03-28,10.0,10.0,10.33,9.76,3280000.0,0.0
2000-03-29,11.11,10.04,11.5,10.04,5100000.0,0.111
2000-03-30,11.47,10.73,11.53,10.61,2940000.0,0.032400000000000005
2000-03-31,11.58,11.53,11.64,11.0,5110000.0,0.0096
2000-04-03,12.17,11.72,12.19,11.36,3340000.0,0.0509
2000-04-04,11.58,12.08,12.14,11.26,4530000.0,-0.048499999999999995
2000-04-05,11.36,11.6,11.6,10.94,1140000.0,-0.019
2000-04-06,11.85,10.43,11.86,10.33,7890000.0,0.0431
2000-04-07,11.6,11.85,11.88,11.25,2870000.0,-0.021099999999999997
2000-04-10,11.29,11.56,11.6,11.06,1320000.0,-0.026699999999999998
2000-04-11,11.26,11.11,11.51,11.0,1560000.0,-0.0027
2000-04-12,11.81,11.32,12.04,11.29,2540000.0,0.048799999999999996
2000-04-13,11.24,11.78,11.96,11.22,1630000.0,-0.0483
2000-04-14,10.72,11.14,11.15,10.64,2049999.9999999998,-0.0463
2000-04-17,11.38,10.61,11.39,10.54,2380000.0,0.0616
2000-04-18,11.57,11.29,11.94,11.18,3760000.0,0.0167
2000-04-19,11.28,11.44,11.47,10.92,1800000.0,-0.025099999999999997
2000-04-20,10.97,11.41,11.41,10.86,1060000.0,-0.0275
2000-04-24,11.32,10.99,11.43,10.89,5290000.0,0.0319
2000-04-25,11.44,11.39,11.47,11.11,3050000.0,0.0106
2000-04-26,12.86,11.53,12.97,11.43,14840000.0,0.1241
2000-04-27,13.22,12.65,13.42,12.42,5210000.0,0.027999999999999997
2000-04-28,12.86,13.14,13.17,12.64,3180000.0,-0.027200000000000002
2000-05-01,12.88,12.94,12.97,12.74,2770000.0,0.0016
2000-05-02,12.9,12.86,13.42,12.81,4620000.0,0.0016
2000-05-03,12.11,12.75,12.76,12.06,5780000.0,-0.061200000000000004
2000-05-04,12.69,12.1,12.72,11.94,4300000.0,0.0479
2000-05-05,13.56,12.58,13.61,12.58,3210000.0,0.06860000000000001
2000-05-08,13.61,13.14,14.13,13.11,5390000.0,0.0037
2000-05-09,13.17,13.69,13.69,12.83,4050000.0,-0.0323
2000-05-10,13.08,12.89,13.31,12.75,2640000.0,-0.0068000000000000005
2000-05-11,13.71,13.14,13.83,13.14,2870000.0,0.0482
2000-05-12,13.21,13.67,13.81,13.19,2210000.0,-0.0365
2000-05-15,13.74,13.21,13.74,13.04,2680000.0,0.0401
2000-05-16,14.11,13.67,14.4,13.67,2560000.0,0.0269
2000-05-17,13.56,13.94,14.11,13.42,2920000.0,-0.039
2000-05-18,13.5,13.54,14.0,13.35,1390000.0,-0.0044
2000-05-19,13.26,13.34,13.47,12.93,1330000.0,-0.0178
2000-05-22,13.04,13.28,13.32,12.61,2100000.0,-0.0166
2000-05-23,12.69,13.06,13.25,12.69,1170000.0,-0.0268
2000-05-24,12.4,12.36,12.4,11.39,3480000.0,-0.0229
2000-05-25,12.6,12.42,12.83,12.33,2900000.0,0.0161
2000-05-26,12.4,12.61,12.61,11.92,1120000.0,-0.0159
2000-05-30,12.86,12.6,12.93,12.57,1720000.0,0.0371
2000-05-31,13.22,12.89,13.61,12.78,2910000.0,0.027999999999999997
2000-06-01,12.89,13.38,13.54,12.53,1750000.0,-0.025
2000-06-02,13.67,12.91,13.69,12.9,1510000.0,0.0605
2000-06-05,13.69,13.57,14.29,13.44,1670000.0,0.0015
2000-06-06,13.07,13.6,13.6,13.06,2060000.0,-0.0453
2000-06-07,12.75,13.06,13.11,12.4,3170000.0,-0.0245
2000-06-08,12.56,12.85,12.94,12.46,1700000.0,-0.0149
2000-06-09,12.33,12.56,12.9,12.31,1320000.0,-0.0183
2000-06-12,11.93,12.33,12.39,11.9,1800000.0,-0.032400000000000005
2000-06-13,12.51,11.85,12.51,11.72,1790000.0,0.048600000000000004
2000-06-14,12.83,12.57,13.03,12.56,2200000.0,0.0256
2000-06-15,13.22,12.92,13.22,12.74,1440000.0,0.0304
2000-06-16,13.15,13.56,13.6,12.93,1930000.0,-0.0053
2000-06-19,13.56,13.11,13.69,13.11,2450000.0,0.031200000000000002
2000-06-20,13.69,13.55,13.92,13.42,1980000.0,0.0096
2000-06-21,13.56,13.67,13.67,13.38,991500.0,-0.0095
2000-06-22,13.42,13.53,13.54,13.38,1180000.0,-0.0103
2000-06-23,13.38,13.35,13.42,13.17,2130000.0,-0.003
2000-06-26,13.25,13.42,13.46,13.21,1660000.0,-0.0097
2000-06-27,13.29,13.29,13.48,13.27,1780000.0,0.003
2000-06-28,13.35,13.31,13.42,13.25,2120000.0,0.0045000000000000005
2000-06-29,12.83,13.33,13.35,12.67,1830000.0,-0.039
2000-06-30,13.19,12.88,13.65,12.88,1690000.0,0.0281
2000-07-03,13.23,13.18,13.67,13.17,533700.0,0.003
2000-07-05,13.06,13.19,13.25,12.85,1440000.0,-0.0128
2000-07-06,14.98,13.29,15.83,13.27,8140000.000000001,0.147
2000-07-07,15.19,15.15,15.52,15.0,3910000.0,0.013999999999999999
2000-07-10,15.44,15.29,15.85,15.14,3590000.0,0.0165
2000-07-11,15.88,15.42,16.08,15.35,2740000.0,0.0285
2000-07-12,16.0,16.0,16.0,15.5,1270000.0,0.0076
2000-07-13,14.69,15.5,15.5,14.67,4040000.0,-0.0819
2000-07-14,15.42,14.73,15.63,14.65,2020000.0,0.049699999999999994
2000-07-17,15.08,15.41,15.42,14.96,1220000.0,-0.022000000000000002
2000-07-18,15.31,15.04,15.56,15.0,1470000.0,0.015300000000000001
2000-07-19,15.31,15.44,15.67,14.98,1040000.0,0.0
2000-07-20,14.85,15.31,15.71,14.25,1760000.0,-0.03
2000-07-21,14.44,14.75,14.81,14.04,1040000.0,-0.0276
2000-07-24,13.86,14.33,14.38,13.67,1930000.0,-0.04019999999999999
2000-07-25,13.69,13.73,13.79,13.21,2550000.0,-0.0123
2000-07-26,13.94,13.67,14.25,13.6,2220000.0,0.0183
2000-07-27,14.0,13.98,14.29,13.79,2060000.0,0.0043
2000-07-28,13.75,14.02,14.04,13.75,2490000.0,-0.0179
2000-07-31,14.19,13.95,14.46,13.25,2720000.0,0.032
2000-08-01,14.21,14.08,14.25,13.6,1810000.0,0.0014000000000000002
2000-08-02,13.5,14.04,14.17,13.4,4070000.0000000005,-0.05
2000-08-03,13.0,12.63,13.13,12.58,21670000.0,-0.037000000000000005
2000-08-04,13.4,13.07,13.44,13.0,7890000.0,0.0308
2000-08-07,13.4,13.5,13.52,13.31,2830000.0,0.0
2000-08-08,13.5,13.33,13.5,13.33,3610000.0,0.0075
2000-08-09,13.46,13.49,13.54,13.33,4370000.0,-0.003
2000-08-10,13.33,13.46,13.47,13.33,2600000.0,-0.0097
2000-08-11,13.52,13.35,13.54,13.33,2730000.0,0.0143
2000-08-14,13.69,13.48,13.71,13.48,2810000.0,0.0126
