Date,Close,Open,High,Low,Volume,Change
2000-01-03,10.33,10.74,10.78,10.3,403800.0,-0.0453
2000-01-04,10.26,10.33,10.48,10.15,278550.0,-0.0068000000000000005
2000-01-05,10.63,10.18,10.78,10.18,399600.0,0.0361
2000-01-06,10.52,10.56,10.86,10.52,199800.0,-0.0103
2000-01-07,10.37,10.6,10.89,10.37,669900.0,-0.0143
2000-01-10,10.45,10.33,10.56,10.33,286200.0,0.0077
2000-01-11,10.86,10.45,10.93,10.45,417450.0,0.0392
2000-01-12,10.48,10.82,10.86,10.37,1160000.0,-0.035
2000-01-13,11.12,10.6,11.19,10.52,971400.0,0.0611
2000-01-14,11.27,11.12,11.34,11.12,355950.0,0.013500000000000002
2000-01-18,11.12,11.19,11.34,10.97,412050.0,-0.013300000000000001
2000-01-19,10.93,11.12,11.15,10.82,832350.0,-0.0171
2000-01-20,10.52,10.86,10.89,10.45,695250.0,-0.0375
2000-01-21,10.48,10.67,10.67,10.48,704850.0,-0.0038
2000-01-24,10.22,10.63,10.63,10.15,707100.0,-0.0248
2000-01-25,9.92,10.11,10.15,9.89,779550.0,-0.0294
2000-01-26,9.89,10.04,10.04,9.77,904350.0,-0.003
2000-01-27,9.85,9.89,9.96,9.7,564300.0,-0.004
2000-01-28,9.4,9.77,9.77,9.36,1200000.0,-0.045700000000000005
2000-01-31,9.48,9.4,9.59,9.29,577500.0,0.0085
2000-02-01,9.18,9.48,9.55,9.1,638550.0,-0.0316
2000-02-02,9.44,9.18,9.44,8.51,3730000.0,0.028300000000000002
2000-02-03,9.66,9.48,9.66,9.33,564450.0,0.0233
2000-02-04,10.0,9.63,10.0,9.63,1750000.0,0.0352
2000-02-07,9.59,9.96,10.0,9.51,616800.0,-0.040999999999999995
2000-02-08,9.77,9.7,9.85,9.63,888900.0,0.018799999999999997
2000-02-09,9.44,9.7,9.74,9.4,589050.0,-0.0338
2000-02-10,9.48,9.36,9.59,9.25,674550.0,0.0042
2000-02-11,9.29,9.55,9.59,9.21,549600.0,-0.02
2000-02-14,9.03,9.25,9.29,8.99,430800.0,-0.027999999999999997
