Date,Close,Open,High,Low,Volume,Change
2000-01-03,43.12,44.38,44.69,41.81,3910000.0,-0.0626
2000-01-04,41.56,42.88,42.88,41.44,2470000.0,-0.0362
2000-01-05,39.75,40.0,40.0,39.12,4490000.0,-0.0436
2000-01-06,44.44,43.88,45.0,43.0,5450000.0,0.11800000000000001
2000-01-07,46.56,45.06,46.75,44.5,3580000.0,0.04769999999999999
2000-01-10,47.75,47.44,48.0,47.0,3890000.0,0.0256
2000-01-11,49.44,48.0,49.88,48.0,4720000.0,0.0354
2000-01-12,49.94,49.25,50.31,48.31,4200000.0,0.0101
2000-01-13,49.19,49.38,49.62,48.31,3070000.0,-0.015
2000-01-14,47.81,48.56,48.75,47.69,2290000.0,-0.0281
2000-01-18,47.81,47.25,47.88,46.94,2390000.0,0.0
2000-01-19,47.81,47.62,48.25,47.44,2730000.0,0.0
2000-01-20,47.0,47.81,47.81,46.38,2089999.9999999998,-0.0169
2000-01-21,45.12,46.75,46.94,45.06,2089999.9999999998,-0.04
2000-01-24,42.56,45.19,45.5,42.31,2470000.0,-0.0567
2000-01-25,44.31,43.12,44.44,43.0,2820000.0,0.041100000000000005
2000-01-26,45.12,44.19,45.94,43.75,2450000.0,0.0183
2000-01-27,45.0,46.0,46.19,44.12,2130000.0,-0.0027
2000-01-28,43.5,44.44,45.31,43.44,2670000.0,-0.0333
2000-01-31,44.69,43.62,44.94,42.75,2560000.0,0.0274
2000-02-01,46.0,44.94,46.62,44.88,2410000.0,0.029300000000000003
2000-02-02,46.81,45.62,47.44,44.94,1650000.0,0.0176
2000-02-03,52.88,49.88,53.5,49.69,8400000.0,0.1297
2000-02-04,51.69,53.06,53.75,51.56,5120000.0,-0.0225
2000-02-07,50.0,50.12,50.81,48.25,3890000.0,-0.0327
2000-02-08,50.06,50.44,50.5,49.62,2550000.0,0.0012
2000-02-09,49.19,49.81,50.19,49.19,1890000.0,-0.0174
2000-02-10,49.0,49.44,49.88,48.38,1660000.0,-0.0039000000000000003
2000-02-11,48.56,48.25,48.94,47.62,1270000.0,-0.009000000000000001
2000-02-14,50.12,48.62,50.25,48.56,1530000.0,0.0321
2000-02-15,50.69,50.25,50.81,49.69,1980000.0,0.011399999999999999
2000-02-16,49.0,49.69,49.69,48.44,2850000.0,-0.0333
2000-02-17,42.12,49.19,49.25,41.06,5680000.0,-0.1404
2000-02-18,43.0,42.12,43.44,41.06,7830000.0,0.0209
2000-02-22,44.69,43.12,44.88,43.06,3170000.0,0.0393
2000-02-23,42.94,44.19,44.25,42.88,3260000.0,-0.0392
2000-02-24,42.94,42.81,42.94,41.56,5460000.0,0.0
2000-02-25,46.81,44.81,47.69,44.31,4500000.0,0.0901
2000-02-28,46.12,46.44,46.94,45.62,2130000.0,-0.0147
2000-02-29,48.31,46.56,48.38,46.12,2150000.0,0.0475
2000-03-01,47.88,47.81,47.88,46.25,1570000.0,-0.0089
2000-03-02,44.25,42.56,45.06,41.75,6740000.0,-0.0758
2000-03-03,45.5,44.88,46.12,44.12,2650000.0,0.0282
2000-03-06,45.0,45.5,45.5,44.5,1570000.0,-0.011000000000000001
2000-03-07,43.0,44.75,45.31,42.25,3110000.0,-0.0444
2000-03-08,43.94,42.75,44.56,41.5,2310000.0,0.0219
2000-03-09,45.62,43.25,45.62,42.62,1990000.0,0.0382
2000-03-10,46.12,44.88,46.81,44.5,2280000.0,0.011000000000000001
2000-03-13,45.94,45.62,45.94,45.25,992700.0,-0.0039000000000000003
2000-03-14,43.94,44.5,44.81,43.75,1770000.0,-0.0435
2000-03-15,45.0,44.0,45.88,43.56,3670000.0,0.0241
2000-03-16,48.75,45.5,49.0,45.5,3350000.0,0.0833
2000-03-17,46.44,48.31,48.44,46.44,2710000.0,-0.047400000000000005
2000-03-20,47.69,46.94,48.38,46.56,2360000.0,0.0269
2000-03-21,49.25,48.31,50.06,48.12,3140000.0,0.0327
2000-03-22,47.38,48.88,48.88,46.88,2510000.0,-0.038
2000-03-23,47.81,46.81,48.06,44.69,2490000.0,0.0091
2000-03-24,46.75,47.81,47.81,46.44,1780000.0,-0.0222
2000-03-27,46.38,46.81,47.25,45.88,1540000.0,-0.0079
2000-03-28,46.06,46.0,47.75,45.75,1280000.0,-0.0069
2000-03-29,48.94,47.12,49.38,46.94,2560000.0,0.0625
2000-03-30,50.0,48.94,50.0,48.56,2670000.0,0.0217
2000-03-31,49.81,49.94,50.19,47.94,2630000.0,-0.0038
2000-04-03,50.0,48.5,50.81,48.12,2690000.0,0.0038
2000-04-04,51.05,50.62,53.12,48.5,5300000.0,0.021
2000-04-05,43.38,51.0,51.81,43.25,4780000.0,-0.1502
2000-04-06,44.06,42.5,44.75,42.5,11990000.0,0.015700000000000002
2000-04-07,45.62,43.81,45.69,43.31,4820000.0,0.0354
2000-04-10,44.88,45.0,46.69,44.44,3830000.0,-0.016200000000000003
2000-04-11,43.5,43.5,44.31,43.12,3220000.0,-0.030699999999999998
2000-04-12,43.88,44.0,45.19,43.75,3640000.0,0.0087
2000-04-13,41.69,43.62,43.62,41.5,3770000.0,-0.0499
2000-04-14,37.25,40.25,41.0,37.06,5340000.0,-0.1065
2000-04-17,39.0,37.31,39.25,36.88,4200000.0,0.047
2000-04-18,37.25,37.62,38.06,36.94,3760000.0,-0.0449
2000-04-19,39.25,38.38,40.12,37.81,3840000.0,0.0537
2000-04-20,38.75,38.75,39.44,37.56,2250000.0,-0.0127
2000-04-24,39.5,38.38,39.75,38.19,1910000.0,0.0194
2000-04-25,38.62,39.0,39.5,38.56,3560000.0,-0.0223
2000-04-26,39.38,38.5,39.56,37.25,4780000.0,0.0197
2000-04-27,36.88,39.0,39.0,36.56,4840000.0,-0.0635
2000-04-28,36.75,36.75,36.88,35.0,4550000.0,-0.0034999999999999996
2000-05-01,38.06,38.5,38.94,37.12,4370000.0,0.0356
2000-05-02,39.0,37.0,39.81,36.75,4580000.0,0.024700000000000003
2000-05-03,36.75,37.75,38.0,36.75,3170000.0,-0.057699999999999994
2000-05-04,36.0,35.0,36.0,34.0,12970000.0,-0.0204
2000-05-05,34.44,35.5,35.5,34.06,3750000.0,-0.0433
2000-05-08,33.25,34.19,34.25,32.88,4440000.0,-0.0346
2000-05-09,34.0,33.5,34.88,33.5,2850000.0,0.0226
2000-05-10,33.12,33.75,33.94,32.81,4260000.0,-0.0259
2000-05-11,35.31,34.0,35.38,34.0,6070000.0,0.0661
2000-05-12,36.09,36.0,36.62,35.88,4010000.0,0.022099999999999998
2000-05-15,36.25,36.38,36.75,35.94,3400000.0,0.0044
2000-05-16,36.62,37.19,37.19,36.0,2390000.0,0.0102
2000-05-17,37.0,36.19,37.88,36.0,2380000.0,0.0104
2000-05-18,36.94,37.12,37.31,36.31,1710000.0,-0.0016
2000-05-19,36.44,36.0,36.88,35.62,3150000.0,-0.013500000000000002
2000-05-22,35.0,36.5,36.5,34.81,2250000.0,-0.0395
2000-05-23,35.06,35.12,35.5,34.75,2690000.0,0.0017000000000000001
2000-05-24,33.75,34.5,34.81,32.75,2240000.0,-0.0374
2000-05-25,34.38,33.75,34.44,33.44,2490000.0,0.0187
2000-05-26,34.5,34.12,34.56,33.94,1700000.0,0.0034999999999999996
2000-05-30,34.44,34.0,34.62,33.88,1760000.0,-0.0017000000000000001
2000-05-31,35.06,34.38,35.88,34.12,2220000.0,0.018000000000000002
2000-06-01,34.69,34.31,35.5,34.12,5400000.0,-0.0106
2000-06-02,34.25,35.5,35.5,33.81,4750000.0,-0.0127
2000-06-05,34.69,34.75,35.0,34.25,4610000.0,0.0128
2000-06-06,34.38,34.56,35.31,34.19,3840000.0,-0.0089
2000-06-07,34.5,34.12,35.06,34.12,2000000.0,0.0034999999999999996
2000-06-08,33.44,34.5,34.5,33.38,2670000.0,-0.030699999999999998
2000-06-09,33.06,33.5,33.88,32.94,2690000.0,-0.011399999999999999
2000-06-12,32.25,33.19,33.25,32.06,2580000.0,-0.0245
2000-06-13,31.38,32.44,32.5,31.06,5130000.0,-0.027000000000000003
2000-06-14,32.38,31.38,32.81,31.06,5250000.0,0.0319
2000-06-15,31.88,32.31,33.31,31.5,4430000.0,-0.0154
2000-06-16,30.88,31.0,31.44,30.75,3920000.0,-0.031400000000000004
2000-06-19,30.69,31.06,31.19,30.12,3530000.0,-0.0062
2000-06-20,30.12,30.0,30.44,29.75,4600000.0,-0.018600000000000002
2000-06-21,29.62,29.81,30.0,28.0,5260000.0,-0.0166
2000-06-22,28.94,29.62,29.69,28.88,3260000.0,-0.023
2000-06-23,28.69,29.0,29.0,28.5,1950000.0,-0.0086
2000-06-26,29.75,29.38,29.94,28.88,3080000.0,0.0369
2000-06-27,31.88,29.75,32.19,29.62,5060000.0,0.0716
2000-06-28,31.53,31.75,32.25,30.38,4820000.0,-0.011000000000000001
2000-06-29,30.0,31.0,31.06,29.38,4120000.0,-0.048499999999999995
2000-06-30,31.25,30.25,31.56,30.19,5230000.0,0.0417
2000-07-03,30.38,30.38,30.62,29.94,2180000.0,-0.0278
2000-07-05,29.88,30.38,30.5,29.88,3290000.0,-0.0165
2000-07-06,33.38,29.94,34.38,29.62,10940000.0,0.11710000000000001
2000-07-07,35.5,34.25,35.69,33.19,6650000.0,0.0635
2000-07-10,37.88,35.62,38.44,35.06,8950000.0,0.067
2000-07-11,38.62,37.38,38.75,37.0,7080000.0,0.0195
2000-07-12,37.88,38.38,39.0,37.75,6050000.0,-0.0192
2000-07-13,37.25,37.62,37.88,36.75,2600000.0,-0.0166
2000-07-14,38.19,37.31,38.19,36.56,2400000.0,0.0252
2000-07-17,38.34,37.69,39.12,37.44,3900000.0,0.0039000000000000003
2000-07-18,37.25,38.0,38.25,37.12,1590000.0,-0.028399999999999998
2000-07-19,36.0,37.31,37.5,36.0,1890000.0,-0.0336
2000-07-20,35.94,36.06,36.19,35.62,3200000.0,-0.0017000000000000001
2000-07-21,36.94,35.62,37.12,35.5,2390000.0,0.0278
2000-07-24,36.94,36.62,37.5,36.38,1870000.0,0.0
2000-07-25,36.0,36.69,36.75,35.38,3220000.0,-0.0254
2000-07-26,36.62,36.0,37.62,35.62,3050000.0,0.0172
2000-07-27,38.12,37.12,38.12,37.06,3740000.0,0.040999999999999995
2000-07-28,37.56,38.12,38.62,37.25,3440000.0,-0.0147
2000-07-31,35.81,37.19,37.31,35.38,3650000.0,-0.0466
2000-08-01,37.0,36.5,37.06,35.5,12520000.0,0.0332
2000-08-02,32.12,37.0,38.0,32.0,3680000.0,-0.1319
2000-08-03,30.38,31.25,31.25,29.69,14220000.0,-0.0542
2000-08-04,30.06,30.19,30.19,29.75,7470000.0,-0.0105
2000-08-07,30.25,30.19,30.5,30.0,5380000.0,0.0063
2000-08-08,31.69,30.12,31.69,30.06,7710000.0,0.047599999999999996
2000-08-09,31.5,30.5,31.62,30.5,6130000.0,-0.006
2000-08-10,27.0,28.25,28.25,26.12,38300000.0,-0.1429
2000-08-11,27.06,26.75,27.25,25.94,9490000.0,0.0022
2000-08-14,26.44,26.06,26.62,25.56,6990000.0,-0.0229
2000-08-15,26.44,26.94,27.62,26.25,5250000.0,0.0
2000-08-16,25.56,26.5,26.62,25.06,5650000.0,-0.0333
2000-08-17,26.0,25.5,26.19,25.12,3580000.0,0.0172
2000-08-18,27.0,25.56,27.19,25.56,3430000.0,0.0385
2000-08-21,27.12,26.56,27.31,26.25,3230000.0,0.0044
2000-08-22,28.38,27.44,29.12,27.38,5630000.0,0.04650000000000001
2000-08-23,28.88,28.25,29.38,28.12,3330000.0,0.0176
2000-08-24,27.56,27.56,28.31,27.19,3750000.0,-0.045700000000000005
2000-08-25,26.44,26.5,26.94,26.25,3810000.0,-0.0406
2000-08-28,25.94,26.56,26.69,25.81,3340000.0,-0.0189
2000-08-29,26.75,25.69,26.75,25.5,3190000.0,0.031200000000000002
2000-08-30,22.5,26.0,26.0,21.69,5540000.0,-0.1589
2000-08-31,22.25,21.88,22.5,21.12,25970000.0,-0.0111
2000-09-01,23.5,22.44,23.88,22.19,5860000.0,0.0562
