Date,Close,Open,High,Low,Volume,Change
2000-01-03,1.12,1.12,1.19,1.12,148200.0,-0.0345
2000-01-04,1.09,1.09,1.12,1.06,107000.0,-0.0268
2000-01-05,1.06,1.06,1.09,1.06,61600.0,-0.0275
2000-01-06,1.12,1.06,1.16,1.06,149000.0,0.056600000000000004
2000-01-07,1.19,1.12,1.47,1.09,240600.0,0.0625
2000-01-10,1.22,1.22,1.25,1.19,191200.0,0.0252
2000-01-11,1.16,1.22,1.25,1.12,206000.0,-0.0492
2000-01-12,1.09,1.16,1.19,1.09,254400.0,-0.0603
2000-01-13,1.0,1.12,1.12,1.0,683800.0,-0.08259999999999999
2000-01-14,1.0,1.0,1.03,0.97,990000.0,0.0
2000-01-18,1.0,1.0,1.03,0.97,827200.0,0.0
2000-01-19,1.0,1.0,1.0,0.97,196200.0,0.0
2000-01-20,0.72,1.0,1.0,0.66,19900000.0,-0.28
2000-01-21,0.78,0.75,0.78,0.72,3790000.0,0.0833
2000-01-24,0.78,0.78,0.78,0.75,1600000.0,0.0
2000-01-25,0.78,0.78,0.81,0.75,657600.0,0.0
2000-01-26,0.78,0.78,0.81,0.75,375200.0,0.0
2000-01-27,0.78,0.78,0.78,0.75,1210000.0,0.0
2000-01-28,0.75,0.75,0.78,0.72,800000.0,-0.0385
2000-01-31,0.78,0.78,0.81,0.75,2000000.0,0.04
2000-02-01,0.84,0.81,0.88,0.78,1310000.0,0.07690000000000001
2000-02-02,0.84,0.84,0.88,0.81,738200.0,0.0
2000-02-03,0.81,0.88,0.91,0.81,1130000.0,-0.035699999999999996
2000-02-04,0.84,0.84,0.88,0.81,836400.0,0.037000000000000005
2000-02-07,0.88,0.88,0.91,0.84,1140000.0,0.047599999999999996
2000-02-08,0.84,0.88,0.91,0.84,1340000.0,-0.0455
2000-02-09,0.81,0.88,0.88,0.78,1050000.0,-0.035699999999999996
2000-02-10,0.78,0.81,0.81,0.75,954400.0,-0.037000000000000005
2000-02-11,0.75,0.78,0.78,0.69,1380000.0,-0.0385
2000-02-14,0.75,0.78,0.78,0.72,1100000.0,0.0
2000-02-15,0.78,0.75,0.78,0.75,628400.0,0.04
2000-02-16,0.75,0.78,0.78,0.75,919000.0,-0.0385
2000-02-17,0.75,0.78,0.78,0.75,413000.0,0.0
2000-02-18,0.81,0.78,0.81,0.75,687400.0,0.08
2000-02-22,0.81,0.81,0.81,0.78,425000.0,0.0
2000-02-23,0.81,0.81,0.81,0.78,454600.0,0.0
2000-02-24,0.81,0.81,0.81,0.78,644600.0,0.0
2000-02-25,0.81,0.81,0.81,0.78,476000.0,0.0
2000-02-28,0.81,0.81,0.84,0.78,541800.0,0.0
2000-02-29,0.81,0.81,0.84,0.78,716000.0,0.0
2000-03-01,0.81,0.81,0.84,0.78,534000.0,0.0
2000-03-02,0.84,0.81,0.84,0.78,611000.0,0.037000000000000005
2000-03-03,0.81,0.84,0.88,0.81,1760000.0,-0.035699999999999996
2000-03-06,1.03,0.88,1.06,0.88,3680000.0,0.2716
2000-03-07,1.22,1.09,1.28,1.06,2760000.0,0.1845
2000-03-08,1.28,1.22,1.31,1.22,1730000.0,0.0492
2000-03-09,1.31,1.34,1.34,1.25,871400.0,0.023399999999999997
2000-03-10,1.28,1.28,1.31,1.25,1060000.0,-0.0229
2000-03-13,1.25,1.25,1.25,1.19,725400.0,-0.023399999999999997
2000-03-14,1.19,1.25,1.25,1.19,632200.0,-0.048
2000-03-15,1.06,1.19,1.22,1.0,2600000.0,-0.1092
2000-03-16,1.12,1.09,1.16,1.06,641800.0,0.056600000000000004
2000-03-17,1.12,1.16,1.16,1.09,552000.0,0.0
2000-03-20,1.16,1.16,1.16,1.12,578800.0,0.035699999999999996
2000-03-21,1.09,1.16,1.16,1.06,1070000.0,-0.0603
2000-03-22,1.16,1.09,1.19,1.09,729400.0,0.0642
2000-03-23,1.31,1.16,1.41,1.16,1430000.0,0.1293
2000-03-24,1.44,1.38,1.44,1.34,1210000.0,0.0992
2000-03-27,1.66,1.44,1.72,1.41,1490000.0,0.1528
2000-03-28,1.94,1.69,2.0,1.66,1820000.0,0.16870000000000002
2000-03-29,1.94,2.0,2.12,1.91,1200000.0,0.0
2000-03-30,1.75,1.91,1.94,1.5,1220000.0,-0.09789999999999999
2000-03-31,1.66,1.78,1.81,1.59,457000.0,-0.051399999999999994
2000-04-03,1.91,1.78,1.97,1.78,765000.0,0.1506
2000-04-04,1.88,1.94,1.97,1.69,1040000.0,-0.015700000000000002
2000-04-05,1.84,1.88,1.97,1.78,424600.0,-0.0213
2000-04-06,1.72,1.94,2.06,1.66,2200000.0,-0.0652
2000-04-07,1.53,1.75,1.75,1.44,1070000.0,-0.1105
2000-04-10,1.56,1.59,1.62,1.5,500800.0,0.0196
2000-04-11,1.47,1.53,1.56,1.41,484800.0,-0.057699999999999994
2000-04-12,1.31,1.47,1.47,1.22,1170000.0,-0.10880000000000001
2000-04-13,1.23,1.25,1.28,1.19,333000.0,-0.0611
2000-04-14,1.25,1.22,1.25,1.12,897200.0,0.0163
2000-04-17,1.09,1.19,1.22,1.09,547600.0,-0.128
2000-04-18,1.16,1.09,1.16,1.03,382400.0,0.0642
2000-04-19,1.09,1.12,1.12,1.03,461200.0,-0.0603
2000-04-20,1.12,1.12,1.16,1.09,214800.0,0.0275
2000-04-24,1.12,1.12,1.19,1.09,283200.0,0.0
2000-04-25,1.19,1.16,1.19,1.12,368000.0,0.0625
2000-04-26,1.16,1.19,1.22,1.16,163200.0,-0.0252
2000-04-27,1.16,1.16,1.19,1.12,143400.0,0.0
2000-04-28,1.28,1.19,1.31,1.16,341800.0,0.10339999999999999
2000-05-01,1.28,1.31,1.34,1.28,131600.0,0.0
2000-05-02,1.38,1.34,1.44,1.31,360800.0,0.0781
2000-05-03,1.38,1.41,1.44,1.34,410800.0,0.0
2000-05-04,1.5,1.44,1.56,1.44,960800.0,0.087
2000-05-05,1.5,1.5,1.53,1.47,392800.0,0.0
2000-05-08,1.34,1.47,1.47,1.34,375600.0,-0.1067
2000-05-09,1.25,1.38,1.41,1.25,178200.0,-0.0672
2000-05-10,1.22,1.25,1.28,1.22,205400.0,-0.024
2000-05-11,1.22,1.25,1.25,1.22,100000.0,0.0
2000-05-12,1.28,1.25,1.41,1.22,460200.0,0.0492
2000-05-15,1.19,1.31,1.34,1.19,239000.0,-0.0703
2000-05-16,1.19,1.22,1.31,1.19,218800.0,0.0
2000-05-17,1.22,1.25,1.28,1.22,188200.0,0.0252
2000-05-18,1.22,1.28,1.28,1.22,216600.0,0.0
2000-05-19,1.22,1.25,1.25,1.19,190400.0,0.0
2000-05-22,1.19,1.25,1.28,1.16,439000.0,-0.0246
2000-05-23,1.22,1.19,1.22,1.16,155000.0,0.0252
2000-05-24,1.22,1.25,1.25,1.19,174400.0,0.0
2000-05-25,1.22,1.25,1.25,1.22,88200.0,0.0
2000-05-26,1.25,1.25,1.28,1.22,439200.0,0.0246
2000-05-30,1.38,1.31,1.38,1.28,309200.0,0.10400000000000001
2000-05-31,1.34,1.31,1.38,1.31,192400.0,-0.028999999999999998
2000-06-01,1.34,1.34,1.38,1.31,163200.0,0.0
2000-06-02,1.34,1.34,1.41,1.31,211000.0,0.0
2000-06-05,1.44,1.34,1.47,1.34,536800.0,0.0746
2000-06-06,1.66,1.5,1.69,1.47,1340000.0,0.1528
2000-06-07,1.69,1.69,1.81,1.62,1250000.0,0.0181
2000-06-08,1.62,1.72,1.72,1.56,392800.0,-0.0414
2000-06-09,1.59,1.56,1.62,1.56,325000.0,-0.018500000000000003
2000-06-12,1.56,1.59,1.59,1.56,240200.0,-0.0189
2000-06-13,1.62,1.53,1.69,1.53,253800.0,0.0385
2000-06-14,1.69,1.66,1.75,1.66,380000.0,0.0432
2000-06-15,1.69,1.66,1.75,1.66,312200.0,0.0
2000-06-16,1.66,1.66,1.69,1.66,390200.0,-0.0178
2000-06-19,1.62,1.62,1.66,1.56,300600.0,-0.0241
2000-06-20,1.56,1.59,1.62,1.56,371400.0,-0.037000000000000005
2000-06-21,1.59,1.5,1.59,1.5,270000.0,0.0192
2000-06-22,1.56,1.59,1.59,1.56,141800.0,-0.0189
2000-06-23,1.59,1.56,1.59,1.56,111800.0,0.0192
2000-06-26,1.59,1.56,1.59,1.56,43600.0,0.0
2000-06-27,1.56,1.56,1.59,1.56,162400.0,-0.0189
2000-06-28,1.53,1.56,1.56,1.53,145600.0,-0.0192
2000-06-29,1.56,1.53,1.59,1.53,335600.0,0.0196
2000-06-30,1.69,1.59,1.69,1.59,376200.0,0.0833
2000-07-03,1.62,1.62,1.69,1.59,71600.0,-0.0414
2000-07-05,1.66,1.62,1.69,1.62,146200.0,0.024700000000000003
2000-07-06,1.69,1.66,1.72,1.59,423200.0,0.0181
2000-07-07,1.66,1.66,1.69,1.66,78600.0,-0.0178
2000-07-10,1.69,1.62,1.69,1.62,66000.0,0.0181
2000-07-11,1.66,1.69,1.72,1.66,224600.0,-0.0178
2000-07-12,1.69,1.66,1.69,1.66,123200.0,0.0181
2000-07-13,1.66,1.69,1.69,1.66,83600.0,-0.0178
2000-07-14,1.66,1.66,1.69,1.66,65000.0,0.0
2000-07-17,1.69,1.62,1.72,1.62,199600.0,0.0181
2000-07-18,1.69,1.69,1.72,1.66,226600.0,0.0
2000-07-19,1.66,1.69,1.72,1.66,109800.0,-0.0178
2000-07-20,1.66,1.69,1.69,1.66,269400.0,0.0
2000-07-21,1.66,1.66,1.69,1.66,227200.0,0.0
2000-07-24,1.66,1.66,1.69,1.66,125800.0,0.0
2000-07-25,1.66,1.66,1.69,1.66,317800.0,0.0
2000-07-26,1.66,1.66,1.69,1.66,359400.0,0.0
2000-07-27,1.66,1.66,1.69,1.66,175800.0,0.0
2000-07-28,1.62,1.66,1.66,1.62,259200.0,-0.0241
2000-07-31,1.66,1.62,1.66,1.62,130000.0,0.024700000000000003
2000-08-01,1.91,1.75,2.0,1.75,1430000.0,0.1506
2000-08-02,2.0,1.94,2.0,1.91,844400.0,0.0471
2000-08-03,2.0,1.97,2.0,1.91,336800.0,0.0
2000-08-04,1.94,2.0,2.0,1.91,195400.0,-0.03
2000-08-07,1.91,1.88,1.94,1.84,140000.0,-0.0155
2000-08-08,2.22,1.91,2.28,1.88,1110000.0,0.1623
2000-08-09,2.16,2.19,2.25,2.12,416600.0,-0.027000000000000003
2000-08-10,2.09,2.12,2.16,2.06,251400.0,-0.032400000000000005
2000-08-11,2.12,2.09,2.19,2.06,107400.0,0.0144
2000-08-14,2.28,2.12,2.28,2.09,365200.0,0.0755
2000-08-15,2.28,2.25,2.34,2.22,191400.0,0.0
2000-08-16,2.25,2.28,2.31,2.19,212200.0,-0.0132
2000-08-17,2.25,2.25,2.25,2.19,99400.0,0.0
2000-08-18,2.22,2.25,2.25,2.16,164800.0,-0.013300000000000001
2000-08-21,2.19,2.22,2.25,2.19,131000.0,-0.013500000000000002
2000-08-22,2.19,2.22,2.25,2.19,120600.0,0.0
2000-08-23,2.28,2.19,2.34,2.19,199600.0,0.041100000000000005
2000-08-24,2.31,2.25,2.31,2.25,68600.0,0.0132
2000-08-25,2.34,2.25,2.34,2.22,90800.0,0.013000000000000001
2000-08-28,2.28,2.38,2.38,2.28,166600.0,-0.0256
2000-08-29,2.41,2.25,2.41,2.22,210600.0,0.057
2000-08-30,2.38,2.38,2.44,2.31,159400.0,-0.0124
2000-08-31,2.34,2.38,2.44,2.34,167200.0,-0.0168
2000-09-01,2.31,2.31,2.41,2.31,41600.0,-0.0128
2000-09-05,2.34,2.31,2.38,2.31,139600.0,0.013000000000000001
2000-09-06,2.41,2.34,2.44,2.34,112200.0,0.029900000000000003
2000-09-07,2.66,2.47,2.69,2.38,613000.0,0.10369999999999999
2000-09-08,2.5,2.59,2.59,2.5,404800.0,-0.0602
2000-09-11,2.38,2.47,2.5,2.31,167000.0,-0.048
2000-09-12,2.31,2.34,2.38,2.19,158000.0,-0.0294
2000-09-13,2.34,2.38,2.47,2.28,133000.0,0.013000000000000001
2000-09-14,2.41,2.41,2.44,2.38,42200.0,0.029900000000000003
2000-09-15,2.44,2.41,2.44,2.31,94600.0,0.0124
2000-09-18,2.41,2.47,2.5,2.34,262600.0,-0.0123
2000-09-19,2.44,2.41,2.47,2.31,299400.0,0.0124
2000-09-20,2.38,2.44,2.5,2.38,170000.0,-0.0246
2000-09-21,2.28,2.38,2.41,2.28,64599.99999999999,-0.042
2000-09-22,2.19,2.25,2.25,2.12,249000.0,-0.0395
2000-09-25,2.16,2.22,2.22,2.06,170200.0,-0.0137
2000-09-26,2.0,2.12,2.12,1.94,366800.0,-0.0741
2000-09-27,1.94,2.0,2.0,1.91,155000.0,-0.03
2000-09-28,2.06,1.94,2.12,1.94,115800.0,0.061900000000000004
2000-09-29,2.28,2.25,2.31,2.22,104200.0,0.10679999999999999
2000-10-02,2.44,2.25,2.53,2.22,420000.0,0.0702
2000-10-03,2.34,2.38,2.38,2.31,108400.0,-0.040999999999999995
2000-10-04,2.34,2.31,2.47,2.28,416000.0,0.0
2000-10-05,2.34,2.38,2.41,2.34,84400.0,0.0
2000-10-06,2.31,2.34,2.41,2.31,57600.0,-0.0128
2000-10-09,2.19,2.25,2.28,2.19,87400.0,-0.0519
2000-10-10,2.16,2.22,2.22,2.12,83000.0,-0.0137
2000-10-11,2.09,2.06,2.09,2.0,156600.0,-0.032400000000000005
2000-10-12,2.03,2.06,2.06,2.0,50000.0,-0.0287
2000-10-13,2.28,2.03,2.31,2.03,196000.0,0.1232
2000-10-16,2.16,2.31,2.31,2.12,74400.0,-0.0526
2000-10-17,2.12,2.19,2.25,2.09,51600.0,-0.018500000000000003
2000-10-18,2.16,2.06,2.16,2.03,152000.0,0.0189
2000-10-19,2.16,2.12,2.19,2.09,86000.0,0.0
2000-10-20,2.12,2.12,2.16,2.09,134800.0,-0.018500000000000003
2000-10-23,2.09,2.09,2.12,2.06,161000.0,-0.014199999999999999
2000-10-24,2.0,2.09,2.09,1.88,113400.0,-0.0431
2000-10-25,1.97,1.94,2.0,1.81,179600.0,-0.015
2000-10-26,1.84,1.94,2.0,1.81,162400.0,-0.066
2000-10-27,1.84,1.84,1.88,1.81,111200.0,0.0
2000-10-30,1.75,1.78,1.88,1.69,306800.0,-0.0489
2000-10-31,1.84,1.72,1.84,1.72,389400.0,0.051399999999999994
2000-11-01,2.0,1.81,2.0,1.81,136400.0,0.087
2000-11-02,2.0,2.0,2.06,1.94,157600.0,0.0
2000-11-03,2.03,2.0,2.06,1.94,186200.0,0.015
2000-11-06,2.03,2.0,2.09,2.0,112400.0,0.0
2000-11-07,2.25,2.03,2.25,2.03,291000.0,0.1084
2000-11-08,2.12,2.19,2.22,2.12,125600.0,-0.057800000000000004
2000-11-09,2.12,2.16,2.19,2.12,54200.0,0.0
2000-11-10,2.0,2.12,2.12,2.0,85400.0,-0.056600000000000004
2000-11-13,2.25,2.19,2.28,2.09,422200.0,0.125
2000-11-14,2.28,2.22,2.28,2.19,225400.0,0.013300000000000001
2000-11-15,2.19,2.28,2.31,2.19,67000.0,-0.0395
2000-11-16,2.16,2.19,2.19,2.12,37200.0,-0.0137
2000-11-17,2.16,2.12,2.19,2.12,81400.0,0.0
2000-11-20,2.09,2.19,2.19,2.0,222600.0,-0.032400000000000005
2000-11-21,2.12,2.12,2.12,2.0,81400.0,0.0144
2000-11-22,2.03,2.03,2.06,2.0,186800.0,-0.0425
2000-11-24,2.06,2.03,2.09,2.03,73800.0,0.0148
2000-11-27,2.06,2.06,2.06,2.03,67400.0,0.0
2000-11-28,2.03,2.0,2.06,2.0,41800.0,-0.0146
2000-11-29,2.06,2.03,2.06,2.0,80400.0,0.0148
2000-11-30,2.0,2.03,2.03,2.0,75200.0,-0.0291
2000-12-01,1.97,2.0,2.06,1.94,64599.99999999999,-0.015
2000-12-04,1.94,1.97,2.0,1.94,79800.0,-0.0152
2000-12-05,1.94,1.94,1.97,1.94,26400.0,0.0
2000-12-06,2.0,1.94,2.0,1.88,150000.0,0.030899999999999997
2000-12-07,1.94,1.97,1.97,1.91,31600.0,-0.03
2000-12-08,2.0,1.88,2.03,1.88,139600.0,0.030899999999999997
2000-12-11,2.03,2.0,2.03,1.97,55400.0,0.015
2000-12-12,2.0,1.97,2.0,1.97,50800.0,-0.0148
2000-12-13,1.97,1.97,1.97,1.88,67600.0,-0.015
2000-12-14,1.94,1.94,1.97,1.91,44600.0,-0.0152
2000-12-15,1.91,1.91,1.94,1.88,151200.0,-0.0155
2000-12-18,1.91,1.94,1.94,1.91,146400.0,0.0
2000-12-19,2.09,1.91,2.12,1.91,329400.0,0.0942
2000-12-20,1.97,2.0,2.0,1.88,221400.0,-0.0574
2000-12-21,1.97,1.97,2.0,1.94,62800.0,0.0
2000-12-22,1.91,1.94,1.97,1.88,97000.0,-0.0305
2000-12-26,1.91,1.84,1.94,1.84,98600.0,0.0
2000-12-27,2.0,1.84,2.0,1.84,124800.0,0.0471
2000-12-28,2.0,1.94,2.0,1.94,98800.0,0.0
2000-12-29,1.97,1.97,2.0,1.94,148600.0,-0.015
2001-01-02,2.0,1.97,2.0,1.94,111200.0,0.0152
2001-01-03,2.16,1.97,2.16,1.94,255000.0,0.08
2001-01-04,2.28,2.09,2.31,2.09,463800.0,0.0556
2001-01-05,2.22,2.25,2.25,2.12,220800.0,-0.0263
2001-01-08,2.06,2.28,2.28,2.03,138000.0,-0.0721
2001-01-09,2.19,2.06,2.22,2.06,121400.0,0.06309999999999999
2001-01-10,2.22,2.22,2.25,2.06,231600.0,0.0137
2001-01-11,2.31,2.28,2.31,2.25,279400.0,0.0405
2001-01-12,2.34,2.38,2.38,2.28,540800.0,0.013000000000000001
2001-01-16,2.5,2.34,2.56,2.34,508200.0,0.0684
2001-01-17,2.66,2.47,2.69,2.47,320600.0,0.064
2001-01-18,2.59,2.66,2.66,2.53,176200.0,-0.0263
2001-01-19,2.56,2.59,2.62,2.53,199000.0,-0.0116
2001-01-22,2.5,2.62,2.66,2.44,322400.0,-0.023399999999999997
2001-01-23,2.62,2.5,2.62,2.47,127600.0,0.048
2001-01-24,2.53,2.59,2.59,2.5,100000.0,-0.0344
2001-01-25,2.41,2.56,2.59,2.38,130400.0,-0.047400000000000005
2001-01-26,2.34,2.38,2.38,2.09,225200.0,-0.028999999999999998
2001-01-29,2.23,2.35,2.35,2.17,84600.0,-0.047
2001-01-30,2.5,2.25,2.5,2.2,262800.0,0.1211
2001-01-31,2.42,2.5,2.5,2.42,69200.0,-0.032
2001-02-01,2.37,2.38,2.42,2.33,36800.0,-0.0207
2001-02-02,2.4,2.33,2.45,2.33,53800.0,0.0127
2001-02-05,2.52,2.4,2.55,2.38,94800.0,0.05
