Date,Close,Open,High,Low,Volume,Change
2000-01-03,6.02,6.16,6.2,5.97,8010000.0,-0.028999999999999998
2000-01-04,5.69,5.88,5.91,5.67,9810000.0,-0.0548
2000-01-05,6.02,5.72,6.05,5.72,6540000.0,0.057999999999999996
2000-01-06,5.98,5.98,5.98,5.82,4890000.0,-0.0066
2000-01-07,5.98,5.96,6.0,5.88,3990000.0,0.0
2000-01-10,6.09,6.02,6.12,6.0,3950000.0,0.0184
2000-01-11,6.39,6.17,6.53,6.16,10980000.0,0.0493
2000-01-12,6.17,6.36,6.38,6.14,10050000.0,-0.0344
2000-01-13,6.25,6.13,6.3,6.05,5140000.0,0.013000000000000001
2000-01-14,6.41,6.33,6.48,6.3,7680000.0,0.0256
2000-01-18,6.33,6.34,6.45,6.26,8359999.999999999,-0.0125
2000-01-19,6.6,6.47,6.69,6.43,10300000.0,0.042699999999999995
2000-01-20,6.45,6.66,6.67,6.41,5100000.0,-0.0227
2000-01-21,6.34,6.45,6.45,6.31,10270000.0,-0.0171
2000-01-24,6.21,6.2,6.28,6.16,5730000.0,-0.020499999999999997
2000-01-25,6.11,6.2,6.27,6.06,3820000.0,-0.0161
2000-01-26,6.19,5.77,6.22,5.77,12890000.0,0.0131
2000-01-27,5.91,6.0,6.08,5.8,6300000.0,-0.0452
2000-01-28,5.86,5.88,5.88,5.75,3560000.0,-0.0085
2000-01-31,5.69,5.75,5.77,5.68,4630000.0,-0.028999999999999998
2000-02-01,5.84,5.68,5.89,5.66,5970000.0,0.0264
2000-02-02,5.93,5.83,6.06,5.77,5570000.0,0.0154
2000-02-03,5.98,5.91,5.98,5.82,3970000.0,0.0084
2000-02-04,5.84,5.98,5.98,5.83,12490000.0,-0.023399999999999997
2000-02-07,5.66,5.83,5.83,5.59,6460000.0,-0.0308
2000-02-08,4.62,5.62,5.62,4.52,65709999.99999999,-0.1837
2000-02-09,4.22,4.56,4.56,4.05,62570000.0,-0.0866
2000-02-10,4.22,4.17,4.35,4.11,25030000.0,0.0
2000-02-11,4.25,4.27,4.31,4.14,12640000.0,0.0070999999999999995
2000-02-14,4.04,4.19,4.26,4.02,17860000.0,-0.049400000000000006
2000-02-15,3.8,4.01,4.02,3.78,30060000.0,-0.0594
2000-02-16,3.69,3.8,3.84,3.66,22680000.0,-0.028900000000000002
2000-02-17,3.62,3.66,3.73,3.6,14980000.0,-0.019
2000-02-18,3.5,3.61,3.64,3.42,26090000.0,-0.0331
2000-02-22,3.38,3.58,3.59,3.38,12850000.0,-0.034300000000000004
2000-02-23,3.51,3.53,3.56,3.49,12620000.0,0.0385
2000-02-24,3.38,3.5,3.51,3.33,16160000.0,-0.037000000000000005
2000-02-25,3.32,3.38,3.38,3.31,14830000.0,-0.0178
2000-02-28,3.48,3.37,3.53,3.35,16390000.0,0.0482
2000-02-29,3.55,3.48,3.64,3.48,12580000.0,0.020099999999999996
2000-03-01,3.52,3.55,3.59,3.49,9880000.0,-0.0085
2000-03-02,3.68,3.55,3.74,3.52,11260000.0,0.0455
2000-03-03,3.67,3.76,3.78,3.64,6910000.0,-0.0027
2000-03-06,3.56,3.69,3.7,3.52,7680000.0,-0.03
2000-03-07,3.48,3.59,3.6,3.46,9530000.0,-0.0225
2000-03-08,3.41,3.41,3.45,3.38,10000000.0,-0.020099999999999996
2000-03-09,3.34,3.39,3.41,3.23,14060000.0,-0.020499999999999997
2000-03-10,3.36,3.37,3.43,3.35,12570000.0,0.006
2000-03-13,3.59,3.39,3.66,3.31,20970000.0,0.06849999999999999
2000-03-14,3.61,3.62,3.77,3.53,18240000.0,0.005600000000000001
2000-03-15,4.12,3.58,4.19,3.57,25910000.0,0.1413
2000-03-16,4.47,4.12,4.75,3.92,17430000.0,0.085
2000-03-17,4.25,4.33,4.52,4.02,30020000.0,-0.0492
2000-03-20,4.12,4.04,4.17,4.04,14390000.0,-0.030600000000000002
2000-03-21,4.14,4.14,4.18,4.03,13810000.0,0.0049
2000-03-22,4.22,4.28,4.31,4.18,11780000.0,0.019299999999999998
2000-03-23,4.25,4.2,4.33,4.16,12540000.0,0.0070999999999999995
2000-03-24,4.23,4.25,4.31,4.21,7310000.0,-0.004699999999999999
2000-03-27,4.49,4.5,4.53,4.38,16700000.0,0.061500000000000006
2000-03-28,4.6,4.52,4.6,4.47,9060000.0,0.0245
2000-03-29,4.88,4.6,4.91,4.6,17080000.0,0.060899999999999996
2000-03-30,4.84,4.88,4.89,4.71,13090000.0,-0.008199999999999999
2000-03-31,4.95,4.84,5.0,4.8,15040000.0,0.0227
2000-04-03,5.0,5.12,5.12,5.0,14220000.0,0.0101
2000-04-04,4.87,5.0,5.02,4.55,12150000.0,-0.026000000000000002
2000-04-05,4.9,4.94,5.06,4.86,5650000.0,0.0062
2000-04-06,5.2,4.91,5.22,4.91,11060000.0,0.061200000000000004
2000-04-07,5.37,5.31,5.37,5.23,12290000.0,0.0327
2000-04-10,5.38,5.35,5.4,5.25,6700000.0,0.0019
2000-04-11,5.64,5.48,5.72,5.48,18800000.0,0.0483
2000-04-12,5.55,5.63,5.66,5.49,9210000.0,-0.016
