Date,Close,Open,High,Low,Volume,Change
2000-01-03,10.75,11.06,11.06,10.03,248000.0,0.0
2000-01-04,9.97,10.5,10.5,9.78,295000.0,-0.0726
2000-01-05,10.03,10.0,10.31,9.88,778200.0,0.006
2000-01-06,9.47,10.12,10.12,9.41,819200.0,-0.0558
2000-01-07,8.31,9.62,9.75,8.09,2180000.0,-0.1225
2000-01-10,8.41,8.5,8.56,8.22,3290000.0,0.012
2000-01-11,8.28,8.5,8.53,8.22,1880000.0,-0.0155
2000-01-12,8.12,8.28,8.31,7.88,953600.0,-0.019299999999999998
2000-01-13,8.19,8.27,8.31,8.09,890600.0,0.0086
2000-01-14,7.14,8.31,8.31,7.12,2550000.0,-0.1282
2000-01-18,7.06,7.5,7.5,6.78,4220000.0,-0.011200000000000002
2000-01-19,6.66,7.25,7.41,6.57,1380000.0,-0.0567
2000-01-20,6.66,6.88,6.94,6.59,1210000.0,0.0
2000-01-21,6.78,6.97,7.03,6.66,1190000.0,0.018000000000000002
2000-01-24,6.75,6.92,7.19,6.75,930600.0,-0.0044
2000-01-25,6.88,7.0,7.03,6.62,956800.0,0.019299999999999998
2000-01-26,6.31,6.91,6.94,6.19,1510000.0,-0.0828
2000-01-27,6.66,6.62,6.75,6.38,1310000.0,0.0555
2000-01-28,6.5,6.69,6.69,6.5,1740000.0,-0.024
2000-01-31,6.56,6.59,6.72,6.5,1720000.0,0.0092
2000-02-01,6.69,6.53,6.88,6.5,998800.0,0.019799999999999998
2000-02-02,6.38,6.75,6.78,6.31,1190000.0,-0.0463
2000-02-03,6.78,6.5,6.88,6.31,2130000.0,0.06269999999999999
2000-02-04,6.62,6.78,6.84,6.56,1120000.0,-0.0236
2000-02-07,6.5,6.66,6.75,6.44,1270000.0,-0.0181
2000-02-08,6.62,6.53,6.62,6.25,1580000.0,0.018500000000000003
2000-02-09,6.03,6.56,6.56,6.03,1260000.0,-0.0891
2000-02-10,6.53,6.06,6.56,6.0,1010000.0,0.08289999999999999
2000-02-11,6.09,6.53,6.59,5.94,1050000.0,-0.0674
2000-02-14,6.34,6.09,6.38,6.06,795200.0,0.041100000000000005
2000-02-15,6.09,6.38,6.38,6.06,496600.0,-0.0394
2000-02-16,5.75,6.12,6.16,5.62,671400.0,-0.0558
2000-02-17,5.38,5.84,5.88,5.25,1680000.0,-0.0643
2000-02-18,5.38,5.47,5.81,5.38,1240000.0,0.0
2000-02-22,5.62,5.47,5.94,5.38,1690000.0,0.0446
2000-02-23,5.77,5.62,5.88,5.5,543000.0,0.026699999999999998
2000-02-24,6.53,5.81,6.81,5.78,699400.0,0.1317
2000-02-25,6.44,6.52,6.53,6.31,702000.0,-0.0138
2000-02-28,6.55,6.5,6.66,6.34,601200.0,0.0171
2000-02-29,7.0,6.72,7.25,6.59,495200.0,0.0687
2000-03-01,6.03,6.97,6.97,6.0,1270000.0,-0.1386
2000-03-02,5.53,6.03,6.03,5.53,975800.0,-0.08289999999999999
2000-03-03,6.06,5.84,6.06,5.56,703800.0,0.0958
2000-03-06,5.47,6.03,6.16,5.47,662000.0,-0.0974
2000-03-07,4.81,5.69,5.69,4.75,2049999.9999999998,-0.1207
2000-03-08,4.62,5.0,5.0,4.12,4430000.0,-0.0395
2000-03-09,5.47,4.88,5.5,4.78,1320000.0,0.184
2000-03-10,5.0,5.47,5.69,5.0,910600.0,-0.0859
2000-03-13,5.28,5.12,5.44,5.0,491800.0,0.055999999999999994
2000-03-14,5.66,5.41,6.12,5.38,759800.0,0.07200000000000001
2000-03-15,6.19,5.69,6.25,5.66,981200.0,0.09359999999999999
2000-03-16,7.44,6.38,7.56,6.31,1980000.0,0.20190000000000002
2000-03-17,7.19,6.97,7.25,6.94,635600.0,-0.0336
2000-03-20,7.28,7.31,7.47,7.12,1260000.0,0.0125
2000-03-21,7.53,7.42,7.62,7.34,707200.0,0.034300000000000004
2000-03-22,7.44,7.56,7.56,7.31,826600.0,-0.012
2000-03-23,7.38,7.28,7.5,7.25,349800.0,-0.008100000000000001
2000-03-24,8.12,7.47,8.44,7.38,1150000.0,0.1003
2000-03-27,8.19,8.17,8.31,7.88,563200.0,0.0086
2000-03-28,7.69,8.19,8.22,7.44,534400.0,-0.0611
