Date,Close,Open,High,Low,Volume,Change
2000-01-03,7.81,8.19,8.19,7.75,30100.0,-0.0602
2000-01-04,7.5,7.75,7.88,7.44,17500.0,-0.0397
2000-01-05,7.38,7.5,7.56,7.38,26800.0,-0.016
2000-01-06,7.56,7.38,7.69,7.25,48400.0,0.024399999999999998
2000-01-07,7.38,7.56,7.88,7.38,20900.0,-0.023799999999999998
2000-01-10,7.06,7.5,7.5,7.0,84300.0,-0.0434
2000-01-11,6.88,7.19,7.25,6.81,31500.0,-0.0255
2000-01-12,7.12,7.0,7.12,6.81,28200.0,0.0349
2000-01-13,7.12,7.25,7.25,7.12,17900.0,0.0
2000-01-14,6.94,7.19,7.19,6.94,29100.0,-0.0253
2000-01-18,7.25,7.06,7.25,7.06,50100.0,0.0447
2000-01-19,7.38,7.25,7.38,7.25,12800.0,0.0179
2000-01-20,7.62,7.31,7.62,7.31,27200.0,0.0325
2000-01-21,7.75,7.5,7.75,7.44,43000.0,0.0171
2000-01-24,7.44,7.81,7.88,7.44,88400.0,-0.04
2000-01-25,7.19,7.38,7.38,7.0,969200.0,-0.0336
2000-01-26,7.12,7.25,7.25,7.12,9200.0,-0.0097
2000-01-27,7.06,7.12,7.19,7.06,9600.0,-0.0084
2000-01-28,7.0,7.12,7.12,7.0,26300.0,-0.0085
2000-01-31,6.75,7.0,7.06,6.75,16400.0,-0.035699999999999996
2000-02-01,6.62,6.81,6.81,6.62,43900.0,-0.019299999999999998
2000-02-02,6.81,6.75,6.81,6.69,40500.0,0.0287
2000-02-03,7.0,6.75,7.0,6.75,34500.0,0.0279
2000-02-04,6.69,7.0,7.0,6.69,70400.0,-0.0443
2000-02-07,6.44,6.69,6.69,6.44,20100.0,-0.0374
2000-02-08,6.0,6.38,6.44,6.0,39000.0,-0.0683
2000-02-09,5.88,5.88,5.94,5.81,128199.99999999999,-0.02
2000-02-10,6.44,6.0,6.5,5.94,132800.0,0.09519999999999999
2000-02-11,6.38,6.5,6.5,6.31,19500.0,-0.009300000000000001
2000-02-14,6.44,6.25,6.56,6.25,19900.0,0.009399999999999999
2000-02-15,6.38,6.5,6.5,6.12,66900.0,-0.009300000000000001
2000-02-16,6.69,6.38,6.69,6.25,40600.0,0.048600000000000004
2000-02-17,6.94,6.75,7.31,6.75,68600.0,0.0374
2000-02-18,7.0,7.0,7.12,6.94,31400.0,0.0086
2000-02-22,7.0,7.0,7.19,6.94,24500.0,0.0
2000-02-23,7.0,7.0,7.06,7.0,12700.0,0.0
