Date,Close,Open,High,Low,Volume,Change
2000-01-03,43.07,44.07,44.07,42.56,6060000.0,-0.024700000000000003
2000-01-04,40.71,43.04,43.13,40.62,5720000.0,-0.0548
2000-01-05,41.41,40.86,41.56,40.5,7730000.0,0.0172
2000-01-06,42.24,41.92,43.13,41.86,7220000.0,0.02
2000-01-07,45.04,42.04,45.13,42.01,5160000.0,0.0663
2000-01-10,45.98,45.04,46.01,44.43,4450000.0,0.0209
2000-01-11,44.34,45.61,46.04,44.28,2960000.0,-0.035699999999999996
2000-01-12,44.28,45.07,45.73,43.5,4690000.0,-0.0014000000000000002
2000-01-13,45.95,44.8,46.52,43.98,5750000.0,0.0377
2000-01-14,47.49,46.58,48.64,46.46,4570000.0,0.0335
2000-01-18,49.61,47.19,50.09,46.7,5930000.0,0.0446
2000-01-19,50.21,50.27,51.42,48.52,4130000.0,0.0121
2000-01-20,48.4,50.7,51.42,48.4,5550000.0,-0.036000000000000004
2000-01-21,46.94,49.79,49.85,46.46,3520000.0,-0.0302
2000-01-24,45.49,46.64,49.61,45.01,5010000.0,-0.030899999999999997
2000-01-25,48.09,46.04,48.15,44.28,3730000.0,0.0572
2000-01-26,48.82,47.55,50.33,47.13,3780000.0,0.0152
2000-01-27,47.37,48.94,49.73,45.01,3110000.0,-0.0297
2000-01-28,44.52,47.07,48.15,44.4,2830000.0,-0.0602
2000-01-31,47.37,44.59,47.91,43.56,3270000.0,0.064
2000-02-01,50.21,47.73,50.45,46.46,4530000.0,0.06
2000-02-02,52.21,50.33,52.27,49.36,4950000.0,0.0398
2000-02-03,52.45,52.27,53.24,51.54,4640000.0,0.0046
2000-02-04,51.3,52.99,53.42,50.94,3270000.0,-0.0219
2000-02-07,49.61,50.33,50.57,49.36,2570000.0,-0.0329
2000-02-08,51.36,50.27,52.03,50.09,2440000.0,0.0353
2000-02-09,51.18,50.33,51.3,49.79,1470000.0,-0.0034999999999999996
2000-02-10,50.45,51.12,51.18,50.21,2760000.0,-0.0143
2000-02-11,50.03,50.45,50.63,49.36,2069999.9999999998,-0.0083
2000-02-14,49.12,49.91,49.97,48.4,1860000.0,-0.0182
2000-02-15,47.79,48.46,48.88,46.94,2680000.0,-0.0271
2000-02-16,46.22,47.61,47.73,44.89,4230000.0,-0.0329
2000-02-17,42.59,46.46,46.46,42.11,6960000.0,-0.0785
2000-02-18,43.5,42.35,44.46,40.53,6000000.0,0.021400000000000002
