Date,Close,Open,High,Low,Volume,Change
2000-01-03,37.25,39.62,39.62,36.94,982600.0,-0.037200000000000004
2000-01-04,35.88,37.0,37.31,35.69,1010000.0,-0.0368
2000-01-05,35.56,35.81,37.0,35.12,1020000.0,-0.0089
2000-01-06,36.31,35.12,36.5,35.06,743500.0,0.021099999999999997
2000-01-07,37.0,36.62,37.19,36.38,526700.0,0.019
2000-01-10,35.81,36.75,37.5,35.56,562600.0,-0.0322
2000-01-11,36.19,35.62,37.0,35.62,902500.0,0.0106
2000-01-12,35.75,36.19,36.62,35.31,693800.0,-0.012199999999999999
2000-01-13,36.38,35.94,36.94,35.88,709300.0,0.0176
2000-01-14,35.31,34.38,36.0,34.38,801000.0,-0.0294
2000-01-18,35.12,33.56,35.38,33.44,861400.0,-0.0054
2000-01-19,33.5,33.62,34.44,33.12,772600.0,-0.0461
2000-01-20,32.19,33.38,33.75,32.06,1180000.0,-0.0391
2000-01-21,33.06,32.31,33.44,32.0,1130000.0,0.027000000000000003
2000-01-24,31.25,32.88,33.19,30.38,800400.0,-0.0547
2000-01-25,30.44,31.19,31.62,30.06,771600.0,-0.0259
2000-01-26,31.0,30.75,31.75,30.5,718800.0,0.0184
2000-01-27,30.62,31.5,31.5,29.94,602200.0,-0.0123
2000-01-28,29.56,30.5,30.56,29.25,648600.0,-0.0346
2000-01-31,31.44,29.88,32.25,29.56,912400.0,0.0636
2000-02-01,29.44,30.88,31.06,29.12,1090000.0,-0.0636
2000-02-02,28.81,28.75,29.12,28.25,1250000.0,-0.021400000000000002
2000-02-03,29.31,28.81,29.69,28.69,927900.0,0.0174
2000-02-04,28.19,29.06,29.06,27.75,705600.0,-0.0382
2000-02-07,27.81,28.19,28.25,27.5,710200.0,-0.013500000000000002
2000-02-08,28.38,27.75,28.62,27.69,582800.0,0.020499999999999997
2000-02-09,27.69,28.31,28.31,27.62,669400.0,-0.024300000000000002
2000-02-10,26.31,27.0,27.62,26.25,1170000.0,-0.049800000000000004
