Date,Close,Open,High,Low,Volume,Change
2000-01-03,24.78,25.22,25.62,24.28,1620000.0,-0.0174
2000-01-04,24.34,24.62,24.62,24.25,966000.0,-0.0178
2000-01-05,23.52,24.06,24.31,23.25,952200.0,-0.0337
2000-01-06,24.22,23.5,24.28,23.47,925400.0,0.0298
2000-01-07,25.06,24.34,25.09,24.25,763800.0,0.0347
2000-01-10,25.88,25.62,25.94,25.31,759600.0,0.0327
2000-01-11,25.22,25.5,25.59,24.56,1090000.0,-0.0255
2000-01-12,25.09,25.22,25.56,24.69,1190000.0,-0.0052
2000-01-13,25.19,25.09,25.47,24.88,866800.0,0.004
2000-01-14,26.34,25.19,26.34,25.19,1420000.0,0.045700000000000005
2000-01-18,26.59,26.0,27.0,25.81,1560000.0,0.0095
2000-01-19,26.84,26.59,27.0,26.06,893000.0,0.009399999999999999
2000-01-20,26.84,26.88,27.06,26.53,1040000.0,0.0
2000-01-21,26.75,26.72,27.75,26.44,1160000.0,-0.0034000000000000002
2000-01-24,27.0,27.06,27.94,26.78,1680000.0,0.009300000000000001
2000-01-25,27.06,27.12,27.69,26.59,796400.0,0.0022
2000-01-26,27.62,27.0,27.81,26.75,953600.0,0.0207
2000-01-27,26.59,27.5,27.59,25.81,1140000.0,-0.0373
2000-01-28,25.97,26.53,26.56,25.72,1340000.0,-0.0233
2000-01-31,25.56,25.5,25.97,24.75,2390000.0,-0.0158
2000-02-01,25.88,25.88,25.97,25.38,1460000.0,0.0125
2000-02-02,25.72,25.88,26.97,25.34,1100000.0,-0.0062
2000-02-03,25.91,25.75,26.56,25.72,669600.0,0.0074
2000-02-04,25.41,25.94,26.09,25.38,261200.0,-0.019299999999999998
2000-02-07,25.19,25.44,25.44,24.59,815400.0,-0.0087
2000-02-08,25.0,25.0,25.03,24.5,1380000.0,-0.0075
2000-02-09,25.22,25.5,25.5,24.12,913400.0,0.0088
2000-02-10,24.94,25.0,25.16,24.5,1710000.0,-0.0111
2000-02-11,24.88,25.0,25.06,24.53,1320000.0,-0.0024
2000-02-14,24.69,24.94,24.94,24.34,468200.0,-0.0076
2000-02-15,24.97,24.56,25.16,24.38,614800.0,0.0113
2000-02-16,24.97,25.25,25.69,24.72,401800.0,0.0
2000-02-17,25.5,25.06,25.72,24.94,704800.0,0.0212
2000-02-18,25.56,25.53,25.69,25.44,718200.0,0.0024
2000-02-22,25.81,25.44,25.81,24.94,541000.0,0.0098
2000-02-23,25.5,25.81,25.81,25.31,506600.0,-0.012
2000-02-24,24.19,25.69,25.69,23.41,930800.0,-0.051399999999999994
2000-02-25,23.22,23.94,23.94,23.03,588800.0,-0.0401
2000-02-28,22.97,23.09,23.5,20.75,2440000.0,-0.0108
2000-02-29,21.69,23.12,23.28,21.28,1810000.0,-0.0557
2000-03-01,22.5,22.5,22.75,22.12,2100000.0,0.0373
2000-03-02,22.28,22.38,23.0,22.16,1240000.0,-0.0098
2000-03-03,22.88,22.56,23.03,22.47,783000.0,0.0269
2000-03-06,22.53,23.0,23.19,22.38,991000.0,-0.015300000000000001
2000-03-07,20.62,21.31,21.31,19.06,3290000.0,-0.0848
2000-03-08,21.06,20.88,21.12,20.0,2600000.0,0.0213
2000-03-09,21.5,21.16,21.56,20.62,704600.0,0.0209
2000-03-10,20.0,22.12,22.12,19.88,2180000.0,-0.0698
2000-03-13,20.12,19.75,20.5,19.56,1330000.0,0.006
2000-03-14,20.28,20.34,20.81,20.03,1320000.0,0.008
2000-03-15,22.5,20.31,22.53,20.03,1350000.0,0.10949999999999999
2000-03-16,23.59,22.5,23.97,21.44,1330000.0,0.0484
2000-03-17,22.47,23.59,23.59,22.0,878600.0,-0.0475
2000-03-20,22.31,22.12,22.81,21.53,1320000.0,-0.0070999999999999995
2000-03-21,23.25,23.19,23.31,22.81,1130000.0,0.0421
2000-03-22,24.25,23.44,24.44,23.28,2250000.0,0.043
2000-03-23,25.19,24.25,25.31,23.94,1510000.0,0.0388
2000-03-24,24.25,25.22,25.38,23.44,961800.0,-0.0373
2000-03-27,22.88,24.25,24.25,22.28,1470000.0,-0.0565
2000-03-28,24.25,22.88,24.34,21.78,2730000.0,0.0599
2000-03-29,24.5,24.25,24.56,23.97,2160000.0,0.0103
2000-03-30,25.25,24.5,25.53,24.5,1790000.0,0.030600000000000002
2000-03-31,25.03,26.19,26.62,25.0,2450000.0,-0.0087
2000-04-03,25.34,25.03,26.19,25.03,991800.0,0.0124
2000-04-04,25.34,25.25,26.16,24.59,1590000.0,0.0
2000-04-05,26.38,25.41,26.91,25.41,2069999.9999999998,0.040999999999999995
2000-04-06,26.31,26.28,26.41,25.5,1960000.0,-0.0027
2000-04-07,26.66,26.5,26.75,26.16,964600.0,0.013300000000000001
2000-04-10,26.84,26.75,27.16,26.5,905600.0,0.0068000000000000005
2000-04-11,25.69,26.84,26.84,25.5,2420000.0,-0.042800000000000005
