Date,Close,Open,High,Low,Volume,Change
2000-01-03,23.19,23.5,23.75,23.03,906400.0,-0.0223
2000-01-04,22.31,22.88,23.0,22.22,1060000.0,-0.0379
2000-01-05,22.41,22.38,23.25,22.19,1090000.0,0.0045000000000000005
2000-01-06,23.0,22.53,23.66,22.44,1000000.0,0.0263
2000-01-07,23.06,23.03,23.47,22.62,805800.0,0.0026
2000-01-10,23.12,23.0,23.41,22.84,659200.0,0.0026
2000-01-11,22.66,23.12,23.25,22.38,813200.0,-0.0199
2000-01-12,22.5,22.78,23.28,22.34,684000.0,-0.0070999999999999995
2000-01-13,22.34,22.5,22.72,22.28,500600.0,-0.0070999999999999995
2000-01-14,21.28,22.44,22.44,20.0,9520000.0,-0.047400000000000005
2000-01-18,21.5,21.28,21.5,20.81,1000000.0,0.0103
2000-01-19,21.56,21.25,21.69,21.06,1030000.0,0.0028000000000000004
2000-01-20,21.09,21.53,21.56,21.0,1090000.0,-0.0218
2000-01-21,20.62,21.09,21.22,20.38,960200.0,-0.0223
2000-01-24,20.06,20.81,20.81,20.06,665800.0,-0.027200000000000002
2000-01-25,19.91,20.19,20.59,19.66,641600.0,-0.0075
2000-01-26,20.09,20.0,20.22,19.62,1010000.0,0.009000000000000001
2000-01-27,19.72,20.06,20.06,19.5,623600.0,-0.0184
2000-01-28,18.88,19.62,19.62,18.88,1410000.0,-0.0426
2000-01-31,21.25,19.25,21.41,19.22,1980000.0,0.1255
2000-02-01,20.28,21.12,21.25,20.12,1200000.0,-0.045599999999999995
2000-02-02,20.34,20.25,20.75,20.19,1300000.0,0.003
2000-02-03,20.69,20.47,20.91,20.47,975200.0,0.0172
2000-02-04,20.75,20.81,20.94,20.5,786800.0,0.0029
2000-02-07,20.5,20.56,20.75,20.44,627800.0,-0.012
2000-02-08,21.09,20.5,21.09,20.5,887600.0,0.0288
2000-02-09,20.88,20.94,21.16,20.78,911200.0,-0.01
2000-02-10,21.0,20.75,21.06,20.59,1080000.0,0.005699999999999999
2000-02-11,21.38,21.0,22.72,20.94,2210000.0,0.0181
2000-02-14,21.22,21.38,21.5,20.78,885200.0,-0.0075
2000-02-15,21.91,21.12,22.06,21.12,1210000.0,0.0325
2000-02-16,22.09,22.12,22.59,21.62,1650000.0,0.008199999999999999
2000-02-17,22.28,22.03,22.53,22.0,838400.0,0.0086
2000-02-18,22.56,22.25,22.69,22.25,1220000.0,0.0126
2000-02-22,23.34,22.47,23.62,22.19,1640000.0,0.0346
2000-02-23,23.06,23.06,23.69,22.75,1850000.0,-0.012
2000-02-24,22.38,22.66,22.66,21.84,2770000.0,-0.029500000000000002
2000-02-25,22.56,22.41,22.66,22.09,1630000.0,0.008
2000-02-28,22.06,22.5,22.53,21.97,1050000.0,-0.0222
2000-02-29,21.97,21.5,21.97,20.94,2150000.0,-0.0040999999999999995
2000-03-01,22.41,21.97,22.5,21.5,1490000.0,0.02
2000-03-02,21.84,22.28,22.31,21.47,850200.0,-0.0254
2000-03-03,21.56,21.72,21.72,21.44,828000.0,-0.0128
2000-03-06,21.09,21.25,21.38,20.78,889200.0,-0.0218
2000-03-07,20.0,20.59,20.62,19.81,1310000.0,-0.051699999999999996
2000-03-08,20.91,20.0,21.56,19.88,1840000.0,0.0455
2000-03-09,20.56,20.22,20.81,20.16,1650000.0,-0.0167
2000-03-10,20.0,20.34,20.5,19.88,1020000.0,-0.027200000000000002
2000-03-13,20.0,19.69,20.0,19.59,825800.0,0.0
2000-03-14,20.47,20.0,20.56,20.0,1070000.0,0.0235
2000-03-15,21.88,20.5,21.94,20.31,1610000.0,0.0689
2000-03-16,23.84,22.0,24.16,22.0,1890000.0,0.08960000000000001
2000-03-17,23.06,23.25,23.5,23.06,1530000.0,-0.0327
