Date,Close,Open,High,Low,Volume,Change
2010-06-25,29.35,29.49,29.52,29.35,8130000.000000001,-0.004699999999999999
2010-06-28,28.76,29.23,29.23,28.76,2470000.0,-0.020099999999999996
2010-06-29,28.3,28.76,28.77,28.3,2970000.0,-0.016
2010-06-30,27.98,28.3,28.3,27.98,4290000.0,-0.0113
2010-07-01,27.99,27.98,28.01,27.73,2610000.0,0.0004
2010-07-06,28.23,27.96,28.23,27.94,2880000.0,0.0086
2010-07-07,28.8,28.23,28.8,28.23,2790000.0,0.0202
2010-07-08,29.11,28.88,29.11,28.87,2290000.0,0.0108
2010-07-09,28.98,29.11,29.11,28.98,1900000.0,-0.0045000000000000005
2010-07-12,29.2,28.88,29.2,28.87,1370000.0,0.0076
2010-07-13,29.45,29.2,29.45,29.19,2120000.0,0.0086
2010-07-14,29.36,29.45,29.45,29.36,1870000.0,-0.0031
2010-07-15,29.18,29.36,29.37,29.18,2310000.0,-0.0060999999999999995
2010-07-16,28.81,29.18,29.19,28.81,4040000.0,-0.0127
2010-07-19,28.83,28.86,28.87,28.83,1580000.0,0.0007000000000000001
2010-07-20,29.21,28.68,29.23,28.66,2340000.0,0.0132
2010-07-21,28.84,29.17,29.19,28.8,2340000.0,-0.0127
2010-07-22,29.28,29.08,29.3,29.07,1790000.0,0.015300000000000001
2010-07-23,29.62,29.27,29.62,29.26,2080000.0,0.0116
2010-07-26,29.72,29.61,29.72,29.6,1850000.0,0.0034000000000000002
2010-07-27,29.88,29.6,29.89,29.59,1880000.0,0.0054
2010-07-28,29.93,29.87,29.93,29.87,2040000.0,0.0017000000000000001
2010-07-29,29.11,29.62,29.63,29.1,2660000.0,-0.0274
2010-07-30,29.21,28.93,29.21,28.9,2400000.0,0.0034000000000000002
2010-08-02,29.49,29.49,29.51,29.48,2250000.0,0.0096
2010-08-03,29.28,29.4,29.4,29.26,2530000.0,-0.0070999999999999995
2010-08-04,29.75,29.29,29.77,29.28,2790000.0,0.0161
2010-08-05,29.66,29.47,29.66,29.46,2720000.0,-0.003
2010-08-06,30.36,30.01,30.36,30.01,4080000.0,0.0236
2010-08-09,30.39,30.39,30.4,30.38,1610000.0,0.001
2010-08-10,30.27,30.3,30.32,30.24,2000000.0,-0.0039000000000000003
2010-08-11,29.58,29.96,29.96,29.58,2510000.0,-0.022799999999999997
2010-08-12,29.5,29.37,29.5,29.35,1960000.0,-0.0027
