Date,Close,Open,High,Low,Volume,Change
2000-01-03,13.97,15.0,15.0,13.69,416400.0,-0.061200000000000004
2000-01-04,14.16,13.94,14.19,13.78,129800.00000000001,0.013600000000000001
2000-01-05,14.28,14.03,14.34,13.91,229600.0,0.0085
2000-01-06,14.09,14.16,14.22,13.66,150800.0,-0.013300000000000001
2000-01-07,14.03,14.03,14.16,13.94,80800.0,-0.0043
2000-01-10,13.41,13.91,13.91,13.38,228200.0,-0.044199999999999996
2000-01-11,13.31,13.44,13.69,13.28,324200.0,-0.0075
2000-01-12,13.31,13.19,13.38,12.56,413200.0,0.0
2000-01-13,13.62,13.44,14.19,13.44,519799.99999999994,0.0233
2000-01-14,13.75,13.69,14.06,13.69,497600.0,0.0095
2000-01-18,13.0,13.75,13.81,13.0,510200.0,-0.0545
2000-01-19,12.72,13.0,13.09,12.38,480200.0,-0.0215
2000-01-20,12.56,12.69,12.72,12.5,221800.0,-0.0126
2000-01-21,12.5,12.69,12.72,12.28,267400.0,-0.0048
2000-01-24,12.06,12.44,12.53,11.91,419400.0,-0.0352
2000-01-25,12.03,12.12,12.31,11.88,408200.0,-0.0025
2000-01-26,12.31,12.12,12.94,12.12,823600.0,0.0233
2000-01-27,12.69,12.69,13.12,12.59,389600.0,0.030899999999999997
2000-01-28,12.94,12.62,13.0,12.38,369000.0,0.0197
2000-01-31,13.22,12.88,13.34,12.88,239800.0,0.0216
2000-02-01,13.09,13.25,13.25,12.72,213200.0,-0.0098
2000-02-02,12.38,13.0,13.03,12.16,313400.0,-0.0542
2000-02-03,13.0,12.62,13.12,12.56,545200.0,0.0501
2000-02-04,13.62,13.19,13.75,13.0,520799.99999999994,0.04769999999999999
2000-02-07,13.22,13.53,13.53,13.06,308800.0,-0.0294
2000-02-08,13.5,13.19,13.69,13.19,248600.0,0.0212
2000-02-09,13.53,13.41,13.53,13.34,194800.0,0.0022
2000-02-10,13.56,13.53,13.75,13.5,280600.0,0.0022
2000-02-11,13.56,13.62,13.81,13.53,411800.0,0.0
2000-02-14,13.53,13.53,13.59,13.47,212400.0,-0.0022
2000-02-15,14.03,13.5,14.03,13.5,380800.0,0.037000000000000005
2000-02-16,13.75,13.91,13.94,13.69,362600.0,-0.02
2000-02-17,13.66,13.72,13.81,13.62,212000.0,-0.006500000000000001
2000-02-18,13.75,13.56,13.81,13.56,772400.0,0.0066
2000-02-22,13.72,13.5,13.81,13.5,124200.0,-0.0022
2000-02-23,14.03,13.72,14.03,13.69,239000.0,0.0226
2000-02-24,13.28,13.78,13.78,13.16,318400.0,-0.0535
2000-02-25,13.16,13.16,13.25,13.09,88200.0,-0.009000000000000001
2000-02-28,13.22,13.12,13.38,12.78,189400.0,0.0046
2000-02-29,13.69,13.28,13.69,13.16,300200.0,0.0356
2000-03-01,13.72,13.62,13.72,13.41,235200.0,0.0022
2000-03-02,13.34,13.66,13.72,13.31,284000.0,-0.0277
2000-03-03,13.22,13.41,13.5,13.16,112600.0,-0.009000000000000001
2000-03-06,12.88,13.09,13.12,12.62,198400.0,-0.025699999999999997
2000-03-07,12.81,12.91,12.91,12.48,312400.0,-0.0054
2000-03-08,13.12,12.69,13.25,12.44,259200.0,0.0242
2000-03-09,13.34,13.09,13.34,13.09,138000.0,0.0168
2000-03-10,13.22,13.28,13.47,13.19,283200.0,-0.009000000000000001
2000-03-13,12.84,13.16,13.16,12.72,361600.0,-0.0287
