Date,Close,Open,High,Low,Volume,Change
2000-01-03,5.42,5.45,5.54,5.37,7390000.0,0.018799999999999997
2000-01-04,5.47,5.38,5.61,5.38,10540000.0,0.0092
2000-01-05,5.44,5.51,5.57,5.42,11700000.0,-0.0055000000000000005
2000-01-06,5.34,5.44,5.48,5.32,7150000.0,-0.0184
2000-01-07,5.48,5.38,5.51,5.35,7970000.0,0.0262
2000-01-10,5.56,5.5,5.57,5.5,7710000.0,0.0146
2000-01-11,5.58,5.58,5.7,5.57,7450000.0,0.0036
2000-01-12,5.61,5.61,5.69,5.56,9610000.0,0.0054
2000-01-13,5.67,5.67,5.69,5.61,6260000.0,0.010700000000000001
2000-01-14,5.61,5.69,5.7,5.5,7810000.0,-0.0106
2000-01-18,5.32,5.57,5.6,5.32,8000000.0,-0.051699999999999996
2000-01-19,5.41,5.35,5.44,5.32,8730000.0,0.0169
2000-01-20,5.23,5.41,5.41,5.11,9980000.0,-0.0333
2000-01-21,5.09,5.14,5.21,5.05,13980000.0,-0.0268
2000-01-24,5.09,5.27,5.32,5.06,15340000.0,0.0
2000-01-25,5.08,5.09,5.29,4.95,11050000.0,-0.002
2000-01-26,4.88,5.03,5.05,4.83,18970000.0,-0.0394
2000-01-27,4.86,4.98,5.06,4.82,14730000.0,-0.0040999999999999995
2000-01-28,4.8,4.89,4.93,4.8,12020000.0,-0.0123
2000-01-31,4.83,4.85,4.89,4.82,11590000.0,0.0062
2000-02-01,4.86,4.89,4.89,4.8,13300000.0,0.0062
2000-02-02,4.77,4.85,4.88,4.76,13930000.0,-0.018500000000000003
2000-02-03,4.86,4.85,4.96,4.83,20020000.0,0.0189
2000-02-04,4.77,4.89,4.89,4.72,16680000.0,-0.018500000000000003
2000-02-07,4.76,4.83,4.85,4.72,12750000.0,-0.0021
2000-02-08,4.51,4.69,4.7,4.43,26740000.0,-0.0525
2000-02-09,4.54,4.5,4.63,4.5,18370000.0,0.0067
2000-02-10,4.6,4.63,4.7,4.59,15250000.0,0.0132
2000-02-11,4.41,4.61,4.66,4.41,15370000.0,-0.041299999999999996
2000-02-14,4.38,4.47,4.5,4.34,21120000.0,-0.0068000000000000005
2000-02-15,4.43,4.41,4.43,4.33,15220000.0,0.011399999999999999
2000-02-16,4.4,4.41,4.46,4.35,13800000.0,-0.0068000000000000005
2000-02-17,4.51,4.6,4.63,4.47,16059999.999999998,0.025
2000-02-18,4.54,4.51,4.6,4.48,11120000.0,0.0067
2000-02-22,4.83,4.61,4.9,4.6,17010000.0,0.0639
2000-02-23,4.7,4.92,5.02,4.67,14800000.0,-0.0269
2000-02-24,4.64,4.74,4.76,4.57,12100000.0,-0.0128
2000-02-25,4.54,4.66,4.67,4.54,11480000.0,-0.0216
2000-02-28,4.64,4.59,4.7,4.59,10880000.0,0.022000000000000002
2000-02-29,4.67,4.64,4.73,4.64,13520000.0,0.006500000000000001
2000-03-01,4.73,4.67,4.98,4.54,21710000.0,0.0128
2000-03-02,4.66,4.73,4.82,4.63,11170000.0,-0.0148
2000-03-03,4.7,4.63,4.77,4.57,13360000.0,0.0086
