Date,Close,Open,High,Low,Volume,Change
2000-01-03,53.18,53.49,53.56,52.44,4280000.0,-0.0217
2000-01-04,52.16,52.78,53.77,51.48,4270000.0,-0.0192
2000-01-05,51.17,52.04,52.28,50.86,5100000.0,-0.019
2000-01-06,53.52,52.16,54.3,52.13,6520000.0,0.045899999999999996
2000-01-07,57.8,54.36,58.05,54.18,9830000.0,0.08
2000-01-10,57.53,57.46,58.21,56.75,6860000.0,-0.004699999999999999
2000-01-11,58.42,57.25,58.42,56.78,4420000.0,0.0155
2000-01-12,58.05,57.87,58.73,57.62,6230000.0,-0.0063
2000-01-13,57.06,57.99,58.05,56.84,5290000.0,-0.0171
2000-01-14,58.05,57.31,58.05,57.25,4900000.0,0.0174
2000-01-18,58.02,58.02,58.55,57.59,4460000.0,-0.0005
2000-01-19,57.25,56.56,57.56,56.35,5550000.0,-0.013300000000000001
2000-01-20,55.85,56.56,56.69,53.4,10230000.0,-0.0245
2000-01-21,50.95,55.88,55.88,49.37,24380000.0,-0.0877
2000-01-24,51.04,47.63,54.02,47.04,28560000.0,0.0018
2000-01-25,48.38,51.42,51.45,48.13,17110000.0,-0.0521
2000-01-26,49.93,49.12,50.02,49.03,10240000.0,0.032
2000-01-27,51.63,50.61,51.82,50.21,8990000.0,0.034
2000-01-28,49.77,51.45,51.45,49.31,9580000.0,-0.036000000000000004
2000-01-31,50.14,49.74,50.18,48.81,4520000.0,0.0074
2000-02-01,49.37,49.96,50.05,49.0,4040000.0,-0.0154
2000-02-02,48.94,49.49,49.62,48.78,3920000.0,-0.0087
2000-02-03,48.53,49.52,49.52,47.97,6260000.0,-0.0084
2000-02-04,47.01,48.44,48.47,46.64,7650000.0,-0.0313
2000-02-07,46.27,46.64,47.04,45.93,6460000.0,-0.015700000000000002
2000-02-08,47.51,46.64,47.57,46.05,6790000.0,0.0268
2000-02-09,46.64,47.26,47.57,46.52,6260000.0,-0.0183
2000-02-10,45.37,46.52,46.98,44.69,5270000.0,-0.027200000000000002
2000-02-11,46.52,45.31,46.61,45.31,5340000.0,0.0253
2000-02-14,45.59,46.49,46.55,45.15,5250000.0,-0.02
2000-02-15,47.51,45.9,47.54,45.71,6860000.0,0.0421
2000-02-16,46.66,47.54,47.76,46.14,5310000.0,-0.0179
2000-02-17,46.73,46.64,47.14,46.14,4680000.0,0.0015
2000-02-18,46.46,46.55,46.86,45.65,4650000.0,-0.0058
2000-02-22,46.08,45.8,46.36,44.69,5230000.0,-0.008199999999999999
2000-02-23,44.97,46.08,46.08,44.72,5360000.0,-0.0241
2000-02-24,43.91,44.84,45.09,42.95,7220000.0,-0.0236
2000-02-25,42.24,44.04,44.16,42.24,7180000.0,-0.038
2000-02-28,43.85,42.58,44.66,42.17,7080000.0,0.0381
2000-02-29,43.6,44.41,44.59,43.29,6660000.0,-0.005699999999999999
2000-03-01,43.79,43.66,44.0,43.11,4150000.0000000005,0.0044
2000-03-02,43.32,43.66,43.88,43.01,3570000.0,-0.010700000000000001
2000-03-03,43.88,43.57,44.56,43.17,4900000.0,0.0129
2000-03-06,43.38,43.85,43.88,42.98,3670000.0,-0.011399999999999999
2000-03-07,30.27,28.78,33.27,28.41,137290000.0,-0.30219999999999997
2000-03-08,28.78,30.27,30.61,28.34,74590000.0,-0.0492
2000-03-09,28.65,29.03,29.52,28.03,34220000.0,-0.0045000000000000005
2000-03-10,26.67,28.34,28.65,26.17,48560000.0,-0.0691
2000-03-13,28.41,26.67,28.41,26.42,36000000.0,0.0652
2000-03-14,27.66,28.5,28.78,27.35,20740000.0,-0.0264
2000-03-15,29.03,28.0,29.03,27.1,24740000.0,0.0495
2000-03-16,29.71,29.62,30.02,29.15,27410000.0,0.023399999999999997
2000-03-17,28.59,29.71,29.71,28.28,22200000.0,-0.0377
2000-03-20,28.84,28.96,29.29,28.5,11860000.0,0.0087
2000-03-21,28.28,28.38,28.53,27.85,14930000.0,-0.0194
2000-03-22,28.28,28.41,28.62,27.48,15490000.0,0.0
2000-03-23,27.88,27.75,28.22,27.57,13620000.0,-0.0141
2000-03-24,28.0,28.0,28.03,27.35,14310000.0,0.0043
2000-03-27,27.41,27.91,28.28,27.35,11910000.0,-0.021099999999999997
2000-03-28,28.28,27.38,28.34,27.38,12060000.0,0.0317
2000-03-29,29.12,28.38,29.15,28.34,15730000.0,0.0297
2000-03-30,28.78,29.24,29.83,28.78,16010000.000000002,-0.011699999999999999
2000-03-31,28.16,29.52,29.52,27.91,12030000.0,-0.0215
2000-04-03,29.52,28.16,29.77,28.16,10070000.0,0.0483
2000-04-04,31.51,30.2,31.76,29.77,27510000.0,0.0674
2000-04-05,30.55,31.1,31.57,30.55,13230000.0,-0.0305
2000-04-06,31.13,30.76,31.23,30.27,7830000.0,0.019
2000-04-07,31.48,31.45,31.63,31.01,7790000.0,0.011200000000000002
2000-04-10,32.75,31.72,32.75,31.63,11750000.0,0.0403
2000-04-11,32.96,32.56,33.15,31.63,10200000.0,0.0064
2000-04-12,34.39,33.71,36.1,33.55,20650000.0,0.0434
2000-04-13,34.48,34.48,34.67,33.34,11350000.0,0.0026
2000-04-14,31.26,33.74,33.86,30.76,17380000.0,-0.0934
2000-04-17,34.24,31.2,34.3,31.13,15050000.0,0.0953
2000-04-18,32.78,34.02,34.02,32.44,14390000.0,-0.0426
2000-04-19,32.78,32.9,33.62,32.53,7920000.0,0.0
2000-04-20,34.21,32.81,34.24,32.81,8140000.000000001,0.0436
2000-04-24,34.98,34.21,35.23,33.99,8720000.0,0.0225
2000-04-25,31.88,34.98,34.98,31.48,20660000.0,-0.0886
2000-04-26,30.14,31.38,31.45,29.71,24610000.0,-0.0546
