Date,Close,Open,High,Low,Volume,Change
2000-01-03,16.06,16.38,16.38,16.0,235200.0,-0.011699999999999999
2000-01-04,16.0,16.0,16.12,15.94,188600.0,-0.0037
2000-01-05,16.06,16.0,16.31,16.0,168900.0,0.0037
2000-01-06,16.19,16.19,16.31,16.0,177700.0,0.008100000000000001
2000-01-07,16.94,16.31,16.94,16.31,170300.0,0.0463
2000-01-10,16.75,16.94,16.94,16.69,204000.0,-0.011200000000000002
2000-01-11,16.88,16.5,16.94,16.5,182200.0,0.0078000000000000005
2000-01-12,16.56,16.81,16.94,16.5,90500.0,-0.019
2000-01-13,17.19,17.38,17.38,17.0,602200.0,0.038
2000-01-14,16.31,17.19,17.19,16.12,227500.0,-0.0512
2000-01-18,16.0,16.31,16.38,15.94,228600.0,-0.019
2000-01-19,15.75,16.0,16.06,15.75,199800.0,-0.015600000000000001
2000-01-20,15.62,15.88,15.94,15.62,215600.0,-0.0083
2000-01-21,15.44,15.69,15.69,15.38,152800.0,-0.0115
2000-01-24,14.81,15.38,15.5,14.81,293500.0,-0.0408
2000-01-25,14.25,14.88,14.88,13.62,723800.0,-0.0378
2000-01-26,14.0,14.25,14.56,13.88,262000.0,-0.0175
2000-01-27,14.19,14.0,14.25,13.81,239100.0,0.013600000000000001
2000-01-28,14.25,14.25,14.31,13.88,251700.0,0.0042
2000-01-31,13.69,14.38,14.38,13.56,506400.0,-0.0393
2000-02-01,13.88,13.69,14.0,13.69,348800.0,0.0139
2000-02-02,13.56,14.0,14.12,13.5,717300.0,-0.0231
2000-02-03,13.25,13.62,13.75,13.12,486700.0,-0.0229
2000-02-04,13.0,13.12,13.25,12.94,442700.0,-0.0189
2000-02-07,12.88,13.0,13.0,12.56,217400.0,-0.0092
2000-02-08,12.81,12.88,12.88,12.56,539500.0,-0.0054
2000-02-09,12.5,12.88,12.94,12.44,280900.0,-0.0242
2000-02-10,11.94,12.38,12.56,11.75,414400.0,-0.044800000000000006
2000-02-11,11.25,11.94,12.0,11.0,826500.0,-0.057800000000000004
2000-02-14,11.0,11.25,11.44,10.75,605600.0,-0.0222
2000-02-15,10.81,11.0,11.12,10.75,714100.0,-0.0173
2000-02-16,10.88,10.94,11.0,10.75,423500.0,0.006500000000000001
2000-02-17,10.75,10.94,11.06,10.62,518299.99999999994,-0.011899999999999999
2000-02-18,10.69,10.75,10.81,10.56,353300.0,-0.005600000000000001
2000-02-22,10.62,10.81,10.94,10.5,443700.0,-0.006500000000000001
2000-02-23,9.94,10.62,10.62,9.81,455300.0,-0.064
2000-02-24,9.94,10.0,10.06,9.75,769400.0,0.0
2000-02-25,10.94,10.12,11.56,10.12,720700.0,0.10060000000000001
2000-02-28,10.88,11.62,11.75,10.75,394900.0,-0.0055000000000000005
2000-02-29,10.31,10.88,11.25,10.31,688900.0,-0.0524
2000-03-01,10.56,10.44,11.0,10.25,377800.0,0.0242
2000-03-02,10.44,10.62,10.81,10.31,395000.0,-0.011399999999999999
2000-03-03,10.44,10.56,10.75,10.19,321000.0,0.0
2000-03-06,10.06,10.44,10.62,10.06,361700.0,-0.0364
2000-03-07,9.88,10.06,10.31,9.75,443200.0,-0.0179
2000-03-08,10.0,9.94,10.19,9.88,665400.0,0.0121
2000-03-09,10.12,10.12,10.62,10.0,532400.0,0.012
2000-03-10,9.38,10.0,10.12,9.12,837900.0,-0.0731
2000-03-13,9.38,9.5,9.88,9.31,304400.0,0.0
2000-03-14,9.31,9.56,9.75,9.25,421300.0,-0.0075
2000-03-15,9.0,9.0,9.0,8.5,1610000.0,-0.0333
2000-03-16,10.12,9.0,10.5,8.88,970200.0,0.1244
2000-03-17,9.75,9.88,10.38,9.75,657400.0,-0.0366
2000-03-20,10.06,10.0,10.5,9.88,436500.0,0.0318
2000-03-21,10.44,10.19,10.5,10.0,424100.0,0.0378
2000-03-22,10.5,10.5,10.56,10.38,578700.0,0.005699999999999999
2000-03-23,10.88,10.75,11.0,10.56,459900.0,0.0362
2000-03-24,10.62,10.88,10.88,10.44,799700.0,-0.0239
2000-03-27,10.12,10.62,10.75,10.0,409200.0,-0.0471
2000-03-28,10.25,10.0,10.44,10.0,468100.0,0.0128
2000-03-29,10.12,10.25,10.38,9.94,339700.0,-0.0127
2000-03-30,10.69,10.12,11.12,10.12,560900.0,0.056299999999999996
2000-03-31,11.12,10.81,11.12,10.31,1130000.0,0.04019999999999999
2000-04-03,10.25,11.12,11.19,10.12,485300.0,-0.0782
2000-04-04,10.75,10.38,10.75,10.38,291100.0,0.048799999999999996
2000-04-05,11.12,10.88,11.12,10.56,370400.0,0.0344
2000-04-06,10.38,11.0,11.0,10.25,469600.0,-0.0665
2000-04-07,10.12,10.12,10.38,10.06,304900.0,-0.025
2000-04-10,10.19,10.5,10.5,10.12,192000.0,0.0069
2000-04-11,10.38,10.31,10.38,10.06,170700.0,0.018600000000000002
2000-04-12,10.06,10.44,10.56,10.0,203800.0,-0.0308
2000-04-13,10.81,10.19,10.88,10.12,483400.0,0.0746
2000-04-14,10.12,10.81,10.81,10.12,253600.0,-0.0638
2000-04-17,10.44,10.19,10.5,10.0,325100.0,0.0316
2000-04-18,10.38,10.31,10.38,10.12,165300.0,-0.005699999999999999
2000-04-19,10.31,10.44,10.44,10.12,196800.0,-0.0067
2000-04-20,10.44,10.19,10.56,10.19,146200.0,0.0126
2000-04-24,10.44,10.56,10.62,10.25,257100.00000000003,0.0
2000-04-25,11.0,10.5,11.12,10.5,355300.0,0.0536
2000-04-26,11.0,11.0,11.25,11.0,459400.0,0.0
2000-04-27,11.0,11.0,11.38,10.94,961900.0,0.0
2000-04-28,10.44,11.06,11.06,10.44,384800.0,-0.0509
2000-05-01,10.44,10.56,10.94,10.44,194400.0,0.0
2000-05-02,10.38,10.5,10.69,10.31,138200.0,-0.005699999999999999
2000-05-03,10.25,10.38,10.75,10.25,370800.0,-0.0125
2000-05-04,10.75,10.56,10.88,10.44,438900.0,0.048799999999999996
2000-05-05,10.38,10.75,10.75,10.0,343800.0,-0.0344
2000-05-08,10.19,10.44,10.44,10.0,172500.0,-0.0183
2000-05-09,10.19,10.12,10.31,9.81,465700.0,0.0
2000-05-10,10.38,10.06,10.5,9.94,256100.00000000003,0.018600000000000002
2000-05-11,10.62,10.5,10.81,10.31,601400.0,0.0231
2000-05-12,10.5,10.62,10.75,10.25,197500.0,-0.0113
2000-05-15,10.19,10.56,10.62,10.19,287600.0,-0.029500000000000002
2000-05-16,10.5,10.31,10.5,10.19,159100.0,0.0304
2000-05-17,10.44,10.44,10.5,10.19,180400.0,-0.005699999999999999
2000-05-18,10.44,10.44,10.62,10.25,185200.0,0.0
2000-05-19,10.06,10.44,10.56,10.06,270700.0,-0.0364
2000-05-22,10.12,10.19,10.31,10.0,321800.0,0.006
2000-05-23,10.06,10.12,10.38,9.88,232100.0,-0.0059
2000-05-24,9.88,10.12,10.19,9.88,370700.0,-0.0179
2000-05-25,10.06,9.88,10.38,9.88,455300.0,0.0182
2000-05-26,9.88,10.12,10.19,9.88,433800.0,-0.0179
2000-05-30,10.06,9.94,10.06,9.94,157500.0,0.0182
2000-05-31,9.88,10.06,10.25,9.88,250300.0,-0.0179
2000-06-01,10.12,9.88,10.19,9.88,262700.0,0.024300000000000002
2000-06-02,10.19,10.19,10.25,10.06,178400.0,0.0069
2000-06-05,10.38,10.12,10.44,10.0,306400.0,0.018600000000000002
2000-06-06,10.19,10.38,10.44,10.12,320100.0,-0.0183
2000-06-07,10.12,10.06,10.12,9.88,246700.0,-0.0069
2000-06-08,10.0,10.12,10.12,9.94,675200.0,-0.011899999999999999
2000-06-09,10.0,10.0,10.0,9.88,180100.0,0.0
2000-06-12,9.81,10.0,10.0,9.75,161800.0,-0.019
2000-06-13,9.75,9.75,9.81,9.69,158300.0,-0.0060999999999999995
2000-06-14,9.62,9.81,9.81,9.56,117900.0,-0.013300000000000001
2000-06-15,9.88,9.62,9.94,9.62,237200.0,0.027000000000000003
2000-06-16,9.81,9.75,9.88,9.69,316600.0,-0.0070999999999999995
2000-06-19,9.62,9.81,9.88,9.62,176700.0,-0.0194
2000-06-20,9.56,9.62,9.69,9.5,226300.0,-0.0062
2000-06-21,9.06,9.12,9.19,8.88,790800.0,-0.052300000000000006
2000-06-22,8.94,9.19,9.25,8.94,360900.0,-0.0132
2000-06-23,8.88,9.0,9.0,8.75,253700.0,-0.0067
2000-06-26,8.94,9.0,9.12,8.88,162800.0,0.0068000000000000005
2000-06-27,8.56,9.0,9.06,8.56,260500.0,-0.0425
2000-06-28,8.94,8.69,8.94,8.62,189300.0,0.0444
2000-06-29,9.06,9.06,9.25,8.88,294400.0,0.0134
2000-06-30,8.75,9.0,9.19,8.5,531600.0,-0.0342
2000-07-03,8.88,8.75,9.0,8.75,89300.0,0.0149
2000-07-05,8.88,8.88,9.12,8.88,330400.0,0.0
2000-07-06,9.0,8.94,9.06,8.94,207600.0,0.013500000000000002
2000-07-07,8.88,9.12,9.31,8.88,609700.0,-0.013300000000000001
2000-07-10,8.88,8.88,9.31,8.88,220900.0,0.0
2000-07-11,8.94,9.0,9.12,8.88,546900.0,0.0068000000000000005
2000-07-12,8.94,8.94,9.06,8.94,143400.0,0.0
2000-07-13,9.19,8.94,9.25,8.94,361400.0,0.027999999999999997
2000-07-14,9.12,9.25,9.31,9.12,137300.0,-0.0076
2000-07-17,9.06,9.25,9.25,9.0,221300.0,-0.0066
2000-07-18,9.25,9.06,9.38,9.0,224500.0,0.021
2000-07-19,9.38,9.31,9.44,9.31,1360000.0,0.0141
2000-07-20,9.75,9.62,9.81,9.5,411900.0,0.0394
2000-07-21,9.44,9.81,9.88,9.38,214600.0,-0.0318
2000-07-24,9.38,9.38,9.56,9.38,222000.0,-0.0064
2000-07-25,9.38,9.5,9.56,9.31,225000.0,0.0
2000-07-26,9.44,9.44,9.56,9.31,271400.0,0.0064
2000-07-27,9.56,9.5,9.56,9.44,327700.0,0.0127
2000-07-28,9.5,9.44,9.62,9.38,229600.0,-0.0063
2000-07-31,9.38,9.5,9.56,9.25,212400.0,-0.0126
2000-08-01,9.0,9.25,9.25,8.94,355100.0,-0.0405
2000-08-02,8.94,9.0,9.06,8.88,506800.0,-0.0067
2000-08-03,9.44,9.0,9.56,8.88,287300.0,0.0559
2000-08-04,9.38,9.31,9.88,9.19,328000.0,-0.0064
2000-08-07,9.56,9.25,9.75,9.25,236300.0,0.0192
2000-08-08,9.19,9.5,9.56,9.06,435800.0,-0.0387
2000-08-09,9.5,9.25,9.5,9.19,363200.0,0.0337
2000-08-10,9.56,9.5,9.56,9.44,394500.0,0.0063
2000-08-11,9.44,9.5,9.56,9.38,188600.0,-0.0126
2000-08-14,9.38,9.5,9.5,9.31,256399.99999999997,-0.0064
2000-08-15,9.38,9.38,9.69,9.31,212900.0,0.0
2000-08-16,9.56,9.44,9.56,9.38,117900.0,0.0192
2000-08-17,9.56,9.56,9.56,9.44,193800.0,0.0
2000-08-18,9.62,9.5,9.62,9.44,249700.0,0.0063
2000-08-21,9.44,9.62,9.62,9.38,212200.0,-0.0187
2000-08-22,9.44,9.38,9.5,9.31,141500.0,0.0
2000-08-23,9.5,9.31,9.5,9.31,82700.0,0.0064
2000-08-24,9.56,9.44,9.56,9.44,169500.0,0.0063
2000-08-25,9.5,9.5,9.5,9.44,262300.0,-0.0063
2000-08-28,9.38,9.38,9.44,9.31,177000.0,-0.0126
2000-08-29,9.31,9.31,9.38,9.25,132000.0,-0.0075
2000-08-30,9.12,9.12,9.25,9.0,149800.0,-0.0204
2000-08-31,9.19,9.06,9.38,9.0,377400.0,0.0077
2000-09-01,9.31,9.25,9.38,9.19,165900.0,0.0131
2000-09-05,9.19,9.19,9.25,9.12,177400.0,-0.0129
2000-09-06,9.25,9.12,9.31,9.12,368200.0,0.006500000000000001
2000-09-07,9.44,9.31,9.44,9.25,144900.0,0.020499999999999997
2000-09-08,9.44,9.38,9.44,9.31,136100.0,0.0
2000-09-11,9.38,9.38,9.44,9.12,154700.0,-0.0064
2000-09-12,9.31,9.38,9.38,9.19,391900.0,-0.0075
2000-09-13,9.31,9.44,9.5,9.31,272600.0,0.0
2000-09-14,9.44,9.5,9.56,9.25,294800.0,0.013999999999999999
2000-09-15,9.38,9.25,9.44,9.25,408200.0,-0.0064
2000-09-18,9.25,9.31,9.44,9.19,290500.0,-0.0139
2000-09-19,9.5,9.19,9.5,9.12,234800.0,0.027000000000000003
2000-09-20,9.69,9.44,9.69,9.44,307700.0,0.02
2000-09-21,9.75,9.69,9.81,9.56,195300.0,0.0062
2000-09-22,9.5,9.75,9.75,9.44,908100.0,-0.0256
2000-09-25,9.44,9.5,9.56,9.38,868100.0,-0.0063
2000-09-26,9.69,9.44,9.69,9.44,627800.0,0.0265
2000-09-27,9.62,9.62,9.75,9.62,1490000.0,-0.0072
2000-09-28,9.56,9.69,9.69,9.5,600000.0,-0.0062
2000-09-29,10.0,9.62,10.0,9.56,302400.0,0.046
2000-10-02,9.75,10.0,10.06,9.69,285100.0,-0.025
2000-10-03,10.06,9.88,10.19,9.88,174500.0,0.0318
2000-10-04,10.06,10.06,10.06,10.0,64500.0,0.0
2000-10-05,10.5,10.0,11.19,10.0,437700.0,0.0437
2000-10-06,10.94,10.56,10.94,10.5,290200.0,0.04190000000000001
2000-10-09,11.0,10.88,11.0,10.75,106700.0,0.0055000000000000005
2000-10-10,11.0,11.0,11.0,10.56,198800.0,0.0
2000-10-11,10.81,10.94,11.0,10.69,111000.0,-0.0173
2000-10-12,10.94,10.75,10.94,10.75,135300.0,0.012
2000-10-13,10.44,10.81,10.94,10.44,309100.0,-0.045700000000000005
2000-10-16,10.19,10.38,10.56,10.12,188700.0,-0.0239
2000-10-17,10.0,10.12,10.12,9.88,189200.0,-0.018600000000000002
2000-10-18,10.0,9.88,10.12,9.75,111400.0,0.0
2000-10-19,10.19,10.0,10.19,9.88,128699.99999999999,0.019
2000-10-20,10.19,10.19,10.44,10.0,218900.0,0.0
2000-10-23,10.06,10.12,10.19,10.0,100100.0,-0.0128
2000-10-24,10.19,10.12,10.19,10.12,70800.0,0.0129
2000-10-25,10.38,10.12,10.44,10.12,153900.0,0.018600000000000002
2000-10-26,10.75,10.38,10.81,10.38,240400.0,0.0356
2000-10-27,11.31,10.75,11.31,10.75,336900.0,0.0521
2000-10-30,11.19,11.19,11.38,11.0,93800.0,-0.0106
2000-10-31,11.19,11.25,11.31,11.0,203400.0,0.0
2000-11-01,12.0,11.06,12.06,11.06,406000.0,0.0724
2000-11-02,12.94,12.5,13.38,12.44,475400.0,0.0783
2000-11-03,13.31,12.94,13.44,12.94,260399.99999999997,0.0286
2000-11-06,13.38,13.44,13.81,13.25,641300.0,0.0053
2000-11-07,13.12,13.5,13.56,13.06,125000.0,-0.0194
2000-11-08,13.94,13.12,14.12,13.06,700500.0,0.0625
2000-11-09,14.38,14.0,14.62,13.75,984800.0,0.0316
2000-11-10,14.25,14.25,14.44,13.88,264800.0,-0.009000000000000001
2000-11-13,13.75,14.0,14.12,12.25,450600.0,-0.0351
2000-11-14,12.38,13.5,13.5,12.19,378400.0,-0.09960000000000001
2000-11-15,12.75,12.25,12.81,12.12,223200.0,0.029900000000000003
2000-11-16,12.31,12.75,12.75,12.19,210700.0,-0.0345
2000-11-17,12.25,12.31,12.62,12.06,216600.0,-0.0049
2000-11-20,11.94,12.25,12.31,11.5,395000.0,-0.0253
2000-11-21,12.75,11.94,12.75,11.62,308200.0,0.0678
2000-11-22,13.38,12.62,13.38,12.44,238300.0,0.049400000000000006
2000-11-24,12.75,13.12,13.12,12.56,201000.0,-0.0471
2000-11-27,13.44,12.62,13.5,12.62,223500.0,0.0541
2000-11-28,13.31,13.19,13.38,12.81,551400.0,-0.0097
2000-11-29,13.81,13.31,13.94,13.12,159600.0,0.037599999999999995
2000-11-30,14.0,13.75,14.0,13.69,308900.0,0.0138
2000-12-01,14.0,13.94,14.25,13.81,502000.0,0.0
2000-12-04,12.5,13.5,13.5,12.19,929800.0,-0.10710000000000001
2000-12-05,12.12,12.69,12.69,12.0,600000.0,-0.0304
2000-12-06,11.75,12.12,12.25,11.62,552000.0,-0.0305
2000-12-07,12.0,11.75,12.12,11.5,554500.0,0.0213
2000-12-08,12.19,12.0,12.19,11.38,710300.0,0.0158
2000-12-11,12.25,12.19,12.25,11.81,306800.0,0.0049
2000-12-12,11.75,12.12,12.12,11.62,417000.0,-0.0408
2000-12-13,11.75,11.75,11.75,11.12,348900.0,0.0
2000-12-14,11.31,11.75,11.75,11.31,486400.0,-0.0374
2000-12-15,11.25,11.12,11.5,10.81,905900.0,-0.0053
2000-12-18,11.75,11.38,11.75,11.31,425000.0,0.0444
2000-12-19,11.5,11.62,11.69,11.38,346600.0,-0.0213
2000-12-20,11.5,11.5,11.88,11.44,397100.0,0.0
2000-12-21,12.44,11.56,12.44,11.56,459600.0,0.0817
2000-12-22,12.69,12.38,13.0,12.25,525400.0,0.020099999999999996
2000-12-26,12.56,12.56,12.88,12.44,288900.0,-0.0102
2000-12-27,12.62,12.56,12.75,12.56,433600.0,0.0048
2000-12-28,12.75,12.5,13.0,12.5,909500.0,0.0103
2000-12-29,12.75,12.56,12.88,12.25,1390000.0,0.0
2001-01-02,11.81,12.0,12.25,11.31,5500000.0,-0.0737
2001-01-03,11.56,11.88,12.19,11.5,2530000.0,-0.0212
2001-01-04,10.81,11.56,11.62,10.62,3450000.0,-0.0649
2001-01-05,11.44,10.88,11.44,10.75,1810000.0,0.0583
