Date,Close,Open,High,Low,Volume,Change
2000-01-03,66.81,68.38,69.0,65.5,8369999.999999999,-0.0334
2000-01-04,64.31,65.5,65.81,64.19,6750000.0,-0.0374
2000-01-05,63.0,63.88,64.38,62.19,7020000.0,-0.0204
2000-01-06,63.69,63.0,64.56,62.69,6550000.0,0.011000000000000001
2000-01-07,68.5,64.5,68.94,64.5,7980000.0,0.0755
2000-01-10,67.25,67.25,67.5,65.62,6710000.0,-0.0182
2000-01-11,66.25,67.06,67.75,65.62,4940000.0,-0.0149
2000-01-12,65.06,66.19,66.75,65.06,4090000.0,-0.018000000000000002
2000-01-13,65.12,66.0,66.12,65.0,5020000.0,0.0009
2000-01-14,64.5,64.0,65.94,64.0,6310000.0,-0.0095
2000-01-18,65.56,63.19,66.44,63.06,6440000.0,0.016399999999999998
2000-01-19,64.06,65.25,65.81,64.0,4820000.0,-0.0229
2000-01-20,63.38,64.44,64.5,62.5,5740000.0,-0.0106
2000-01-21,62.44,63.94,63.94,62.06,6950000.0,-0.0148
2000-01-24,59.38,63.44,63.44,57.5,7800000.0,-0.049
2000-01-25,61.12,59.81,61.19,59.5,6400000.0,0.029300000000000003
2000-01-26,61.94,61.12,62.06,60.0,4540000.0,0.0134
2000-01-27,59.12,61.31,61.5,57.88,7320000.0,-0.0455
2000-01-28,55.12,58.88,58.88,53.5,14030000.0,-0.0677
2000-01-31,54.75,54.56,55.5,54.12,8060000.000000001,-0.0067
2000-02-01,58.69,55.0,59.5,54.94,8359999.999999999,0.07200000000000001
2000-02-02,58.38,58.88,60.12,57.94,6030000.0,-0.0053
2000-02-03,58.38,58.38,58.81,56.25,7000000.0,0.0
2000-02-04,56.31,57.94,57.94,56.0,6550000.0,-0.0355
2000-02-07,55.75,56.62,56.62,54.62,6040000.0,-0.009899999999999999
2000-02-08,59.5,57.31,59.69,56.88,8580000.0,0.0673
2000-02-09,57.81,60.0,60.12,57.31,8220000.000000001,-0.028399999999999998
2000-02-10,57.0,57.62,58.38,56.81,4590000.0,-0.013999999999999999
2000-02-11,56.06,57.44,57.5,55.62,4820000.0,-0.0165
2000-02-14,58.88,56.69,58.88,56.5,5800000.0,0.050300000000000004
2000-02-15,58.0,56.94,58.0,55.0,9710000.0,-0.0149
2000-02-16,52.75,56.5,56.5,52.69,13590000.0,-0.09050000000000001
2000-02-17,48.38,52.94,53.5,48.0,24770000.0,-0.0828
2000-02-18,47.75,48.5,49.5,47.25,19390000.0,-0.013000000000000001
2000-02-22,48.12,49.25,49.31,46.75,12340000.0,0.0077
2000-02-23,47.0,48.44,48.5,46.75,12870000.0,-0.0233
2000-02-24,47.88,47.0,47.88,43.44,19420000.0,0.0187
2000-02-25,44.5,44.31,45.31,43.62,16910000.0,-0.0706
2000-02-28,46.19,44.56,46.94,44.56,17840000.0,0.038
2000-02-29,48.75,47.94,49.75,47.94,17200000.0,0.0554
2000-03-01,49.0,49.88,50.0,47.5,10170000.0,0.0051
2000-03-02,50.56,52.75,52.88,50.44,15540000.0,0.0318
2000-03-03,52.62,52.12,53.31,51.5,10790000.0,0.0407
2000-03-06,50.5,52.62,52.69,48.62,10490000.0,-0.0403
2000-03-07,47.56,49.62,49.62,47.12,9720000.0,-0.0582
2000-03-08,48.31,47.31,49.31,45.62,10020000.0,0.0158
2000-03-09,48.94,49.0,49.44,46.88,7940000.0,0.013000000000000001
2000-03-10,47.94,49.75,49.75,47.44,7010000.0,-0.0204
2000-03-13,47.69,46.25,47.94,45.88,7730000.0,-0.0052
2000-03-14,47.75,47.0,48.81,46.31,9990000.0,0.0013
2000-03-15,51.5,47.44,51.94,46.56,14670000.0,0.0785
2000-03-16,54.62,52.31,55.56,51.62,19720000.0,0.060599999999999994
2000-03-17,55.75,54.56,56.25,54.12,12640000.0,0.0207
2000-03-20,55.12,55.81,55.81,53.38,6770000.0,-0.0113
2000-03-21,56.62,55.44,56.62,54.5,7850000.0,0.027200000000000002
2000-03-22,55.38,56.5,56.5,54.0,9960000.0,-0.0219
2000-03-23,54.0,54.38,54.56,53.5,7030000.0,-0.024900000000000002
2000-03-24,55.5,54.44,55.69,54.0,7950000.0,0.0278
2000-03-27,55.44,54.69,55.5,54.25,5770000.0,-0.0011
2000-03-28,54.5,54.56,55.94,54.5,5800000.0,-0.017
2000-03-29,58.75,55.5,59.38,55.44,13600000.0,0.078
2000-03-30,59.0,59.75,60.75,58.88,11570000.0,0.0043
2000-03-31,56.5,59.25,59.31,55.5,9050000.0,-0.0424
2000-04-03,61.19,56.62,62.0,56.62,11940000.0,0.083
2000-04-04,60.0,61.69,63.31,57.5,13680000.0,-0.0194
2000-04-05,58.25,59.31,60.12,57.56,6860000.0,-0.0292
2000-04-06,61.12,59.12,61.25,58.75,7250000.0,0.0493
2000-04-07,61.5,61.25,62.0,60.62,4010000.0,0.0062
2000-04-10,63.56,61.5,63.69,61.0,5520000.0,0.0335
2000-04-11,63.38,62.88,63.5,61.5,5360000.0,-0.0028000000000000004
2000-04-12,62.44,63.44,64.94,62.06,7240000.0,-0.0148
2000-04-13,60.06,62.31,62.31,59.5,7880000.0,-0.0381
2000-04-14,55.0,58.0,58.94,55.0,9370000.0,-0.0842
2000-04-17,54.0,55.12,56.38,51.75,9690000.0,-0.0182
2000-04-18,53.88,54.0,56.31,53.12,7660000.0,-0.0022
2000-04-19,54.94,54.12,55.5,53.75,6260000.0,0.0197
2000-04-20,57.69,55.12,57.94,55.12,6090000.0,0.0501
2000-04-24,58.88,57.94,60.62,57.5,5630000.0,0.0206
2000-04-25,59.69,58.06,60.75,57.56,6040000.0,0.0138
2000-04-26,58.75,60.19,60.75,58.31,5200000.0,-0.015700000000000002
2000-04-27,57.69,57.62,58.44,56.5,5520000.0,-0.018000000000000002
2000-04-28,55.38,56.81,57.31,55.38,5010000.0,-0.04
2000-05-01,57.94,56.38,58.81,56.19,5110000.0,0.0462
2000-05-02,57.62,57.31,57.81,56.69,4820000.0,-0.0055000000000000005
2000-05-03,53.44,54.25,54.5,52.75,10460000.0,-0.0725
2000-05-04,51.0,53.94,53.94,50.44,10770000.0,-0.045700000000000005
2000-05-05,51.31,50.19,52.88,50.19,8640000.0,0.0060999999999999995
2000-05-08,52.38,51.25,52.38,49.5,7630000.0,0.0209
2000-05-09,53.0,54.38,54.88,52.5,8890000.0,0.0118
2000-05-10,56.69,53.44,57.12,53.0,11250000.0,0.0696
2000-05-11,56.0,56.94,57.06,55.0,6110000.0,-0.012199999999999999
2000-05-12,56.81,55.75,57.19,55.31,4370000.0,0.014499999999999999
2000-05-15,57.0,56.25,57.31,55.5,4270000.0,0.0033
2000-05-16,58.0,57.44,59.06,57.19,6380000.0,0.0175
2000-05-17,56.38,56.69,56.75,55.44,4590000.0,-0.0279
2000-05-18,57.94,56.25,57.94,56.19,4890000.0,0.0277
2000-05-19,57.06,56.12,58.75,56.12,6360000.0,-0.0152
2000-05-22,57.38,57.69,57.69,56.19,4630000.0,0.005600000000000001
2000-05-23,57.19,57.56,58.38,56.81,4290000.0,-0.0033
2000-05-24,56.88,55.25,57.0,52.75,10340000.0,-0.0054
2000-05-25,55.0,55.81,56.69,54.06,4620000.0,-0.0331
2000-05-26,54.0,54.25,55.0,53.12,4000000.0,-0.0182
2000-05-30,53.38,53.06,54.12,52.69,4350000.0,-0.0115
2000-05-31,57.62,54.88,60.0,54.5,7660000.0,0.0794
2000-06-01,57.0,57.12,57.69,56.25,4790000.0,-0.0108
2000-06-02,59.06,58.88,60.06,58.06,7090000.0,0.0361
2000-06-05,59.31,59.31,59.75,58.75,4360000.0,0.0042
2000-06-06,58.25,58.81,58.81,57.75,4440000.0,-0.0179
2000-06-07,57.88,57.75,59.06,57.75,3420000.0,-0.0064
2000-06-08,56.88,57.81,58.0,56.31,3990000.0,-0.0173
2000-06-09,54.0,57.44,58.0,53.94,7280000.0,-0.0506
2000-06-12,52.75,54.0,54.38,51.81,8090000.0,-0.0231
2000-06-13,55.0,52.06,55.0,51.62,7710000.0,0.042699999999999995
2000-06-14,55.12,54.94,55.69,54.12,6690000.0,0.0022
2000-06-15,55.5,55.06,56.19,54.81,5680000.0,0.0069
2000-06-16,53.88,54.75,56.12,53.25,9570000.0,-0.0292
2000-06-19,54.38,53.69,55.0,52.81,6000000.0,0.009300000000000001
2000-06-20,54.5,54.25,54.69,53.12,6060000.0,0.0022
2000-06-21,53.94,54.56,54.56,53.38,4290000.0,-0.0103
2000-06-22,52.5,53.06,53.44,51.88,5670000.0,-0.026699999999999998
2000-06-23,53.75,53.69,54.44,52.88,6270000.0,0.023799999999999998
2000-06-26,53.75,54.19,54.69,53.75,3920000.0,0.0
2000-06-27,56.81,54.12,57.44,53.75,6550000.0,0.056900000000000006
2000-06-28,55.98,56.5,57.19,55.69,4820000.0,-0.0146
2000-06-29,54.12,55.31,55.38,53.56,5290000.0,-0.0332
2000-06-30,57.62,54.12,57.73,54.06,7620000.0,0.0647
2000-07-03,56.88,57.25,57.38,56.12,2580000.0,-0.0128
2000-07-05,57.0,57.31,57.94,56.56,5140000.0,0.0021
2000-07-06,57.5,57.94,58.44,56.81,5760000.0,0.0088
2000-07-07,61.56,57.94,62.06,57.31,10510000.0,0.0706
2000-07-10,61.25,61.38,62.94,60.69,8230000.0,-0.005
2000-07-11,62.0,61.06,62.75,60.81,5900000.0,0.012199999999999999
2000-07-12,61.0,62.06,62.19,60.62,5830000.0,-0.0161
2000-07-13,59.12,60.5,61.19,59.12,4300000.0,-0.0308
2000-07-14,59.5,59.81,60.94,59.38,4179999.9999999995,0.0064
2000-07-17,60.72,60.31,61.25,59.62,4610000.0,0.020499999999999997
2000-07-18,60.06,60.94,61.12,59.75,3590000.0,-0.0109
2000-07-19,60.0,60.19,60.5,59.38,3740000.0,-0.001
2000-07-20,60.0,59.94,60.81,59.56,4990000.0,0.0
2000-07-21,59.69,60.31,60.5,59.25,3910000.0,-0.0052
2000-07-24,57.44,59.0,59.19,57.19,5050000.0,-0.0377
2000-07-25,59.19,57.5,59.31,57.31,4120000.0,0.0305
2000-07-26,58.75,58.19,60.12,58.19,7320000.0,-0.0074
2000-07-27,60.06,59.38,60.31,59.0,4740000.0,0.0223
2000-07-28,58.69,59.81,59.94,57.25,5250000.0,-0.022799999999999997
2000-07-31,55.25,58.88,58.88,54.25,7530000.0,-0.058600000000000006
2000-08-01,54.5,54.0,54.94,53.0,9060000.0,-0.013600000000000001
2000-08-02,54.06,54.5,55.06,53.81,6730000.0,-0.008100000000000001
2000-08-03,53.88,56.5,56.5,53.44,8230000.0,-0.0033
2000-08-04,52.94,54.06,54.06,52.75,5840000.0,-0.0174
2000-08-07,55.12,53.12,55.94,53.0,5610000.0,0.0412
2000-08-08,57.62,56.44,57.62,55.06,5860000.0,0.0454
2000-08-09,53.62,54.06,54.75,52.94,17750000.0,-0.0694
2000-08-10,51.0,53.12,53.25,50.69,12380000.0,-0.0489
2000-08-11,52.12,51.44,52.38,51.12,7530000.0,0.022000000000000002
2000-08-14,52.88,52.25,53.06,52.12,6030000.0,0.0146
2000-08-15,51.56,51.88,52.56,51.25,7950000.0,-0.025
2000-08-16,49.94,50.75,50.88,48.75,13810000.0,-0.031400000000000004
2000-08-17,50.0,49.56,50.44,48.62,6800000.0,0.0012
2000-08-18,50.88,49.69,50.88,49.56,7350000.0,0.0176
2000-08-21,49.0,49.25,49.75,47.12,14150000.0,-0.0369
2000-08-22,49.12,49.0,50.0,48.56,7610000.0,0.0024
2000-08-23,49.12,49.75,50.19,49.06,6880000.0,0.0
2000-08-24,49.44,49.75,50.12,49.0,4970000.0,0.006500000000000001
2000-08-25,50.5,49.62,50.5,49.25,4880000.0,0.021400000000000002
2000-08-28,49.5,50.06,50.62,48.62,7000000.0,-0.019799999999999998
2000-08-29,49.44,49.5,49.94,48.88,5670000.0,-0.0012
2000-08-30,48.44,48.88,49.0,48.0,8160000.0,-0.0202
2000-08-31,47.62,48.31,48.75,47.12,12240000.0,-0.0169
2000-09-01,48.75,47.56,49.12,47.38,7660000.0,0.023700000000000002
2000-09-05,49.75,48.94,50.19,48.81,8029999.999999999,0.020499999999999997
2000-09-06,50.0,50.25,51.12,49.88,8310000.000000001,0.005
2000-09-07,51.0,51.19,52.06,50.5,8400000.0,0.02
2000-09-08,52.12,51.5,52.62,51.0,7380000.0,0.022000000000000002
2000-09-11,54.38,52.75,54.75,52.69,9840000.0,0.0434
2000-09-12,54.0,53.56,54.62,52.94,6350000.0,-0.006999999999999999
2000-09-13,53.88,54.25,54.44,53.0,4980000.0,-0.0022
2000-09-14,52.5,53.62,53.62,51.88,4710000.0,-0.0256
2000-09-15,52.0,52.31,52.94,51.44,8109999.999999999,-0.0095
2000-09-18,52.75,51.0,52.75,50.62,5210000.0,0.0144
2000-09-19,49.88,50.62,50.88,49.25,8570000.0,-0.054400000000000004
2000-09-20,48.5,49.94,50.0,48.06,9880000.0,-0.0277
2000-09-21,50.0,48.69,51.38,48.62,8650000.0,0.030899999999999997
2000-09-22,50.5,51.94,51.94,49.56,6730000.0,0.01
2000-09-25,49.0,50.62,50.69,48.94,5470000.0,-0.0297
2000-09-26,47.38,49.44,49.44,46.88,9410000.0,-0.0331
2000-09-27,48.12,47.62,48.38,47.12,7580000.0,0.015600000000000001
2000-09-28,48.56,48.44,49.88,48.0,8140000.000000001,0.0091
2000-09-29,48.12,48.5,49.5,48.0,7530000.0,-0.0091
2000-10-02,46.25,48.19,48.62,45.44,11170000.0,-0.038900000000000004
2000-10-03,45.81,46.19,46.38,44.12,16550000.0,-0.0095
2000-10-04,46.12,45.69,47.88,45.5,11090000.0,0.0068000000000000005
2000-10-05,46.06,46.38,46.75,45.75,8730000.0,-0.0013
2000-10-06,45.5,45.88,45.88,44.62,11160000.0,-0.012199999999999999
2000-10-09,45.12,45.69,46.44,45.12,6030000.0,-0.0084
2000-10-10,46.38,45.94,46.69,45.38,6680000.0,0.0279
2000-10-11,45.31,46.12,46.38,44.88,8430000.0,-0.0231
2000-10-12,44.12,42.0,44.69,41.44,19440000.0,-0.0263
2000-10-13,45.0,43.62,45.12,43.62,9360000.0,0.0199
2000-10-16,47.31,45.25,47.69,45.19,7100000.0,0.0513
2000-10-17,46.0,47.56,47.94,45.69,6270000.0,-0.0277
2000-10-18,46.75,45.94,47.0,44.88,6150000.0,0.0163
2000-10-19,47.81,46.56,47.94,46.12,6300000.0,0.0227
