Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,7.5,7.7,7.73,7.44,394800.0,-0.0183,DGX
2000-01-04,7.48,7.45,7.52,7.41,924400.0,-0.0027,DGX
2000-01-05,7.42,7.5,7.5,7.38,624000.0,-0.008,DGX
2000-01-06,7.45,7.39,7.45,7.28,450400.0,0.004,DGX
2000-01-07,7.75,7.45,7.77,7.42,1610000.0,0.0403,DGX
2000-01-10,7.89,7.77,8.11,7.77,620800.0,0.0181,DGX
2000-01-11,7.88,7.84,7.97,7.8,575600.0,-0.0013,DGX
2000-01-12,7.84,7.86,7.86,7.75,676800.0,-0.0051,DGX
2000-01-13,8.14,7.89,8.2,7.89,700000.0,0.0383,DGX
2000-01-14,7.78,8.16,8.16,7.78,244800.0,-0.044199999999999996,DGX
2000-01-18,7.92,7.75,7.94,7.73,485200.0,0.018000000000000002,DGX
2000-01-19,7.88,7.89,8.0,7.88,741600.0,-0.0051,DGX
2000-01-20,7.92,7.92,7.94,7.86,332000.0,0.0051,DGX
2000-01-21,7.92,7.84,7.95,7.84,960000.0,0.0,DGX
2000-01-24,7.94,7.91,7.97,7.91,371200.0,0.0025,DGX
2000-01-25,8.02,7.94,8.08,7.91,1640000.0,0.0101,DGX
2000-01-26,9.0,8.02,9.22,8.02,1580000.0,0.1222,DGX
2000-01-27,8.25,9.02,9.09,8.25,1390000.0,-0.0833,DGX
2000-01-28,8.41,8.31,8.61,8.31,1080000.0,0.0194,DGX
2000-01-31,8.5,8.45,8.53,8.45,600000.0,0.010700000000000001,DGX
2000-02-01,8.38,8.5,8.5,8.3,214000.0,-0.0141,DGX
2000-02-02,8.39,8.41,8.53,8.34,456000.0,0.0012,DGX
2000-02-03,8.61,8.5,8.72,8.48,496800.0,0.0262,DGX
2000-02-04,8.8,8.62,8.91,8.62,462000.0,0.022099999999999998,DGX
2000-02-07,8.86,8.77,8.89,8.77,767600.0,0.0068000000000000005,DGX
2000-02-08,8.94,8.86,8.94,8.86,434800.0,0.009000000000000001,DGX
2000-02-09,9.03,9.0,9.14,8.88,886400.0,0.0101,DGX
2000-02-10,9.09,9.12,9.16,9.05,394400.0,0.0066,DGX
2000-02-11,8.83,9.11,9.11,8.83,336800.0,-0.0286,DGX
2000-02-14,8.66,8.78,8.78,8.61,214400.0,-0.019299999999999998,DGX
2000-02-15,8.72,8.69,8.75,8.67,570000.0,0.0069,DGX
2000-02-16,8.8,8.73,8.81,8.73,1320000.0,0.0092,DGX
2000-02-17,8.83,8.86,9.06,8.83,857600.0,0.0034000000000000002,DGX
2000-02-18,8.64,8.86,8.86,8.62,187200.0,-0.0215,DGX
2000-02-22,8.81,8.64,8.81,8.59,204400.0,0.0197,DGX
2000-02-23,8.88,8.8,8.89,8.8,886400.0,0.0079,DGX
2000-02-24,8.77,8.84,8.97,8.77,372400.0,-0.0124,DGX
2000-02-25,8.75,8.73,8.83,8.69,910400.0,-0.0023,DGX
2000-02-28,8.53,8.77,8.77,8.52,228000.0,-0.025099999999999997,DGX
2000-02-29,8.58,8.55,8.58,8.44,379200.0,0.0059,DGX
2000-03-01,8.97,8.62,9.08,8.59,441200.0,0.0455,DGX
2000-03-02,9.0,9.03,9.05,8.91,241600.0,0.0033,DGX
2000-03-03,9.22,9.03,9.22,9.03,952000.0,0.024399999999999998,DGX
2000-03-06,9.64,9.62,10.09,9.62,976400.0,0.045599999999999995,DGX
2000-03-07,9.22,9.78,9.78,9.02,824400.0,-0.0436,DGX
2000-03-08,9.3,9.22,9.44,9.22,710000.0,0.0087,DGX
2000-03-09,9.39,9.27,9.41,9.27,510000.0,0.0097,DGX
2000-03-10,9.2,9.38,9.38,9.19,299200.0,-0.0202,DGX
2000-03-13,9.17,9.19,9.22,9.12,196400.0,-0.0033,DGX
