Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,3.65,3.81,3.81,3.62,840290.0,-0.042,DHI
2000-01-04,3.51,3.68,3.68,3.37,568780.0,-0.0384,DHI
2000-01-05,3.56,3.53,3.58,3.5,502360.0,0.014199999999999999,DHI
2000-01-06,3.37,3.55,3.55,3.37,2480000.0,-0.053399999999999996,DHI
2000-01-07,3.5,3.41,3.55,3.39,684930.0,0.038599999999999995,DHI
2000-01-10,3.56,3.5,3.56,3.43,581850.0,0.0171,DHI
2000-01-11,3.34,3.56,3.56,3.32,2930000.0,-0.061799999999999994,DHI
2000-01-12,3.31,3.34,3.37,3.29,1210000.0,-0.009000000000000001,DHI
2000-01-13,3.34,3.37,3.39,3.29,1180000.0,0.0091,DHI
2000-01-14,3.5,3.36,3.5,3.27,972050.0,0.0479,DHI
2000-01-18,3.32,3.34,3.36,3.27,883480.0,-0.051399999999999994,DHI
2000-01-19,3.24,3.37,3.37,3.2,783300.0,-0.0241,DHI
2000-01-20,3.24,3.27,3.27,3.13,1250000.0,0.0,DHI
2000-01-21,3.2,3.24,3.24,3.12,1130000.0,-0.0123,DHI
2000-01-24,3.2,3.32,3.34,3.17,1780000.0,0.0,DHI
2000-01-25,3.03,3.24,3.24,3.0,1070000.0,-0.053099999999999994,DHI
2000-01-26,3.08,3.06,3.17,3.06,1170000.0,0.0165,DHI
2000-01-27,3.12,3.1,3.2,3.1,1120000.0,0.013000000000000001,DHI
2000-01-28,3.06,3.1,3.13,3.06,1060000.0,-0.0192,DHI
2000-01-31,3.2,3.31,3.31,3.13,1480000.0,0.0458,DHI
2000-02-01,3.15,3.22,3.22,3.12,1030000.0,-0.015600000000000001,DHI
2000-02-02,3.2,3.27,3.27,3.15,1500000.0,0.0159,DHI
2000-02-03,3.36,3.22,3.43,3.22,2120000.0,0.05,DHI
2000-02-04,3.34,3.48,3.48,3.32,895820.0,-0.006,DHI
2000-02-07,3.39,3.41,3.41,3.34,1000000.0,0.015,DHI
2000-02-08,3.41,3.39,3.51,3.37,1260000.0,0.0059,DHI
2000-02-09,3.43,3.56,3.58,3.41,768050.0,0.0059,DHI
2000-02-10,3.41,3.67,3.67,3.39,1730000.0,-0.0058,DHI
2000-02-11,3.32,3.41,3.41,3.27,681300.0,-0.0264,DHI
2000-02-14,3.43,3.32,3.48,3.32,874410.0,0.0331,DHI
2000-02-15,3.43,3.44,3.48,3.37,1100000.0,0.0,DHI
2000-02-16,3.22,3.44,3.44,3.22,1050000.0,-0.061200000000000004,DHI
2000-02-17,3.27,3.36,3.43,3.27,1070000.0,0.0155,DHI
2000-02-18,3.27,3.22,3.29,3.06,1750000.0,0.0,DHI
2000-02-22,3.24,3.27,3.27,3.12,818870.0,-0.0092,DHI
2000-02-23,3.15,3.19,3.24,3.1,690010.0,-0.0278,DHI
2000-02-24,3.08,3.13,3.19,3.06,626860.0,-0.0222,DHI
2000-02-25,3.1,3.15,3.15,3.1,1210000.0,0.006500000000000001,DHI
2000-02-28,3.12,3.1,3.17,3.06,581490.0,0.006500000000000001,DHI
2000-02-29,3.1,3.12,3.13,3.06,821050.0,-0.0064,DHI
2000-03-01,3.32,3.13,3.32,3.13,1350000.0,0.071,DHI
2000-03-02,3.32,3.31,3.34,3.29,978220.0,0.0,DHI
2000-03-03,3.34,3.32,3.44,3.31,670780.0,0.006,DHI
2000-03-06,3.27,3.34,3.36,3.19,303080.0,-0.021,DHI
2000-03-07,3.12,3.24,3.25,3.12,831210.0,-0.045899999999999996,DHI
2000-03-08,3.15,3.1,3.19,3.1,743740.0,0.0096,DHI
2000-03-09,3.29,3.19,3.29,3.17,467150.0,0.0444,DHI
2000-03-10,3.19,3.24,3.25,3.15,473320.0,-0.0304,DHI
2000-03-13,3.19,3.13,3.31,3.13,618870.0,0.0,DHI
2000-03-14,3.1,3.25,3.25,3.1,1320000.0,-0.0282,DHI
2000-03-15,3.32,3.12,3.44,3.12,817060.0,0.071,DHI
2000-03-16,3.79,3.48,3.87,3.48,3460000.0,0.1416,DHI
2000-03-17,3.68,3.7,3.77,3.65,958980.0,-0.028999999999999998,DHI
2000-03-20,3.72,3.7,3.79,3.68,554990.0,0.0109,DHI
2000-03-21,3.68,3.65,3.7,3.58,888920.0,-0.0108,DHI
2000-03-22,3.62,3.7,3.72,3.53,964790.0,-0.0163,DHI
2000-03-23,3.75,3.63,3.86,3.62,1300000.0,0.0359,DHI
2000-03-24,3.7,3.79,3.86,3.7,672590.0,-0.013300000000000001,DHI
2000-03-27,3.65,3.7,3.72,3.58,899810.0,-0.013500000000000002,DHI
2000-03-28,3.58,3.55,3.63,3.51,596730.0,-0.0192,DHI
2000-03-29,3.51,3.58,3.65,3.46,1020000.0,-0.0196,DHI
2000-03-30,3.68,3.5,3.86,3.46,2910000.0,0.0484,DHI
2000-03-31,3.6,3.58,3.63,3.56,827580.0,-0.0217,DHI
2000-04-03,3.65,3.56,3.7,3.55,839920.0,0.0139,DHI
2000-04-04,3.58,3.62,3.7,3.44,1190000.0,-0.0192,DHI
2000-04-05,3.58,3.5,3.81,3.48,1650000.0,0.0,DHI
2000-04-06,3.68,3.65,3.72,3.58,523770.0,0.0279,DHI
2000-04-07,3.74,3.7,3.84,3.7,944100.0,0.0163,DHI
2000-04-10,3.63,3.72,3.84,3.62,628310.0,-0.0294,DHI
2000-04-11,3.62,3.6,3.7,3.58,409070.0,-0.0028000000000000004,DHI
2000-04-12,3.7,3.62,3.77,3.6,875490.0,0.022099999999999998,DHI
2000-04-13,3.77,3.67,3.77,3.63,1710000.0,0.0189,DHI
2000-04-14,3.48,3.63,3.67,3.41,1470000.0,-0.07690000000000001,DHI
2000-04-17,3.37,3.44,3.44,3.36,1300000.0,-0.0316,DHI
2000-04-18,3.51,3.39,3.56,3.37,1030000.0,0.0415,DHI
2000-04-19,3.51,3.51,3.53,3.41,405080.0,0.0,DHI
2000-04-20,3.36,3.51,3.51,3.36,611980.0,-0.042699999999999995,DHI
2000-04-24,3.53,3.41,3.58,3.39,1030000.0,0.0506,DHI
2000-04-25,3.6,3.55,3.7,3.5,1020000.0,0.019799999999999998,DHI
2000-04-26,3.63,3.6,3.68,3.6,757170.0,0.0083,DHI
2000-04-27,3.65,3.63,3.67,3.58,671140.0,0.0055000000000000005,DHI
2000-04-28,3.56,3.67,3.67,3.48,565510.0,-0.024700000000000003,DHI
2000-05-01,3.58,3.63,3.63,3.56,1170000.0,0.005600000000000001,DHI
2000-05-02,3.62,3.58,3.75,3.56,1050000.0,0.011200000000000002,DHI
2000-05-03,3.53,3.63,3.68,3.5,687840.0,-0.024900000000000002,DHI
2000-05-04,3.63,3.56,3.63,3.56,532850.0,0.028300000000000002,DHI
2000-05-05,3.86,3.7,3.86,3.63,2370000.0,0.0634,DHI
2000-05-08,3.79,3.93,3.93,3.74,830490.0,-0.0181,DHI
2000-05-09,3.91,3.75,4.03,3.75,999630.0,0.0317,DHI
2000-05-10,3.68,3.93,3.96,3.67,427950.0,-0.0588,DHI
2000-05-11,3.81,3.7,3.81,3.67,457350.0,0.0353,DHI
2000-05-12,3.94,3.77,3.99,3.77,815600.0,0.0341,DHI
2000-05-15,3.91,3.93,3.96,3.87,303810.0,-0.0076,DHI
2000-05-16,3.96,3.98,4.01,3.91,500180.0,0.0128,DHI
2000-05-17,3.82,3.94,3.99,3.77,634120.0,-0.0354,DHI
2000-05-18,3.68,3.79,3.82,3.68,476590.0,-0.0366,DHI
2000-05-19,3.56,3.68,3.72,3.55,779310.0,-0.0326,DHI
2000-05-22,3.53,3.48,3.58,3.46,845000.0,-0.0084,DHI
2000-05-23,3.5,3.5,3.6,3.48,689650.0,-0.0085,DHI
2000-05-24,3.58,3.5,3.58,3.48,545190.0,0.0229,DHI
2000-05-25,3.62,3.56,3.65,3.56,468960.0,0.011200000000000002,DHI
2000-05-26,3.62,3.62,3.62,3.51,740470.0,0.0,DHI
2000-05-30,3.65,3.58,3.67,3.58,353540.0,0.0083,DHI
2000-05-31,3.6,3.62,3.65,3.58,403990.0,-0.0137,DHI
2000-06-01,3.62,3.58,3.67,3.58,554990.0,0.005600000000000001,DHI
2000-06-02,3.87,3.77,3.87,3.74,857710.0,0.0691,DHI
2000-06-05,3.77,3.86,3.87,3.72,386210.0,-0.0258,DHI
2000-06-06,3.81,3.77,3.84,3.77,284210.0,0.0106,DHI
2000-06-07,3.77,3.75,3.77,3.7,382210.0,-0.0105,DHI
2000-06-08,3.75,3.75,3.77,3.75,333940.0,-0.0053,DHI
2000-06-09,3.79,3.79,3.82,3.75,124140.0,0.010700000000000001,DHI
2000-06-12,3.65,3.79,3.84,3.63,774950.0,-0.0369,DHI
2000-06-13,3.72,3.62,3.72,3.62,445730.0,0.0192,DHI
2000-06-14,3.74,3.75,3.77,3.72,282390.0,0.0054,DHI
2000-06-15,3.67,3.67,3.72,3.62,741920.0,-0.0187,DHI
2000-06-16,3.79,3.7,3.81,3.67,830850.0,0.0327,DHI
2000-06-19,3.79,3.79,3.81,3.72,271140.0,0.0,DHI
2000-06-20,3.68,3.79,3.79,3.67,445370.0,-0.028999999999999998,DHI
2000-06-21,3.72,3.77,3.77,3.68,786570.0,0.0109,DHI
2000-06-22,3.65,3.74,3.74,3.65,393460.0,-0.018799999999999997,DHI
2000-06-23,3.62,3.63,3.65,3.58,747730.0,-0.008199999999999999,DHI
2000-06-26,3.68,3.65,3.72,3.65,321960.0,0.0166,DHI
2000-06-27,3.81,3.68,3.84,3.67,471870.0,0.0353,DHI
2000-06-28,3.77,3.81,3.82,3.77,399270.0,-0.0105,DHI
2000-06-29,3.86,3.75,3.96,3.75,682760.0,0.0239,DHI
2000-06-30,3.74,3.91,3.99,3.74,1820000.0,-0.0311,DHI
2000-07-03,3.93,3.79,3.94,3.79,236660.0,0.0508,DHI
2000-07-05,4.06,3.94,4.08,3.91,1030000.0,0.0331,DHI
2000-07-06,4.13,4.08,4.15,4.08,870410.0,0.0172,DHI
2000-07-07,4.1,4.15,4.2,4.05,645730.0,-0.0073,DHI
2000-07-10,4.12,4.01,4.13,3.89,1100000.0,0.0049,DHI
2000-07-11,3.96,3.98,4.03,3.93,533570.0,-0.0388,DHI
2000-07-12,4.06,3.98,4.1,3.96,752080.0,0.0253,DHI
