Date,Close,Open,High,Low,Volume,Change,Symbol
2008-09-18,8.0,6.4,9.25,6.4,11600000.0,-0.6825,DISCK
2008-09-19,8.35,7.62,10.0,7.62,1530000.0,0.0438,DISCK
2008-09-22,8.44,8.44,8.52,7.8,3420000.0,0.0108,DISCK
2008-09-23,8.31,8.26,8.71,8.0,1830000.0,-0.0154,DISCK
2008-09-24,7.92,8.11,8.5,7.58,1490000.0,-0.046900000000000004,DISCK
2008-09-25,8.04,7.91,8.47,7.55,2780000.0,0.0152,DISCK
2008-09-26,7.75,7.75,8.0,7.66,1330000.0,-0.0361,DISCK
2008-09-29,7.31,7.51,7.67,6.54,3590000.0,-0.056799999999999996,DISCK
2008-09-30,7.08,6.85,7.25,6.76,3070000.0,-0.0315,DISCK
2008-10-01,7.16,6.58,7.16,6.58,2560000.0,0.0113,DISCK
2008-10-02,6.7,7.07,7.15,6.5,2460000.0,-0.0642,DISCK
2008-10-03,6.5,6.67,6.82,6.28,3080000.0,-0.029900000000000003,DISCK
2008-10-06,6.23,6.18,6.47,5.78,2270000.0,-0.0415,DISCK
2008-10-07,5.9,6.38,6.61,5.68,2860000.0,-0.053,DISCK
2008-10-08,5.61,4.39,5.88,4.39,2800000.0,-0.0492,DISCK
2008-10-09,5.44,5.75,6.0,5.2,1760000.0,-0.030299999999999997,DISCK
2008-10-10,5.22,4.5,5.57,4.25,2020000.0,-0.0404,DISCK
2008-10-13,6.12,5.03,6.21,5.03,1230000.0,0.1724,DISCK
2008-10-14,6.55,5.17,6.58,5.07,2460000.0,0.0703,DISCK
2008-10-15,6.13,6.75,6.81,5.88,1320000.0,-0.0641,DISCK
2008-10-16,5.95,6.25,6.75,5.05,2500000.0,-0.0294,DISCK
2008-10-17,6.2,5.88,6.8,5.49,1280000.0,0.042,DISCK
2008-10-20,6.37,6.17,6.41,6.07,1130000.0,0.0274,DISCK
2008-10-21,6.28,6.17,6.54,6.07,1560000.0,-0.0141,DISCK
2008-10-22,5.9,6.03,6.25,5.75,1930000.0,-0.0605,DISCK
2008-10-23,5.69,5.96,6.07,5.19,1870000.0,-0.0356,DISCK
2008-10-24,4.89,5.01,5.18,4.62,1790000.0,-0.1406,DISCK
2008-10-27,5.0,4.88,5.28,4.79,1890000.0,0.0225,DISCK
