Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,42.84,45.57,45.91,41.07,4610000.0,-0.023700000000000002,DISH
2000-01-04,41.27,41.07,43.38,40.06,3980000.0,-0.0366,DISH
2000-01-05,41.13,40.61,42.08,36.01,5240000.0,-0.0034000000000000002,DISH
2000-01-06,36.99,40.76,40.76,36.96,6460000.0,-0.1007,DISH
2000-01-07,38.43,36.29,39.55,36.06,4480000.0,0.038900000000000004,DISH
2000-01-10,39.8,39.44,41.18,39.44,3450000.0,0.0356,DISH
2000-01-11,37.69,40.03,41.01,37.38,2590000.0,-0.053,DISH
2000-01-12,38.12,38.37,39.49,37.24,2280000.0,0.011399999999999999,DISH
2000-01-13,40.03,38.59,40.06,38.12,1900000.0,0.0501,DISH
2000-01-14,40.62,40.51,42.28,40.39,2190000.0,0.0147,DISH
2000-01-18,41.27,39.94,41.41,39.16,1390000.0,0.016,DISH
2000-01-19,41.52,41.29,42.31,40.06,1400000.0,0.0060999999999999995,DISH
2000-01-20,42.9,41.86,44.39,40.96,3310000.0,0.0332,DISH
2000-01-21,43.32,42.65,43.77,42.14,3160000.0,0.0098,DISH
2000-01-24,43.15,43.38,47.01,42.76,5550000.0,-0.0039000000000000003,DISH
2000-01-25,42.67,43.35,43.71,41.07,3530000.0,-0.0111,DISH
2000-01-26,40.54,42.84,42.87,40.45,1690000.0,-0.0499,DISH
2000-01-27,40.68,41.91,42.14,39.21,1920000.0,0.0034999999999999996,DISH
2000-01-28,37.89,40.06,41.29,37.36,3570000.0,-0.06860000000000001,DISH
2000-01-31,36.65,37.13,37.75,34.63,5930000.0,-0.0327,DISH
2000-02-01,38.93,37.58,39.58,37.41,5740000.0,0.0622,DISH
2000-02-02,38.85,39.44,39.52,38.71,3060000.0,-0.0021,DISH
2000-02-03,38.37,39.19,39.27,37.24,3950000.0,-0.0124,DISH
2000-02-04,37.1,38.37,38.37,36.68,3960000.0,-0.0331,DISH
2000-02-07,39.24,37.36,39.61,37.22,2340000.0,0.057699999999999994,DISH
2000-02-08,41.66,39.78,42.14,39.75,3900000.0,0.0617,DISH
2000-02-09,40.62,41.91,42.08,40.54,3090000.0,-0.025,DISH
2000-02-10,41.94,40.14,42.28,40.14,1750000.0,0.0325,DISH
2000-02-11,40.23,41.86,41.97,39.66,1520000.0,-0.0408,DISH
2000-02-14,40.28,40.34,40.79,38.88,1490000.0,0.0012,DISH
2000-02-15,40.11,40.34,41.38,39.44,2190000.0,-0.0042,DISH
2000-02-16,41.15,39.83,41.55,39.72,2720000.0,0.0259,DISH
2000-02-17,42.76,40.96,43.21,40.06,2940000.0,0.0391,DISH
2000-02-18,42.36,43.18,43.57,42.0,2530000.0,-0.009399999999999999,DISH
2000-02-22,45.01,42.67,45.4,42.08,5560000.0,0.0626,DISH
2000-02-23,54.38,46.75,57.39,46.75,14630000.0,0.2082,DISH
2000-02-24,51.37,54.23,54.23,49.51,5070000.0,-0.0554,DISH
2000-02-25,49.28,51.65,51.7,48.61,3650000.0,-0.0407,DISH
2000-02-28,50.3,50.58,52.66,49.68,5460000.0,0.0207,DISH
2000-02-29,51.31,51.03,51.93,49.73,3360000.0,0.020099999999999996,DISH
2000-03-01,51.73,52.77,52.88,50.63,3160000.0,0.008199999999999999,DISH
2000-03-02,50.58,51.84,51.9,49.9,2360000.0,-0.0222,DISH
2000-03-03,54.66,50.86,55.53,50.69,6370000.0,0.08070000000000001,DISH
2000-03-06,52.29,54.85,54.85,51.31,3660000.0,-0.0434,DISH
2000-03-07,54.68,53.62,57.1,52.77,4320000.0,0.045700000000000005,DISH
2000-03-08,57.33,55.3,57.5,53.45,3410000.0,0.048499999999999995,DISH
2000-03-09,58.65,58.51,61.01,57.39,4500000.0,0.023,DISH
2000-03-10,62.11,59.86,65.04,59.86,2840000.0,0.059000000000000004,DISH
2000-03-13,57.78,57.84,62.34,54.68,4950000.0,-0.0697,DISH
2000-03-14,55.83,58.77,60.2,55.33,4320000.0,-0.0337,DISH
2000-03-15,52.88,56.03,56.03,51.76,2970000.0,-0.0528,DISH
2000-03-16,55.7,54.57,56.43,49.73,5290000.0,0.0533,DISH
2000-03-17,54.49,55.56,55.7,53.84,2200000.0,-0.0217,DISH
2000-03-20,54.12,54.46,55.81,53.56,4000000.0,-0.0068000000000000005,DISH
2000-03-21,54.07,55.53,55.53,51.53,4360000.0,-0.0009,DISH
2000-03-22,56.34,54.57,58.34,54.57,6770000.0,0.042,DISH
2000-03-23,65.54,57.95,66.11,56.71,5510000.0,0.16329999999999997,DISH
2000-03-24,68.52,66.95,70.61,66.67,4830000.0,0.0455,DISH
2000-03-27,69.26,71.17,73.14,67.96,3200000.0,0.0108,DISH
2000-03-28,64.81,68.86,69.2,64.47,2160000.0,-0.0643,DISH
2000-03-29,63.4,64.81,67.06,63.07,2410000.0,-0.0218,DISH
2000-03-30,62.22,59.52,66.61,59.41,2670000.0,-0.018600000000000002,DISH
2000-03-31,71.11,63.8,72.01,59.86,2400000.0,0.1429,DISH
2000-04-03,66.78,68.92,69.31,63.46,3440000.0,-0.060899999999999996,DISH
2000-04-04,61.55,67.68,68.36,47.48,8189999.999999999,-0.0783,DISH
2000-04-05,57.33,58.29,59.86,55.08,4830000.0,-0.06860000000000001,DISH
2000-04-06,61.6,59.75,62.79,58.74,3080000.0,0.0745,DISH
2000-04-07,65.6,63.91,65.6,61.66,1810000.0,0.0649,DISH
2000-04-10,57.5,64.25,65.15,57.39,2750000.0,-0.1235,DISH
2000-04-11,54.74,55.75,56.26,49.51,4860000.0,-0.048,DISH
2000-04-12,45.85,53.22,55.58,42.31,8870000.0,-0.1624,DISH
2000-04-13,47.65,46.86,51.65,43.88,4230000.0,0.0393,DISH
2000-04-14,38.54,45.01,46.47,37.24,6980000.0,-0.1912,DISH
2000-04-17,46.25,34.66,46.98,34.09,7370000.0,0.20010000000000003,DISH
2000-04-18,52.04,47.2,52.66,45.12,5250000.0,0.1252,DISH
2000-04-19,47.2,52.21,53.0,46.81,4260000.0,-0.09300000000000001,DISH
2000-04-20,44.5,48.61,48.61,42.65,3750000.0,-0.0572,DISH
2000-04-24,45.85,41.86,46.13,40.51,3040000.0,0.030299999999999997,DISH
2000-04-25,52.55,48.5,52.77,46.81,3880000.0,0.1461,DISH
2000-04-26,51.7,53.28,54.01,49.57,3220000.0,-0.016200000000000003,DISH
2000-04-27,55.47,45.46,57.05,45.23,5790000.0,0.0729,DISH
2000-04-28,57.33,56.37,58.29,53.22,2510000.0,0.0335,DISH
2000-05-01,55.92,58.4,58.51,53.78,3990000.0,-0.0246,DISH
2000-05-02,51.87,55.81,55.81,51.87,2600000.0,-0.0724,DISH
2000-05-03,50.07,51.48,54.01,48.5,2420000.0,-0.0347,DISH
2000-05-04,48.78,50.75,50.75,48.16,2490000.0,-0.0258,DISH
2000-05-05,48.72,48.55,50.35,47.26,1590000.0,-0.0012,DISH
2000-05-08,47.03,47.93,48.72,46.13,1510000.0,-0.0347,DISH
2000-05-09,44.22,45.46,45.8,41.86,4820000.0,-0.059699999999999996,DISH
2000-05-10,39.16,42.65,43.43,38.26,4330000.0,-0.1144,DISH
2000-05-11,43.66,39.27,44.0,39.04,2310000.0,0.1149,DISH
2000-05-12,40.84,44.0,45.29,40.28,2270000.0,-0.0646,DISH
2000-05-15,44.33,40.84,44.39,40.73,1630000.0,0.0855,DISH
2000-05-16,44.78,45.91,46.7,44.11,2550000.0,0.0102,DISH
2000-05-17,41.97,43.55,44.33,40.96,2160000.0,-0.06280000000000001,DISH
2000-05-18,41.46,42.36,42.59,41.18,1370000.0,-0.012199999999999999,DISH
2000-05-19,38.09,39.59,40.56,37.13,4150000.0000000005,-0.08130000000000001,DISH
2000-05-22,41.86,39.83,42.87,37.58,5690000.0,0.099,DISH
2000-05-23,37.75,41.18,42.31,37.75,2140000.0,-0.09820000000000001,DISH
2000-05-24,34.82,37.81,38.03,30.77,9730000.0,-0.0776,DISH
2000-05-25,32.52,36.46,38.26,32.52,5680000.0,-0.0661,DISH
2000-05-26,34.82,34.09,35.44,32.41,2520000.0,0.0707,DISH
2000-05-30,39.1,36.12,39.61,34.09,2920000.0,0.1229,DISH
2000-05-31,35.95,37.92,40.17,35.56,3920000.0,-0.0806,DISH
2000-06-01,36.01,37.13,37.3,35.56,5040000.0,0.0017000000000000001,DISH
2000-06-02,42.31,38.26,42.31,38.03,5320000.0,0.175,DISH
2000-06-05,38.2,41.35,41.97,37.92,4090000.0,-0.0971,DISH
2000-06-06,34.37,39.33,39.61,33.98,7640000.0,-0.1003,DISH
2000-06-07,33.31,35.33,35.89,32.24,7490000.0,-0.0308,DISH
2000-06-08,34.32,35.11,36.01,33.92,9700000.0,0.030299999999999997,DISH
2000-06-09,34.54,35.78,35.89,33.81,3830000.0,0.0064,DISH
2000-06-12,31.17,34.66,34.99,30.83,6870000.0,-0.09759999999999999,DISH
2000-06-13,31.51,31.67,32.29,31.17,7230000.0,0.0109,DISH
2000-06-14,33.92,32.12,34.66,31.62,7150000.0,0.0765,DISH
