Date,Close,Open,High,Low,Volume,Change,Symbol
2004-07-14,13.44,13.5,13.55,12.91,2800000.0,-0.0044,DPZ
2004-07-15,13.84,13.45,13.85,13.35,1280000.0,0.0298,DPZ
2004-07-16,13.83,13.87,13.9,13.51,1490000.0,-0.0007000000000000001,DPZ
2004-07-19,13.52,13.8,13.8,13.35,966200.0,-0.022400000000000003,DPZ
2004-07-20,13.93,13.52,13.93,13.41,721000.0,0.030299999999999997,DPZ
2004-07-21,13.6,13.94,13.94,13.5,472300.0,-0.023700000000000002,DPZ
2004-07-22,13.6,13.6,13.65,13.33,218500.0,0.0,DPZ
2004-07-23,13.56,13.4,13.62,13.4,268500.0,-0.0029,DPZ
2004-07-26,13.2,13.5,13.5,13.05,236200.0,-0.0265,DPZ
2004-07-27,12.75,13.2,13.2,12.4,2670000.0,-0.0341,DPZ
2004-07-28,13.03,12.85,13.12,12.84,1030000.0,0.022000000000000002,DPZ
2004-07-29,13.78,13.1,13.78,13.1,1020000.0,0.0576,DPZ
2004-07-30,13.9,13.72,13.9,13.55,623000.0,0.0087,DPZ
2004-08-02,13.7,13.8,13.8,13.55,355500.0,-0.0144,DPZ
2004-08-03,13.94,13.7,14.08,13.7,1560000.0,0.0175,DPZ
2004-08-04,13.9,14.04,14.04,13.88,156300.0,-0.0029,DPZ
2004-08-05,13.89,13.94,14.0,13.86,188100.0,-0.0007000000000000001,DPZ
2004-08-06,13.8,13.82,14.0,13.7,276300.0,-0.006500000000000001,DPZ
2004-08-09,13.7,13.8,13.8,13.5,212100.0,-0.0072,DPZ
2004-08-10,13.79,13.7,13.85,13.65,272400.0,0.0066,DPZ
2004-08-11,13.7,13.8,13.88,13.6,166800.0,-0.006500000000000001,DPZ
2004-08-12,13.63,13.65,13.75,13.58,284700.0,-0.0051,DPZ
2004-08-13,13.4,13.68,13.7,13.35,104900.0,-0.0169,DPZ
2004-08-16,13.48,13.4,13.55,13.4,86400.0,0.006,DPZ
2004-08-17,13.45,13.4,13.65,13.25,161100.0,-0.0022,DPZ
2004-08-18,13.61,13.52,13.64,13.35,43000.0,0.011899999999999999,DPZ
2004-08-19,13.3,13.6,13.6,12.75,124100.0,-0.022799999999999997,DPZ
2004-08-20,13.64,13.25,13.64,13.1,112300.0,0.0256,DPZ
2004-08-23,13.85,13.7,13.91,13.6,442900.0,0.0154,DPZ
2004-08-24,13.8,13.75,13.8,13.45,607400.0,-0.0036,DPZ
2004-08-25,13.8,13.8,13.89,13.51,307300.0,0.0,DPZ
2004-08-26,13.7,13.9,13.9,13.7,104300.0,-0.0072,DPZ
2004-08-27,14.04,13.75,14.08,13.75,880600.0,0.0248,DPZ
2004-08-30,14.02,14.0,14.15,13.9,265000.0,-0.0014000000000000002,DPZ
2004-08-31,14.25,13.95,14.25,13.95,401800.0,0.016399999999999998,DPZ
2004-09-01,14.45,14.25,14.59,14.25,421400.0,0.013999999999999999,DPZ
2004-09-02,14.3,14.5,14.5,14.15,273800.0,-0.0104,DPZ
2004-09-03,14.0,14.05,14.2,13.75,310100.0,-0.021,DPZ
2004-09-07,13.87,14.0,14.05,13.65,329000.0,-0.009300000000000001,DPZ
2004-09-08,13.79,13.77,13.87,13.7,178000.0,-0.0058,DPZ
2004-09-09,13.78,13.69,13.95,13.69,163500.0,-0.0007000000000000001,DPZ
2004-09-10,14.37,14.15,14.37,13.9,1070000.0,0.042800000000000005,DPZ
2004-09-13,14.35,14.3,14.5,14.27,394400.0,-0.0014000000000000002,DPZ
2004-09-14,14.83,14.44,14.9,14.28,500500.0,0.0334,DPZ
2004-09-15,15.22,15.0,15.37,14.9,1050000.0,0.0263,DPZ
