Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,18.81,18.93,18.93,17.94,297800.0,-0.0254,DRE
2000-01-04,18.69,18.62,18.69,18.38,621800.0,-0.0064,DRE
2000-01-05,18.75,18.62,18.87,18.56,439900.0,0.0032,DRE
2000-01-06,19.18,18.69,19.3,18.69,593400.0,0.0229,DRE
2000-01-07,19.55,19.24,19.8,19.18,334800.0,0.019299999999999998,DRE
2000-01-10,19.68,19.68,19.74,19.43,278200.0,0.0066,DRE
2000-01-11,19.49,19.92,19.92,19.49,243100.0,-0.0097,DRE
2000-01-12,19.3,19.55,19.61,19.3,151100.0,-0.0097,DRE
2000-01-13,19.37,19.49,19.49,19.3,134700.0,0.0036,DRE
2000-01-14,19.3,19.37,19.49,19.24,246200.0,-0.0036,DRE
2000-01-18,19.43,19.18,19.49,19.18,235600.0,0.0067,DRE
2000-01-19,19.68,19.49,19.68,19.37,350100.0,0.0129,DRE
2000-01-20,19.68,19.68,19.74,19.37,161400.0,0.0,DRE
2000-01-21,20.29,19.68,20.54,19.43,325700.0,0.031,DRE
2000-01-24,19.8,20.29,20.36,19.8,226200.0,-0.0241,DRE
2000-01-25,19.86,19.8,19.92,19.61,257700.0,0.003,DRE
2000-01-26,19.61,19.8,19.8,19.43,272900.0,-0.0126,DRE
2000-01-27,19.43,19.55,19.61,19.3,227100.0,-0.0092,DRE
2000-01-28,19.49,19.49,19.55,19.3,169000.0,0.0031,DRE
2000-01-31,19.61,19.61,19.86,19.43,183000.0,0.0062,DRE
2000-02-01,19.8,19.61,19.86,19.61,150100.0,0.0097,DRE
2000-02-02,19.86,19.98,20.17,19.8,263100.0,0.003,DRE
2000-02-03,20.05,19.74,20.17,19.74,116700.0,0.0096,DRE
2000-02-04,19.92,19.86,19.98,19.8,113500.0,-0.006500000000000001,DRE
2000-02-07,19.92,19.68,20.05,19.68,248900.0,0.0,DRE
2000-02-08,19.92,19.98,20.05,19.92,208100.0,0.0,DRE
2000-02-09,19.55,19.74,19.8,19.49,294600.0,-0.018600000000000002,DRE
2000-02-10,19.37,19.3,19.49,19.3,201600.0,-0.0092,DRE
2000-02-11,19.3,19.37,19.86,19.3,5820000.0,-0.0036,DRE
2000-02-14,18.93,18.31,19.18,18.31,336100.0,-0.0192,DRE
2000-02-15,18.75,19.12,19.18,18.56,431100.0,-0.0095,DRE
2000-02-16,18.99,18.93,19.3,18.81,140700.0,0.0128,DRE
2000-02-17,19.12,19.06,19.61,18.93,212000.0,0.0068000000000000005,DRE
2000-02-18,18.93,19.06,19.12,18.81,196800.0,-0.009899999999999999,DRE
2000-02-22,18.62,18.69,18.99,18.5,209400.0,-0.016399999999999998,DRE
2000-02-23,18.62,18.5,18.75,18.5,153300.0,0.0,DRE
2000-02-24,18.56,18.5,18.69,18.44,149200.0,-0.0032,DRE
2000-02-25,18.38,18.56,18.56,18.31,118500.0,-0.0097,DRE
2000-02-28,18.19,17.88,18.44,17.88,267400.0,-0.0103,DRE
2000-02-29,18.19,18.19,18.25,18.0,373900.0,0.0,DRE
2000-03-01,18.38,18.19,18.44,18.13,350500.0,0.0104,DRE
2000-03-02,18.31,18.31,18.44,18.0,193200.0,-0.0038,DRE
2000-03-03,18.07,18.13,18.38,18.0,444000.0,-0.0131,DRE
2000-03-06,18.13,18.13,18.25,17.94,119300.0,0.0033,DRE
2000-03-07,17.82,17.94,18.07,17.7,613400.0,-0.0171,DRE
2000-03-08,17.76,17.82,18.13,17.7,227500.0,-0.0034000000000000002,DRE
2000-03-09,17.82,17.76,17.94,17.7,126900.0,0.0034000000000000002,DRE
2000-03-10,17.82,17.88,17.94,17.7,107200.0,0.0,DRE
2000-03-13,17.76,17.76,17.82,17.57,174400.0,-0.0034000000000000002,DRE
2000-03-14,17.7,17.82,17.94,17.57,215400.0,-0.0034000000000000002,DRE
2000-03-15,17.82,17.7,17.82,17.57,317600.0,0.0068000000000000005,DRE
2000-03-16,18.07,17.82,18.31,17.7,537900.0,0.013999999999999999,DRE
2000-03-17,17.76,18.19,18.31,17.76,446800.0,-0.0172,DRE
2000-03-20,18.0,17.88,18.31,17.82,232100.0,0.013500000000000002,DRE
2000-03-21,18.25,17.88,18.44,17.82,504700.0,0.0139,DRE
2000-03-22,18.31,18.38,18.56,18.13,370600.0,0.0033,DRE
2000-03-23,18.38,18.31,18.5,18.07,259200.0,0.0038,DRE
2000-03-24,18.38,18.19,18.44,18.13,280800.0,0.0,DRE
2000-03-27,18.07,18.25,18.5,17.94,393400.0,-0.0169,DRE
2000-03-28,17.94,18.07,18.31,17.88,384900.0,-0.0072,DRE
2000-03-29,18.25,18.19,18.31,17.94,261100.00000000003,0.0173,DRE
2000-03-30,18.38,18.31,18.56,18.19,383800.0,0.0070999999999999995,DRE
2000-03-31,18.93,18.38,18.93,18.31,423200.0,0.029900000000000003,DRE
2000-04-03,18.75,18.81,18.99,18.44,474200.0,-0.0095,DRE
2000-04-04,18.69,18.75,18.87,18.56,208500.0,-0.0032,DRE
2000-04-05,18.99,18.56,18.99,18.38,258800.0,0.0161,DRE
2000-04-06,19.06,18.99,19.18,18.69,428200.0,0.0037,DRE
2000-04-07,19.43,18.99,19.55,18.93,619200.0,0.0194,DRE
2000-04-10,19.61,19.3,19.74,19.24,591800.0,0.009300000000000001,DRE
