Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,39.29,39.76,39.79,37.5,1190000.0,-0.014499999999999999,DXC
2000-01-04,39.02,38.58,39.71,38.08,1730000.0,-0.0069,DXC
2000-01-05,36.28,32.55,36.71,32.55,4330000.0,-0.0702,DXC
2000-01-06,36.81,36.5,37.5,35.86,1420000.0,0.0146,DXC
2000-01-07,36.73,37.05,37.05,35.81,1100000.0,-0.0022,DXC
2000-01-10,38.76,36.79,39.02,36.79,978900.0,0.0553,DXC
2000-01-11,38.0,39.18,39.5,37.6,832600.0,-0.0196,DXC
2000-01-12,38.0,37.92,38.05,36.81,600900.0,0.0,DXC
2000-01-13,38.73,38.1,38.73,37.89,516400.0,0.0192,DXC
2000-01-14,39.29,38.84,40.0,38.81,853000.0,0.014499999999999999,DXC
2000-01-18,38.47,38.92,39.52,38.47,444500.0,-0.0209,DXC
2000-01-19,38.26,38.1,38.68,37.84,653900.0,-0.0055000000000000005,DXC
2000-01-20,36.86,38.37,38.6,35.44,1400000.0,-0.0366,DXC
2000-01-21,37.63,37.5,38.52,37.29,966600.0,0.0209,DXC
2000-01-24,37.55,37.65,38.47,37.34,541600.0,-0.0021,DXC
2000-01-25,37.39,37.47,37.47,36.31,624100.0,-0.0043,DXC
2000-01-26,37.05,37.39,38.31,36.73,859400.0,-0.0091,DXC
2000-01-27,37.73,37.05,38.26,37.02,912000.0,0.0184,DXC
2000-01-28,37.6,37.68,37.89,37.31,640500.0,-0.0034000000000000002,DXC
2000-01-31,38.71,37.29,38.71,36.97,1060000.0,0.029500000000000002,DXC
2000-02-01,37.58,38.13,38.63,37.47,1700000.0,-0.0292,DXC
2000-02-02,36.21,37.6,37.63,36.0,975600.0,-0.0365,DXC
2000-02-03,37.13,36.73,37.89,36.71,758900.0,0.0254,DXC
2000-02-04,38.79,37.84,38.92,37.79,612200.0,0.0447,DXC
2000-02-07,37.92,38.89,39.16,37.89,747400.0,-0.022400000000000003,DXC
2000-02-08,37.79,37.94,38.29,37.47,613300.0,-0.0034000000000000002,DXC
2000-02-09,36.86,37.07,37.68,36.81,659900.0,-0.0246,DXC
2000-02-10,36.68,36.94,37.02,36.21,605300.0,-0.0049,DXC
2000-02-11,35.31,36.57,36.57,34.81,639500.0,-0.0374,DXC
2000-02-14,35.55,35.39,35.94,35.28,456100.0,0.0068000000000000005,DXC
2000-02-15,35.31,35.52,35.84,34.65,444000.0,-0.0068000000000000005,DXC
2000-02-16,34.44,35.21,35.23,33.84,1040000.0,-0.0246,DXC
2000-02-17,33.78,34.44,34.44,33.7,789100.0,-0.0192,DXC
2000-02-18,33.76,34.26,34.26,33.63,721700.0,-0.0006,DXC
2000-02-22,34.02,33.86,34.26,33.76,569700.0,0.0077,DXC
2000-02-23,34.1,33.7,34.23,33.7,493300.0,0.0024,DXC
2000-02-24,33.68,34.1,34.1,32.99,1110000.0,-0.0123,DXC
2000-02-25,32.97,33.6,33.76,32.65,703500.0,-0.021099999999999997,DXC
2000-02-28,31.89,33.05,33.05,31.57,870800.0,-0.032799999999999996,DXC
2000-02-29,33.2,32.1,33.23,31.99,1100000.0,0.041100000000000005,DXC
2000-03-01,31.6,32.78,32.81,31.57,991300.0,-0.0482,DXC
2000-03-02,31.91,31.83,32.28,31.2,1060000.0,0.0098,DXC
2000-03-03,32.39,32.34,33.18,31.94,855300.0,0.015,DXC
2000-03-06,32.31,32.41,32.55,31.76,716200.0,-0.0025,DXC
2000-03-07,32.65,32.41,32.91,32.15,965700.0,0.0105,DXC
2000-03-08,32.52,32.34,32.57,31.99,887500.0,-0.004,DXC
2000-03-09,33.63,32.52,34.13,32.36,948500.0,0.0341,DXC
2000-03-10,33.99,33.52,34.26,32.55,572200.0,0.010700000000000001,DXC
2000-03-13,33.6,33.99,33.99,32.78,693100.0,-0.0115,DXC
2000-03-14,33.31,33.7,34.36,32.84,832600.0,-0.0086,DXC
2000-03-15,32.36,33.2,33.2,31.65,793600.0,-0.0285,DXC
2000-03-16,31.83,32.44,32.68,31.6,1290000.0,-0.016399999999999998,DXC
2000-03-17,30.86,31.18,31.18,30.49,1520000.0,-0.0305,DXC
2000-03-20,30.41,30.86,31.49,30.33,1070000.0,-0.0146,DXC
2000-03-21,31.83,30.41,31.83,30.39,1380000.0,0.0467,DXC
2000-03-22,33.28,32.2,33.84,32.18,822900.0,0.045599999999999995,DXC
2000-03-23,33.2,32.86,33.2,32.44,644600.0,-0.0024,DXC
2000-03-24,33.99,33.2,34.47,32.94,679300.0,0.023799999999999998,DXC
2000-03-27,33.7,33.99,34.42,33.49,475400.0,-0.0085,DXC
2000-03-28,32.84,33.63,33.81,32.57,452200.0,-0.0255,DXC
2000-03-29,32.28,32.76,33.34,31.47,565300.0,-0.0171,DXC
