Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,25.27,21.25,28.77,20.59,9050000.0,0.20329999999999998,EA
2000-01-04,22.34,23.75,24.5,22.31,6330000.0,-0.1159,EA
2000-01-05,22.33,22.0,24.38,21.52,5070000.0,-0.0004,EA
2000-01-06,20.0,22.06,22.62,19.84,6410000.0,-0.1043,EA
2000-01-07,20.59,21.02,21.66,20.31,5460000.0,0.029500000000000002,EA
2000-01-10,24.03,21.28,25.0,21.25,9790000.0,0.1671,EA
2000-01-11,23.75,23.5,26.77,23.31,6760000.0,-0.011699999999999999,EA
2000-01-12,22.5,24.27,24.48,22.16,4610000.0,-0.0526,EA
2000-01-13,23.2,23.25,23.8,22.22,5160000.0,0.0311,EA
2000-01-14,21.2,23.5,23.53,21.03,4670000.0,-0.0862,EA
2000-01-18,19.58,21.08,21.09,19.25,12420000.0,-0.0764,EA
2000-01-19,19.22,19.36,19.48,19.06,4630000.0,-0.0184,EA
2000-01-20,19.14,20.47,20.47,18.75,5700000.0,-0.0042,EA
2000-01-21,17.25,19.5,19.75,17.16,8119999.999999999,-0.0987,EA
2000-01-24,17.77,17.75,18.75,17.48,9940000.0,0.0301,EA
2000-01-25,18.98,18.33,19.81,17.12,5460000.0,0.0681,EA
2000-01-26,18.27,18.81,19.44,16.97,14160000.0,-0.0374,EA
2000-01-27,18.28,18.3,19.39,17.12,5180000.0,0.0005,EA
2000-01-28,17.77,18.34,19.45,17.75,6650000.0,-0.0279,EA
2000-01-31,20.44,18.14,20.5,17.5,5280000.0,0.1503,EA
2000-02-01,20.61,20.47,20.98,18.75,4380000.0,0.0083,EA
2000-02-02,21.94,20.69,22.61,19.75,5890000.0,0.0645,EA
2000-02-03,23.0,22.02,23.09,20.98,3910000.0,0.0483,EA
2000-02-04,21.48,22.78,22.88,21.38,2620000.0,-0.0661,EA
2000-02-07,20.47,21.59,22.03,19.91,3280000.0,-0.047,EA
2000-02-08,22.03,20.41,22.14,20.34,3410000.0,0.0762,EA
2000-02-09,20.19,22.17,22.19,20.12,1880000.0,-0.08349999999999999,EA
2000-02-10,21.48,20.88,21.5,20.47,2670000.0,0.0639,EA
2000-02-11,20.44,21.31,21.42,20.0,2500000.0,-0.0484,EA
2000-02-14,20.97,20.62,21.09,20.31,1110000.0,0.0259,EA
2000-02-15,21.33,20.47,21.66,19.94,2600000.0,0.0172,EA
2000-02-16,21.25,21.08,22.62,20.88,3040000.0,-0.0038,EA
2000-02-17,22.0,21.48,22.19,21.08,2520000.0,0.0353,EA
2000-02-18,22.62,22.42,23.58,21.72,5780000.0,0.0282,EA
2000-02-22,21.53,22.19,22.25,20.25,4990000.0,-0.0482,EA
2000-02-23,22.11,21.56,22.2,20.91,4840000.0,0.0269,EA
2000-02-24,22.78,22.19,23.22,20.91,3030000.0,0.030299999999999997,EA
2000-02-25,20.94,22.41,22.44,20.94,2530000.0,-0.0808,EA
2000-02-28,21.97,20.92,22.38,20.09,3520000.0,0.0492,EA
2000-02-29,25.0,21.91,25.56,21.88,6440000.0,0.1379,EA
2000-03-01,23.73,23.75,24.12,22.94,6330000.0,-0.0508,EA
2000-03-02,23.75,23.75,24.16,23.59,3720000.0,0.0008,EA
2000-03-03,25.55,24.03,25.84,23.89,3220000.0,0.0758,EA
2000-03-06,22.73,25.5,25.5,21.75,8279999.999999999,-0.1104,EA
2000-03-07,23.5,22.86,24.69,22.58,9260000.0,0.0339,EA
2000-03-08,24.02,23.52,24.67,22.0,6440000.0,0.022099999999999998,EA
2000-03-09,24.77,24.0,24.88,23.25,3110000.0,0.031200000000000002,EA
2000-03-10,23.2,24.7,26.12,22.91,5690000.0,-0.0634,EA
2000-03-13,21.69,22.98,22.98,21.55,5190000.0,-0.06509999999999999,EA
2000-03-14,18.75,20.11,20.38,18.69,17410000.0,-0.1355,EA
2000-03-15,19.31,19.05,19.88,18.62,11370000.0,0.029900000000000003,EA
2000-03-16,20.3,19.39,20.88,19.14,5780000.0,0.0513,EA
2000-03-17,20.14,20.47,21.38,19.53,9120000.0,-0.0079,EA
2000-03-20,19.5,20.33,20.8,19.06,3890000.0,-0.0318,EA
2000-03-21,19.3,19.52,19.88,18.75,4750000.0,-0.0103,EA
2000-03-22,20.44,19.69,21.06,19.52,3650000.0,0.0591,EA
2000-03-23,20.34,20.45,20.81,19.25,3830000.0,-0.0049,EA
2000-03-24,19.09,20.28,20.28,18.77,7080000.0,-0.061500000000000006,EA
2000-03-27,19.09,19.28,19.94,18.73,3090000.0,0.0,EA
2000-03-28,18.77,19.41,19.72,18.66,2049999.9999999998,-0.0168,EA
2000-03-29,17.62,18.91,19.03,17.53,5520000.0,-0.0613,EA
2000-03-30,17.58,17.25,18.25,17.06,5570000.0,-0.0023,EA
2000-03-31,17.8,17.66,18.09,17.16,4400000.0,0.0125,EA
2000-04-03,16.67,18.0,18.0,16.49,4030000.0000000005,-0.0635,EA
2000-04-04,16.45,16.94,17.53,14.38,7270000.0,-0.0132,EA
2000-04-05,17.05,16.12,18.0,16.0,6510000.0,0.0365,EA
2000-04-06,17.7,16.98,18.03,16.81,3520000.0,0.0381,EA
2000-04-07,15.92,17.11,17.19,15.75,12960000.0,-0.10060000000000001,EA
2000-04-10,14.94,16.08,16.09,14.02,8220000.000000001,-0.0616,EA
2000-04-11,15.02,14.62,15.97,14.53,6700000.0,0.0054,EA
2000-04-12,13.95,14.98,15.66,13.95,4840000.0,-0.0712,EA
2000-04-13,14.62,14.38,15.64,14.0,8279999.999999999,0.048,EA
2000-04-14,14.16,14.53,15.05,13.97,4230000.0,-0.0315,EA
2000-04-17,14.03,14.02,14.38,12.67,5070000.0,-0.0092,EA
2000-04-18,14.94,13.97,15.0,13.97,6120000.0,0.0649,EA
2000-04-19,14.0,15.19,15.19,14.0,1910000.0,-0.0629,EA
2000-04-20,14.7,14.2,14.7,13.62,3100000.0,0.05,EA
2000-04-24,13.31,14.38,14.62,12.69,3780000.0,-0.0946,EA
2000-04-25,13.3,13.78,14.31,13.22,7450000.0,-0.0008,EA
2000-04-26,15.08,13.45,15.41,13.38,8600000.0,0.1338,EA
2000-04-27,15.38,14.42,16.06,13.5,8220000.000000001,0.0199,EA
2000-04-28,15.12,15.53,15.88,14.52,5030000.0,-0.0169,EA
2000-05-01,14.72,15.0,15.03,14.41,7530000.0,-0.0265,EA
2000-05-02,13.34,14.77,14.78,12.89,9970000.0,-0.09380000000000001,EA
2000-05-03,13.52,13.42,14.0,12.88,6080000.0,0.013500000000000002,EA
2000-05-04,13.8,12.38,14.98,12.25,16840000.0,0.0207,EA
2000-05-05,15.42,13.89,16.41,13.78,12100000.0,0.1174,EA
2000-05-08,14.62,14.91,16.44,14.36,7810000.0,-0.0519,EA
2000-05-09,14.56,14.88,14.88,13.69,5070000.0,-0.0040999999999999995,EA
2000-05-10,14.27,14.52,15.0,13.91,4900000.0,-0.0199,EA
2000-05-11,16.45,14.5,16.7,13.5,7680000.0,0.1528,EA
2000-05-12,15.09,16.25,16.97,15.06,4320000.0,-0.0827,EA
2000-05-15,16.0,15.14,16.16,14.68,4720000.0,0.0603,EA
2000-05-16,16.64,15.84,16.75,15.83,3390000.0,0.04,EA
2000-05-17,16.06,16.55,16.56,15.81,3920000.0,-0.0349,EA
2000-05-18,15.44,16.3,16.69,15.12,3100000.0,-0.038599999999999995,EA
2000-05-19,14.48,15.88,16.06,14.48,4540000.0,-0.0622,EA
2000-05-22,14.34,14.56,14.56,12.55,5520000.0,-0.0097,EA
2000-05-23,13.58,14.02,14.5,13.5,2620000.0,-0.053,EA
2000-05-24,15.44,13.47,15.72,13.45,7750000.0,0.13699999999999998,EA
2000-05-25,14.75,15.41,15.56,14.53,3850000.0,-0.0447,EA
2000-05-26,14.5,15.17,15.19,14.0,2650000.0,-0.0169,EA
2000-05-30,15.69,14.72,15.84,14.61,5570000.0,0.0821,EA
2000-05-31,15.97,15.84,16.75,15.77,6050000.0,0.0178,EA
2000-06-01,17.27,16.08,17.5,15.75,5310000.0,0.0814,EA
2000-06-02,17.92,18.12,18.75,17.75,4150000.0000000005,0.037599999999999995,EA
2000-06-05,17.73,17.92,18.5,17.44,3280000.0,-0.0106,EA
