Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,18.83,18.94,18.97,18.69,305200.0,-0.0115,EQR
2000-01-04,18.69,18.69,18.72,18.52,492600.0,-0.0074,EQR
2000-01-05,19.08,18.52,19.08,18.52,580400.0,0.0209,EQR
2000-01-06,19.27,18.97,19.39,18.97,687600.0,0.01,EQR
2000-01-07,19.64,19.41,19.78,19.39,724400.0,0.0192,EQR
2000-01-10,19.78,19.64,19.86,19.58,626600.0,0.0070999999999999995,EQR
2000-01-11,19.67,19.8,19.86,19.55,530800.0,-0.005600000000000001,EQR
2000-01-12,19.58,19.67,19.69,19.53,430400.0,-0.0046,EQR
2000-01-13,19.36,19.58,19.61,19.36,453200.0,-0.011200000000000002,EQR
2000-01-14,19.02,19.25,19.47,19.02,437000.0,-0.0176,EQR
2000-01-18,18.86,18.97,19.0,18.66,669600.0,-0.0084,EQR
2000-01-19,18.94,18.74,18.97,18.74,673600.0,0.0042,EQR
2000-01-20,18.83,18.86,19.14,18.83,439600.0,-0.0058,EQR
2000-01-21,19.02,18.83,19.02,18.8,338200.0,0.0101,EQR
2000-01-24,18.8,18.97,19.0,18.77,465600.0,-0.0116,EQR
2000-01-25,18.77,18.77,18.91,18.74,708600.0,-0.0016,EQR
2000-01-26,18.8,18.74,18.91,18.41,875400.0,0.0016,EQR
2000-01-27,18.86,18.74,18.86,18.61,362000.0,0.0032,EQR
2000-01-28,18.69,18.88,18.88,18.58,330800.0,-0.009000000000000001,EQR
2000-01-31,18.52,18.74,18.77,18.52,419400.0,-0.0091,EQR
2000-02-01,18.74,18.52,18.74,18.49,365800.0,0.011899999999999999,EQR
2000-02-02,18.72,18.63,18.83,18.63,374400.0,-0.0011,EQR
2000-02-03,18.61,18.63,18.77,18.52,992000.0,-0.0059,EQR
2000-02-04,18.63,18.55,18.72,18.55,290800.0,0.0011,EQR
2000-02-07,18.58,18.47,18.69,18.47,254800.0,-0.0027,EQR
2000-02-08,18.69,18.61,18.74,18.55,533600.0,0.0059,EQR
