Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,20.69,20.5,20.69,20.31,276400.0,0.0063,ES
2000-01-04,20.69,20.5,20.88,20.38,291500.0,0.0,ES
2000-01-05,20.81,20.56,21.0,20.56,284400.0,0.0058,ES
2000-01-06,21.06,20.56,21.31,20.56,130000.0,0.012,ES
2000-01-07,21.25,20.94,21.25,20.81,85700.0,0.009000000000000001,ES
2000-01-10,21.06,21.12,21.31,20.75,151400.0,-0.0089,ES
2000-01-11,21.0,21.06,21.12,21.0,299700.0,-0.0028000000000000004,ES
2000-01-12,21.12,21.0,21.12,20.94,412000.0,0.005699999999999999,ES
2000-01-13,20.94,21.06,21.12,20.62,547700.0,-0.0085,ES
2000-01-14,20.62,20.94,21.0,20.62,239400.0,-0.015300000000000001,ES
2000-01-18,20.12,20.62,20.62,20.0,169600.0,-0.0242,ES
2000-01-19,20.12,20.12,20.62,20.06,302300.0,0.0,ES
2000-01-20,20.62,20.31,20.62,20.31,211700.0,0.024900000000000002,ES
2000-01-21,20.56,20.62,20.62,20.38,158200.0,-0.0029,ES
2000-01-24,19.75,20.38,20.44,19.56,957100.0,-0.0394,ES
2000-01-25,19.88,19.88,20.0,19.62,1350000.0,0.0066,ES
2000-01-26,20.25,20.12,20.31,20.0,618400.0,0.018600000000000002,ES
2000-01-27,20.56,20.25,20.62,20.25,407300.0,0.015300000000000001,ES
2000-01-28,20.44,20.56,20.75,20.38,178200.0,-0.0058,ES
2000-01-31,20.5,20.44,20.5,20.0,199600.0,0.0029,ES
2000-02-01,20.31,20.38,20.5,20.12,189800.0,-0.009300000000000001,ES
2000-02-02,20.31,20.31,20.69,20.31,652200.0,0.0,ES
2000-02-03,20.44,20.25,20.56,20.25,189400.0,0.0064,ES
2000-02-04,20.19,20.44,20.5,20.12,124200.0,-0.012199999999999999,ES
2000-02-07,20.19,20.06,20.19,20.0,256899.99999999997,0.0,ES
2000-02-08,20.12,20.06,20.31,20.06,225400.0,-0.0034999999999999996,ES
2000-02-09,20.25,20.12,20.5,20.06,132400.0,0.006500000000000001,ES
2000-02-10,19.88,20.06,20.25,19.88,163800.0,-0.0183,ES
2000-02-11,19.38,20.0,20.0,19.19,350900.0,-0.0252,ES
2000-02-14,19.31,19.5,19.56,19.31,577800.0,-0.0036,ES
2000-02-15,19.19,19.31,19.44,19.19,489100.0,-0.0062,ES
2000-02-16,18.94,19.19,19.25,18.5,1360000.0,-0.013000000000000001,ES
2000-02-17,19.19,19.0,19.44,18.75,266900.0,0.0132,ES
2000-02-18,18.94,19.0,19.06,18.88,254000.0,-0.013000000000000001,ES
2000-02-22,18.44,18.94,19.0,18.44,246300.0,-0.0264,ES
2000-02-23,18.75,18.44,18.75,18.44,253000.0,0.0168,ES
2000-02-24,18.31,18.62,18.69,18.0,321200.0,-0.0235,ES
2000-02-25,18.25,18.19,18.38,18.12,341300.0,-0.0033,ES
2000-02-28,18.81,18.25,18.88,18.19,342600.0,0.030699999999999998,ES
2000-02-29,18.81,18.75,18.81,18.5,280800.0,0.0,ES
2000-03-01,19.19,18.81,19.31,18.62,736600.0,0.0202,ES
2000-03-02,19.38,19.12,19.5,19.12,1770000.0,0.009899999999999999,ES
