Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,16.94,17.25,17.31,16.5,917400.0,-0.0253,EXC
2000-01-04,16.81,16.75,17.06,16.56,890600.0,-0.0077,EXC
2000-01-05,17.62,16.81,17.88,16.81,1040000.0,0.0482,EXC
2000-01-06,17.66,17.44,18.0,17.19,874200.0,0.0023,EXC
2000-01-07,18.47,17.69,18.69,17.5,2690000.0,0.045899999999999996,EXC
2000-01-10,18.72,18.41,18.84,18.28,1020000.0,0.013500000000000002,EXC
2000-01-11,18.59,18.62,18.84,18.56,978000.0,-0.0069,EXC
2000-01-12,18.75,18.5,18.94,18.41,1380000.0,0.0086,EXC
2000-01-13,19.31,18.84,19.41,18.69,1100000.0,0.029900000000000003,EXC
2000-01-14,19.25,19.19,19.5,19.03,1040000.0,-0.0031,EXC
2000-01-18,18.84,19.12,19.22,18.62,906800.0,-0.0213,EXC
2000-01-19,19.19,18.91,19.28,18.84,1040000.0,0.018600000000000002,EXC
2000-01-20,18.91,19.06,19.09,18.62,961400.0,-0.0146,EXC
2000-01-21,19.44,19.12,19.53,18.78,3600000.0,0.027999999999999997,EXC
2000-01-24,20.31,19.44,20.5,19.38,2610000.0,0.044800000000000006,EXC
2000-01-25,20.0,20.28,20.28,19.84,2530000.0,-0.015300000000000001,EXC
2000-01-26,20.44,19.94,20.56,19.72,1540000.0,0.022000000000000002,EXC
2000-01-27,21.0,20.5,21.09,20.47,9220000.0,0.0274,EXC
2000-01-28,20.59,20.91,21.25,20.59,3440000.0,-0.0195,EXC
2000-01-31,20.88,20.62,20.88,20.28,2970000.0,0.0141,EXC
2000-02-01,20.78,20.81,21.06,20.61,2750000.0,-0.0048,EXC
2000-02-02,20.84,20.78,21.16,20.75,1080000.0,0.0029,EXC
2000-02-03,21.75,20.97,21.84,20.97,1770000.0,0.0437,EXC
2000-02-04,21.5,21.72,21.75,21.47,5840000.0,-0.0115,EXC
2000-02-07,21.0,21.31,21.44,21.0,1160000.0,-0.0233,EXC
2000-02-08,21.19,21.03,21.25,21.03,1110000.0,0.009000000000000001,EXC
2000-02-09,21.25,21.19,21.47,21.16,4430000.0,0.0028000000000000004,EXC
2000-02-10,20.97,21.12,21.25,20.97,2660000.0,-0.0132,EXC
2000-02-11,20.62,20.91,21.0,20.59,1440000.0,-0.0167,EXC
2000-02-14,20.59,20.62,20.75,20.41,3240000.0,-0.0015,EXC
2000-02-15,20.44,20.5,20.66,20.34,1910000.0,-0.0073,EXC
2000-02-16,20.38,20.25,20.47,20.06,2049999.9999999998,-0.0029,EXC
2000-02-17,20.12,20.12,20.53,20.06,1340000.0,-0.0128,EXC
2000-02-18,19.78,20.03,20.16,19.72,973200.0,-0.0169,EXC
2000-02-22,19.91,19.81,20.19,19.81,1550000.0,0.0066,EXC
2000-02-23,20.19,19.78,20.31,19.78,2460000.0,0.0141,EXC
2000-02-24,19.0,20.19,20.19,18.81,2000000.0,-0.058899999999999994,EXC
2000-02-25,19.28,19.28,19.28,19.0,1490000.0,0.0147,EXC
2000-02-28,19.66,19.28,19.91,19.06,887200.0,0.0197,EXC
2000-02-29,18.66,19.53,19.53,18.66,1610000.0,-0.0509,EXC
2000-03-01,18.88,19.25,19.28,18.75,1200000.0,0.0118,EXC
2000-03-02,19.5,18.88,19.5,18.81,1190000.0,0.032799999999999996,EXC
2000-03-03,19.75,19.81,19.91,19.53,2300000.0,0.0128,EXC
2000-03-06,19.38,19.75,19.88,19.31,2040000.0,-0.0187,EXC
2000-03-07,18.88,19.38,19.59,18.84,2480000.0,-0.0258,EXC
