Date,Close,Open,High,Low,Volume,Change,Symbol
2005-07-20,22.5,25.86,25.86,22.47,324400.0,-0.8053,EXPE
2005-07-21,22.59,22.67,23.14,22.5,109170.0,0.004,EXPE
2005-07-22,23.38,23.15,23.42,22.52,56780.0,0.035,EXPE
2005-07-25,22.8,23.42,23.42,22.71,39570.0,-0.0248,EXPE
2005-07-26,22.57,22.9,22.9,22.34,102450.0,-0.0101,EXPE
2005-07-27,22.64,22.57,22.68,22.24,98100.0,0.0031,EXPE
2005-07-28,22.62,22.66,22.68,22.49,93560.0,-0.0009,EXPE
2005-07-29,22.89,22.66,22.9,22.43,60670.0,0.011899999999999999,EXPE
2005-08-01,22.9,22.79,23.04,22.66,164930.0,0.0004,EXPE
2005-08-02,22.62,24.45,24.45,22.23,299680.0,-0.012199999999999999,EXPE
2005-08-03,22.43,22.82,22.82,22.35,147740.0,-0.0084,EXPE
2005-08-04,22.19,22.35,22.47,21.96,141160.0,-0.010700000000000001,EXPE
2005-08-05,21.98,22.28,22.28,21.77,207040.0,-0.0095,EXPE
2005-08-08,21.16,22.1,22.24,19.99,6380000.0,-0.0373,EXPE
2005-08-09,22.43,21.88,22.43,21.18,4870000.0,0.06,EXPE
2005-08-10,22.29,22.75,23.06,22.26,2570000.0,-0.0062,EXPE
2005-08-11,21.51,22.18,22.36,21.42,1710000.0,-0.035,EXPE
2005-08-12,20.97,21.38,21.4,20.22,1690000.0,-0.025099999999999997,EXPE
2005-08-15,20.16,21.16,21.24,20.03,1490000.0,-0.038599999999999995,EXPE
2005-08-16,20.17,20.02,20.31,19.46,2350000.0,0.0005,EXPE
2005-08-17,20.4,19.92,20.68,19.89,1120000.0,0.011399999999999999,EXPE
2005-08-18,20.45,20.02,20.69,20.02,1340000.0,0.0025,EXPE
2005-08-19,20.36,20.32,20.6,20.26,798210.0,-0.0044,EXPE
2005-08-22,20.31,20.41,20.5,19.94,1630000.0,-0.0025,EXPE
2005-08-23,20.17,20.11,20.35,19.95,1080000.0,-0.0069,EXPE
2005-08-24,20.31,20.03,20.48,19.96,1160000.0,0.0069,EXPE
2005-08-25,20.84,20.15,20.98,20.15,789670.0,0.026099999999999998,EXPE
2005-08-26,20.79,20.82,21.19,20.6,539990.0,-0.0024,EXPE
2005-08-29,21.01,20.74,21.16,20.6,465080.0,0.0106,EXPE
2005-08-30,21.07,20.73,21.16,20.69,606150.0,0.0029,EXPE
2005-08-31,20.93,20.94,21.09,20.69,827130.0,-0.0066,EXPE
2005-09-01,20.9,20.82,21.1,20.75,740540.0,-0.0014000000000000002,EXPE
2005-09-02,21.04,20.87,21.28,20.43,918480.0,0.0067,EXPE
2005-09-06,20.77,20.4,21.21,20.4,1240000.0,-0.0128,EXPE
2005-09-07,20.95,20.64,21.24,20.61,684370.0,0.0087,EXPE
2005-09-08,21.11,20.85,21.6,20.71,640210.0,0.0076,EXPE
2005-09-09,20.75,20.69,21.02,20.45,2069999.9999999998,-0.0171,EXPE
2005-09-12,20.78,20.64,21.43,20.64,1010000.0,0.0014000000000000002,EXPE
2005-09-13,20.76,21.01,21.08,20.69,748270.0,-0.001,EXPE
2005-09-14,20.52,20.63,20.82,20.45,727330.0,-0.0116,EXPE
2005-09-15,20.14,20.44,20.55,19.8,1260000.0,-0.018500000000000003,EXPE
2005-09-16,19.75,19.99,20.18,19.51,951930.0,-0.0194,EXPE
2005-09-19,19.8,19.56,20.04,19.52,1080000.0,0.0025,EXPE
2005-09-20,19.69,19.82,19.82,19.52,679650.0,-0.005600000000000001,EXPE
2005-09-21,19.42,20.16,20.22,17.5,896570.0,-0.0137,EXPE
2005-09-22,19.04,19.43,19.44,18.46,972700.0,-0.0196,EXPE
2005-09-23,18.88,19.08,19.09,18.57,690280.0,-0.0084,EXPE
2005-09-26,18.85,18.84,19.12,18.72,765660.0,-0.0016,EXPE
2005-09-27,18.73,18.85,19.06,18.48,676490.0,-0.0064,EXPE
2005-09-28,18.56,18.7,18.74,18.47,651580.0,-0.0091,EXPE
2005-09-29,18.83,18.44,18.91,18.38,1140000.0,0.014499999999999999,EXPE
2005-09-30,18.63,18.48,18.8,18.36,1070000.0,-0.0106,EXPE
2005-10-03,19.19,19.19,19.98,19.0,1020000.0,0.0301,EXPE
2005-10-04,19.36,19.22,19.77,19.19,672820.0,0.0089,EXPE
2005-10-05,18.89,19.37,19.53,18.73,538700.0,-0.024300000000000002,EXPE
2005-10-06,18.85,19.09,19.09,18.49,367790.0,-0.0021,EXPE
2005-10-07,18.9,18.73,19.19,18.55,546500.0,0.0027,EXPE
2005-10-10,19.09,18.81,19.28,18.72,442320.0,0.0101,EXPE
2005-10-11,18.86,19.1,19.35,18.72,446040.0,-0.012,EXPE
2005-10-12,18.48,18.76,19.04,18.38,620310.0,-0.020099999999999996,EXPE
2005-10-13,18.58,18.36,18.72,18.15,621520.0,0.0054,EXPE
2005-10-14,18.94,18.63,19.71,18.53,479750.0,0.0194,EXPE
2005-10-17,19.2,18.88,19.28,18.57,600700.0,0.0137,EXPE
2005-10-18,18.69,19.25,19.35,18.53,300730.0,-0.026600000000000002,EXPE
2005-10-19,18.42,18.67,18.8,18.29,467420.0,-0.0144,EXPE
2005-10-20,18.34,18.36,18.53,17.85,588050.0,-0.0043,EXPE
