Date,Close,Open,High,Low,Volume,Change
2000-01-03,1.23,1.34,1.34,1.22,1310000.0,-0.0821
2000-01-04,1.2,1.22,1.22,1.19,334800.0,-0.024399999999999998
2000-01-05,1.22,1.19,1.22,1.19,363600.0,0.0167
2000-01-06,1.24,1.21,1.27,1.21,538800.0,0.016399999999999998
2000-01-07,1.3,1.24,1.3,1.24,388800.0,0.0484
2000-01-10,1.25,1.31,1.32,1.25,766800.0,-0.0385
2000-01-11,1.2,1.24,1.24,1.2,723600.0,-0.04
2000-01-12,1.18,1.2,1.2,1.18,547200.0,-0.0167
2000-01-13,1.19,1.19,1.19,1.17,1940000.0,0.0085
2000-01-14,1.21,1.19,1.21,1.18,1100000.0,0.0168
2000-01-18,1.27,1.21,1.29,1.21,1960000.0,0.0496
2000-01-19,1.27,1.28,1.29,1.26,2680000.0,0.0
2000-01-20,1.27,1.26,1.27,1.25,1490000.0,0.0
2000-01-21,1.28,1.25,1.31,1.25,1320000.0,0.0079
2000-01-24,1.23,1.28,1.28,1.23,886800.0,-0.0391
2000-01-25,1.23,1.23,1.24,1.22,454800.0,0.0
2000-01-26,1.31,1.24,1.39,1.24,1840000.0,0.065
2000-01-27,1.26,1.31,1.32,1.25,788400.0,-0.0382
2000-01-28,1.25,1.25,1.27,1.24,780000.0,-0.0079
2000-01-31,1.23,1.24,1.25,1.2,507600.0,-0.016
2000-02-01,1.28,1.24,1.28,1.24,682800.0,0.0407
2000-02-02,1.28,1.28,1.29,1.26,357600.0,0.0
2000-02-03,1.31,1.29,1.33,1.29,870000.0,0.023399999999999997
2000-02-04,1.31,1.31,1.32,1.31,1330000.0,0.0
2000-02-07,1.31,1.31,1.32,1.29,320400.0,0.0
2000-02-08,1.28,1.29,1.31,1.28,602400.0,-0.0229
2000-02-09,1.27,1.27,1.29,1.27,282000.0,-0.0078000000000000005
2000-02-10,1.3,1.27,1.3,1.24,1010000.0,0.0236
2000-02-11,1.27,1.3,1.3,1.27,316800.0,-0.0231
2000-02-14,1.26,1.28,1.28,1.26,613200.0,-0.0079
2000-02-15,1.27,1.27,1.28,1.25,1840000.0,0.0079
2000-02-16,1.27,1.27,1.27,1.25,1650000.0,0.0
2000-02-17,1.24,1.26,1.27,1.23,896400.0,-0.0236
2000-02-18,1.21,1.24,1.24,1.2,561600.0,-0.0242
2000-02-22,1.19,1.21,1.22,1.18,1360000.0,-0.0165
2000-02-23,1.18,1.19,1.19,1.17,384000.0,-0.0084
2000-02-24,1.2,1.18,1.23,1.18,360000.0,0.0169
2000-02-25,1.23,1.19,1.24,1.18,1340000.0,0.025
2000-02-28,1.26,1.2,1.26,1.18,501600.0,0.024399999999999998
2000-02-29,1.32,1.25,1.32,1.23,606000.0,0.047599999999999996
2000-03-01,1.35,1.32,1.35,1.32,2980000.0,0.0227
2000-03-02,1.4,1.36,1.41,1.36,1460000.0,0.037000000000000005
2000-03-03,1.41,1.4,1.43,1.4,964800.0,0.0070999999999999995
2000-03-06,1.43,1.41,1.44,1.41,4930000.0,0.014199999999999999
2000-03-07,1.49,1.44,1.52,1.42,1520000.0,0.042
2000-03-08,1.46,1.49,1.51,1.46,4410000.0,-0.020099999999999996
2000-03-09,1.44,1.46,1.46,1.42,1920000.0,-0.0137
2000-03-10,1.44,1.44,1.47,1.43,2870000.0,0.0
2000-03-13,1.45,1.43,1.48,1.43,902400.0,0.0069
2000-03-14,1.46,1.45,1.48,1.44,768000.0,0.0069
2000-03-15,1.42,1.45,1.46,1.42,525600.0,-0.0274
2000-03-16,1.43,1.44,1.45,1.42,1190000.0,0.006999999999999999
2000-03-17,1.44,1.42,1.45,1.42,285600.0,0.006999999999999999
2000-03-20,1.4,1.43,1.44,1.4,745200.0,-0.0278
2000-03-21,1.45,1.41,1.46,1.4,628800.0,0.035699999999999996
2000-03-22,1.47,1.46,1.47,1.46,988800.0,0.0138
2000-03-23,1.44,1.47,1.48,1.44,812400.0,-0.0204
2000-03-24,1.44,1.44,1.47,1.44,432000.0,0.0
2000-03-27,1.41,1.44,1.44,1.39,2009999.9999999998,-0.0208
2000-03-28,1.39,1.4,1.4,1.38,1250000.0,-0.014199999999999999
2000-03-29,1.46,1.35,1.46,1.35,5060000.0,0.0504
2000-03-30,1.5,1.47,1.5,1.44,1410000.0,0.0274
2000-03-31,1.51,1.5,1.54,1.49,2130000.0,0.0067
2000-04-03,1.51,1.51,1.52,1.5,753600.0,0.0
2000-04-04,1.4,1.52,1.52,1.4,1220000.0,-0.0728
2000-04-05,1.44,1.4,1.44,1.36,1380000.0,0.0286
2000-04-06,1.46,1.45,1.48,1.45,817200.0,0.0139
2000-04-07,1.43,1.46,1.46,1.41,685200.0,-0.020499999999999997
2000-04-10,1.41,1.44,1.44,1.41,492000.0,-0.013999999999999999
2000-04-11,1.43,1.42,1.44,1.4,727200.0,0.014199999999999999
2000-04-12,1.49,1.5,1.5,1.44,2730000.0,0.042
2000-04-13,1.5,1.48,1.5,1.44,3050000.0,0.0067
2000-04-14,1.46,1.5,1.5,1.38,1780000.0,-0.026699999999999998
2000-04-17,1.46,1.45,1.48,1.45,1110000.0,0.0
2000-04-18,1.49,1.47,1.52,1.47,805200.0,0.020499999999999997
2000-04-19,1.46,1.48,1.48,1.43,1410000.0,-0.020099999999999996
2000-04-20,1.49,1.46,1.5,1.45,1900000.0,0.020499999999999997
2000-04-24,1.5,1.5,1.51,1.47,1700000.0,0.0067
2000-04-25,1.56,1.5,1.56,1.5,1540000.0,0.04
2000-04-26,1.53,1.56,1.56,1.52,1490000.0,-0.0192
2000-04-27,1.57,1.53,1.59,1.51,2009999.9999999998,0.026099999999999998
2000-04-28,1.55,1.58,1.58,1.54,1240000.0,-0.0127
2000-05-01,1.6,1.54,1.64,1.54,1340000.0,0.0323
2000-05-02,1.57,1.58,1.6,1.55,1990000.0,-0.0187
2000-05-03,1.54,1.56,1.56,1.53,1160000.0,-0.0191
2000-05-04,1.51,1.53,1.54,1.51,1270000.0,-0.0195
2000-05-05,1.53,1.51,1.53,1.5,1820000.0,0.0132
2000-05-08,1.57,1.54,1.58,1.53,2930000.0,0.026099999999999998
2000-05-09,1.66,1.57,1.67,1.56,5820000.0,0.057300000000000004
2000-05-10,1.64,1.65,1.66,1.61,2600000.0,-0.012
2000-05-11,1.75,1.65,1.75,1.65,3060000.0,0.06709999999999999
2000-05-12,1.73,1.77,1.78,1.7,2560000.0,-0.011399999999999999
2000-05-15,1.8,1.71,1.8,1.71,2600000.0,0.0405
2000-05-16,1.81,1.83,1.9,1.75,4960000.0,0.005600000000000001
2000-05-17,1.83,1.77,1.85,1.76,2570000.0,0.011000000000000001
2000-05-18,1.89,1.92,1.93,1.79,48650000.0,0.032799999999999996
2000-05-19,1.85,1.89,1.89,1.83,1430000.0,-0.0212
2000-05-22,1.83,1.85,1.85,1.79,2160000.0,-0.0108
2000-05-23,1.84,1.83,1.89,1.82,2640000.0,0.0055000000000000005
2000-05-24,1.85,1.84,1.85,1.83,1590000.0,0.0054
2000-05-25,1.85,1.84,1.88,1.8,1610000.0,0.0
2000-05-26,1.92,1.85,1.92,1.85,19470000.0,0.0378
2000-05-30,2.0,1.98,2.01,1.95,2690000.0,0.0417
2000-05-31,2.08,2.02,2.09,2.02,3280000.0,0.04
2000-06-01,2.03,2.07,2.07,2.0,4220000.0,-0.024
2000-06-02,1.77,1.92,1.92,1.75,3820000.0,-0.1281
2000-06-05,1.84,1.77,1.86,1.67,3980000.0,0.0395
2000-06-06,1.89,1.84,1.96,1.84,3300000.0,0.027200000000000002
2000-06-07,1.85,1.89,1.89,1.79,3500000.0,-0.0212
2000-06-08,1.89,1.83,1.89,1.81,3370000.0,0.0216
2000-06-09,1.89,1.9,1.91,1.85,876000.0,0.0
2000-06-12,1.93,1.87,1.93,1.87,1150000.0,0.0212
2000-06-13,1.94,1.94,1.97,1.92,3120000.0,0.0052
2000-06-14,1.95,1.94,1.98,1.93,3360000.0,0.0052
2000-06-15,1.93,1.95,1.95,1.89,2740000.0,-0.0103
2000-06-16,1.97,1.94,1.99,1.93,1990000.0,0.0207
2000-06-19,1.92,1.97,1.97,1.9,764400.0,-0.0254
2000-06-20,1.87,1.92,1.92,1.83,3320000.0,-0.026000000000000002
2000-06-21,1.85,1.85,1.86,1.83,2540000.0,-0.010700000000000001
2000-06-22,1.79,1.86,1.88,1.79,681600.0,-0.032400000000000005
2000-06-23,1.81,1.75,1.81,1.75,1610000.0,0.011200000000000002
2000-06-26,1.76,1.82,1.83,1.74,1570000.0,-0.0276
2000-06-27,1.72,1.77,1.77,1.72,5450000.0,-0.0227
2000-06-28,1.74,1.74,1.74,1.7,1180000.0,0.0116
2000-06-29,1.78,1.72,1.78,1.72,950400.0,0.023
2000-06-30,1.76,1.78,1.78,1.73,3680000.0,-0.011200000000000002
2000-07-03,1.77,1.78,1.78,1.75,492000.0,0.005699999999999999
2000-07-05,1.74,1.79,1.79,1.72,4040000.0,-0.0169
2000-07-06,1.66,1.73,1.74,1.66,2600000.0,-0.046
2000-07-07,1.67,1.66,1.69,1.57,3450000.0,0.006
2000-07-10,1.66,1.66,1.66,1.65,855600.0,-0.006
2000-07-11,1.66,1.66,1.68,1.65,2310000.0,0.0
2000-07-12,1.66,1.66,1.69,1.64,3470000.0,0.0
2000-07-13,1.6,1.66,1.66,1.57,1810000.0,-0.0361
2000-07-14,1.7,1.61,1.71,1.59,4630000.0,0.0625
2000-07-17,1.65,1.68,1.68,1.64,1670000.0,-0.0294
2000-07-18,1.65,1.65,1.66,1.63,1370000.0,0.0
2000-07-19,1.66,1.66,1.67,1.65,1930000.0,0.0060999999999999995
2000-07-20,1.61,1.66,1.67,1.61,1590000.0,-0.0301
2000-07-21,1.53,1.61,1.65,1.53,984000.0,-0.049699999999999994
2000-07-24,1.51,1.54,1.57,1.51,1020000.0,-0.0131
2000-07-25,1.48,1.49,1.52,1.45,1550000.0,-0.0199
2000-07-26,1.45,1.45,1.48,1.41,3930000.0,-0.0203
2000-07-27,1.49,1.41,1.51,1.41,1780000.0,0.0276
2000-07-28,1.55,1.5,1.56,1.5,3890000.0,0.0403
2000-07-31,1.54,1.56,1.6,1.54,1430000.0,-0.006500000000000001
2000-08-01,1.53,1.54,1.54,1.52,1920000.0,-0.006500000000000001
2000-08-02,1.5,1.53,1.55,1.5,3140000.0,-0.0196
2000-08-03,1.47,1.49,1.49,1.45,2470000.0,-0.02
2000-08-04,1.47,1.47,1.47,1.46,2530000.0,0.0
2000-08-07,1.49,1.48,1.5,1.47,2710000.0,0.013600000000000001
2000-08-08,1.46,1.49,1.51,1.46,2780000.0,-0.020099999999999996
2000-08-09,1.46,1.45,1.49,1.45,2510000.0,0.0
2000-08-10,1.47,1.47,1.51,1.46,1360000.0,0.0068000000000000005
2000-08-11,1.47,1.47,1.49,1.43,1880000.0,0.0
2000-08-14,1.55,1.47,1.56,1.47,1600000.0,0.054400000000000004
2000-08-15,1.56,1.56,1.6,1.56,2690000.0,0.006500000000000001
2000-08-16,1.6,1.56,1.6,1.55,992400.0,0.0256
2000-08-17,1.65,1.59,1.65,1.59,765600.0,0.031200000000000002
2000-08-18,1.58,1.67,1.67,1.57,1770000.0,-0.0424
2000-08-21,1.61,1.58,1.61,1.57,1720000.0,0.019
2000-08-22,1.64,1.65,1.67,1.63,3010000.0,0.018600000000000002
2000-08-23,1.71,1.65,1.72,1.65,1230000.0,0.042699999999999995
2000-08-24,1.64,1.7,1.72,1.63,3960000.0,-0.0409
2000-08-25,1.67,1.64,1.68,1.6,778800.0,0.0183
2000-08-28,1.63,1.67,1.67,1.61,2310000.0,-0.024
2000-08-29,1.66,1.64,1.7,1.64,1670000.0,0.0184
2000-08-30,1.64,1.66,1.68,1.63,1470000.0,-0.012
2000-08-31,1.67,1.61,1.69,1.6,5380000.0,0.0183
2000-09-01,1.73,1.68,1.73,1.68,2420000.0,0.0359
2000-09-05,1.67,1.73,1.73,1.66,842400.0,-0.0347
2000-09-06,1.72,1.67,1.73,1.66,1160000.0,0.029900000000000003
2000-09-07,1.71,1.71,1.75,1.7,890400.0,-0.0058
2000-09-08,1.71,1.71,1.78,1.67,2040000.0,0.0
2000-09-11,1.72,1.7,1.75,1.7,1190000.0,0.0058
2000-09-12,1.71,1.72,1.76,1.7,3500000.0,-0.0058
2000-09-13,1.64,1.71,1.71,1.64,714000.0,-0.0409
2000-09-14,1.66,1.65,1.66,1.65,1300000.0,0.012199999999999999
2000-09-15,1.75,1.65,1.75,1.65,2960000.0,0.0542
2000-09-18,1.7,1.77,1.77,1.7,1260000.0,-0.0286
2000-09-19,1.68,1.71,1.71,1.67,1150000.0,-0.0118
2000-09-20,1.73,1.72,1.77,1.72,1100000.0,0.0298
2000-09-21,1.65,1.72,1.72,1.64,1210000.0,-0.0462
2000-09-22,1.56,1.64,1.64,1.56,952800.0,-0.0545
2000-09-25,1.6,1.57,1.6,1.56,2360000.0,0.0256
2000-09-26,1.64,1.6,1.64,1.6,2990000.0,0.025
2000-09-27,1.67,1.64,1.67,1.62,5680000.0,0.0183
2000-09-28,1.67,1.67,1.67,1.65,1160000.0,0.0
2000-09-29,1.7,1.67,1.71,1.63,1860000.0,0.018000000000000002
2000-10-02,1.73,1.71,1.76,1.71,3090000.0,0.0176
2000-10-03,1.69,1.74,1.77,1.69,2420000.0,-0.0231
2000-10-04,1.64,1.7,1.7,1.64,2660000.0,-0.0296
2000-10-05,1.59,1.65,1.66,1.58,1680000.0,-0.0305
2000-10-06,1.58,1.58,1.63,1.56,2480000.0,-0.0063
2000-10-09,1.6,1.58,1.61,1.58,1170000.0,0.0127
2000-10-10,1.67,1.59,1.69,1.59,5720000.0,0.0437
2000-10-11,1.75,1.67,1.78,1.67,2710000.0,0.0479
2000-10-12,1.85,1.77,1.85,1.77,2840000.0,0.0571
2000-10-13,1.85,1.88,1.88,1.83,2600000.0,0.0
2000-10-16,1.78,1.85,1.85,1.78,1770000.0,-0.0378
2000-10-17,1.79,1.78,1.81,1.78,2049999.9999999998,0.005600000000000001
2000-10-18,1.71,1.79,1.79,1.71,1030000.0,-0.0447
2000-10-19,1.77,1.72,1.79,1.72,1150000.0,0.0351
2000-10-20,1.79,1.76,1.79,1.75,445200.0,0.0113
2000-10-23,1.78,1.77,1.79,1.76,453600.0,-0.005600000000000001
2000-10-24,1.73,1.78,1.81,1.73,1800000.0,-0.0281
2000-10-25,1.67,1.73,1.73,1.65,559200.0,-0.0347
2000-10-26,1.66,1.67,1.7,1.62,2220000.0,-0.006
2000-10-27,1.64,1.65,1.66,1.64,286800.0,-0.012
2000-10-30,1.64,1.64,1.66,1.64,645600.0,0.0
2000-10-31,1.64,1.64,1.65,1.63,1940000.0,0.0
2000-11-01,1.67,1.64,1.67,1.63,6780000.0,0.0183
2000-11-02,1.66,1.67,1.67,1.61,1340000.0,-0.006
2000-11-03,1.66,1.66,1.67,1.65,2960000.0,0.0
2000-11-06,1.65,1.66,1.66,1.65,174000.0,-0.006
2000-11-07,1.64,1.66,1.66,1.64,886800.0,-0.0060999999999999995
2000-11-08,1.64,1.64,1.66,1.63,945600.0,0.0
2000-11-09,1.63,1.64,1.66,1.62,1270000.0,-0.0060999999999999995
2000-11-10,1.67,1.63,1.67,1.58,2040000.0,0.0245
2000-11-13,1.73,1.74,1.75,1.66,2730000.0,0.0359
2000-11-14,1.8,1.76,1.83,1.76,2069999.9999999998,0.0405
2000-11-15,1.88,1.82,1.88,1.82,1400000.0,0.0444
2000-11-16,1.87,1.89,1.92,1.86,1260000.0,-0.0053
2000-11-17,1.85,1.88,1.88,1.85,1900000.0,-0.010700000000000001
2000-11-20,1.88,1.88,1.89,1.87,1850000.0,0.016200000000000003
2000-11-21,1.91,1.88,1.91,1.88,1360000.0,0.016
2000-11-22,1.92,1.92,1.93,1.91,1960000.0,0.0052
2000-11-24,1.92,1.92,1.94,1.92,859200.0,0.0
2000-11-27,1.87,1.92,1.92,1.85,2009999.9999999998,-0.026000000000000002
2000-11-28,1.85,1.86,1.86,1.83,1610000.0,-0.010700000000000001
2000-11-29,1.8,1.84,1.84,1.79,1510000.0,-0.027000000000000003
2000-11-30,1.66,1.8,1.82,1.66,2160000.0,-0.07780000000000001
2000-12-01,1.82,1.68,1.83,1.68,1170000.0,0.0964
2000-12-04,1.88,1.83,1.91,1.83,1050000.0,0.033
2000-12-05,1.89,1.89,1.94,1.89,1050000.0,0.0053
2000-12-06,1.86,1.89,2.01,1.86,1740000.0,-0.0159
2000-12-07,1.94,1.86,2.0,1.86,1970000.0,0.043
2000-12-08,1.94,1.95,1.97,1.93,1000000.0,0.0
2000-12-11,1.95,1.95,2.02,1.94,2650000.0,0.0052
2000-12-12,2.04,1.95,2.07,1.95,2420000.0,0.0462
2000-12-13,2.04,2.04,2.07,2.03,1960000.0,0.0
2000-12-14,1.95,2.03,2.03,1.94,1200000.0,-0.0441
2000-12-15,2.14,1.96,2.2,1.95,5450000.0,0.0974
2000-12-18,2.22,2.14,2.31,2.14,5280000.0,0.0374
2000-12-19,2.26,2.22,2.27,2.2,2970000.0,0.018000000000000002
2000-12-20,2.22,2.27,2.27,2.16,4630000.0,-0.0177
2000-12-21,2.22,2.21,2.29,2.18,3290000.0,0.0
2000-12-22,2.26,2.22,2.26,2.22,1180000.0,0.018000000000000002
2000-12-26,2.47,2.33,2.49,2.33,4410000.0,0.0929
2000-12-27,2.49,2.5,2.53,2.41,6240000.0,0.008100000000000001
2000-12-28,2.65,2.52,2.65,2.46,3840000.0,0.0643
